PROLIFIC_PID,Relaxing,Commuting,Partying,Running,Shopping,Sleeping,Studying,Working,Tempo,Danceability,Acousticness,Instrumentalness,Gender,Skin,Origin,Age
60e467a0b2c2ef1e594bd577,1,1,4,3,1,1,1,1,5,4,1,2,3,2,3,1
5b0a93f030d562000155259e,1,2,5,4,1,1,1,2,4,3,2,1,5,2,4,3
60b553fb5705a4355358afaf,2,4,5,3,1,1,2,1,4,2,1,2,4,2,3,1
5c4c53b95aa8dc00011b0dce,1,2,3,2,1,1,1,3,4,4,2,2,4,2,4,2
5f2d14d99d93bf265393b8ac,4,2,5,4,4,2,2,4,4,4,5,4,1,1,1,1
615da7549e575b94827b81ab,4,2,4,1,1,1,4,4,4,5,4,4,3,3,3,2
60f1881264ff3a7f211d186a,3,5,5,5,4,1,4,4,4,4,2,2,4,2,4,2
5ea1c3f3e9fb240a9b243e18,3,1,4,4,4,1,1,2,5,5,2,5,3,2,5,2
58f50400f4ce600001016db5,1,4,4,2,1,1,1,1,4,4,1,2,2,1,5,2
61141c855eb58d6a4e3d8d5b,1,3,4,4,4,1,1,1,4,4,3,3,4,2,4,2
61712b162161b5362dd40119,1,2,5,4,2,1,1,1,4,5,4,1,3,3,3,3
6107f8e71da90474ed188cb3,2,2,4,4,4,1,1,1,4,4,2,2,3,3,4,2
5e8f31ca66838a1ff52975b5,2,2,4,2,2,2,2,2,5,2,1,1,3,3,4,3
6032b41809e86b2d25e6abf5,1,3,4,4,3,1,1,2,5,5,2,2,3,3,4,1
60d9a7c0aebfc51577e97903,4,4,5,3,2,2,2,2,4,2,2,2,4,3,3,2
5ebefa4d2bd5510ff39688c1,1,3,5,5,1,1,3,1,5,5,5,3,1,1,5,1
615094c9a1ba0233a8c3ccc4,2,3,5,5,3,1,4,3,4,4,5,1,5,2,5,3
5da839f66f11e500123e30c7,4,2,5,4,4,1,4,4,4,4,1,1,3,2,4,1
5f444f41d9255617e1ba10ff,4,4,5,4,4,2,2,3,5,4,2,3,3,3,4,1
5be2965691deed00015acc2b,1,4,5,4,4,1,1,2,2,4,1,1,3,4,4,2
5de440d3400de40285c01263,2,1,5,4,3,1,3,1,4,4,2,3,4,2,4,2
60496d3990d324547105f959,1,1,4,4,1,1,1,2,4,4,1,2,5,2,3,2
609a7d5287ca8fb83e0780d4,1,2,4,4,2,1,2,1,5,1,1,1,1,1,5,1
6152dfa0790891ef5d673501,2,4,4,4,1,1,2,2,5,2,2,2,4,3,4,1
6014314ae378481403f01e86,2,3,3,4,3,1,2,4,3,3,4,2,4,3,3,3
615db8621a77715a3f2e6b54,3,5,5,5,2,2,3,4,5,5,2,3,3,2,4,2
608bb6544e29801f4cac1c2d,2,3,5,4,1,1,2,2,5,5,2,2,1,3,3,1
61720e04849f1568c2f3e999,1,2,5,4,4,1,1,2,1,4,1,1,4,2,4,1
5e9dd814910d621387801b01,1,1,5,4,2,1,1,1,4,5,1,2,3,4,2,1
5f8b031f5f71b109548721bd,1,1,4,2,2,1,1,1,4,5,1,2,4,3,3,1
615c43b800752a4f3d0fd1f0,3,3,4,4,4,1,2,3,5,2,2,4,4,1,4,2
5b6dada03ce3ab0001fd077c,1,2,4,2,2,1,3,4,5,3,2,1,4,3,4,2
5fb3d4024e5665000a941d9d,2,2,4,4,3,1,1,1,5,4,2,2,4,2,4,2
5fda8761cffa3b71e6d684bf,4,4,5,4,3,1,4,4,5,5,2,3,4,2,4,1
611fce73e0a46ebc8e4b90a5,5,5,5,4,4,2,5,5,3,5,4,4,3,3,3,2
61123b66dae2d7c959c7ff31,4,2,5,4,2,1,2,4,4,5,2,2,3,2,4,2
609ab970bcff69957427445d,1,1,5,1,1,1,1,1,5,5,1,3,3,3,3,3
610afb895c8cef9f6ec1ac6a,1,1,3,1,1,1,1,1,5,5,4,1,3,3,3,2
61465149835949882116b8c4,2,3,5,4,2,1,2,2,4,4,1,2,4,2,3,1
608c349d8e7f57e8f84d3a27,1,4,5,4,3,1,4,3,5,5,1,2,4,2,5,2
5dee6f4d3b1c9450c5d126fc,2,4,5,5,2,1,1,4,5,4,2,3,4,2,4,2
5e68d8b2a042a7000d529490,2,4,5,5,4,1,1,1,4,5,2,3,3,3,3,2
6113a568434313758954bb53,1,4,5,3,1,1,1,3,5,4,1,3,3,4,4,1
604a3c8ec261d2fa6ac242c3,4,3,5,4,3,1,2,3,3,4,2,2,5,2,4,1
5f89c22268e5fe0009834636,2,2,1,4,3,1,4,4,4,4,2,1,4,3,4,2
61322612510b85268a0c4b63,2,1,4,4,4,2,1,1,2,4,4,4,2,2,4,2
5ed6d66c4ddb96153b704550,1,2,5,4,2,1,3,4,1,4,2,2,4,1,4,2
