PROLIFIC_PID,d_score,o_score
60e467a0b2c2ef1e594bd577,-0.101,3
5b0a93f030d562000155259e,-0.742,5
60b553fb5705a4355358afaf,0.149,4
5c4c53b95aa8dc00011b0dce,-0.064,1
5f2d14d99d93bf265393b8ac,-0.515,4
615da7549e575b94827b81ab,0.343,3
60f1881264ff3a7f211d186a,-0.966,5
5ea1c3f3e9fb240a9b243e18,-0.636,5
58f50400f4ce600001016db5,-0.061,2
61141c855eb58d6a4e3d8d5b,0.167,5
61712b162161b5362dd40119,-0.232,3
6107f8e71da90474ed188cb3,-0.18,3
5e8f31ca66838a1ff52975b5,-0.518,1
6032b41809e86b2d25e6abf5,-0.023,4
60d9a7c0aebfc51577e97903,-0.288,1
5ebefa4d2bd5510ff39688c1,0.092,5
615094c9a1ba0233a8c3ccc4,0.114,5
5da839f66f11e500123e30c7,-0.698,3
5f444f41d9255617e1ba10ff,-0.315,4
5be2965691deed00015acc2b,0.186,1
5de440d3400de40285c01263,0.451,2
60496d3990d324547105f959,0.768,4
609a7d5287ca8fb83e0780d4,-0.649,4
6152dfa0790891ef5d673501,0.118,3
6014314ae378481403f01e86,-0.268,3
615db8621a77715a3f2e6b54,0.336,3
608bb6544e29801f4cac1c2d,-0.484,5
61720e04849f1568c2f3e999,-0.221,5
5e9dd814910d621387801b01,1.235,3
5f8b031f5f71b109548721bd,-0.449,2
615c43b800752a4f3d0fd1f0,-0.356,4
5b6dada03ce3ab0001fd077c,0.396,4
5fb3d4024e5665000a941d9d,0.35,2
5fda8761cffa3b71e6d684bf,-0.256,5
611fce73e0a46ebc8e4b90a5,-0.238,4
61123b66dae2d7c959c7ff31,-0.648,3
609ab970bcff69957427445d,-0.202,0
610afb895c8cef9f6ec1ac6a,-0.199,4
61465149835949882116b8c4,0.257,2
608c349d8e7f57e8f84d3a27,-0.73,5
5dee6f4d3b1c9450c5d126fc,0.011,4
5e68d8b2a042a7000d529490,0.125,2
6113a568434313758954bb53,-0.227,4
604a3c8ec261d2fa6ac242c3,-0.35,4
5f89c22268e5fe0009834636,-0.054,3
61322612510b85268a0c4b63,0.12,2
5ed6d66c4ddb96153b704550,-0.671,5
