PROLIFIC_PID,d_score,o_score
5df76aff2d2185502504d15c,-0.021,3
5f11ccbc1a1a2c08b4a99efb,-1.012,5
5ef698a927c8ea38d5bcc192,-0.445,2
5c0fde85d86a170001faa55a,-0.542,5
5c7c3909042bf900012ab4d1,0.148,3
5d8346167ed176001888204d,-0.251,4
5ea718879d28c80bf38bcb7f,0.456,3
613d091096ca434d703f77c5,-0.159,5
5c39af407aa30a0001ffac91,0.294,1
60f5a332d13bb868d7724c52,-0.031,2
615e2e6bb4b4ab6fa6f6086f,0.376,4
612fe64ec0e4e3b001e553ef,-0.333,4
5bef1e56c19fcd0001cdf4c7,0.59,4
60ecadbc339c0f0e49a9c370,-0.065,4
6166e78051425fa22de68491,-0.388,3
5f8f1d38e25d2b1306f8e554,0.733,3
5dcbea3588381e87f60cb202,-0.487,4
608539cd54e4230bbaaf4959,0.39,4
5f8eed755fcafb0baa531301,0.116,3
6076dfb3ec881562b02b03a7,0.145,3
609e866bea124d8bae2e1ce8,-0.098,4
60199014a4f7250bea248b6d,0.356,2
605c984fb45a5c4f390a8c6b,0.254,4
6082f09379b513197ffeb54e,-0.44,3
5d39dd63c49dae00016065c7,-0.074,5
60a44015d0ff9f3d81a1a1c8,0.301,5
5ebc3cc7adb5e706b8021deb,-0.217,4
60c939c438c389b49847c08b,0.151,5
5d70ec2138ac7e00012f817b,-1.051,5
5ecd600061398f0bffb5ccef,0.521,5
6024c1edf9b0e11f13c59cbd,-0.341,5
6145dddfa6fcfd396e1f4f1a,0.072,1
5ef36b13c358120b8508ab5d,0.335,2
605663e5147a7b66e6853a0b,-0.838,4
60bd04a3749e1ca47e54d3e1,-0.13,2
5f285902166da3151b01faf2,-0.43,2
6134fe6f036b9de4fb216cb2,-0.321,4
5f0471a92ec97b6d1aec7739,0.259,4
61071bc6d5e086fc27f57884,0.031,2
60fd945c307626b8b4d4e4dc,-0.006,0
5f03e27b71331161cf1f7f76,-0.551,0
60b3576258dd0303232cb158,0.357,2
616b2703143d4550968777b8,0.03,5
5f33ead9400eee2403448c32,-0.551,3
5e85fb52694b68049c112544,0.577,1
5f20247996215b06459cdfff,0.246,5
5f6132f075b3fa0ac649fd3c,-0.563,5
60aabff11bad269f664ccbc7,-0.192,4
5fb680f7e13f87000aa59a9a,-0.658,4
5e92f26b444572122fdfe44d,0.195,5
611cf2fd04c64ae9781b55e5,0.494,3
612820047346933da8342f74,-0.55,5
5f27df9a9858eb0008fd7aa3,-0.252,1
61641b8573a9dcd29ba9d87b,0.082,2
612ccc537fd00ae8b3e8b95f,0.295,4
