participant	af1:1	af1:2	af1:3	af1:4	af1:5	af1:6	af1:7	af1:8	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	att0:1	att0:2	att0:3	att0:4	att1:1	att1:2	att1:3	att1:4	testexperiment:1	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.d7c79bcb-ae52-4c4e-ad84-ace44cc679c7.txt	1	1	2	1	1	1	1	1	1	2	2	2	2	5	4	1	2	4	3	5	3	iat.2022-06-17-1204.data.d7c79bcb-ae52-4c4e-ad84-ace44cc679c7.txt	5f27df9a9858eb0008fd7aa3	628b823c2fe262fcba0309de	62ac4f80011c39c07a30ecd3	2022-06-17-11-55	2022-06-17-12-04	9
s.52740c2a-d17a-4b3c-bbef-3816c2cac25d.txt	1	1	4	2	1	1	1	1	1	1	1	1	2	3	4	2	2	4	3	5	2	iat.2022-06-16-2023.data.52740c2a-d17a-4b3c-bbef-3816c2cac25d.txt	5ebc3cc7adb5e706b8021deb	628b823c2fe262fcba0309de	62ab72a59282f4662a0142a9	2022-06-16-20-13	2022-06-16-20-23	10
s.77021a65-6362-4ea8-9268-c192afb0a1ca.txt	1	4	5	5	4	1	4	5	1	1	1	2	2	5	5	2	2	5	4	2	2	iat.2022-06-16-1539.data.77021a65-6362-4ea8-9268-c192afb0a1ca.txt	60aabff11bad269f664ccbc7	628b823c2fe262fcba0309de	62ab308bfa7cdb4152b3b7d5	2022-06-16-15-31	2022-06-16-15-39	8
s.5309ce33-2e63-4b72-814e-10987109b86f.txt	4	4	4	1	2	1	4	4	1	1	1	1	2	4	4	2	2	5	2	4	2	iat.2022-06-15-1935.data.5309ce33-2e63-4b72-814e-10987109b86f.txt	6134fe6f036b9de4fb216cb2	628b823c2fe262fcba0309de	62aa16ca32f5835bd110ab59	2022-06-15-19-28	2022-06-15-19-35	7
s.438a5497-009c-4181-9c1b-127f4bc2a589.txt	2	2	4	3	2	2	2	2	1	1	1	1	1	4	4	2	1	5	1	5	4	iat.2022-06-15-1840.data.438a5497-009c-4181-9c1b-127f4bc2a589.txt	5f6132f075b3fa0ac649fd3c	628b823c2fe262fcba0309de	62aa094f45cf793457b2b29e	2022-06-15-18-31	2022-06-15-18-40	9
s.2ef360e8-8f51-4285-aa87-a3261b419024.txt	2	2	5	4	3	2	1	1	1	1	1	2	2	2	2	1	3	4	4	3	2	iat.2022-06-13-1459.data.2ef360e8-8f51-4285-aa87-a3261b419024.txt	6076dfb3ec881562b02b03a7	628b823c2fe262fcba0309de	62a730ef16dd01a0727ffba7	2022-06-13-14-43	2022-06-13-14-59	16
s.1b6e6168-62e2-4151-8b78-c434a28411a6.txt	3	3	5	4	4	1	2	2	1	1	1	1	1	5	5	4	3	4	2	4	2	iat.2022-06-13-0240.data.1b6e6168-62e2-4151-8b78-c434a28411a6.txt	612820047346933da8342f74	628b823c2fe262fcba0309de	62a685976784e72a75ecdadf	2022-06-13-02-32	2022-06-13-02-40	8
s.71f0abd7-e542-429c-a8d5-f2460552d139.txt	3	4	4	5	4	2	4	2	1	1	1	2	2	4	5	4	3	3	3	3	3	iat.2022-06-12-2205.data.71f0abd7-e542-429c-a8d5-f2460552d139.txt	5f33ead9400eee2403448c32	628b823c2fe262fcba0309de	62a6453e5839131097b41674	2022-06-12-21-58	2022-06-12-22-05	7
s.1779691a-9d34-4eec-a750-a0e134637241.txt	2	4	5	5	3	1	1	2	1	2	2	2	2	5	5	1	1	3	3	3	1	iat.2022-06-12-1948.data.1779691a-9d34-4eec-a750-a0e134637241.txt	60ecadbc339c0f0e49a9c370	628b823c2fe262fcba0309de	62a624b543a05f11bf7dd725	2022-06-12-19-39	2022-06-12-19-48	9
s.9e731e07-6304-4a35-b860-5a8b89728c9b.txt	1	1	4	4	1	1	1	1	2	2	2	2	2	5	4	2	2	4	2	4	2	iat.2022-06-12-1609.data.9e731e07-6304-4a35-b860-5a8b89728c9b.txt	60fd945c307626b8b4d4e4dc	628b823c2fe262fcba0309de	62a5f1a2795d2f4804557128	2022-06-12-16-01	2022-06-12-16-09	8
s.da46b258-e08d-4517-b4b1-1000fdfc8d84.txt	1	3	5	3	1	1	4	2	1	1	1	1	1	5	5	5	2	3	3	3	3	iat.2022-06-12-1313.data.da46b258-e08d-4517-b4b1-1000fdfc8d84.txt	616b2703143d4550968777b8	628b823c2fe262fcba0309de	62a5c881c25c00f26c5cc756	2022-06-12-13-05	2022-06-12-13-13	8
s.f8eece82-96aa-4397-b127-5d2ea720c614.txt	2	5	5	4	2	2	3	3	1	1	1	1	1	4	4	3	3	4	2	4	3	iat.2022-06-11-2345.data.f8eece82-96aa-4397-b127-5d2ea720c614.txt	5d39dd63c49dae00016065c7	628b823c2fe262fcba0309de	62a50af8cd3d9ca5e03b7bb7	2022-06-11-23-37	2022-06-11-23-45	8
s.82a3fc56-9ec8-4b57-9aa3-993032b39c10.txt	2	2	5	4	2	1	1	2	1	1	1	1	2	4	5	2	4	4	3	3	2	iat.2022-06-11-2151.data.82a3fc56-9ec8-4b57-9aa3-993032b39c10.txt	5f0471a92ec97b6d1aec7739	628b823c2fe262fcba0309de	62a4f06194b6e721b3e8871e	2022-06-11-21-43	2022-06-11-21-51	8
s.a189a64b-09f3-4f91-8485-29ec7d8e1fd7.txt	4	4	5	4	1	1	3	3	1	1	1	1	1	4	5	3	2	4	2	5	2	iat.2022-06-11-2004.data.a189a64b-09f3-4f91-8485-29ec7d8e1fd7.txt	5f20247996215b06459cdfff	628b823c2fe262fcba0309de	62a4d7203fd52cd1b0b4f601	2022-06-11-19-55	2022-06-11-20-04	9
s.47fa70d9-445d-419e-972f-41b08cc48d5b.txt	1	2	5	4	3	1	1	2	1	1	1	1	1	5	5	1	1	5	2	3	1	iat.2022-06-11-1847.data.47fa70d9-445d-419e-972f-41b08cc48d5b.txt	60a44015d0ff9f3d81a1a1c8	628b823c2fe262fcba0309de	62a4c51b7afa197387daae03	2022-06-11-18-38	2022-06-11-18-47	9
s.a5211a0e-8fbc-47da-a7d1-937536adb820.txt	3	3	4	4	3	2	2	3	1	1	1	1	2	4	4	4	4	3	3	3	2	iat.2022-06-11-1807.data.a5211a0e-8fbc-47da-a7d1-937536adb820.txt	5f285902166da3151b01faf2	628b823c2fe262fcba0309de	62a4bb7f64d5836b36931561	2022-06-11-17-58	2022-06-11-18-07	9
s.622b6e13-4068-4777-9504-86891b6ed4fa.txt	2	2	2	2	2	3	4	3	1	1	2	2	2	3	2	3	3	3	2	3	3	iat.2022-06-11-1659.data.622b6e13-4068-4777-9504-86891b6ed4fa.txt	5c0fde85d86a170001faa55a	628b823c2fe262fcba0309de	62a4ac301344ce95072d4c0f	2022-06-11-16-52	2022-06-11-16-59	7
s.306fd743-4675-4dcb-b04f-3e8b037a0cf7.txt	2	3	4	4	4	1	1	2	1	1	1	1	1	4	4	3	2	4	3	4	2	iat.2022-06-11-1557.data.306fd743-4675-4dcb-b04f-3e8b037a0cf7.txt	60c939c438c389b49847c08b	628b823c2fe262fcba0309de	62a49d321804c7cf51ed5cb2	2022-06-11-15-49	2022-06-11-15-57	8
s.ae75cd5a-7953-4684-87af-7d49f5aac595.txt	1	1	4	4	1	1	1	1	1	1	2	2	2	4	2	1	1	4	2	2	2	iat.2022-06-11-1536.data.ae75cd5a-7953-4684-87af-7d49f5aac595.txt	60b3576258dd0303232cb158	628b823c2fe262fcba0309de	62a49826b84a0074f4c4d017	2022-06-11-15-27	2022-06-11-15-36	9
s.f8c16825-6ad6-4d71-a702-682576b0f6cc.txt	1	3	4	3	3	1	1	1	1	1	2	2	2	5	4	2	2	3	2	3	2	iat.2022-06-11-1506.data.f8c16825-6ad6-4d71-a702-682576b0f6cc.txt	5ef698a927c8ea38d5bcc192	628b823c2fe262fcba0309de	62a4912f5707447d3a44fcf4	2022-06-11-14-57	2022-06-11-15-06	9
s.cdcf25b2-e357-4d7e-9a93-2cb0f719c8b9.txt	2	2	5	4	1	1	1	3	1	1	1	2	2	4	4	2	3	2	3	4	1	iat.2022-06-11-1456.data.cdcf25b2-e357-4d7e-9a93-2cb0f719c8b9.txt	61071bc6d5e086fc27f57884	628b823c2fe262fcba0309de	62a48eeeee0cec6ff02d4bef	2022-06-11-14-47	2022-06-11-14-56	9
s.c44076f8-b1b8-4bf1-9f73-aae83c04847b.txt	4	3	5	3	3	2	4	4	1	1	1	1	1	4	5	3	3	3	3	3	1	iat.2022-06-11-1454.data.c44076f8-b1b8-4bf1-9f73-aae83c04847b.txt	605c984fb45a5c4f390a8c6b	628b823c2fe262fcba0309de	62a48d5ee9a9863320a958e4	2022-06-11-14-46	2022-06-11-14-54	8
s.c00d4bb5-fe30-4f5b-9a76-940021a5cb54.txt	1	2	4	4	1	1	1	2	1	1	2	2	2	2	4	2	2	3	3	4	2	iat.2022-06-11-1446.data.c00d4bb5-fe30-4f5b-9a76-940021a5cb54.txt	60bd04a3749e1ca47e54d3e1	628b823c2fe262fcba0309de	62a48b19775884c4247c10f5	2022-06-11-14-39	2022-06-11-14-46	7
