participant	af1:1	af1:2	af1:3	af1:4	af1:5	af1:6	af1:7	af1:8	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	att0:1	att0:2	att0:3	att0:4	att1:1	att1:2	att1:3	att1:4	testexperiment:1	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.dcee0b33-98f4-4e95-978f-0745e5f5f98e.txt	2	4	4	3	4	1	2	2	1	1	1	1	2	4	4	2	2	4	1	5	2	iat.2022-07-25-1658.data.dcee0b33-98f4-4e95-978f-0745e5f5f98e.txt	5da839f66f11e500123e30c7	62d91d8a8acf42b997a53e67	62dead3fad16f11d141bd439	2022-07-25-16-48	2022-07-25-16-58	10
s.c11efc0c-5c54-466e-b297-bf147b0b4bb7.txt	1	2	5	2	2	1	3	3	1	1	1	1	1	2	4	2	2	4	2	5	1	iat.2022-07-25-1905.data.c11efc0c-5c54-466e-b297-bf147b0b4bb7.txt	608c349d8e7f57e8f84d3a27	62d91d8a8acf42b997a53e67	62decb2e74ed48f752d8d6fd	2022-07-25-18-57	2022-07-25-19-05	8
s.a4bbbe3e-7a19-4479-ac92-638f6bd0b785.txt	4	4	5	5	3	1	4	5	1	1	1	2	2	5	4	2	1	3	3	3	2	iat.2022-07-25-1802.data.a4bbbe3e-7a19-4479-ac92-638f6bd0b785.txt	5dee6f4d3b1c9450c5d126fc	62d91d8a8acf42b997a53e67	62debbbe1c656d07a80ed229	2022-07-25-17-50	2022-07-25-18-02	12
s.6064c535-ddac-4055-a0c3-23370f855467.txt	1	2	4	4	2	1	1	2	1	1	1	2	2	4	4	4	2	4	2	5	1	iat.2022-07-25-1527.data.6064c535-ddac-4055-a0c3-23370f855467.txt	610afb895c8cef9f6ec1ac6a	62d91d8a8acf42b997a53e67	62de978ce7de00725d1bd436	2022-07-25-15-16	2022-07-25-15-27	11
s.1db68ab5-9998-4635-bec1-60238365e0ff.txt	2	3	5	3	1	1	1	2	1	1	1	2	2	4	4	2	2	4	1	4	3	iat.2022-07-25-1710.data.1db68ab5-9998-4635-bec1-60238365e0ff.txt	58f50400f4ce600001016db5	62d91d8a8acf42b997a53e67	62deb00f32ff9438bb02811e	2022-07-25-17-01	2022-07-25-17-10	9
s.e19a1e04-941e-4511-805a-d709d4f9d342.txt	3	4	4	4	3	1	1	3	1	1	1	2	2	5	4	2	3	3	3	4	2	iat.2022-07-25-1522.data.e19a1e04-941e-4511-805a-d709d4f9d342.txt	5f444f41d9255617e1ba10ff	62d91d8a8acf42b997a53e67	62de9769e990d0b8ebf1afa2	2022-07-25-15-15	2022-07-25-15-22	7
s.9decdfac-9fe4-483b-86be-c5419fb6c8e9.txt	1	4	5	4	4	1	1	4	1	1	1	1	2	5	5	5	5	3	3	3	3	iat.2022-08-02-0550.data.9decdfac-9fe4-483b-86be-c5419fb6c8e9.txt	609ab970bcff69957427445d	62d91d8a8acf42b997a53e67	62e89d14af7491ed7b99e5f2	2022-08-02-05-42	2022-08-02-05-50	8
s.d5833866-1f90-4a22-8f0d-17aa3e74d0a5.txt	1	4	5	4	3	1	1	2	1	1	1	1	2	4	5	3	3	5	2	4	2	iat.2022-07-25-1538.data.d5833866-1f90-4a22-8f0d-17aa3e74d0a5.txt	5c4c53b95aa8dc00011b0dce	62d91d8a8acf42b997a53e67	62de9ad8b61e8f731bee17cc	2022-07-25-15-30	2022-07-25-15-38	8
s.4238fc5c-0d52-434a-b3ff-101d9c14ed44.txt	2	5	5	5	4	1	1	1	1	1	1	1	1	4	4	4	3	4	3	4	2	iat.2022-07-25-1534.data.4238fc5c-0d52-434a-b3ff-101d9c14ed44.txt	5e68d8b2a042a7000d529490	62d91d8a8acf42b997a53e67	62de9a028901141621ca0cb4	2022-07-25-15-26	2022-07-25-15-34	8
s.3623ca21-5e21-4f77-995a-0e06e9097ab1.txt	5	4	5	5	4	2	5	4	1	1	1	1	2	4	5	4	3	3	3	3	2	iat.2022-07-25-1848.data.3623ca21-5e21-4f77-995a-0e06e9097ab1.txt	611fce73e0a46ebc8e4b90a5	62d91d8a8acf42b997a53e67	62dec783f5c07f5b6d2bcd2f	2022-07-25-18-40	2022-07-25-18-48	8
