q3:1	q3:2	q3:3	q3:4	q3:5	q3:6	q3:7	q3:8	q4:1	q4:2	q4:3	q4:4	q4:5	q4:6	q4:7	q4:8
3	4	4	3	2	2	4	2	1	1	4	4	3	2	3	4
4	3	3	4	2	2	2	2	2	2	5	5	3	5	3	4
3	3	4	3	2	2	3	1	3	2	4	4	3	4	2	5
4	4	4	5	1	1	2	2	1	1	3	1	4	4	4	4
3	4	3	3	2	2	3	2	2	2	3	3	3	3	3	4
4	4	4	4	2	1	3	2	2	2	4	2	3	2	3	4
4	4	3	3	1	2	1	1	2	1	3	4	3	4	4	5
4	4	4	5	1	1	3	3	1	1	3	1	4	4	4	4
4	3	4	4	2	1	2	4	1	1	2	4	3	4	5	5
3	3	3	3	1	1	2	2	2	1	5	4	2	2	3	4
2	3	3	2	4	3	2	1	2	2	4	4	2	2	2	5
4	4	3	4	1	2	4	1	2	1	5	4	3	3	4	4
4	3	4	4	2	2	2	2	2	2	3	2	3	4	3	4
4	3	3	4	4	4	2	4	4	2	4	4	2	3	3	4
2	2	3	3	2	1	3	2	4	3	4	5	2	4	4	4
5	5	4	4	2	2	2	3	1	1	4	3	4	4	5	5
4	5	5	4	2	2	2	3	2	2	3	4	3	4	4	2
4	3	3	3	2	2	3	1	2	2	4	4	3	3	3	4
4	3	3	4	1	1	2	4	1	1	2	3	3	3	4	4
3	4	3	4	2	2	3	3	3	2	3	4	4	4	4	4
2	2	2	2	3	3	5	4	4	4	4	4	3	2	3	2
4	4	3	3	2	2	2	2	1	2	2	4	3	3	4	4
2	4	2	4	1	2	4	4	2	2	4	4	4	4	3	4
4	4	4	4	1	1	4	3	1	2	3	2	4	4	4	3
4	4	4	4	2	1	3	2	2	2	3	3	4	4	4	5
4	4	4	3	3	2	2	2	2	2	4	2	2	3	2	4
3	4	3	3	2	3	2	2	2	2	2	4	3	3	3	4
2	2	2	2	3	3	1	2	3	3	4	4	2	2	2	4
4	4	5	4	1	2	3	4	2	1	2	4	4	5	5	4
3	3	4	4	1	2	3	2	3	2	2	3	4	4	4	5
3	4	4	3	2	2	2	2	2	1	2	3	3	3	4	4
4	5	4	3	3	2	2	3	2	3	4	3	2	3	2	4
4	4	5	5	2	1	3	4	4	3	3	2	4	3	3	4
4	3	2	2	3	3	2	1	4	2	2	4	2	3	2	4
4	4	2	4	3	2	3	3	3	2	4	4	3	4	3	5
3	3	3	4	2	2	2	2	3	2	3	3	3	4	4	4
3	3	2	3	2	2	3	2	3	2	3	3	2	4	4	5
4	3	4	4	2	2	3	1	2	1	4	4	3	4	4	4
3	4	5	3	2	2	3	2	3	2	5	4	3	2	3	3
2	2	2	1	4	2	3	2	2	2	3	3	2	3	2	4
4	5	4	4	1	1	4	2	2	1	3	2	5	4	4	4
4	3	3	4	2	2	2	1	2	2	3	4	3	4	4	4
3	3	4	4	2	2	4	2	2	2	3	4	4	4	4	4
4	4	4	4	2	2	2	2	2	2	3	4	3	4	4	4
3	3	3	4	2	2	2	2	3	3	4	4	2	2	3	4
4	4	4	4	2	2	2	2	2	2	2	2	3	4	3	4
2	2	2	2	3	4	4	1	4	2	4	5	2	2	2	5
4	3	3	3	3	3	2	2	3	2	4	3	3	2	3	4
1	2	2	2	3	4	2	2	4	3	4	4	2	2	1	4
3	1	2	3	2	2	4	1	3	3	3	4	2	2	3	4
4	4	3	4	2	2	3	4	3	2	3	3	3	4	3	4
3	2	1	3	2	2	2	1	2	2	2	4	2	2	3	4
4	4	4	4	2	2	1	3	2	1	4	3	4	4	4	4
3	3	3	3	2	2	3	1	2	1	4	5	3	3	3	5
4	4	3	4	2	2	2	1	2	2	3	4	4	4	4	4
4	4	4	4	2	2	2	2	2	2	2	2	3	3	4	4
4	3	4	4	2	1	2	1	1	1	2	4	3	4	5	4
3	4	3	4	1	1	2	4	2	2	3	2	3	3	3	2
3	2	2	3	1	1	3	1	1	1	4	4	1	3	1	5
2	3	2	2	2	3	4	2	4	2	4	4	2	2	2	4
4	4	3	4	2	2	2	2	2	2	2	3	3	2	4	3
4	4	4	4	1	1	2	1	2	1	3	3	3	4	4	4
4	4	3	4	1	1	2	1	2	1	3	3	3	4	3	5
3	3	4	4	1	2	2	4	1	1	3	1	4	3	4	4
3	3	3	2	3	3	3	3	3	2	2	3	3	3	2	2
4	3	4	4	2	2	3	4	2	2	4	3	3	4	4	4
2	2	1	3	3	4	3	2	4	4	4	4	2	2	2	3
4	4	3	5	1	1	4	3	2	1	3	1	4	4	4	4
4	4	4	3	1	1	3	3	2	2	4	2	3	3	3	4
4	4	4	3	2	3	2	1	2	1	2	3	3	3	3	5
3	4	3	2	4	4	4	3	3	3	4	4	2	2	2	4
3	2	3	4	1	2	4	1	2	2	4	4	3	2	2	5
3	4	3	3	2	3	3	2	2	2	3	4	3	4	3	5
2	2	2	2	4	4	2	2	3	3	4	4	2	2	2	4
5	4	4	4	1	1	3	4	1	1	3	3	4	4	4	4
3	3	3	4	2	3	2	1	1	1	2	2	3	3	4	4
2	2	2	4	2	2	2	2	3	3	2	4	3	2	4	4
