genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,"Midfield General,Linda Lewis",Reach Out (feat. Linda Lewis),39,GBBMQ0000047,https://www.youtube.com/watch?v=jpCL16NIM3o,35308
psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,Argaman,Lsding Camping,10,IL4240900033,https://www.youtube.com/watch?v=mKn6KXyPmkU,4942
electro-industrial,spotify:playlist:0ZVLhUadGf0IkCOecGIgtf,Mentallo & The Fixer,Decomposed - Trampled,17,BEC261217511,https://www.youtube.com/watch?v=8RhJN0MVvi8,19637
japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,"Hijokaidan,Jun Togawa",肉屋のように,9,JPTE01508230,https://www.youtube.com/watch?v=bLX92qmYpfc,103428
death industrial,spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6,Puce Mary,Red Desert,19,DEX261800486,https://www.youtube.com/watch?v=aKRANFv_S60,16244
electro-industrial,spotify:playlist:0ZVLhUadGf0IkCOecGIgtf,Necro Facility,Do You Feel the Same,15,SEYFX0900101,https://www.youtube.com/watch?v=3XAYm2ZH0V8,42781
big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,"Krafty Kuts,Chali 2na",Hands High,34,GBFEK1700397,https://www.youtube.com/watch?v=c9JFNWYp9Lo,15433
death industrial,spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6,Genocide Organ,Klaus Barbie,14,DEKB31010003,https://www.youtube.com/watch?v=xTl_3TzRMi8,9017
ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,DJ Skip,Seven nation army - Po popo po po pooo po edit,25,ITB221200227,https://www.youtube.com/watch?v=LFqJWGNEavc,6586
ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,Coon Daddy,Big Baller,23,US-AQB-05-00278,https://www.youtube.com/watch?v=Gwue_jwuXno,16741
minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,Sven Väth,Dein Schweiss,36,DEQ200001221,https://www.youtube.com/watch?v=KE8sSjHwiQ4,58708
psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,"Globular,Geoglyph",The Observatory,22,QZDA82021946,https://www.youtube.com/watch?v=XmyyB2oObo0,4820
big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,Elite Force,The Law of Life,24,DEZ651004378,https://www.youtube.com/watch?v=FWUluByxDEk,8186
big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,Renegade Soundwave,Renegade Soundwave - Leftfield Remix;1994,21,GBAJH9300076,https://www.youtube.com/watch?v=QLjQRgBuN9M,63327
acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,Robert Hood,Nothing Stops Detroit,39,GBLTF2000095,https://www.youtube.com/watch?v=uPwekONnCmY,25994
minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,"DJ Hell,Klaus Nomi",Cold Song 2013 - Remodeled,32,DEN401330001,https://www.youtube.com/watch?v=5hMqZWHOW7M,7709
japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,Melt-Banana,"Shield for Your Eyes, A Beast in the Well on Your Hand",34,US36X0400002,https://www.youtube.com/watch?v=cFwCpw8AQBg,68222
minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,"Michael Mayer,Miss Kittin",Voyage Interieur,31,DEG931600898,https://www.youtube.com/watch?v=lDW9Xq1jTXo,23791
acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,Galaxy 2 Galaxy,Jupiter Jazz,37,USGUM0710511,https://www.youtube.com/watch?v=Xw55wqO5yzU,66904
big beat,spotify:playlist:370tEYE4lZui1vrufdq7xy,Clockwork Voodoo Freaks,Deaf Mick's Throwdown,12,US3C69910180,https://www.youtube.com/watch?v=Hq3sqc-rvpk,12526
ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,B.Calloway,Direct Maniac,17,USGUM0910024,https://www.youtube.com/watch?v=vpghU66CVfo,17635
acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,The Todd Terry Project,Weekend (Extended Club Version),34,USWR39800049,https://www.youtube.com/watch?v=eEj-lkwuYqw,19022
electroacoustic improvisation,spotify:playlist:2jGo6vr6swUBugWe7n2bzj,Oren Ambarchi,Corkscrew,15,GBJYX0561201,https://www.youtube.com/watch?v=PD7A_wYnyck,6765
minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,Deadbeat,Organ in the Attic Sings the Blues,26,DEU671402139,https://www.youtube.com/watch?v=1TACEtybZaw,17426
electroacoustic improvisation,spotify:playlist:2jGo6vr6swUBugWe7n2bzj,"Fennesz,Ryuichi Sakamoto",haru,11,JPB600675703,https://www.youtube.com/watch?v=cvy4A9PwSnw,64699
ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,Waxmaster,Party Starter #2,12,US-AQB-05-00177,https://www.youtube.com/watch?v=55vkDJJHEOI,5220
japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,Merzbow,Woodpecker No. 2,21,US2649693702,https://www.youtube.com/watch?v=BX1Ozr_CchM,21133
ghettotech,spotify:playlist:0zturCsng8jMo3Pf2EXufv,Jammin the House Gerald,Pump That Shit Up - Original Mix,10,DEK601504041,https://www.youtube.com/watch?v=AwQp4_uKzQk,17611
minimal techno,spotify:playlist:68uxlFAvnITCyQs0U8qr6n,"Alex Under,Richie Hawtin",El Encuentro - Richie Hawtin Edit,16,CAM260980045,https://www.youtube.com/watch?v=Qd0Hc7YCnus,29246
minimal wave,spotify:playlist:61AMB6Oddyl1hEUBd9A9sc,Human Puppets,Things Change Fast,8,TCABS1377279,https://www.youtube.com/watch?v=VwohiTiQrH8,11153
acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,Golden Girls,Kinetic - Frank De Wulf Remix,29,BEU921100030,https://www.youtube.com/watch?v=lmBPr7hlIwM,61188
psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,Bluetech,Somatic Serenade,30,TCABW1433510,https://www.youtube.com/watch?v=GXRMKYmxHPo,25442
japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,Zeni Geva,Dead Sun Rising,14,US2B20413502,https://www.youtube.com/watch?v=lfAEBcPwHKo,42473
japanoise,spotify:playlist:5EVoGPRq1fYIcLhFCUiydQ,"Hijokaidan,Jun Togawa",好き好き大好き,12,JPTE01602700,https://www.youtube.com/watch?v=qB-ncBFUIps,9016
psydub,spotify:playlist:2MtDhoqYmegOviJeKyoCxv,ATYYA,Aurical,31,USQY51530653,https://www.youtube.com/watch?v=Qao0HwK9K-Q,107729
ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,"Mooncat,Fak Scratch",Ready Or Not - Original Mix,34,USLZJ1429410,https://www.youtube.com/watch?v=FCtOPYDJv8A,44284
ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,"Run Tingz Cru,Solo Banton,Lady Fyah",Took My Breath,32,GBQZQ1200697,https://www.youtube.com/watch?v=kgm3MAW0Fbs,55445
bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,Crying,Well and Spring,38,QMCE71301187,https://www.youtube.com/watch?v=3vnfHx5XGnU,24244
minimal wave,spotify:playlist:61AMB6Oddyl1hEUBd9A9sc,Section 25,Hit,32,GBHBR0400110,https://www.youtube.com/watch?v=7GJxO-mBnoY,32352
acid house,spotify:playlist:17buGP6jTSgqYoV4NwkMdX,Konzept,Hypnautic Beats,12,USA370634401,https://www.youtube.com/watch?v=sdY8PxZeAj0,16213
uk funky,spotify:playlist:4lK54lu5nxD3iMlCXMIQwx,Meleka,Miss Me,25,GBF9T1000001,https://www.youtube.com/watch?v=A5wo333toos,11685
glitch,spotify:playlist:27smuYGRZZl9q0BCwda8en,Jan Jelinek,Tendency,37,DELA21100117,https://www.youtube.com/watch?v=MGuFHcC76Hk,37470
uk funky,spotify:playlist:4lK54lu5nxD3iMlCXMIQwx,"Footsteps,Big Zeeks",Bad Breed (Afro/Caro) [feat. Big Zeeks],27,GBYCZ2000044,https://www.youtube.com/watch?v=U4zHj5olY6g,8369
minimal wave,spotify:playlist:61AMB6Oddyl1hEUBd9A9sc,Krisma,C.Rock,28,IT8007703290,https://www.youtube.com/watch?v=ma0gZAgIkfw,50138
bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,Dat Politics,Dizzy Zip,26,DEK590663105,https://www.youtube.com/watch?v=SUXx7hfgT2o,41400
deconstructed club,spotify:playlist:3uwJeZkSKE219OiTdOV0b0,"Dinamarca,La Favi",Sana Sana,35,SE2XW2001002,https://www.youtube.com/watch?v=y1-59Y9qqIQ,14070
ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,Igit,My Home,31,FR9W11305320,https://www.youtube.com/watch?v=8Ai8gK5bQPw,49796
bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,Starship Amazing,Baby Still Too Fat,23,QZFZ41958919,https://www.youtube.com/watch?v=f_Pa8xQ6wwA,108857
ragga jungle,spotify:playlist:1w8TCr2tpXhXXHLmYS5gkv,Bombah,Ain't Nothin,13,USN351100012,https://www.youtube.com/watch?v=C___JX7YBag,10842
deconstructed club,spotify:playlist:3uwJeZkSKE219OiTdOV0b0,Fatima Al Qadiri,Medieval Femme,32,GBLZC2100005,https://www.youtube.com/watch?v=l-2g6vxmtJE,7019
bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,cTrix,DX Heaven,19,QMBZ91318313,https://www.youtube.com/watch?v=X9L60BUux1k,10123
electroclash,spotify:playlist:2lvWEEJ981sRN5GQzBvayl,Dirty Princess,Jugar al Revés,9,ushm21900788,https://www.youtube.com/watch?v=_4ATRV0_Oic,4699
glitch,spotify:playlist:27smuYGRZZl9q0BCwda8en,Frank Bretschneider,A soft throbbing of time,19,DEAS90700171,https://www.youtube.com/watch?v=dQvQtIQQm_Q,5535
bitpop,spotify:playlist:5QV9DIzmUFiUiyBGWWAuGc,George & Jonathan,Jamn,14,TCABU1416499,https://www.youtube.com/watch?v=cNMGMV1gHso,39112
acid jazz,spotify:playlist:7vyHBfRfPOT8Sxy87P5osJ,Marc Moulin,Into the Dark,38,BEI010111301,https://www.youtube.com/watch?v=00y8OskYY2U,51667
