yt_id,genre,maingenre,artist_name,track_name,track_pop,viewCount,track_isrc,bpm,dance,timbre,instr,voice,yt_link,pl_id,emb_path,emb_path_2,feat_path
dQvQtIQQm_Q,glitch,IDM,Frank Bretschneider,A soft throbbing of time,19,5535,DEAS90700171,89.9288101196,1.78117096424,0.999998807907,0.941129267216,0.54395788908,https://www.youtube.com/watch?v=dQvQtIQQm_Q,spotify:playlist:27smuYGRZZl9q0BCwda8en,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/dQvQtIQQm_Q.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/dQvQtIQQm_Q.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/dQvQtIQQm_Q.json
jRR3c8SgKAI,glitch,IDM,Grischa Lichtenberger,0515 Beginning 2 Skl (Last Work),12,30733,USLS51819019,148.305358887,0.935150325298,0.999767005444,0.123696632683,0.577303886414,https://www.youtube.com/watch?v=jRR3c8SgKAI,spotify:playlist:27smuYGRZZl9q0BCwda8en,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/jRR3c8SgKAI.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/jRR3c8SgKAI.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/jRR3c8SgKAI.json
cvy4A9PwSnw,glitch,IDM,"Fennesz,Ryuichi Sakamoto",haru,11,64699,JPB600675703,140.023132324,0.965868771076,0.995693683624,0.985224783421,0.574796438217,https://www.youtube.com/watch?v=cvy4A9PwSnw,spotify:playlist:27smuYGRZZl9q0BCwda8en,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/cvy4A9PwSnw.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/cvy4A9PwSnw.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/cvy4A9PwSnw.json
syVAhf6T_Qo,intelligent dance music,IDM,Monolake,Reminiscence,30,33024,USI4R0401057,129.92137146,1.98832976818,0.999764084816,0.862152636051,0.766174316406,https://www.youtube.com/watch?v=syVAhf6T_Qo,spotify:playlist:3P9lEX8RzKkD3hNVvnoMc5,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/syVAhf6T_Qo.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/syVAhf6T_Qo.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/syVAhf6T_Qo.json
SAgoFSUOz1Q,intelligent dance music,IDM,Richard H. Kirk,The Feeling (Of Warmth And Beauty),27,18929,GBBPW9400012,123.587585449,1.34313547611,0.931900322437,0.445435702801,0.678288161755,https://www.youtube.com/watch?v=SAgoFSUOz1Q,spotify:playlist:3P9lEX8RzKkD3hNVvnoMc5,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/SAgoFSUOz1Q.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/SAgoFSUOz1Q.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/SAgoFSUOz1Q.json
Bn5lgHQ9MPg,intelligent dance music,IDM,Musicology,Telefone 529,24,25546,GBBPW9200031,125.862167358,1.43889641762,0.386713713408,0.985357761383,0.735338032246,https://www.youtube.com/watch?v=Bn5lgHQ9MPg,spotify:playlist:3P9lEX8RzKkD3hNVvnoMc5,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/Bn5lgHQ9MPg.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/Bn5lgHQ9MPg.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/Bn5lgHQ9MPg.json
CXgDhghNedk,intelligent dance music,IDM,"Funkstörung,Sensational",I Does It,16,53493,DEMM11600005,143.961349487,1.2368491888,0.872778832912,0.372977048159,0.77919203043,https://www.youtube.com/watch?v=CXgDhghNedk,spotify:playlist:3P9lEX8RzKkD3hNVvnoMc5,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/CXgDhghNedk.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/CXgDhghNedk.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/CXgDhghNedk.json
xiaH7mJ2R1Q,intelligent dance music,IDM,Nav Katze,夕なぎ,12,18442,JPVI02100620,114.155944824,1.33633840084,0.00594735471532,0.510380029678,0.813786447048,https://www.youtube.com/watch?v=xiaH7mJ2R1Q,spotify:playlist:3P9lEX8RzKkD3hNVvnoMc5,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/xiaH7mJ2R1Q.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/xiaH7mJ2R1Q.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/xiaH7mJ2R1Q.json
SktR2LK6Iig,ambient,ambient,36,Orphans of the Sky,38,25687,QZ4JJ1735385,90.0785217285,0.886712431908,0.987460255623,1.0,0.54239988327,https://www.youtube.com/watch?v=SktR2LK6Iig,spotify:playlist:6CIyPj34GTpAkNwoWToLNT,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/SktR2LK6Iig.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/SktR2LK6Iig.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/SktR2LK6Iig.json
5g2AGGI_FLM,ambient,ambient,Mary Lattimore,Sometimes He's In My Dreams,37,24059,US2J72007004,165.720077515,0.992040336132,0.998944342136,0.999998748302,0.828476369381,https://www.youtube.com/watch?v=5g2AGGI_FLM,spotify:playlist:6CIyPj34GTpAkNwoWToLNT,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/5g2AGGI_FLM.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/5g2AGGI_FLM.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/5g2AGGI_FLM.json
onxaSSE2oEU,ambient,ambient,Rudy Adrian,Message of Dolphins,35,4552,USSP51626016,117.2628479,0.867177426815,0.999362528324,0.974682748318,0.348285704851,https://www.youtube.com/watch?v=onxaSSE2oEU,spotify:playlist:6CIyPj34GTpAkNwoWToLNT,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/onxaSSE2oEU.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/onxaSSE2oEU.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/onxaSSE2oEU.json
4eJIPotVIoI,ambient,ambient,Pan-American,The Cloud Room,34,27664,USNCB1317501,103.121681213,1.00572669506,0.959110438824,0.981676220894,0.839614391327,https://www.youtube.com/watch?v=4eJIPotVIoI,spotify:playlist:6CIyPj34GTpAkNwoWToLNT,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/4eJIPotVIoI.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/4eJIPotVIoI.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/4eJIPotVIoI.json
U58uG8O0bYg,ambient,ambient,Masayoshi Fujita,Tears of Unicorn,32,105943,GBWZD1507501,103.228187561,1.03045737743,0.977911770344,0.999999880791,0.580541133881,https://www.youtube.com/watch?v=U58uG8O0bYg,spotify:playlist:6CIyPj34GTpAkNwoWToLNT,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/U58uG8O0bYg.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/U58uG8O0bYg.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/U58uG8O0bYg.json
LdGWq06fB34,ambient industrial,ambient,Thomas Köner,Teimo (Schluss),30,7855,GBJSN1007007,99.8160171509,0.873954236507,0.999968767166,1.0,0.491060972214,https://www.youtube.com/watch?v=LdGWq06fB34,spotify:playlist:6SjDZKf8ke13f8E3v1XAQ8,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/LdGWq06fB34.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/LdGWq06fB34.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/LdGWq06fB34.json
PfQBGtjjiA0,ambient industrial,ambient,Muslimgauze,I Shall Sing Until My Land Is Free,19,70465,QMQQH1301431,94.0198440552,1.24209725857,0.997935533524,0.539953410625,0.410492628813,https://www.youtube.com/watch?v=PfQBGtjjiA0,spotify:playlist:6SjDZKf8ke13f8E3v1XAQ8,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/PfQBGtjjiA0.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/PfQBGtjjiA0.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/PfQBGtjjiA0.json
K7p5JNRFVwU,dark ambient,ambient,Hexentanz,Mark of the Witch,8,13000,USME31100731,108.731735229,1.19629645348,0.99644523859,0.638069987297,0.714156866074,https://www.youtube.com/watch?v=K7p5JNRFVwU,spotify:playlist:1mhHpC0idew8lgWQkEJnOL,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/K7p5JNRFVwU.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/K7p5JNRFVwU.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/K7p5JNRFVwU.json
