genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
acid house	house	6Au8dwqW17E3rykzOtXzqn	XT_nJzaG6Bo	Kenny Larkin	Tedra	GBBPW9400027	35	3480	https://www.youtube.com/watch?v=XT_nJzaG6Bo
acid house	house	4P9r2nUKC1ZPpCo8K9l194	mLyxQ-kdBDk	DJ Pierre,Chic Loren	I Feel Love - 1979 Disco Club Mix	DEBE71700243	34	31241	https://www.youtube.com/watch?v=mLyxQ-kdBDk
acid house	house	4bHfSfG8nGSsxVerqhyiCM	eEj-lkwuYqw	The Todd Terry Project	Weekend (Extended Club Version)	USWR39800049	36	20434	https://www.youtube.com/watch?v=eEj-lkwuYqw
acid house	house	5SMnHUNB2iBm3rkuoHpIZO	FIuuy4PM7u0	Robert Owens	I'll Be Your Friend - Original Mix (2011 Remastered Version)	GBENT0110211	35	7905	https://www.youtube.com/watch?v=FIuuy4PM7u0
acid house	house	4zaf5qzolYOVprALV0NAZ8	4HcuJUTMFP8	The Garden Of Eden	The Garden of Eden (A Himalayan Song)	GBKPL1259180	29	3502	https://www.youtube.com/watch?v=4HcuJUTMFP8
acid house	house	5gyPh3OsmRVSMLsKuTQQ3k	nk9JkU_hGp4	Mark Imperial	The Love I Lost - Radio Mix	QMFMG1443288	16	2845	https://www.youtube.com/watch?v=nk9JkU_hGp4
acid house	house	6KYvvdTQGzqlR0XCKUbFFp	4KtB8vlvNK8	Aphrohead	In the Dark We Live (Thee Lite) [Dave Clarke Remix]	AUXN20903126	13	6222	https://www.youtube.com/watch?v=4KtB8vlvNK8
acid house	house	2qRaTIxEUx16yZI70DgDSW	Ap0Q0-I0pSc	Furious Frank,Ludwig A.F.	Trip 2 Fantasy - Ludwig A.F. Floor Destruction Mix	NL1MT2000094	27	15942	https://www.youtube.com/watch?v=Ap0Q0-I0pSc
acid house	house	1ssli4kc2BnTNiyiWIeUmG	orHaVIJ581s	Ralphie Dee	Mad As Hell	USZUT9500001	13	17943	https://www.youtube.com/watch?v=orHaVIJ581s
acid house	house	20in5yzly6u3AxrIWUOFiA	3VaEvVWV_nI	Model 500	The Chase - Smooth Mix	BEZ350800002	29	3822	https://www.youtube.com/watch?v=3VaEvVWV_nI
acid techno	techno	7BODv7leIbildKXCtyg8YX	mQzENfJKJvc	Stef Mendesidis	Profiler	UKRXP2100031	33	11634	https://www.youtube.com/watch?v=mQzENfJKJvc
acid techno	techno	2DFNedwh966RE4419Chv1T	97xhFTYKMZA	Clair	I (I Want to Believe)	QM8DG1971381	39	47338	https://www.youtube.com/watch?v=97xhFTYKMZA
acid techno	techno	0XcDiAXPvYyLErphm1Stkz	sjHYyvzMHGc	Tensal	Effect 2	NLCK41033094	22	25095	https://www.youtube.com/watch?v=sjHYyvzMHGc
acid techno	techno	3OjeikArfLgB1eujrOVhwE	c4oxoJ4FvNE	Primal Code	White River	NLCK41050125	26	16738	https://www.youtube.com/watch?v=c4oxoJ4FvNE
acid techno	techno	42jXJUGI3buuImpyQrolKy	NEWnEMmPgp8	Kektex	Lock	USWR30910555	9	16231	https://www.youtube.com/watch?v=NEWnEMmPgp8
acid techno	techno	2TAtmFFQSexZ2bgyCLsXpu	xybnRayWd_A	Acid Junkies	Acid Love Making	NLAX79400936	20	41046	https://www.youtube.com/watch?v=xybnRayWd_A
acid techno	techno	1lZMBisdR0y7OKJf9LUAPj	44Vy_Y8Hxtk	Minimum Syndicat	Acid Trojan III	FR10S2075666	24	13347	https://www.youtube.com/watch?v=44Vy_Y8Hxtk
acid techno	techno	1sFUsde79K9ZATMJbf2GAJ	tDggJ_aznFo	Blicz	Still In Hell	DEY472174894	33	22840	https://www.youtube.com/watch?v=tDggJ_aznFo
acid techno	techno	4u47XK1cctitBOTEnHTtEg	PCdxwzTeKgM	Vincenzo Pizzi	Caronte	CA5KR1938717	13	30848	https://www.youtube.com/watch?v=PCdxwzTeKgM
acid techno	techno	62FJ6MSgPh58hu10Ddjowv	tNqlSkdqcEw	Lou Karsh	Ataraxia	GBMA21818308	18	23525	https://www.youtube.com/watch?v=tNqlSkdqcEw
acid trance	trance	73yIws4bfOjywozSf3w2ds	qXNMjhb9q4E	Union Jack	Water Drums	GBCFW9500034	35	46286	https://www.youtube.com/watch?v=qXNMjhb9q4E
acid trance	trance	6cOZk1T3k0dGtF3bhOsDTQ	d146LKl2ixU	Metal Master	Spectrum	DEE829915940	11	55913	https://www.youtube.com/watch?v=d146LKl2ixU
acid trance	trance	49FrmJ7Bva5zm6kaR1PZDt	xAFdIp7zvgg	Julien Andreas	Sacrifice of Love	UST8K1819553	22	7023	https://www.youtube.com/watch?v=xAFdIp7zvgg
acid trance	trance	0RpD0UNpJoy2F92474Tpf1	GX53BB86IBc	Kinnder	Space Station	USA290350021	19	5995	https://www.youtube.com/watch?v=GX53BB86IBc
acid trance	trance	0AAOWhjXSeBp1aTGf79012	moeIHL3F3PA	Metro Dade,Ramon Tapia	The Andor Voyage - Ramon Tapia Remix	BEN582001189	29	17062	https://www.youtube.com/watch?v=moeIHL3F3PA
acid trance	trance	3hiSJibKGv9vlRClBfF5E7	MG3TTKmJM1k	J-Zbel	Tunnel Vision	QM6P41954452	20	6447	https://www.youtube.com/watch?v=MG3TTKmJM1k
acid trance	trance	1X07jXehs6fYb2VdzuT24H	9qZdX_bTb8o	Marmion	Schöneberg - Marmion Remix	DEL029410005	27	70005	https://www.youtube.com/watch?v=9qZdX_bTb8o
acid trance	trance	4NJSdPQxCDkMxNrphUPmKY	MWZsMuh--hU	Hardfloor	Dadamnphreaknoizphunk? (Dubdope) - mixed	DEQ490700013	33	9164	https://www.youtube.com/watch?v=MWZsMuh--hU
acid trance	trance	0XHHNwy8CsCRJZu62R6HJg	iTVqZk3pb14	Nexus 6,Acrid Abeyance	Ab-Chic - Acrid Abeyance Remix	DEE829800327	11	36937	https://www.youtube.com/watch?v=iTVqZk3pb14
acid trance	trance	4DWuQ3MTpXoM2S1cS9Ze73	a4CbQ8X_ZBc	Legend B,Madwave	Lost In Love - Madwave Remix	DEYI62140014	40	15864	https://www.youtube.com/watch?v=a4CbQ8X_ZBc
acidcore	hardcore	30M7o2JUvYKb8FQZ0xpLTZ	7xvKtDAzCps	Alextrem	Hydrolight	QZ4JJ1745920	17	11839	https://www.youtube.com/watch?v=7xvKtDAzCps
