genre	maingenre	t_id	artist_name	track_name	ISRC	pop
ambient	ambient	6lgDvkxcWNnCefaT2qeJPf	Loscil	Angle of List	USNCB1419111	47
ambient	ambient	0ALo5LHdF3hJiD8WFN770B	William Basinski	Melancholia II	USM5X0800006	52
ambient	ambient	4TrCvd1PrqI14lZb7tEtYo	Stars Of The Lid	A Meaningful Moment Through a Meaning(less) Process	USI4R0607775	52
ambient	ambient	61kOQYIvim1ZUEA66P51br	Chihei Hatakeyama	Forgotten Hill	QM7281907934	51
ambient	ambient	1i8MaQec4fQXj1enX8ZWF4	Tim Hecker	Boreal Kiss Pt. 1	TCABI1218042	49
ambient	ambient	6k9epHaioQVz1PHdgCu3Oj	Steve Roach,Suspended Memories,Jorge Reyes,Suso Saiz	Saguaro	USAKS0600111	40
ambient	ambient	50mwGp3PgKoZldhBvfy2cf	Harold Budd,Brian Eno	Against The Sky - 2005 Digital Remaster	GBAAA0500420	51
ambient	ambient	3i1Krv8CpPqG3o4sSzZrTK	Celer,Forest Management	Indistinguishable from Magic	USA2P1802101	41
ambient	ambient	4RkFfhPe52X9sv5iCl3ixA	Fennesz,Ryuichi Sakamoto	haru	JPB600675703	13
ambient	ambient	3T6hC2yWf0fsUxM7uWXkDn	GAS	Pop 1	DEU671600246	41
ambient	ambient	4IQWc6rhJwpFrRKBLx27X6	Susumu Yokota	Tobiume	JPB531600457	50
ambient	ambient	3wwxIAfuJWjxgzgrQIjARs	36	Orphans of the Sky	QZ4JJ1735385	39
ambient	ambient	6LYfs6v1boQ62a8NxdXYhX	Thomas Köner	Teimo (Schluss)	GBJSN1007007	36
ambient	ambient	1O0DfMYZfuqDoHOZNZgqw6	Robin Guthrie	Some Sort of Paradise	GBLMA0906001	40
ambient	ambient	6Xi8YlrC0eGYuyjnJHWUVR	Taylor Deupree	Unearth	JPB641800003	46
ambient	ambient	2Gvy4DbDM6NQ5rUJDljXz4	Windy & Carl	Forest Trails	QM24S1915609	42
ambient	ambient	2C67U607Ppi4EbogI0ccVb	Pan-American	Het Volk	USI4R0402037	36
ambient	ambient	1D2vuD2SBfeCxfu9ah8nqc	Rafael Anton Irisarri	Moments Descend On My Windowpane	US2J71103309	38
ambient	ambient	5gFsbxI10eCm40nP6GapHi	Roger Eno,Brian Eno	Iris	DEN961702360	54
ambient	ambient	4JT4orneDAvaWkjUTuwShZ	Seefeel,AFX	Time To Find Me - AFX Fast Mix	GBBNZ9300032	40
ambient	ambient	2qvXaAyYLBo6PaP85cb1Xn	The Dead Texan	Aegina Airlines	USI4R0403327	40
ambient	ambient	0cSdWJzO18liElNMCAYCig	Sarah Davachi	Gilded	USCPT1813706	41
ambient	ambient	7uWVu34XKqTFbQOmnRkver	Lawrence English	Watching It Unfold	US23K0900011	36
ambient	ambient	5Jg2SbduiHq0e0EQZiV28D	Robert Rich	Generosity of Solitude, Pt. 1	USSP61202305	32
ambient	ambient	1F7vUCER63VfNzvZKTi2pn	Brian McBride	Overture (For Other Halfs)	USI4R0504154	42
ambient	ambient	7tgSuQZIcBSv8H0fYEZ7K4	Jefre Cantu-Ledesma	Love's Refrain	DEX261600456	38
ambient	ambient	54KPTl41PC7e2yf0oDjtC9	Benoît Pioulard,Zachary Gray	Margin - Zachary Gray Remix	QMDA71385998	40
ambient	ambient	20Fz8vx5wFRAncZt4u37X4	Eluvium	Virga I (ii)	USY6C1934005	47
ambient	ambient	7yQNBiIgh5QpDo4Bzr9ocp	Jon Hassell	Caracas Night September 11, 1975	GB5P57800006	31
ambient	ambient	3ytUgxZj1EYHb8zlk5VKk6	A Winged Victory for the Sullen	Steep Hills of Vicodin Tears	USNCB1115705	45
ambient	ambient	5JVtVJFun3pgNdDlUQlkOm	Laraaji	Introspection (Edit)	GB5P51700168	42
ambient	ambient	6GGiEKWDQbj9PZgLnEKSkQ	Global Communication	8:07	GBARL0300486	37
ambient	ambient	5n1HBXOeeKzEfdlEMJ6Tmm	Roedelius,Arnold Kasar	Black White Felt	DEN961631606	50
ambient	ambient	110ZglRJjuOv0HycM1PLJn	Kyle Bobby Dunn	In Praise of Tears	CAS1A1220303	40
ambient	ambient	5b4oIwtQwzPP9UJMNcJXNP	Michael Stearns	As the Earth Kissed the Moon	USAKS0800079	42
ambient	ambient	4kRL66HfP6pxDCgJclkewR	Erik Wøllo	Ody At Sea	NOSTS1942100	37
ambient	ambient	0FcAIIz4Ti87cFBwyD3iCE	Christina Vantzou	Little Darlin Seize the Sun	USNCB1418609	35
ambient	ambient	2ZrCLJz5UGbJCW2JK2OgkK	Julianna Barwick	Inspirit	GBCFB2000123	50
ambient	ambient	3ehy5UoF8LJfWmJpm4UHOI	Steve Hauschildt	Subtractive Skies	US2J71904602	40
ambient	ambient	083hSYQL8F0UScdHIXDBTN	alva noto,Ryuichi Sakamoto	Monomom	UK6821719525	51
ambient	ambient	1TkEWtBcGGo3iEryzHB7LG	Colleen	Soul Alphabet	USTJ21538706	50
ambient	ambient	0bzf9T9GHY8d6FsWLGQ290	Bing & Ruth	The How of it Sped	GBAFL1600300	47
ambient	ambient	5KIOfWtUEKrxDNi4OnIpg2	Murcof,Vanessa Wagner	Avril 14th (Aphex Twin) - Vanessa Wagner Version	FRT091700069	56
ambient	ambient	3ZLzPbSOw4OfVqa5zyEWCu	Deaf Center	Time Spent	GBJSN1108002	46
ambient	ambient	4dypSibFbWPQVTDSDFlwXQ	Jonn Serrie	Pan Galactic	QM6N21598307	34
ambient	ambient	6B39gfaskjt3HLNY5VXURS	Max Corbacho	Transept Sapphire Glass	ushm91035208	33
ambient	ambient	4iWCvD8yvX4dZgJbCFvn7W	Tomasz Bednarczyk	Saturday Evening	AUYF10810003	31
ambient	ambient	2onjvNGfKSTzj41eO0iB5P	Between Interval	Gravity Core	USSP51616045	37
ambient	ambient	7feFMZxaNV6km5QZAXYyv0	Huerco S.	A Sea Of Love	USYBL1600454	44
ambient	ambient	7JvtQFXJOikRIcyQSr3azz	Abul Mogard	Half Light of Dawn	DEU671501994	40
ambient	ambient	65aOpbmM4eUogQaVEx8fCp	Autechre	Bike	GBBPW9300126	16
ambient	ambient	6RDVwKLpBBEksWdp9jwBlD	Grouper	Poison Tree	ES7120810064	71
ambient	ambient	3OrC3jDxJ7mfsM3RPsmJG2	Hakobune	Shadow On the Lawn	DEBL61152064	37
ambient	ambient	1tlOW6lZKFTSk7jaSIE0Eh	Rudy Adrian	Shelter From The Storm	HKC830004703	39
ambient	ambient	2d2a2ekknp3UrDEBXcHx8N	Alpha Wave Movement	Mapping the Heavens	uscgh0717893	35
ambient	ambient	6Py6ERVoAbMCwQhTatlluh	Jan Jelinek	Tendency	DELA21100117	40
ambient	ambient	2YX1JF6dLBcYr3lAGB351Y	Jeff Pearce	On Silent Paths	ushm91336644	35
ambient	ambient	2IhNMQ2aEeA0Kxh9Uw3tdb	David Helpling,Jon Jenkins	Sun Racer	USSP51390083	36
ambient	ambient	2tfILRi4mc9oCmYGIZrO1l	Alio Die	Horas Tibi Serenas	USI4R1012966	20
ambient	ambient	0DuKfzPUyHNS92DuruNqpK	Kaitlyn Aurelia Smith	Stratus	US78L1614507	45
ambient	ambient	2BQplCyfCnTV5RvDYBz9UB	Mary Lattimore	Sometimes He's In My Dreams	US2J72007004	49
ambient	ambient	2CxBaNFCjYVi0Iv2PpeZDG	Kara-Lis Coverdale	Moments In Love	USA2Z1710790	43
