genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
ambient	ambient	6k9epHaioQVz1PHdgCu3Oj	QaSw4KUd6uA	Steve Roach,Suspended Memories,Jorge Reyes,Suso Saiz	Saguaro	USAKS0600111	40	4349	https://www.youtube.com/watch?v=QaSw4KUd6uA
ambient	ambient	3i1Krv8CpPqG3o4sSzZrTK	4KaRSQoNyrU	Celer,Forest Management	Indistinguishable from Magic	USA2P1802101	41	1266	https://www.youtube.com/watch?v=4KaRSQoNyrU
ambient	ambient	4RkFfhPe52X9sv5iCl3ixA	cvy4A9PwSnw	Fennesz,Ryuichi Sakamoto	haru	JPB600675703	13	67853	https://www.youtube.com/watch?v=cvy4A9PwSnw
ambient	ambient	3T6hC2yWf0fsUxM7uWXkDn	NB7lTEEji08	GAS	Pop 1	DEU671600246	41	159768	https://www.youtube.com/watch?v=NB7lTEEji08
ambient	ambient	3wwxIAfuJWjxgzgrQIjARs	SktR2LK6Iig	36	Orphans of the Sky	QZ4JJ1735385	39	28235	https://www.youtube.com/watch?v=SktR2LK6Iig
ambient	ambient	6LYfs6v1boQ62a8NxdXYhX	wHJPn_xdwdM	Thomas Köner	Teimo (Schluss)	GBJSN1007007	36	1534	https://www.youtube.com/watch?v=wHJPn_xdwdM
ambient	ambient	1O0DfMYZfuqDoHOZNZgqw6	u8eWfKi5KDU	Robin Guthrie	Some Sort of Paradise	GBLMA0906001	40	23446	https://www.youtube.com/watch?v=u8eWfKi5KDU
ambient	ambient	2C67U607Ppi4EbogI0ccVb	RsnNVr5n9yk	Pan-American	Het Volk	USI4R0402037	36	52876	https://www.youtube.com/watch?v=RsnNVr5n9yk
ambient	ambient	1D2vuD2SBfeCxfu9ah8nqc	xaBbIgtleso	Rafael Anton Irisarri	Moments Descend On My Windowpane	US2J71103309	38	62975	https://www.youtube.com/watch?v=xaBbIgtleso
ambient	ambient	4JT4orneDAvaWkjUTuwShZ	c9cIQb5x7OA	Seefeel,AFX	Time To Find Me - AFX Fast Mix	GBBNZ9300032	40	32113	https://www.youtube.com/watch?v=c9cIQb5x7OA
ambient	ambient	2qvXaAyYLBo6PaP85cb1Xn	V-6H0DOujx8	The Dead Texan	Aegina Airlines	USI4R0403327	40	53398	https://www.youtube.com/watch?v=V-6H0DOujx8
ambient	ambient	0cSdWJzO18liElNMCAYCig	G7sNIFWnO6A	Sarah Davachi	Gilded	USCPT1813706	41	3164	https://www.youtube.com/watch?v=G7sNIFWnO6A
ambient	ambient	7uWVu34XKqTFbQOmnRkver	0e0UMFYx96M	Lawrence English	Watching It Unfold	US23K0900011	36	46157	https://www.youtube.com/watch?v=0e0UMFYx96M
ambient	ambient	5Jg2SbduiHq0e0EQZiV28D	PoMmxLSMj3I	Robert Rich	Generosity of Solitude, Pt. 1	USSP61202305	32	18699	https://www.youtube.com/watch?v=PoMmxLSMj3I
ambient	ambient	7tgSuQZIcBSv8H0fYEZ7K4	07d_coPy7Ws	Jefre Cantu-Ledesma	Love's Refrain	DEX261600456	38	25139	https://www.youtube.com/watch?v=07d_coPy7Ws
ambient	ambient	54KPTl41PC7e2yf0oDjtC9	-qj-LoWuc5o	Benoît Pioulard,Zachary Gray	Margin - Zachary Gray Remix	QMDA71385998	40	7419	https://www.youtube.com/watch?v=-qj-LoWuc5o
ambient	ambient	7yQNBiIgh5QpDo4Bzr9ocp	K0sjEnihSdI	Jon Hassell	Caracas Night September 11, 1975	GB5P57800006	31	1285	https://www.youtube.com/watch?v=K0sjEnihSdI
ambient	ambient	6GGiEKWDQbj9PZgLnEKSkQ	jFx-Rx6PfCw	Global Communication	8:07	GBARL0300486	37	144283	https://www.youtube.com/watch?v=jFx-Rx6PfCw
ambient	ambient	110ZglRJjuOv0HycM1PLJn	5UKBN7cXgUU	Kyle Bobby Dunn	In Praise of Tears	CAS1A1220303	40	2064	https://www.youtube.com/watch?v=5UKBN7cXgUU
ambient	ambient	4kRL66HfP6pxDCgJclkewR	rBw8rKXHDcM	Erik Wøllo	Ody At Sea	NOSTS1942100	37	5302	https://www.youtube.com/watch?v=rBw8rKXHDcM
ambient	ambient	0FcAIIz4Ti87cFBwyD3iCE	Nyz90AWkjvI	Christina Vantzou	Little Darlin Seize the Sun	USNCB1418609	35	1652	https://www.youtube.com/watch?v=Nyz90AWkjvI
ambient	ambient	3ehy5UoF8LJfWmJpm4UHOI	HrycygWeYDc	Steve Hauschildt	Subtractive Skies	US2J71904602	40	9321	https://www.youtube.com/watch?v=HrycygWeYDc
ambient	ambient	4dypSibFbWPQVTDSDFlwXQ	WpCYyylfdj8	Jonn Serrie	Pan Galactic	QM6N21598307	34	17194	https://www.youtube.com/watch?v=WpCYyylfdj8
ambient	ambient	6B39gfaskjt3HLNY5VXURS	gPQo9ovZOrs	Max Corbacho	Transept Sapphire Glass	ushm91035208	33	8951	https://www.youtube.com/watch?v=gPQo9ovZOrs
ambient	ambient	4iWCvD8yvX4dZgJbCFvn7W	lMeYXjiL4m0	Tomasz Bednarczyk	Saturday Evening	AUYF10810003	31	2811	https://www.youtube.com/watch?v=lMeYXjiL4m0
ambient	ambient	2onjvNGfKSTzj41eO0iB5P	1reVRB5cNfA	Between Interval	Gravity Core	USSP51616045	37	2731	https://www.youtube.com/watch?v=1reVRB5cNfA
ambient	ambient	7JvtQFXJOikRIcyQSr3azz	9uf8hFbm0Ls	Abul Mogard	Half Light of Dawn	DEU671501994	40	83663	https://www.youtube.com/watch?v=9uf8hFbm0Ls
ambient	ambient	65aOpbmM4eUogQaVEx8fCp	qkTJTf7Yvk8	Autechre	Bike	GBBPW9300126	16	315257	https://www.youtube.com/watch?v=qkTJTf7Yvk8
ambient	ambient	3OrC3jDxJ7mfsM3RPsmJG2	N7UCG7zwE4w	Hakobune	Shadow On the Lawn	DEBL61152064	37	24886	https://www.youtube.com/watch?v=N7UCG7zwE4w
ambient	ambient	1tlOW6lZKFTSk7jaSIE0Eh	gZMn90QUpr8	Rudy Adrian	Shelter From The Storm	HKC830004703	39	7386	https://www.youtube.com/watch?v=gZMn90QUpr8
ambient	ambient	2d2a2ekknp3UrDEBXcHx8N	ATNetBM_EbU	Alpha Wave Movement	Mapping the Heavens	uscgh0717893	35	1332	https://www.youtube.com/watch?v=ATNetBM_EbU
ambient	ambient	6Py6ERVoAbMCwQhTatlluh	MGuFHcC76Hk	Jan Jelinek	Tendency	DELA21100117	40	45523	https://www.youtube.com/watch?v=MGuFHcC76Hk
ambient	ambient	2YX1JF6dLBcYr3lAGB351Y	b-aa5TgOS1Q	Jeff Pearce	On Silent Paths	ushm91336644	35	2614	https://www.youtube.com/watch?v=b-aa5TgOS1Q
ambient	ambient	2IhNMQ2aEeA0Kxh9Uw3tdb	Z2fneV8lfdc	David Helpling,Jon Jenkins	Sun Racer	USSP51390083	36	32626	https://www.youtube.com/watch?v=Z2fneV8lfdc
ambient	ambient	2tfILRi4mc9oCmYGIZrO1l	t5WXkldufG4	Alio Die	Horas Tibi Serenas	USI4R1012966	20	2491	https://www.youtube.com/watch?v=t5WXkldufG4
ambient	ambient	3Bp2uDUuNqTN75L24ajiJt	detPGU8mkYQ	Pausal	Lapsing	QZHN92163185	35	6684	https://www.youtube.com/watch?v=detPGU8mkYQ
ambient	ambient	47H54R4owpPvkummlApq88	FrtmGE-yH3Y	Machinefabriek	Zucht 2	QM2PV1526477	40	1677	https://www.youtube.com/watch?v=FrtmGE-yH3Y
ambient	ambient	3P2BVkLWRakevBZtgMfImN	EC8FdUM-7gg	Thom Brennan	Afterglow	ushm20505359	34	3659	https://www.youtube.com/watch?v=EC8FdUM-7gg
ambient	ambient	4AAhqh1Y8OYmhhWZboXO0G	gsYjBqXmHDk	Richard Bone	Unknown Waters	ushm80851324	31	958	https://www.youtube.com/watch?v=gsYjBqXmHDk
ambient	ambient	0SQNWusYCDQGj7yh6720x3	_2fZfVNZ7fc	Bvdub	With Broken Wings and Giants Tall	QZNWU2159308	33	13364	https://www.youtube.com/watch?v=_2fZfVNZ7fc
ambient	ambient	7dHMwweyAAzdK1d5FFHAPS	aI8FhvArLrk	Olan Mill	Pine	USA4D1067205	39	2246	https://www.youtube.com/watch?v=aI8FhvArLrk
ambient	ambient	5YfTPW6DEdcLJEFdYXNxoS	AGurXp4yue0	Vladislav Delay	Ranta - 2020 Remaster	DEX262000002	30	1657	https://www.youtube.com/watch?v=AGurXp4yue0
ambient	ambient	4KvUvF2p3dwxYCbq4LswDA	96Ec-swB4Ik	Darshan Ambient	The Dreamer Slept But Did Not Dream	US4HD1000012	37	15143	https://www.youtube.com/watch?v=96Ec-swB4Ik
