sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0MhSXW23RIEgJKimiW8md1	AleXa,American Song Contest	Wonderland (From “American Song Contest”)	USAT22202243	36	k-pop	0.137	0.661	0.0	0.0369	99.978	0.605	0.935
3Vh3dm6eQy1XIat6B7X3uy	Claudia	Više nisam tvoja	HRB901401341	14		0.529	0.831	0.0	0.0454	94.981	0.789	0.806
03eDTrY5Du2qTMdaK96tQ6	Yuko	GALYNA GULIALA	UAKK11800226	27	ukrainian pop,ukrainian rock	0.269	0.637	0.0123	0.0671	90.074	0.26	0.706
27XgJt6sHfBnrXjwVT5UXH	AleXa,American Song Contest	Wonderland (From “American Song Contest”)	USAT22202243	17	k-pop	0.137	0.661	0.0	0.0369	99.978	0.605	0.935
40GvodmfNYwbj5wwXBq7XT	Hurricane	Loco Loco - Accoustic	BAA052113123	22	turbo folk	0.476	0.755	0.0	0.0903	104.88	0.748	0.754
09OQrxZY1FsffQgfw9ySqS	Maria Ermakova	Wiatry	AEA0Q1948654	3		0.028	0.578	0.00181	0.0571	109.962	0.234	0.87
0eloleAuMWo33Vr595h8W7	Надежда Мисякова	Сокал	RUA1H1769810	8		0.1	0.503	0.0	0.0292	95.011	0.355	0.699
43UejonUIN69O8NNAFRu5X	Alvan,Ahez	Fulenn	FR9W12204047	63	eurovision,new french touch	0.0127	0.742	3.41e-06	0.116	120.036	0.48	0.837
0tOKpglJb9cza4WdTtxsv7	We Are Domi	Lights Off - ESC Version	FR2X42252810	64	eurovision	0.176	0.584	1.19e-05	0.0715	125.982	0.576	0.766
00rUx6vPpy0XbJer8BcoRn	Chanel	SloMo - Eurovision's Dancebreak Edit	ES94B2200106	70		0.0682	0.756	0.00595	0.112	104.985	0.618	0.698
4yw0T9seujC0m7GFlVa4Iv	Taylor Acorn	Left You Instead	QZNJW2166068	42	contemporary country,country pop	0.0349	0.543	0.0	0.0424	91.98	0.583	0.88
6z7mOTf4O20AApGsTNn7fC	MOD SUN,Avril Lavigne	Flames (feat. Avril Lavigne)	USA2P1951240	60	minnesota hip hop,pop punk,pop rap	0.00316	0.54	0.0	0.0336	84.903	0.194	0.631
3g9WN7RqklJeRUZpixLTZu	Belinda	If We Were	USEL10600290	25	dance pop,latin,latin arena pop,latin pop,mexican pop,pop,post-teen pop	0.00224	0.555	2.74e-06	0.0664	126.986	0.584	0.939
