sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
31KIwwNAwdihyMJhHqpmOS	Rino Castel,Smashito	PARATA BLACK	QZMEQ2178222	27	emo trap italiana	0.00185	0.582	0.0	0.0429	109.975	0.471	0.924
3g0mEQx3NTanacLseoP0Gw	The Chainsmokers,ILLENIUM,Lennon Stella	Takeaway	USQX91901353	76	dance pop,edm,electropop,pop,pop dance,tropical house	0.126	0.528	0.0	0.0324	100.1	0.351	0.511
6xGruZOHLs39ZbVccQTuPZ	Joji	Glimpse of Us	USWB12201789	93	alternative r&b,viral pop	0.891	0.44	4.78e-06	0.0531	169.914	0.268	0.317
1EYqDZG3dgbecqv9JS2lUd	Lexi Jayde	drunk text me	QZAKB2154216	52	alt z,social media pop	0.292	0.532	0.0	0.0307	80.039	0.225	0.492
7GLBqDKAJLCLIsj2GEDkSw	LANY	nobody else	GBUM72003713	65	la pop,pop	0.744	0.569	0.0	0.043	151.659	0.313	0.291
709F3MwiVvLD0LQXeKs5Cz	ZAYN	Vibez	USRC12003149	62	dance pop,electropop,pop,post-teen pop,uk pop	0.242	0.635	0.0285	0.116	96.855	0.34	0.659
6gPPoRYJwCsoB2VVdPJfmo	David Kushner	Miserable Man	QZD5H2000385	74	gen z singer-songwriter	0.926	0.632	7.5e-05	0.0346	109.981	0.307	0.349
1bd4heB3yXc5iFTPoOMPuo	Tate McRae	slower	USRC12100025	67	pop	0.595	0.589	0.0	0.0419	104.991	0.21	0.364
5rWjy4ys7LdinaFKZQBlZh	Rhys Lewis	Be Your Man	GBUM71905126	56	australian pop,neo mellow,pop,uk pop	0.217	0.517	0.0	0.0492	170.049	0.478	0.525
6LL5S3DGrUJ6cZRuDefguP	Giveon	Lie Again	USSM12107670	74	pop,r&b	0.434	0.431	7.02e-05	0.0325	62.627	0.165	0.349
2Ms8MDDtYBw7M3K5F3EqPX	Mimi Webb	Dumb Love	USSM12100771	66	alt z,dance pop,gen z singer-songwriter,pop,uk pop	0.0296	0.569	0.0	0.0302	76.96	0.175	0.422
5rZlwNFl01HqLWBQGryKSm	Pop Smoke,Lil Tjay	Mood Swings (feat. Lil Tjay)	USUM72013632	79	brooklyn drill	0.487	0.48	0.0	0.368	179.798	0.269	0.602
0FrHyYxj92dg4qIu8BO30l	Blake Rose	Ordinary People	GBKPL2006467	60	alt z,australian electropop,australian pop,electropop,pop	0.899	0.363	2.34e-05	0.0358	71.024	0.176	0.12
72PFP54TZ9Tpj9dYQcb46D	Arizona Zervas	NIGHTRIDER	USSM12003994	67	pop rap,rhode island rap	0.0876	0.66	0.0	0.0469	145.948	0.862	0.755
5WtfUKzXircvW8l5aaVZWT	Julia Michaels,Niall Horan	What A Time (feat. Niall Horan)	USUM71900686	82	alt z,dance pop,electropop,pop,post-teen pop	0.662	0.516	0.0	0.0302	132.861	0.386	0.467
042Sl6Mn83JHyLEqdK7uI0	Billie Eilish	Your Power	USUM72105934	78	art pop,electropop,pop	0.932	0.632	0.000476	0.0801	129.642	0.208	0.284
219slQu3ALbTSAe9P22hvE	Jaymes Young	Happiest Year	USAT21903715	77	modern rock,pop	0.885	0.502	0.0	0.0486	112.881	0.355	0.168
1Srt81FTalOhRw7t7l8Yh8	Lauv	Tattoos Together	GBKPL1969293	67	dance pop,electropop,pop	0.00575	0.862	7.49e-06	0.0723	122.961	0.598	0.4
7sq2z9oX2S0CvgTqCZ0ko4	Celeste	Strange	GBUM71904248	72	british soul	0.934	0.286	6.94e-06	0.0397	70.743	0.112	0.0847
6N22FZs2ZhPBYi3b9XPajV	Labrinth	Still Don't Know My Name	USQX91902507	80	indie poptimism,pop	0.471	0.316	0.262	0.117	89.643	0.313	0.63
2EBnvom1dTybtm75a3Xh1T	Tate McRae	feel like shit	USRC12103112	75	pop	0.516	0.508	0.0	0.0473	144.962	0.161	0.378
6SUmUChLj2O3dPc0TXJ0ir	Dylan Dunlap	If That's Alright	QZHZ41984202	63	la pop	0.356	0.507	0.0	0.0279	137.87	0.333	0.455
2Q3QRjA8MjzqpFaIkFludb	keshi	right here	USUM71918711	68	chill r&b,pop	0.0839	0.597	0.0	0.077	160.05	0.319	0.496
04sN26COy28wTXYj3dMoiZ	Billie Eilish	Bored	USUM71702756	84	art pop,electropop,pop	0.896	0.614	0.00239	0.0478	119.959	0.112	0.318
3V0nnQhqvbE3JmiDdnzQFQ	Noah Cyrus,Leon Bridges	July (feat. Leon Bridges)	USQX91903078	72	dance pop,pop	0.853	0.708	0.0	0.0424	72.5	0.362	0.211
0awuNCj9gwJEM0seER22DW	Clinton Kane	CHICKEN TENDIES	USSM12100758	73	alt z,gen z singer-songwriter,pop	0.358	0.57	0.0	0.147	100.087	0.568	0.689
6isTQfKXhNO3EyJd9mSxx8	Lil Nas X,Miley Cyrus	AM I DREAMING (feat. Miley Cyrus)	USSM12105739	65	lgbtq+ hip hop,pop	0.77	0.629	2.92e-06	0.0258	94.103	0.209	0.445
07GHJiyxs9nbOUXuo33DEp	nowifi	Sundown	DEAX12000119	55		0.613	0.767	0.909	0.0444	117.988	0.507	0.596
3myTDuQpybTyyOaqd4k1hH	Isaac Lewis	Movement	QMEZE1948807	29	bedroom soul,indie r&b	0.959	0.468	1.53e-06	0.0351	69.864	0.217	0.107
3CvplxSl3Mj1rNlw4IaBr2	Bathe	Bolero	QZLBC2100356	44	alternative r&b,chill r&b,experimental r&b,indie r&b	0.644	0.734	0.0164	0.0424	107.454	0.471	0.473
0wzK2m89t22oOayHYfV75U	¿Téo?	Part of Me	TCADW1816804	51	alternative r&b,indie soul,latinx alternative	0.0358	0.637	0.465	0.035	95.006	0.313	0.566
3UR9JqoEaQc2qhsMTDgOiz	Yeek	Lumbago	GBKPL2139461	45	alternative r&b,hyperpop,indie r&b	0.512	0.547	0.00705	0.0275	87.448	0.166	0.586
2AZZR6MFR0vYJ4GmqS02Rs	Tora	When Will I Learn	FR2X42160934	44	indie soul,vapor soul	0.842	0.671	0.305	0.0287	90.012	0.187	0.399
5jzjDJEQR1tMdX5ipOGlGZ	Two Another	Another Night	UKFZE2000101	51	indie soul,vapor soul	0.188	0.664	0.0219	0.0324	90.096	0.374	0.332
7uOv9seTuAbjuGBcgGXHuJ	Monogem	Paraíso	GBKPL2000412	41	indie poptimism,metropopolis	0.614	0.652	0.0505	0.0419	84.994	0.402	0.453
22oQPSvQ7WHaBKKBcPaiRR	alayna	Glowing	QZFZ22037353	49	alternative r&b,chill r&b,indie electropop,indie r&b	0.525	0.542	9.07e-06	0.0654	74.939	0.319	0.545
6ltcWFTmyRQbSNCNOTK0uM	Emotional Oranges,Biig Piig	Body & Soul (feat. Biig Piig)	USUM72101974	54	alternative r&b	0.203	0.845	0.0111	0.0362	103.973	0.748	0.506
4WD5ovQp9LjEXerMzGOPDs	Tora	Inundated	FR2X42160930	42	indie soul,vapor soul	0.867	0.658	0.00845	0.0509	92.786	0.261	0.455
3QVOw80vrsAV8UpNMUKI3G	Wet,Blood Orange	Bound (with Blood Orange)	GBKPL2159125	61	alternative r&b,art pop,brooklyn indie,electropop,indie electropop,indie pop,indie poptimism,indie soul,nyc pop,vapor soul	0.172	0.629	0.133	0.0785	191.706	0.27	0.515
4ieunk0Q7WADWYoZMSolwG	Sofía Valdés	Handful of Water	USWB12003928	41	gen z singer-songwriter	0.327	0.631	0.0	0.0648	209.06	0.753	0.503
1gQEoPjAEEWYgkojcZAFr9	Dreamer Isioma	Hard	QZ93L2001843	59	alternative r&b,indie r&b,modern indie pop	0.26	0.676	4.84e-05	0.0728	89.007	0.43	0.554
7luOSOrHYssQ1usmsFbc66	Nathanie	Who Do I Call?	QZNWY2038263	43		0.208	0.774	0.13	0.0694	79.958	0.705	0.552
1bGKPg4WtESPEP3IjFscJq	Genevieve Stokes	Surface Tension	USAT22100102	54	indie pop,modern alternative pop	0.773	0.759	0.00134	0.044	123.049	0.595	0.517
07AbRgKmb5KfppwtZbZqDI	LEISURE	Slipping Away	CAN112000214	64	auckland indie,indie soul,vapor soul	0.42	0.693	0.141	0.041	77.968	0.774	0.547
6Rzk7iqpQRMZALiC9yr9Zr	Xadi,Nina Cobham	Mañana	QZK6F2095008	49	london rap	0.887	0.62	0.0	0.157	99.795	0.313	0.451
4FF0tP9mkoiFKLiXFeXm0q	spill tab	Cotton Candy	QZ93L2035536	57	indie pop,indie r&b,modern indie pop	0.662	0.686	8.93e-06	0.234	96.889	0.569	0.456
0gdWSthwNMJ4TPVya8b0bh	RICEWINE	Already Gone	GX38U2174243	48	indie garage rock,melbourne indie	0.227	0.699	3.45e-05	0.0286	109.966	0.63	0.508
4nQA0aaMk4gQdSIkVPpKtX	Stckman	Gira - Demo	QZ4JJ1941307	40		0.778	0.711	9.57e-05	0.15	119.994	0.484	0.466
780be5fB7823aHG06mwTat	Bakermat	Baianá	NLE801900440	68	deep euro house,deep tropical house,minimal tech house,pop dance,tropical house	0.000754	0.587	0.668	0.0709	121.964	0.466	0.722
6I3Evf3nNhxFA5lSM37Y0v	Sticky Fingers	How To Fly	AUUR11300049	68	australian reggae fusion,reggae fusion	0.161	0.677	0.00178	0.0971	151.065	0.536	0.644
14b20SHI9J12BY3vYuKxRx	Canova	Brexit	IT8U11601402	32	italian indie pop,milan indie	0.0731	0.397	0.0	0.0371	80.998	0.464	0.814
1HWkMkgqKMLqsAPRh0KNmE	Christian Leave	Your Life Your Time	USWB12004903	63	indie pop,modern rock,pop	0.000292	0.532	0.0191	0.0321	159.034	0.868	0.815
1SROkecJm15YebtURAhBm2	Frah Quintale	8 miliardi di persone	ITNTP1700002	41	italian hip hop,italian indie pop,milan indie	0.546	0.63	0.0	0.269	130.527	0.38	0.824
48Nh04YgUsE4b5V3y9sIdD	Calcutta 	Gaetano	ITL771502057	56	italian indie pop,rome indie	0.752	0.609	3.96e-06	0.0287	139.908	0.254	0.483
0rKtyWc8bvkriBthvHKY8d	Joji	SLOW DANCING IN THE DARK	ZZOPM1800452	84	alternative r&b,viral pop	0.544	0.515	0.00598	0.0261	88.964	0.284	0.479
55t50rvCe2kUSrpVVwPw4I	Izzamuzzic,Asenssia	Calm Me Down	FR10S2054742	44	kazakh pop,russian electronic	0.939	0.415	0.769	0.0357	123.947	0.0359	0.334
