sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
00J0WjM3SM4RY6cWBLQo1O	Melendi	Kisiera yo saber	ES5080600741	32	spanish pop,spanish pop rock	0.371	0.758	2.74e-06	0.193	104.005	0.912	0.929
0tLM6PyfBdNXoagGVzzTCK	Amaral	El artista del alambre	ES66A0800015	16	cantautor,latin arena pop,latin pop,musica aragonesa,spanish pop,spanish pop rock,spanish rock	0.0572	0.568	2.88e-06	0.0256	135.837	0.429	0.53
70K6LEw3nWaf7EPY2LBHVL	Amaral	Alerta	ES66A0800010	15	cantautor,latin arena pop,latin pop,musica aragonesa,spanish pop,spanish pop rock,spanish rock	0.123	0.673	1.25e-06	0.0376	79.985	0.67	0.468
4FXSEdmbbeGmPIQltH27C8	La Oreja de Van Gogh	Pop	ES5110002869	52	latin,latin arena pop,latin pop,mexican pop,spanish pop,spanish pop rock	0.023	0.719	0.0	0.0284	133.58	0.751	0.788
4XfX4gnuhGbWO5UQx4I61V	Chocolate Remix	Ni una Menos	ARD8P1700005	34	rap latina	0.24	0.711	1.68e-06	0.235	194.021	0.728	0.865
6RKXE9x62aGG85LemFyuN4	Amaral	Como Un Martillo En La Pared	ES66A1100110	18	cantautor,latin arena pop,latin pop,musica aragonesa,spanish pop,spanish pop rock,spanish rock	0.0307	0.623	0.00028	0.038	115.995	0.518	0.913
3dYD57lRAUcMHufyqn9GcI	Hozier	Take Me To Church	IEACJ1300031	80	irish singer-songwriter,modern rock,pop	0.634	0.566	0.0	0.0464	128.945	0.437	0.664
09wIlgp2ovcAj2qZFx5bJd	Guitarricadelafuente	Nacido Pa Ganar	GBMA21901447	53	spanish pop	0.796	0.545	6.55e-06	0.034	146.229	0.466	0.346
0uZlRjzkOt55eV5KpvwdlO	JOSEPH	Blood & Tears	USATO2100187	7	folk-pop,indie folk,new americana,stomp and holler	0.327	0.5	0.0	0.0322	97.645	0.424	0.459
6WCeFNVAXUtNczb7lqLiZU	Elton John	Crocodile Rock	GBAMB7200001	70	glam rock,mellow gold,piano rock	0.0263	0.621	1.51e-05	0.0344	149.91	0.968	0.8
1VB4sadHjFcFklHcZuoROi	Estopa	Como Camarón	ES5029900147	63	rumba,spanish pop	0.216	0.499	9.74e-06	0.0564	140.4	0.843	0.721
0AFJOoRQFlo10Vm1p6BRjg	Gabinete Caligari	El calor del amor en un bar	ES5018602000	49	cantautor,spanish new wave,spanish pop	0.45	0.583	0.0	0.031	129.25	0.973	0.879
2QjOHCTQ1Jl3zawyYOpxh6	The Neighbourhood	Sweater Weather	USSM11300080	87	modern alternative rock,modern rock,pop,shimmer pop	0.0495	0.612	0.0177	0.0336	124.053	0.398	0.807
3DYm7Lp7Fc3xf6WSCq5ntE	Amaral	Cómo hablar	ES5030000043	56	cantautor,latin arena pop,latin pop,musica aragonesa,spanish pop,spanish pop rock,spanish rock	0.0356	0.606	1.74e-06	0.0291	117.357	0.626	0.775
6RNXQpAqystQnZ9SyzAwdN	Amaral	Hoy Es El Principio Del Final	ES66A1100111	25	cantautor,latin arena pop,latin pop,musica aragonesa,spanish pop,spanish pop rock,spanish rock	0.0784	0.329	7.79e-05	0.0378	128.807	0.208	0.697
