sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2wmeu73TjkhGH4gOPUDXbg	We In Music	Grandlife	QZS642102330	17		0.000178	0.66	0.0076	0.0667	124.421	0.546	0.834
69h6RxXT2NubmPCD70tOw5	Le Knight Club	Santa Claus	QZS642116443	21	filter house	8.22e-05	0.906	0.893	0.143	130.505	0.788	0.783
7Mah0tOKhS7jqN3ozdwkSF	Frenssu	Change the Plan	QZS632186857	18		0.00472	0.738	0.855	0.162	130.005	0.832	0.929
5oHjMJSUMZlDSVgkQyRASO	The Eternals	Wrath of Zeus	QZS672141627	16		0.00102	0.84	0.408	0.295	123.962	0.506	0.817
10tvCMl9U8uOVqxtWD4WWZ	Thomas Bangalter	Spinal Scratch	QZS662127192	29	filter house	0.0297	0.732	0.874	0.0623	130.468	0.82	0.906
4CleTVckv87HCeEpj05X52	Calema,Soraia Ramos,Pérola,Manecas Costa	Kua Buaru	PT0GP2100077	53	musica santomense,portuguese pop	0.206	0.714	4.77e-05	0.0534	109.939	0.809	0.753
5kr0kja5gbZAaT7w3TGKts	Calema	Te Amo	PT0GP2000049	52	musica santomense,portuguese pop	0.241	0.522	0.00016	0.136	126.202	0.482	0.688
2STjevFqj4eOC5mv4Mskck	Saad Lamjarred,Calema	Enty Hayaty	PT0GP2100082	42	arab pop,moroccan pop,rif,shaabi	0.0772	0.692	0.0	0.0441	94.972	0.483	0.716
4XTl02cmvjPPoQcCDwINvy	Girl Talk	Set It Off	USTC60839375	39	mashup,pittsburgh indie	0.0426	0.592	2.12e-05	0.228	102.52	0.438	0.786
4fOFWrYmRUfS9sC9TyOlUb	Girl Talk	What It's All About	USTC60839374	38	mashup,pittsburgh indie	0.0651	0.714	0.0	0.281	90.109	0.764	0.709
1f9qTGnov1fiaEK451GWjG	Girl Talk	Still Here	USTC60839372	40	mashup,pittsburgh indie	0.0899	0.786	0.0	0.293	90.035	0.525	0.699
6GJ9BTsYMQc6BZ8QxogDcw	Girl Talk	Shut The Club Down	USTC60839371	40	mashup,pittsburgh indie	0.0772	0.793	1.24e-06	0.394	165.073	0.726	0.693
2H7dUGXN3yQo7Kze5tNtv9	Soraia Ramos,Calema	O Nosso Amor	PT0GP2000070	39	kizomba,portuguese pop	0.638	0.543	8e-06	0.159	89.826	0.424	0.565
4mkvw5QB7PXhFbE4YxDhpN	Claudio Simonetti,Massimo Morante,Fabio Pignatelli	Tenebre - Originale	ITC048201241	37	horror synth,vintage italian soundtrack	0.113	0.697	0.406	0.0349	116.544	0.844	0.512
0ZsELlDux0wXV54LsxocDm	Camion Bazar	Ylb - Edit	UKACT2132169	34		0.0157	0.658	0.838	0.0472	138.04	0.553	0.681
04uwJ9uQ9C3MhgwP9NACU9	Mouse On Mars,Cavern of Anti-Matter	Fertilized	DEOE81410146	38	deep idm,drill and bass,dusseldorf electronic,dusseldorf indie,german electronica,indie electronica,intelligent dance music,microhouse	0.0596	0.669	0.896	0.0361	128.399	0.827	0.979
2uO4l47QmfnIB5t0w3m5nB	Thomas Bangalter,Guy-Manuel de Homem-Christo,Nile Rodgers,Pharrell Williams,Giulia Mazzoni	Get Lucky - Bonus Track	ITB001600201	3	filter house	0.99	0.441	0.915	0.0378	65.367	0.0719	0.0779
44HdKpwPsJrYNPZ1EaN0C5	Thomas Bangalter	What to do	FRZ811808004	29	filter house	0.000161	0.783	0.156	0.0573	135.929	0.921	0.835
3TYj2ld7j4q4fq7zSMHjqe	Thomas Bangalter	Sangria	FRZ811808003	31	filter house	0.00239	0.338	0.42	0.035	143.077	0.24	0.687
