sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2OfQvGrr83FGpdLA1nAR01	Arc North,Aaron Richards,New Beat Order,Cour	Numb	QZKDK2048194	67	gaming edm,slap house	0.0144	0.659	0.0	0.136	123.95	0.286	0.838
2xbw8jEdJAiiP3VCbOWKvK	Harddope,Protocleus,Edpranz	ABCDEFU	QZKDK2240847	52		0.15	0.762	0.0	0.244	125.038	0.434	0.823
5o1QZzfsboTlxhoAPR36LA	Arc North,Meric Again,Fallen Roses	Enemy	QZKDK2252297	59	gaming edm,slap house	0.0514	0.622	0.0	0.201	96.309	0.192	0.856
388Qk5MTCyVQ6eYlX4UF8o	Alfons,Arc North	Knight Rider	QZS642242679	55	melbourne bounce international	0.0121	0.589	0.000152	0.064	132.049	0.359	0.883
3LEgGAl9zLcQWGTp7ptqtQ	Jonas Blue,Why Don't We	Don’t Wake Me Up	GBUM72107793	76	dance pop,edm,pop,pop dance,tropical house,uk dance	0.222	0.621	0.000194	0.0337	124.015	0.426	0.747
7DwcBgdzqhFJltEaV1XF81	Post Malone,Roddy Ricch	Cooped Up (with Roddy Ricch)	USUM72208020	85	dfw rap,melodic rap,rap	0.038	0.669	0.0	0.153	93.923	0.377	0.773
2Yv6DfAVcjugchZpZKv5P7	Clever,Chris Brown	Rolls Royce Umbrella (with Chris Brown)	USUG12100467	47	alabama rap	0.0488	0.616	0.0	0.0592	159.844	0.373	0.567
343f4nX3aQW92rSKSNufeg	Andrea Crocicchia	Why Don't You Stay?	GX5MY2169763	42		0.215	0.806	0.0129	0.358	124.028	0.299	0.898
2KrW6F9dmKtImS53HmcDg3	Coopex,IMKK,Britt	Legends Never Die	QZS662105602	41	traprun	0.216	0.569	0.0	0.0471	127.897	0.331	0.745
7FJN22d8dQA91jvQPmtZJ9	Meric Again,22angels	THATS WHAT I WANT	QZS652171182	38		0.0176	0.647	0.0	0.119	128.187	0.0726	0.837
03tkivYbWefQCiYDQMA5In	Boostereo	Pop Corn	QZS632118404	37		0.00147	0.715	0.648	0.0356	125.982	0.69	0.946
1JwLS4gJ8MsZ8PUjnRsjXs	Harddope,DVO,LexMorris	The Hills	QZS642158345	45		0.00673	0.658	0.00207	0.0436	122.012	0.103	0.799
2Y0yVhbhISGg0f4xIw8j4F	ISAEV	9PM (Your Love)	QZS662131045	46		0.0387	0.72	0.0	0.0409	126.046	0.443	0.897
4yFKiy6Buom1jYswgIuQ5Z	Yohan Gerber,Poylow	Don't Be Shy	QZS672150239	44		0.0501	0.671	7.02e-06	0.0797	126.993	0.251	0.792
6eA34CweSxgGO2fUepJ3cT	Yohan Gerber,Bersage,Nito-Onna	If I Lose Myself	QZS662171904	45		0.28	0.629	0.0	0.0784	127.956	0.422	0.804
2xQpE3ggKjvllx0NScCjN7	EBEN,Godmode	Find A Way	QZS662111874	40	bass trap,traprun	0.188	0.649	0.0	0.272	153.926	0.146	0.833
3HdGHbgVj5GXfYNzoNDqGo	Munch,Konn	Lost Cause	QMDA72186513	31		0.251	0.652	0.00728	0.102	124.998	0.0526	0.903
3CBRlJxL7BCjoKSccKGagv	Arpad,Jona Selle,CLOSR	Somebody That I Used to Know	QM4TW2201050	46		0.37	0.811	5.04e-05	0.0366	120.007	0.42	0.631
3ddOf7YEvDnMVzo7UgDozd	Max Kilian,Tony Vida	Maniac	QZS672124446	36		0.0109	0.688	0.0	0.104	117.961	0.426	0.907
3oPdWn2iM1C2On5lpkhXev	Godmode,Hkmk	Purpose	QZS642186908	49		0.144	0.776	0.0	0.207	109.92	0.538	0.773
58WZkZfWBickcgUyXENVTb	EQRIC,Noreal,Muffin	In The Name Of Love	QZS672101381	44	pop edm	0.0836	0.704	0.0	0.0469	126.0	0.293	0.888
