sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
45RztUROkc4H1pHoCtRR6c	Lianne La Havas	Please Don't Make Me Cry	GBAHT2000179	51	british soul,indie soul,neo soul,pop soul,soul	0.118	0.611	0.00012	0.0858	147.971	0.45	0.605
60klOfI3BgFCTWrnve4TAH	Beverley Knight	Shoulda Woulda Coulda	GBAYE0101447	48	british soul,neo soul	0.0605	0.673	2.47e-06	0.0577	152.219	0.803	0.66
1ehhGlTvjtHo2e4xJFB0SZ	Leon Bridges,Terrace Martin	Sweeter (feat. Terrace Martin)	USSM12003777	49	modern blues	0.0167	0.719	0.0313	0.0403	128.0	0.27	0.385
3VHF4e5x49Mcpom7zPE2A9	The Teskey Brothers	Rain	AULI01924210	44	australian americana	0.46	0.475	7.39e-05	0.0311	133.781	0.236	0.311
3eMERYHFRmkQu3xF6O43sK	Veintiuno	Caramelo	ES5152000912	38	spanish indie pop,spanish modern rock,spanish pop	0.0832	0.649	0.0	0.0318	104.013	0.866	0.737
62JASMwWszQSm2lZaKvaa1	Lori Meyers	Siempre Brilla El Sol	ES5701601044	52	granada indie,latin rock,spanish indie pop,spanish rock	0.062	0.484	0.00358	0.0331	171.939	0.715	0.711
3NolL8Ds5qRrYQSVUBKicn	Vetusta Morla	23 de Junio	ES55C1060152	54	cantautor,latin rock,rock alternativo espanol,spanish indie pop,spanish rock	0.616	0.442	1.17e-06	0.0394	172.879	0.547	0.473
2F76kzOWgd3n6GwoKpRSTX	Rigoberta Bandini	A ver qué pasa - Estrella Damm 2021	ESA011750369	58	spanish synthpop	0.0159	0.562	0.00953	0.0514	129.929	0.398	0.655
2NdMbXu89Nd8kC828nj0Lq	Triángulo Inverso	Universos y Planetas	ES71G1950351	28	spanish modern rock	0.0239	0.694	1.33e-05	0.115	127.976	0.577	0.87
0CUDYEqsD4RZE61JJpgT2V	Shinova	Guerra y Paz	ES5151802134	23	rock alternativo espanol,spanish modern rock	0.0124	0.504	0.0	0.0257	90.011	0.558	0.561
31scSkD3fOW4hSykDv0SAS	ELYELLA,Ginebras,INNMIR,Amatria,Karavana,WISEMEN PROJECT	Vanana Megamix	ES65D2000032	45	spanish modern rock	0.0274	0.614	0.0	0.042	126.954	0.699	0.848
6AxHTW2gvxhuiIFKps9jkC	Veintiuno,Chica Sobresalto	Nudes (feat. Chica Sobresalto)	ES5152100125	41	spanish indie pop,spanish modern rock,spanish pop	0.0773	0.606	0.0	0.0501	99.992	0.561	0.76
1C49L9pmetI5A9MQE6osVn	Shinova	Doce meses (El año del maravilloso desastre)	ES5151601372	35	rock alternativo espanol,spanish modern rock	0.00669	0.574	1.37e-05	0.0314	124.923	0.373	0.731
3aIx1n6E0pgToDf5EoCods	Embusteros	El Baile	ES71G2101708	22	spanish modern rock	0.017	0.493	0.0	0.0395	100.036	0.571	0.912
0q7psxaixBQ8FkqyVpbfky	C. Tangana	Yate	ES5022101134	58	urbano espanol	0.416	0.744	0.367	0.128	132.005	0.746	0.806
4W3FJapn5CD6Fnrlfj4HFe	C. Tangana,Becky G	Booty	ES5021800937	63	urbano espanol	0.0167	0.825	2.04e-06	0.0805	102.928	0.717	0.771
4JdoNXs8MyxoovRv4g9udm	C. Tangana,Omara Portuondo	Te Venero	ES5022200143	52	urbano espanol	0.673	0.631	0.0082	0.088	171.893	0.357	0.346
3SK45LddxlEkzI8OWO9Eyo	C. Tangana,Gipsy Kings,Nicolás Reyes,Tonino Baliardo	Ingobernable	ES5022100004	71	urbano espanol	0.195	0.705	0.000228	0.0656	104.973	0.737	0.757
4Dl8bEzhAEGbcwkQawS1XG	C. Tangana,ROSALÍA	Antes de Morirme (feat. ROSALÍA)	TCACQ1612391	71	urbano espanol	0.0736	0.864	0.00308	0.18	97.93	0.133	0.497
6GAWfJCEiQZoRtVFaoxscP	Sen Senra,C. Tangana	Qué Facilidad	ES5702002744	55	urbano espanol	0.421	0.975	0.000239	0.0485	112.992	0.718	0.66
2vEY3cNwXYxIG4fPAoN14q	C. Tangana,MC Bin Laden	Pa' Llamar Tu Atención (feat. MC Bin Laden)	ES5021801192	58	urbano espanol	0.188	0.884	0.0	0.0837	131.91	0.678	0.738
5xiAfKzE3mbxYbOkUZPR11	C. Tangana,Nathy Peluso	Ateo	ES5022101546	72	urbano espanol	0.142	0.826	2.59e-05	0.0368	130.025	0.733	0.74
689lsPHFdxdbzZbz49d11b	Tigre y Diamante	Doner Kebab Elefante Blanco Galicia	ES6172121040	4		3.13e-05	0.0793	0.731	0.0577	179.756	0.526	0.866
6y7Y69Tx0k8nO1TKmd4udk	Olivia	Al Norte de Europa	ES5301763999	12		0.00198	0.516	0.0	0.0838	140.001	0.557	0.885
3jVpq8PmecQuwpYX4FpJPE	The Prussians	Make It Better	ESA011996108	14	spanish modern rock	0.766	0.866	0.00154	0.0887	99.999	0.592	0.458
7hsxsMiOCtzF0r3nC75pNG	Barry B	Taj Mahal	QMDA62103936	28		0.284	0.757	0.00084	0.12	160.049	0.399	0.882
5tyngIB1CqMV6xWIfWRqEi	MARLENA,Bombai	Me Sabe Mal (Remix)	ES05I2100042	54	spanish pop	0.0735	0.701	0.0	0.0517	99.117	0.797	0.813
0gPqRLmS5IbJE7tV8Gh4BG	MARLENA	Fecha de Curiosidad	ES05I2200002	53	spanish pop	0.167	0.6	0.0022	0.0452	179.046	0.602	0.677
