sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2tBJjWPeVthyObVtca2ZeY	Pinguini Tattici Nucleari	Giulia	ITB002000604	54	bergamo indie,italian indie pop,italian pop,milan indie	0.536	0.682	0.0	0.0258	108.019	0.609	0.644
0IueCAa7AbmICEdmOpByO1	Pinguini Tattici Nucleari	Bohémien	ITB002000602	52	bergamo indie,italian indie pop,italian pop,milan indie	0.13	0.667	0.0	0.0841	160.021	0.672	0.893
50sEtCsA24nSQfHfQIV8z3	Modena City Ramblers	Mia dolce rivoluzionaria	ITC530600119	37	folk rock italiano,italian adult pop,italian alternative	0.00954	0.521	0.0569	0.044	160.027	0.756	0.843
2r1SRt8bhtR6a9bMRR0AgV	Pinguini Tattici Nucleari	La storia infinita	ITB002000477	56	bergamo indie,italian indie pop,italian pop,milan indie	0.169	0.701	0.0	0.0411	89.986	0.651	0.744
2QLKi7Vsbn700TnI9zuPAw	Pinguini Tattici Nucleari	Test di ingresso di medicina	QMPKX1455508	37	bergamo indie,italian indie pop,italian pop,milan indie	0.605	0.565	1.06e-06	0.05	144.968	0.685	0.815
2kWZIDANL5iq02xplD4fhw	Pinguini Tattici Nucleari	Scatole	ITB001900122	45	bergamo indie,italian indie pop,italian pop,milan indie	0.546	0.693	0.0	0.0317	110.142	0.495	0.528
2vHzOWRKYPLu8umRPIFuOq	KALUSH	Stefania (Kalush Orchestra)	DEE862200344	80	ukrainian hip hop	0.145	0.832	0.00169	0.0422	104.985	0.324	0.817
4GaBxtanL9UlRyirgpcQuD	The Kiffness,Ognjen,Sinisa	Insomnia	QZNWY2162054	39	cape town indie,south african pop,south african pop dance	0.0201	0.745	0.0	0.261	127.04	0.73	0.692
4P6g27LvaQ4GIF8sxn2grB	Go_A	Шум	QM4TW2122400	52	eurovision	0.0143	0.471	0.00011	0.0518	114.981	0.405	0.661
6nl2T8YjOdFFnQ4xBHXfdm	The Kiffness,Boombox	Oy U Luzi Chervona Kalyna - Army Remix	QZDA82242232	59	cape town indie,south african pop,south african pop dance	0.511	0.799	0.0	0.0737	120.021	0.647	0.531
6dLtuaH3BzzY2gDvJbZ24D	Claver Gold,Murubutu,Vincenzo di Bonaventura,DJ Fastcut	Selva Oscura	ITRSE2000043	25	italian hip hop,italian underground hip hop	0.0835	0.568	0.00176	0.0664	79.986	0.258	0.681
30UQ4lCKtYYbKajGwjqKfQ	Claver Gold,Murubutu,Giuliano Palma	Paolo e Francesca	ITRSE2000047	42	italian hip hop,italian underground hip hop	0.259	0.554	0.0	0.341	169.929	0.345	0.737
1T8JCm2J4JPrLl5x5IQx5b	Claver Gold,Murubutu,DJ Fastcut	Chiaro Mondo	ITRSE2000053	23	italian hip hop,italian underground hip hop	0.0288	0.283	0.222	0.0985	170.127	0.25	0.655
1QiHsALYax8Z1ooFkVqOfI	Claver Gold,Murubutu,Davide Shorty	Antinferno	ITRSE2000044	32	italian hip hop,italian underground hip hop	0.12	0.513	0.0	0.31	98.825	0.192	0.672
13DMo4EAJV8KqmncnvNUuJ	Claver Gold,Murubutu	Malebranche	ITRSE2000049	32	italian hip hop,italian underground hip hop	0.71	0.687	0.0	0.316	167.871	0.84	0.792
4krFwqZU8oYrxxwzICBMjm	Claver Gold,Murubutu	Ulisse	ITRSE2000050	39	italian hip hop,italian underground hip hop	0.45	0.716	2.55e-06	0.26	91.09	0.492	0.567
2KvAZso9S315qtj5zSSYLu	Claver Gold,Murubutu	I giganti	IT2G32000065	28	italian hip hop,italian underground hip hop	0.46	0.863	0.0	0.346	81.962	0.665	0.635
4DbLGFIyxCmdQw6B4LjmWh	Claver Gold,Murubutu	Caronte	ITRSE2000045	34	italian hip hop,italian underground hip hop	0.267	0.623	0.0	0.221	91.789	0.649	0.61
2h1kraSWeTU5r3deQfT8Cj	Claver Gold,Murubutu	Lucifero	ITRSE2000052	32	italian hip hop,italian underground hip hop	0.221	0.688	0.0	0.224	109.969	0.506	0.572
1WYX66uRaVP4GCEwyvAt3D	Claver Gold,Murubutu,TMHH	Beatrice	IT2G32000066	31	italian hip hop,italian underground hip hop	0.273	0.714	0.0	0.175	169.937	0.677	0.705
6PTxwEyZm0lI4nR970KPsz	Pinguini Tattici Nucleari	Bagatelle	QMPKX1455510	43	bergamo indie,italian indie pop,italian pop,milan indie	0.0871	0.538	0.0	0.0412	125.084	0.578	0.675
20YaMXygFxaeCzaRPEuhQI	Pinguini Tattici Nucleari	Cancelleria	QMPKX1455512	27	bergamo indie,italian indie pop,italian pop,milan indie	0.333	0.676	0.0	0.148	124.994	0.565	0.665
7KBO8jDr2T9jCG1xbM3FVJ	Pinguini Tattici Nucleari	Italia Italia	QMPKX1455507	37	bergamo indie,italian indie pop,italian pop,milan indie	0.538	0.56	0.0105	0.147	160.221	0.894	0.839
17cylO91MPKEEeyp7w5if9	Pinguini Tattici Nucleari	In vento	QMPKX1455506	24	bergamo indie,italian indie pop,italian pop,milan indie	0.0305	0.631	0.0	0.0545	125.271	0.721	0.706
7iLuBTHJSXM2HalKHFqEEy	Pinguini Tattici Nucleari	Giovani Wannabe	ITB002200354	35	bergamo indie,italian indie pop,italian pop,milan indie	0.0409	0.739	0.0	0.0311	127.972	0.948	0.81
5iLhi2OOrn4ud5Dq9bxkga	Francesco Guccini	L'Avvelenata - Remaster 1996	ITD009600106	29	canzone d'autore,classic italian pop,folk rock italiano,italian adult pop	0.581	0.506	0.0	0.241	126.586	0.636	0.767
