sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
5riH3YoQMbKK7VDHNRFKnb	Monet192	Backseat	DEA622001128	28	german hip hop,german trap	0.0427	0.895	5.37e-06	0.569	123.996	0.64	0.563
29vkOKlY33ypMT2xQBxeCD	Monet192	Champions Club	DEA622200331	65	german hip hop,german trap	0.00685	0.761	0.00458	0.285	93.044	0.204	0.666
6qkrKJXFAxf5HOwNHQSLCd	MusicMafia	Bloodstain Shirt	QZ8WX2078706	41		0.16	0.88	9.32e-06	0.0982	119.999	0.503	0.414
5THfq5hdGwK1si243G2h60	badmómzjay	Mal mehr mal weniger	DECE72102422	60	frauenrap,german drill,german hip hop	0.0383	0.869	0.0	0.125	98.032	0.702	0.568
0p4KfVW7sdHK0nvoucgOkG	Faroon	Love Shots	DECE72104398	52	german hip hop,german trap	0.458	0.481	2.72e-06	0.207	97.973	0.721	0.581
3DMs7bahbQTnoxCjgP7qoK	Pop Smoke,Dua Lipa	Demeanor (feat. Dua Lipa)	USUM72112397	68	brooklyn drill	0.336	0.675	0.0	0.103	99.865	0.728	0.608
1ftuNILKvTM0UZYJ8Liy4X	Monet192	Call Me	DEA622001418	52	german hip hop,german trap	0.154	0.501	2.03e-06	0.199	100.974	0.321	0.528
77GtHEpvUAlvlISyR55IGx	DancingRoom	Dancing in Mandela	QZFZ32130914	51	slowed and reverb	0.0545	0.765	8.75e-06	0.139	129.993	0.662	0.667
5mCPDVBb16L4XQwDdbRUpz	Drake	Passionfruit	USCM51700072	81	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.256	0.809	0.085	0.0396	111.98	0.364	0.463
3A7Etq2wGE9cYqLIma97Tt	RINI	Aphrodite	TCADX1885268	60	alternative r&b,australian r&b,bedroom soul,chill r&b,pop	0.555	0.717	0.00293	0.0394	116.039	0.262	0.298
3ibKnFDaa3GhpPGlOUj7ff	Mario	Let Me Love You	USJAY0400348	71	contemporary r&b,dance pop,hip pop,pop,r&b,urban contemporary	0.235	0.656	0.0	0.0922	94.514	0.556	0.578
7GcCIkXh9Y4qDSXnMLJgHW	Kofi Stone,Ady Suleiman	Talk About Us	GBKPL1951528	52	uk alternative hip hop	0.796	0.9	0.0121	0.242	92.006	0.518	0.3
4VCbgIdr8ptegWeJpqLVHH	Drake,JAY-Z	Love All (with JAY-Z)	USUG12104401	70	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.354	0.73	3.59e-05	0.287	92.131	0.155	0.576
2e3Ea0o24lReQFR4FA7yXH	J. Cole	Love Yourz	USQX91402601	73	conscious hip hop,hip hop,north carolina hip hop,rap	0.589	0.677	0.0	0.333	82.81	0.435	0.638
0LggcOLwIBQ50Ju9JWjhA9	slowthai	adhd	GBAKX2000021	55	hip hop,rap,uk alternative hip hop,uk hip hop,underground hip hop	0.698	0.736	8.29e-06	0.322	112.06	0.457	0.57
2DgdHcjWmO3qd50RzuBLgZ	Panic! At The Disco	House of Memories	USAT21503701	86	modern rock	0.00272	0.506	0.0	0.0335	109.952	0.506	0.817
2w4EW1x0HEEdG1w1pfVB3G	badmómzjay	Struggle Is Where We From	DECE72102431	41	frauenrap,german drill,german hip hop	0.0805	0.799	1.45e-06	0.0935	140.132	0.375	0.565
1gAMReN2uuB8RZl9qE3EbB	badmómzjay	Signal	DECE72000586	52	frauenrap,german drill,german hip hop	0.222	0.834	0.000103	0.101	104.087	0.41	0.603
4UsCwlqEQXA1QRPU1uWO7o	badmómzjay	Tu nicht so	DECE72102420	59	frauenrap,german drill,german hip hop	0.079	0.831	0.000419	0.0717	155.016	0.758	0.554
12xEzowmTyWRe413PAZ8o3	Montez,badmómzjay	Mond	DEUM72117878	56	german hip hop,german pop	0.05	0.541	8.17e-05	0.127	102.013	0.521	0.526
11nCZnfaUl7BDwBCoezUTf	Faroon	Money On My Mind	DECE72101504	61	german hip hop,german trap	0.315	0.695	0.0	0.107	86.62	0.659	0.654
3x8qh4RUh3F4wuDWQ4lOY6	Faroon	Henny	DECE72200910	54	german hip hop,german trap	0.756	0.873	0.0	0.208	105.089	0.635	0.498
0X2bh8NVQ8svDQIn2AdCbW	Chase Atlantic,GOON DES GARCONS*	Consume (feat. Goon Des Garcons)	USWB11701710	63	pop	0.07	0.556	0.0	0.158	146.113	0.434	0.714
1DHSj9pjlwGsVTQ2A2Z8gk	Deejay Telio,Julinho Ksd	Cara Que Engana	ES71G2210024	55	batida,funana,portuguese pop,rap angolano	0.664	0.766	0.0318	0.242	142.019	0.78	0.639
3pcxxaUxAMSfz2zgetHydD	Summer Walker	Insane	USUM72118232	69	pop,r&b	0.632	0.39	0.000162	0.303	161.625	0.347	0.607
4tPPGQeY3axryB9wQfzHBr	Chily,Hamza	Chily Sauce (feat. Hamza)	FRZ052000054	51	french hip hop,pop urbaine,rap francais	0.165	0.774	4.56e-05	0.122	78.014	0.786	0.571
07iWGc6EWbgN6XMaCRJQIT	1stlin,Ken Hustlin	Get You (Remix)	QZNMX2191934	36		0.337	0.634	5.21e-06	0.0384	73.979	0.325	0.268
