sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2j0Eif541WIWhnlfoRXvNb	Mezzosangue	Fuck Them Fuck Rap	ITTFC1800011	24	italian hip hop,italian underground hip hop	0.0806	0.635	0.0	0.353	90.388	0.351	0.867
7smuQedVmXWLCfor8mrA1t	Nitro,Fabri Fibra	Ong Bak (feat. Fabri Fibra)	ITB001500125	32	italian hip hop	0.0309	0.653	0.0	0.327	88.241	0.503	0.885
6btnYGnZL8zPidjw76qX40	Salmo,Nitro	Space Invaders (feat. Nitro)	ITDF41300004	45	italian hip hop,italian underground hip hop,rap sardegna	0.00445	0.608	0.0	0.351	83.572	0.559	0.866
7cdZQa8jWsGt4UlTw1ysPO	Caparezza	Una Chiave	ITUM71700818	43	italian adult pop,italian indie pop,italian reggae	0.0319	0.696	0.000769	0.0489	95.015	0.695	0.934
0DtXpX35CqsCeX6On0RV7E	Cranio Randagio	A Selfish Selfie	TCADD1705439	35	italian hip hop,italian indie pop	0.201	0.7	0.0	0.292	94.056	0.155	0.741
6gyxlY3xltYQY6IpiWajH2	Ernia	Un Pazzo	ITUM71800817	34	italian hip hop,italian pop,milan indie	0.372	0.941	0.344	0.0575	112.95	0.18	0.52
6lb1rcBfpEUmoGvbWhBxFL	Nayt,3D	Doom	ITHZX2100005	52	italian hip hop	0.713	0.503	0.000625	0.0341	89.295	0.0612	0.493
2Ee0t0myRl9rL9E926c9bm	Willie Peyote	La dittatura dei nonfumatori	ITK191500096	34	italian hip hop,italian indie pop,rap napoletano,turin indie	0.78	0.736	0.0	0.446	87.91	0.852	0.594
3llphsoF3YONayxKfVJVCE	Claver Gold	Un altro giorno in pigiama	IT2G32000008	28	italian hip hop,italian underground hip hop	0.0559	0.561	0.0	0.0473	86.098	0.447	0.721
6mYmVi8GjP4kdbIEwn8JRG	Rancore	Io non sono io	ITUM72200324	44	italian hip hop,italian indie pop,italian underground hip hop	0.555	0.661	0.0	0.321	110.897	0.519	0.757
1Q9TLgPfAW8Tg32DnxNMp0	Murubutu,Dia	Pentagramma dell'acqua	IT2G32100013	32	indie rock italiano,italian hip hop,italian indie pop,italian underground hip hop	0.0181	0.716	0.0	0.0389	91.507	0.253	0.729
4mikdHriPM4tlFWM5L1xUe	Murubutu,En?gma,DJ Caster	Diluvio universale	IT2G32100012	33	indie rock italiano,italian hip hop,italian indie pop,italian underground hip hop	0.229	0.768	0.0	0.216	168.075	0.308	0.883
