sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2dHoVW9AxJVSRebPRyV2aA	ROSÉ	Gone	KRA402100041	67	k-pop	0.594	0.647	0.0	0.0375	79.936	0.653	0.377
2I0LNCqlQpAPJlwOEWaefE	The Rose	She's In The Rain	KRMIM1809544	64	k-pop,k-pop boy group	0.379	0.507	0.0	0.0264	92.916	0.429	0.533
3KVOfGrYVjoP1w8T2HVltm	BTS	2! 3!	KRA381601904	63	k-pop,k-pop boy group	0.0257	0.442	0.0	0.207	169.847	0.601	0.928
4xAt9CoV83PT6U9JvcauLZ	Agust D	Interlude : Set me free	QM6N22036189	56	k-rap	0.0755	0.31	3.34e-05	0.0346	129.925	0.207	0.416
7qEHsqek33rTcFNT9PFqLf	Lewis Capaldi	Someone You Loved	DEUM71807062	83	pop,uk pop	0.751	0.501	0.0	0.0319	109.891	0.446	0.405
3cMAS9DjZHrAnKvPrTIw7Z	Tom Walker,Zoe Wees	Wait for You (feat. Zoe Wees)	GBARL2001067	63	indie anthem-folk,modern rock,pop,uk pop	0.366	0.502	0.0	0.0531	159.78	0.392	0.65
7DEKa5Z7Cl8s3Y7imb88OM	BTS,Steve Aoki	The Truth Untold (feat. Steve Aoki)	QM4TX1817913	71	k-pop,k-pop boy group	0.374	0.571	0.0	0.0422	113.016	0.169	0.422
0wI7QkCcs8FUQE1OkXUIqd	Alessia Cara	Scars To Your Beautiful	USUM71506811	73	canadian contemporary r&b,canadian pop,dance pop,pop,post-teen pop	0.0285	0.573	0.0	0.129	97.085	0.451	0.739
7bSJAuXjyhlTcz5CfoNDdt	RM,NELL	everythingoes	QM6P41828295	59	k-rap	0.143	0.47	2.91e-06	0.0303	92.034	0.14	0.722
7DFNE7NO0raLIUbgzY2rzm	Passenger	Let Her Go	GBMQN1100004	72	folk-pop,neo mellow,pop,pop rock	0.385	0.509	0.0	0.0572	75.089	0.244	0.538
4fwYALz7GwmXgS8QTRjDEJ	RM	moonchild	QM6P41828292	64	k-rap	0.0258	0.503	0.0	0.214	157.975	0.191	0.869
7Ki0hse0IfXEcXUlpyECbJ	BTS	Blue & Grey	QMFME2038757	72	k-pop,k-pop boy group	0.42	0.547	0.0	0.0415	121.953	0.364	0.605
2QjOHCTQ1Jl3zawyYOpxh6	The Neighbourhood	Sweater Weather	USSM11300080	87	modern alternative rock,modern rock,pop,shimmer pop	0.0495	0.612	0.0177	0.0336	124.053	0.398	0.807
39EXZNMxb4RBHlRjnRaOKp	V	Sweet Night	QZEKE1933514	74	j-division,korean ost	0.495	0.462	8.15e-06	0.025	92.106	0.149	0.339
7nRLXtBmT5YyeiRclU3Btj	Martin Czerny	Dead Heart	QZPEW2115403	31		0.991	0.24	0.956	0.0391	62.292	0.216	0.0489
009ImBOrIUlWgla8U05RAC	Katy Perry	Unconditionally	USUM71311295	77	dance pop,pop,post-teen pop	0.00273	0.432	0.0	0.0431	128.902	0.353	0.725
