sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
46r1xB8JbcC9BXs2j5ydWx	アトラスサウンドチーム	Ruin to Resolution	JPK651900511	29	japanese vgm	0.00157	0.384	0.82	0.063	163.847	0.193	0.889
2uNrsZLJloillM1kbzxgmn	Lyn	Throw Away Your Mask	JPK651900510	48		0.0667	0.647	0.000309	0.027	93.958	0.329	0.834
1umcqZq0ZdJ3FwSuFYjvlN	アトラスサウンドチーム	So Happy World	JPK651900505	40	japanese vgm	0.002	0.635	0.808	0.0308	145.038	0.384	0.612
62v7ugypiPfkdj4hFVZfwj	アトラスサウンドチーム	wish come true	JPK651900411	31	japanese vgm	0.34	0.63	0.939	0.0301	109.001	0.93	0.925
2JlErRwnjGrogNAvhDtGjh	アトラスサウンドチーム	Mementos: Mid Area	JPK651900409	33	japanese vgm	0.0829	0.616	0.914	0.0244	89.996	0.274	0.785
6rCDXPpbSEpFtyaJlyULl7	アトラスサウンドチーム	Mementos: New Area	JPK651900506	31	japanese vgm	0.115	0.704	0.785	0.0288	144.035	0.552	0.645
1iNKgHv2k6cB09aB5ozR55	Lyn	Take Over	JPK651900403	52		0.0368	0.661	0.000389	0.0308	125.433	0.426	0.734
4uoRsea1v7ONQygWEOl4nV	Lyn	I believe	JPK651900508	49		0.0569	0.639	8.52e-06	0.0309	132.004	0.523	0.8
3fyHEJ4Y0BBJKKBYL3JmUo	アトラスサウンドチーム	Gentle Madman	JPK651900503	44	japanese vgm	0.177	0.639	0.844	0.0411	89.993	0.51	0.731
20gtd2eKxAEamOpgvgUpIA	Blind Guardian	Majesty - Remastered 2017	DED831700943	33	german metal,german power metal,metal,neo classical metal,power metal,speed metal,symphonic metal	3.57e-06	0.326	0.056	0.0902	79.287	0.354	0.918
1z0ucy9z7u4UmGsYruypEJ	Purple Disco Machine,Sophie and the Giants	Hypnotized - Club Dub Mix - Mixed	AUDCB1701957	22	deep house,house,tropical house	0.00744	0.731	0.0421	0.0352	120.611	0.699	0.735
2ov8L95QD25TLpZAZPYWXL	Ozzy Osbourne	Mr. Crowley	USSM11002849	64	album rock,birmingham metal,hard rock,metal,rock	0.212	0.307	0.000153	0.0568	108.227	0.347	0.748
7a688ehMsOesi6RR6lNVQm	T-SET,白石涼子,野中藍	loneliness loop	JPR501205938	23		0.032	0.527	0.0	0.0554	144.942	0.524	0.894
6qOxF7JKKNegcuocn14ukr	Bastille	Things We Lost In The Fire	GBAAA1200932	58	metropopolis,modern rock,pop,pop rock	0.0636	0.587	0.0	0.0581	134.055	0.629	0.918
2kbK6aeiTsNI4ODj6Z8krK	Sam Tinnesz	Fight On	TCADD1751587	36	alt z,modern rock,rebel blues	0.0798	0.342	0.0	0.0901	154.645	0.311	0.852
1pJa9UimhswE2Vw6i89Cwi	Blind Guardian	Skalds and Shadows	DED830693506	50	german metal,german power metal,metal,neo classical metal,power metal,speed metal,symphonic metal	0.624	0.404	0.0	0.0273	178.864	0.512	0.434
0UMQsAdQAI7IC4kXqjdCE0	The Black Keys	Countdown	US27U0404404	36	alternative rock,blues rock,garage rock,modern blues rock,modern rock,punk blues,rock,roots rock	0.254	0.671	0.00733	0.11	114.195	0.421	0.816
3x2GC8ebjIpE3iCZmDjFFs	Franz Ferdinand	Finally	GBCEL1700635	31	alternative rock,dance rock,indie rock,modern rock,rock,scottish rock	0.000163	0.623	0.0	0.0313	110.774	0.314	0.822
1ZcN6PlhKWUacWjDC7uRsB	Donna Burke	Sins of The Father	JPM201500640	47		0.295	0.162	1.04e-06	0.0469	87.769	0.104	0.39
4MwJiGr3drOvyYvbjgXPCW	Imagine Dragons	Second Chances	USUM71417943	44	modern rock,rock	0.171	0.401	0.00859	0.0355	171.059	0.362	0.567
7rU6Iebxzlvqy5t857bKFq	Mariya Takeuchi	Plastic Love	JPWP02000926	65	classic city pop,idol kayo,j-pop,japanese singer-songwriter	0.0747	0.648	9.64e-05	0.034	102.517	0.857	0.875
03UrZgTINDqvnUMbbIMhql	PSY	Gangnam Style (강남스타일)	USUM71210283	74	k-pop,k-rap,korean old school hip hop	0.00417	0.727	0.0	0.286	132.067	0.749	0.937
4euAGZTszWPrriggYK0HG9	ABBA	Lay All Your Love On Me	SEAYD8001090	74	europop,swedish pop	0.117	0.678	0.00396	0.0258	133.481	0.71	0.727
75FEaRjZTKLhTrFGsfMUXR	Kate Bush	Running Up That Hill (A Deal With God)	GBCNR8500002	96	art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter	0.72	0.629	0.00314	0.055	108.375	0.197	0.547
7sLv471nu3bAxqC0wA54R2	Trivium	Thrust - Ruber	GBCEJ1600281	20	alternative metal,melodic metalcore,melodic thrash,metal,metalcore,nu metal	0.0424	0.255	0.884	0.087	110.882	0.472	0.914
