sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4UQy41kC5LjzwQuiuWOpwA	Martin Garrix,DubVision,Shaun Farrugia	Starlight (Keep Me Afloat)	NLM5S2201663	63	dance pop,dutch edm,edm,electro house,pop,pop dance,progressive house,tropical house	0.0667	0.558	0.0	0.0375	127.001	0.297	0.715
4Jyp4cWdghOuTXdc9Nkhc0	Karetus	Squid Game	ES71G2148386	26	hip hop tuga,portuguese pop	0.0256	0.855	0.00172	0.191	142.038	0.538	0.746
0YVx5YZIgfYHzlq19hqDeE	Ghost Stories,D-Block & S-te-Fan	Angels & Demons	NLS761700254	53	euphoric hardstyle	0.0951	0.485	2e-06	0.0293	150.111	0.203	0.772
3IaDHisoQv2Iri6wj57jkZ	Ytram,Citadelle,Martin Garrix	Alive	NLM5S2001086	49	dutch edm	0.0144	0.604	0.815	0.0339	122.019	0.0334	0.804
2c1BSmrSeBEY9FxhzSiFWh	Sunnery James & Ryan Marciano,RANI	Life After You	NLF712007928	52	circuit,dutch house,edm,electro house,progressive electro house	0.0063	0.649	0.0	0.0544	125.001	0.305	0.717
07hm7hRuPbl0kG8hCuQoda	Dimitri Vegas & Like Mike,Bassjackers,Crossnaders	Bonzai Channel One	BEZ452010416	43	belgian dance,belgian edm,big room,dance pop,edm,electro house,pop dance,progressive electro house,tropical house	0.0213	0.746	0.527	0.141	150.033	0.241	0.983
0GAIAbeS07Run8u9BOtT3P	Ghost Stories,D-Block & S-te-Fan	The Enemy (You Cannot See)	NLS762000154	45	euphoric hardstyle	0.0482	0.399	0.0	0.0376	150.021	0.204	0.87
1Mys1gf9SkMBAVGGxpkJ7d	Lost Frequencies,Janieck	Reality	NLF711502765	70	belgian edm,edm,pop,pop dance,tropical house	0.0197	0.714	2e-06	0.032	122.145	0.602	0.697
3GYlQmwfBDo7imFyGPhrl7	Dimitri Vegas & Like Mike,Regard,Dimitri Vegas	Say My Name	BEG852000012	71	belgian dance,belgian edm,big room,dance pop,edm,electro house,pop dance,progressive electro house,tropical house	0.0703	0.729	0.0	0.0908	118.039	0.857	0.788
5oAgI7Pzg6vxuKrfapg3Pi	Martin Garrix	Pizza	NLM5S1600106	53	dance pop,dutch edm,edm,electro house,pop,pop dance,progressive house,tropical house	0.000408	0.381	0.589	0.0355	127.967	0.0378	0.712
4O5c8T9I55IZr1hEUQrEGi	Armin van Buuren,Jorn Van Deynhoven	Lost In Space	NLF712106582	51	dutch trance,edm,pop dance,progressive house,trance	0.00917	0.561	0.0613	0.0463	138.081	0.084	0.903
4zH72rnlDnzjPpTKx2Z9Jn	Kevu	Set Me Free	NLF712010429	18	big room,electro house,sky room	0.194	0.481	0.0	0.0418	130.087	0.366	0.702
29jdcbVjNvnbkCNRW9mjdU	Armin van Buuren,Bassjackers	Stickup - Bassjackers Remix	NLF712001193	19	dutch trance,edm,pop dance,progressive house,trance	0.0183	0.587	0.0252	0.0581	131.891	0.0825	0.734
3F7LKUuasfyLrNCS1thKq0	Dimitri Vegas & Like Mike,John Christian	Turn Up	BEG851900071	46	belgian dance,belgian edm,big room,dance pop,edm,electro house,pop dance,progressive electro house,tropical house	0.00694	0.616	0.00997	0.0546	130.017	0.101	0.949
2tHA0EXUTUty3ooeiR6kft	Dimitri Vegas & Like Mike,Coone,Lil Jon	Madness (feat. Lil Jon) - Radio Edit	QMFMF1328949	43	belgian dance,belgian edm,big room,dance pop,edm,electro house,pop dance,progressive electro house,tropical house	0.108	0.694	0.181	0.0609	130.02	0.317	0.969
3CojwJWNEBVNHuhnL2xglz	Armin van Buuren,D'Angello & Francis	Que Pasa	NLF712008534	44	dutch trance,edm,pop dance,progressive house,trance	0.0579	0.608	0.00288	0.0814	138.087	0.193	0.91
4ftSB15eM3yGYXmzJpGMaw	Will Sparks,New World Sound	LSD	NLZ542200032	54	big room,edm,electro house,melbourne bounce,melbourne bounce international,pop dance	0.22	0.578	0.753	0.0512	130.038	0.203	0.981
6yf6FF8BxqLqEr87RFY96m	Armin van Buuren,AVIRA,Chicane	Offshore	NLF712203194	58	dutch trance,edm,pop dance,progressive house,trance	0.00111	0.533	0.903	0.0399	125.008	0.353	0.949
1iKIeXDaOkUJ6oiRRPcy78	D-Block & S-te-Fan,Ghost Stories	Ghost Stories	NLH2L1800120	51	classic hardstyle,euphoric hardstyle,rawstyle	0.159	0.44	0.0	0.0435	150.127	0.133	0.901
2Dcqj5wDeumFvAFJbvCbhF	Dimitri Vegas & Like Mike,Fedde Le Grand,Julian Perretta	Tales Of Tomorrow	BEK011490063	41	belgian dance,belgian edm,big room,dance pop,edm,electro house,pop dance,progressive electro house,tropical house	0.0281	0.507	0.0	0.0901	128.114	0.181	0.894
0Y2QWrhPh6ATyaWYT0QLIR	Martin Garrix,Mesto	WIEE (feat. Mesto)	NLM5S1600007	45	dance pop,dutch edm,edm,electro house,pop,pop dance,progressive house,tropical house	0.278	0.52	0.863	0.0544	127.955	0.373	0.835
1vnJSFjkU4AvvKt0a08xCF	Dimitri Vegas & Like Mike,Vini Vici,Liquid Soul,Coone	Untz Untz - Coone Remix	BEG851900081	45	belgian dance,belgian edm,big room,dance pop,edm,electro house,pop dance,progressive electro house,tropical house	0.0087	0.439	0.362	0.207	150.1	0.0925	0.975
4CbYEW5McmCdaTdJP3qJtE	Lost Frequencies,Zonderling,Kelvin Jones	Love To Go	NLF712003849	47	belgian edm,edm,pop,pop dance,tropical house	0.605	0.755	0.0066	0.175	104.021	0.419	0.783
7JD624kzfc6wCWRpJ8ndTL	Lost Frequencies,Mathieu Koss	Don't Leave Me Now	NLF712007380	60	belgian edm,edm,pop,pop dance,tropical house	0.0258	0.671	0.0	0.0304	124.998	0.717	0.752
6wDTwqZI0tD4SHXFBXlxi4	Lost Frequencies,Love Harder,Flynn	You	NLF712007378	37	belgian edm,edm,pop,pop dance,tropical house	0.449	0.81	0.0	0.0517	116.001	0.716	0.639
4JCjpOFuB93jNf8I2Ro56G	Lost Frequencies,Easton Corbin	One More Night	NLF712007376	43	belgian edm,edm,pop,pop dance,tropical house	0.727	0.729	0.128	0.0449	120.02	0.152	0.604
18h2vWTXZFl8lb8cyXFL0o	Lost Frequencies,Zonderling,Kelvin Jones	Love To Go - Deluxe Mix	NLF712010252	35	belgian edm,edm,pop,pop dance,tropical house	0.144	0.742	0.00652	0.0689	125.062	0.239	0.882
0Z13Z7abT83E9DXVJX3qix	Lost Frequencies,Mathieu Koss	Don't Leave Me Now - Deluxe Mix	NLF712010250	34	belgian edm,edm,pop,pop dance,tropical house	0.0116	0.674	0.298	0.0396	125.033	0.0882	0.731
