sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
5HzbklGYjMLYTIcaGOMp6r	Aaron Gordon,Moe	Pull Up	QZFZ32028027	28		0.272	0.952	1.72e-05	0.104	117.014	0.477	0.362
6ZOBP3NvffbU4SZcrnt1k6	3 Doors Down	Kryptonite	USUR19980187	77	alternative metal,nu metal,pop rock,post-grunge	0.00664	0.545	1.1e-05	0.0286	99.009	0.543	0.865
003vvx7Niy0yvhvHt4a68B	The Killers	Mr. Brightside	USIR20400274	81	alternative rock,dance rock,modern rock,permanent wave,rock	0.00121	0.352	0.0	0.0747	148.033	0.236	0.911
5JGXkeMTmVvyL3TP66qpsX	Dealema	Intro	PTNS10300031	6	hip hop tuga,rap portuense	0.738	0.406	0.0	0.0418	89.007	0.335	0.315
2KVfGtT0noaq5k2C4dKGvx	Sam The Kid	Sedução	USA2P0600182	24	hip hop tuga,rap tuga underground	0.145	0.847	0.53	0.0579	94.979	0.604	0.721
5YGtx8tAS5LQ2oeXot29Tz	Dealema	A Primeira Vez	QMFME1913321	14	hip hop tuga,rap portuense	0.0636	0.569	0.0	0.0695	93.37	0.6	0.784
1SVFxqQIQ1B2XxAagj5coj	Merkules	Woodstock 99	QZEQU2134898	36	bc underground hip hop,canadian hip hop,pop rap	0.0403	0.752	2.44e-05	0.0322	89.976	0.442	0.623
2dgY6v2JbcTNKH9ncVSbpe	Autumn Kings	POWER	QZMZ92090232	46	modern alternative rock,post-screamo,windsor on indie	0.0665	0.6	0.0	0.0478	124.572	0.434	0.737
1KBN9lYx9QkfUJC3NSXlhQ	Grits,TobyMac	Ooh Ahh (My Life Be Like) [feat. Tobymac]	USGOT0203017	71	christian hip hop	0.115	0.757	0.000203	0.0696	99.017	0.823	0.862
006pMMCuRo2TFjh8sNGSov	Charlie Brown Jr.	Dias De Luta, Dias De Gloria	BREMI0501111	67	brazilian rock,hard rock brasileiro,rock alternativo brasileiro,rock nacional brasileiro	0.888	0.346	0.0	0.065	77.963	0.768	0.433
3HBXHBR1BS1FCSC5OhvYij	Xutos & Pontapés	O Homem Do Leme	PTUM71700249	43	portuguese rock,punk tuga	0.767	0.361	0.0	0.0307	169.669	0.253	0.42
78xNyjSDJf3XGqKKLkaA0V	Valete,Bonus	Ser ou Não Ser (feat. Bonus)	PTGMQ0700214	17	hip hop tuga	0.215	0.497	0.0	0.336	94.364	0.482	0.766
29ya9pu2noGMhtXeUFQbvC	Nine Lashes	Never Back Down	GMGVJ1300160	53	christian alternative rock,christian rock,gymcore	9.23e-05	0.456	3.27e-05	0.0398	105.97	0.552	0.86
6EaGMOSWL2LndwY6gClBaD	Papa Roach	Help	USDPK1700067	66	alternative metal,nu metal,rap metal,rap rock	0.00085	0.383	1.94e-06	0.134	183.96	0.286	0.9
48NOZRemjwadg6Dwc343hJ	From Ashes to New	My Name	USDPK1800006	51	alternative metal,post-screamo	0.0634	0.666	2.98e-06	0.11	92.519	0.655	0.909
3S0OXQeoh0w6AY8WQVckRW	Jason Mraz	I'm Yours	USEE10800667	71	acoustic pop,neo mellow,pop,pop rock	0.559	0.703	0.0	0.0417	150.96	0.712	0.444
0sHW1jXe6Sou3437gJQNGA	Eminem	Space Bound	USUM71015395	67	detroit hip hop,hip hop,rap	0.0417	0.668	0.0	0.117	142.002	0.503	0.886
5NeIONQWJ25uPylJBJiO4c	Stone Sour	Through Glass	NLA320682289	68	alternative metal,nu metal,post-grunge,rap rock,rock	0.0417	0.545	0.0	0.036	105.754	0.434	0.753
4IiuExPFijOGZnVxGsKWcc	The White Stripes,The Glitch Mob	Seven Nation Army - The Glitch Mob Remix	US3JJ1900534	63	alternative rock,blues rock,detroit rock,garage rock,modern blues rock,modern rock,permanent wave,punk blues,rock	0.152	0.701	0.626	0.133	120.04	0.198	0.844
1Ic9pKxGSJGM0LKeqf6lGe	Nirvana	All Apologies	USGF19960712	69	grunge,permanent wave,rock	0.0793	0.446	0.000266	0.034	113.176	0.359	0.632
3p94RpSxQdZocUfrzpemmm	Stellar	El Dorado	QM24S2100703	64	social media pop	0.132	0.744	0.0	0.0333	119.964	0.614	0.714
1BH3rSiixIJhXe3viUeMAN	Saint Chaos,Sam Tinnesz	Walk	DERK42000045	54	modern alternative rock	0.0178	0.697	0.0	0.0694	121.963	0.796	0.883
01UeBfllW39eaKdiCw556R	Gentrammel	Out Of My Mind	QZES92011614	69	sad lo-fi	0.663	0.61	0.0	0.0372	78.009	0.659	0.609
4DZ1owekDuxYANUMiqe4mA	Confetti	Rob A Bank	DEWO71700080	61	la pop,sad rap,social media pop	0.00598	0.647	0.0	0.26	152.154	0.59	0.815
2wG1R0uDFwyobcWzVssC1J	PEDRO SAMPAIO	GALOPA	BRWMB2100721	73	funk carioca	0.285	0.763	0.0	0.0409	150.009	0.77	0.85
5IDCNwriIlo6iwPeGbEb6R	La Coka Nostra,Slaine,ILL Bill	Gun In Your Mouth	USS1N0912512	40	conscious hip hop	0.207	0.649	0.0	0.288	96.791	0.789	0.936
7ao5gCZAxq8rKOaxCCqM0y	Virgul	Só eu sei	PT3CB1600003	36	portuguese pop	0.516	0.846	3.23e-05	0.119	101.002	0.878	0.759
3HHZ6lDSL7DLfNSDlcT3bI	Virgul	I Need This Girl	PT3CB1600001	23	portuguese pop	0.299	0.852	0.0179	0.0535	103.996	0.819	0.851
7BELSQR2lAJLELaKvVkct3	Ivandro	Lua	PT9GN2200001	60	trap tuga	0.843	0.629	0.000107	0.0854	152.088	0.35	0.348
4unvkr5iuzbmEEWJRPY1L2	Ivandro	Scroll	PT9GN2200005	45	trap tuga	0.636	0.716	0.00153	0.212	82.989	0.514	0.699
0JsMgWcyHB11of0NhNgE9c	NEFFEX	Chance	TCADQ1821388	51		0.0832	0.662	2.21e-05	0.0502	170.127	0.397	0.866
67WMyaBOp5pwWeBXLIJ0ra	Skan,Krale,M.I.M.E,Drama B	No Glory (feat. M.I.M.E & Drama B)	TCADC1734332	61	bass trap,traprun	0.00725	0.495	4e-05	0.0967	150.049	0.247	0.834
7uCBGNn991AM68fR4tSDco	The Score	Born For This	USUM71900930	67	modern alternative rock,modern rock,rock	0.063	0.411	0.0	0.0591	130.134	0.545	0.675
2T5NBwKRySiCR78vVk08vr	DaBaby,Young Thug	BLIND (feat. Young Thug)	USUM72015076	62	north carolina hip hop,rap,trap	0.0115	0.709	0.0	0.346	162.973	0.754	0.679
2ly1S8RJnGesIuUW5Z4aYv	Justina Valentine,Chris Webby	MYOB	USLD91729412	24	trap queen	0.264	0.849	0.0	0.186	100.044	0.591	0.667
5dcmm8ZvXDQMm24jqf4fS9	NEFFEX	Immortal	TCAGA2210767	57		0.144	0.724	0.0	0.195	159.988	0.53	0.668
0BP5fxrr7EwU3I9TNJwjBA	Dillaz	Genebra	PT5HT2200008	52	hip hop tuga	0.694	0.775	0.000678	0.0933	105.101	0.346	0.442
