sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
1lNHWPDvKEbamKezpLq7HW	HONNE	no song without you	GBAHS2000332	63	pop,uk pop	0.489	0.788	0.254	0.0328	105.429	0.81	0.473
45dU8v0zOoOztRfRHdjvNk	Yoste	How It Was	USUM72009917	48	chill pop,indie electropop,indie poptimism,vapor soul	0.662	0.559	0.00306	0.0663	81.009	0.347	0.479
2h9TDNEXRhcDIV3fsoEVq9	Sam Fischer,Demi Lovato	What Other People Say	GBARL2001671	72	australian pop,dance pop,pop,tropical house,uk pop	0.158	0.652	0.0	0.0399	126.904	0.24	0.472
41EwTNHRnFdK7XUI4qinEQ	Maximillian	Ripples	DKUM71900498	52	gen z singer-songwriter,pop	0.682	0.682	0.0	0.0781	129.681	0.452	0.346
7KIM8PBwYO69LTZnQ04Nfp	Gavin Haley,Ella Vos	The Way I Am	USP6L1900408	61	chill pop,oc rap,uk pop	0.772	0.533	0.0	0.0481	99.77	0.14	0.5
68z9t6zihQgqzBGtexjTRG	Lukas Graham	Happy For You	USWB12100981	61	danish pop,pop,scandipop	0.388	0.673	0.0	0.036	136.155	0.217	0.639
56sf2wdTV7nWvkSoWVLCYa	Anthony Ramos	Dear Diary	USUG11902481	42	show tunes	0.587	0.474	3.97e-06	0.0644	125.085	0.37	0.41
3cMAS9DjZHrAnKvPrTIw7Z	Tom Walker,Zoe Wees	Wait for You (feat. Zoe Wees)	GBARL2001067	66	indie anthem-folk,modern rock,pop,uk pop	0.366	0.502	0.0	0.0531	159.78	0.392	0.65
2K8elWg8ihrZRwZJ7Gy6L3	LÉON	Come Home To Me	QMRSZ1802911	61	metropopolis,pop	0.953	0.66	0.0	0.0725	82.035	0.296	0.193
0vrAc1h9XLIy5Fw4x9hD6n	NOAH	83	DKUM71900254	50	danish pop	0.283	0.627	0.0	0.0742	87.767	0.663	0.46
45Q6RNX1yeHpGZpR0RjpKI	Blake Rose	Lost	GBKPL1935754	71	alt z,australian electropop,electropop,pop,uk pop	0.216	0.597	0.0	0.0466	94.749	0.502	0.687
0qO99ZguateexWVK8FldWx	Bjørnskov	Paralyze	DK4YA2007101	51	danish pop	0.0799	0.58	0.0	0.0327	89.82	0.577	0.628
6qfDjlbTTlYUIe5d44RdyA	LØLØ	Dancing in the Dark	UK6KW1800237	59	alt z,canadian pop,pop punk	0.291	0.743	7.87e-05	0.0996	144.992	0.462	0.472
66ZD4DFAmJe3Y9jv2NXqgI	Sam Smith	To Die For	GBUM71906661	60	dance pop,pop,uk pop	0.832	0.461	2.85e-06	0.0762	171.604	0.309	0.362
3H3r2nKWa3Yk5gt8xgmsEt	Sam Fischer	This City	TCADL1840559	78	australian pop,dance pop,pop,tropical house,uk pop	0.733	0.605	0.0	0.0443	73.877	0.519	0.377
3wCk9LASPqyp2VovekThtF	benny blanco,Marshmello,Vance Joy	You (with Marshmello & Vance Joy)	USUM72100060	62	electropop,pop,pop rap	0.054	0.667	2.01e-06	0.041	103.077	0.272	0.572
0cppqb4vQycORHNMxr8DGd	Astrid S	Favorite Part Of Me	NOUM71900465	62	alt z,dance pop,electropop,norwegian pop,pop,post-teen pop,tropical house,uk pop	0.862	0.598	0.0	0.0447	121.621	0.403	0.502
4rVW6XqAsSaf5vOwc8FREW	John Legend,Gary Clark Jr.	Wild (feat. Gary Clark Jr.)	USSM12003402	70	neo soul,pop,pop soul,r&b,urban contemporary	0.036	0.557	0.0	0.0431	63.392	0.305	0.585
22ZcJxQkzIL6EU692kAFWY	LANY	cowboy in LA	GBUM72003712	65	la pop,pop	0.407	0.624	0.0	0.0333	177.963	0.728	0.393
3BBufqWd2Q6othQZoruDPP	Rhys Lewis	Hold On To Happiness	GBUM71900258	46	neo mellow,pop,uk pop	0.802	0.691	0.0	0.267	85.951	0.316	0.414
0Wc6cbF38a90b8wov9V63F	AJ Mitchell	Like Strangers Do	USSM11903510	68	alt z,dance pop,electropop,pop,post-teen pop,social media pop,uk pop	0.515	0.633	0.0	0.0761	98.219	0.694	0.242
410TZTR81hzdwbjMJsW7mk	Hazlett	Fireworks	SE5261900103	47	brisbane indie,indie anthem-folk	0.454	0.698	0.00813	0.0333	134.002	0.0587	0.384
1HbA4N1MiOsPthALesGFR1	Shawn Mendes,Justin Bieber	Monster (Shawn Mendes & Justin Bieber)	USUM72018810	71	canadian pop,pop,viral pop	0.0593	0.64	0.0	0.0574	145.838	0.502	0.392
6pQUQdaZacg722q6sg6fPR	Grace Carter,Jacob Banks	Blame	GBUM72003401	61	pop,uk contemporary r&b,uk pop	0.781	0.34	6.08e-05	0.0711	171.391	0.197	0.398
1e6McS5TlhjM3NRJMLfYPr	Stephen Puth	Crying My Eyes Out	USQX91903000	56		0.201	0.746	9.65e-06	0.0338	104.023	0.719	0.529
0mHvg2txp2llyXiCJZgbCl	Jake Scott	Like No One Does	QZFZ62060612	59	alt z,indiecoustica,pop,pop rock,uk pop	0.35	0.801	1.45e-06	0.237	104.935	0.442	0.41
1kAkUHFb7ryeVkVSRD6Nkj	Kina,yaeow	Wish I Was Better	USSM12001819	64	sad lo-fi	0.747	0.732	6.13e-05	0.111	139.965	0.185	0.304
6sgqf4wXFWSAmjL1TEXNvZ	Elderbrook,Rudimental	Something About You (with Rudimental) - Chill Mix	GBAYE1901212	65	house,pop dance,tropical house	0.365	0.8	0.00206	0.127	106.122	0.443	0.516
23tJmuwvUOa2kTsOlNMWCS	Lauv	Love Like That	GBKPL2099400	64	dance pop,electropop,pop	0.208	0.679	1.02e-05	0.0593	80.011	0.486	0.481
5S7rqoAt14NRdZxfVNFtNf	Cody Simpson	captain's dance with the devil	QM24S2003010	50	australian pop,dance pop,pop,post-teen pop,viral pop	0.659	0.617	0.000262	0.056	97.911	0.485	0.532
6Xgq7MvZiet0hVi3KaDSgJ	Justin Bieber,Chance the Rapper	Holy (feat. Chance The Rapper)	USUM72017013	71	canadian pop,pop	0.2	0.67	0.0	0.35	87.017	0.388	0.693
0W6vig3DpP1D3R4w72hdWp	Dermot Kennedy	Days Like This	USUG12001126	66	folk-pop,irish pop,pop,uk pop	0.909	0.642	0.0	0.198	80.444	0.38	0.214
3GmKMMegOOLPByBUzRxqCS	Fly By Midnight,Betty Who	Lovely	QZHNA1920467	58	alt z,electropop,pop,tropical house,uk pop	0.143	0.548	2.21e-06	0.0511	159.92	0.392	0.715
5hyNzOLHCyYjvrIVIIVIWI	Ed Sheeran	Afterglow	GBAHS2001193	55	pop,uk pop	0.698	0.641	0.0	0.0299	110.184	0.273	0.324
6SUmUChLj2O3dPc0TXJ0ir	Dylan Dunlap	If That's Alright	QZHZ41984202	63	la pop,uk pop	0.356	0.507	0.0	0.0279	137.87	0.333	0.455
4KHSvVJBteqf6XuUDlbltp	JP Cooper	Too Close	GBUM72002089	60	dance pop,neo mellow,pop,tropical house,uk pop	0.117	0.642	0.0	0.103	140.085	0.3	0.734
2UiZOMHWp9a7Yyw7m63pHP	Blake Rose	Ordinary People	GBKPL2006467	54	alt z,australian electropop,electropop,pop,uk pop	0.899	0.363	2.34e-05	0.0358	71.023	0.176	0.12
0GMZTe7a0XBj0kAsp8TOxA	Rhys Lewis	Some Days	GBUM71905264	51	neo mellow,pop,uk pop	0.293	0.768	4.66e-06	0.029	81.007	0.661	0.465
22VPpAWB7qzV8L9rgza11j	Sam Fischer	Hopeless Romantic	GBARL2101470	68	australian pop,dance pop,pop,tropical house,uk pop	0.117	0.654	0.00179	0.0391	113.994	0.392	0.636
2LjeUVxf9m9ugARNcTlbHT	John K	6 months	USSM12000719	63	alt z,electropop,pop,tropical house,uk pop	0.26	0.661	0.0	0.0412	145.91	0.342	0.576
5CRMZVNTo7AxJkWmIPehJQ	Blakey	Confidant	UK6KW1900283	56	uk pop	0.804	0.504	5.34e-06	0.131	110.392	0.265	0.397
2Z40l10k74qcQAP88F5KEY	Kevin Waters Group	The Sun Descending	SE5W32103056	51		0.982	0.437	0.296	0.0315	102.409	0.16	0.0956
4bXxeSD7lqij49IKogh7VP	KTZ Players	My Reverie	SE5IB2135803	54	background jazz	0.86	0.467	0.011	0.0314	103.316	0.0761	0.105
00dxvvVllByEVaCnkLR1RL	Carlton Maison Quartet	Heyoke	SE5W32201333	49	background jazz	0.973	0.466	0.015	0.0387	80.08	0.124	0.157
6N57mvrlpGr2yl0FfiHnY4	Marcin Wasilewski,Slawomir Kurkiewicz,Michal Miskiewicz	Ballad Of The Sad Young Men	DEB331020805	52	contemporary jazz,ecm-style jazz,modern jazz piano,polish jazz,swedish jazz	0.916	0.372	0.911	0.0357	137.995	0.0798	0.0891
05prboiM4bmlXfvsvghvI1	CMC 3	Once I Had A Secret Love	SE5W32014402	56	background jazz	0.966	0.276	0.952	0.0336	81.423	0.157	0.232
5KjUmRrLUBDEE9v5aCtIiS	Ted Jonson Trio	Carey	SE5IB2124742	50		0.91	0.442	0.0328	0.0371	96.125	0.0476	0.0155
5ARta7jvD6MRUiSk54jY5r	Bill Evans Trio	My Foolish Heart - Live	USFI86100091	49	bebop,jazz,jazz fusion,jazz trio	0.92	0.392	0.501	0.0341	115.285	0.125	0.13
24mDMSSd3K07ilwCA83WzW	Jasmine Patterson	One of your little friends	SE5IB2101778	54		0.954	0.499	0.852	0.0347	88.458	0.166	0.0688
7KkuAiPMECCD5FB2sbDyU2	Corin Stannard Trio	What's New	SE5IB2153164	54		0.962	0.448	0.81	0.0384	136.781	0.2	0.0658
116Z8pydjYsREn2LWk7El7	Gillian Spencer Trio	And All Is Well Now	SE5IB2000824	50		0.853	0.219	0.864	0.0348	79.101	0.167	0.0442
33HRgQotoW6raDZVZs3Rxk	Ted Ross Quartet	Socks And Sandals	SE5IB2152975	53	background jazz	0.982	0.4	0.8	0.0347	130.39	0.245	0.119
7wAFHu3ueBLEebC5NEOk9z	Meadow Park	When I Fall In Love	SE5W32102136	52		0.937	0.424	0.861	0.0417	104.45	0.135	0.103
77eZBHfUgVSPqatPpsdY1m	Baker St.	How I Sing	SE5W32104127	50	background jazz	0.931	0.484	0.955	0.0335	116.258	0.184	0.204
55FKJfDFMkBvd04FBXYlYX	The City of Birches	Sleep Paralysis	SE5W32103449	51	background jazz	0.978	0.483	0.296	0.0425	112.145	0.252	0.106
7ojUoFuu49TkZ8mvMEndt0	Billy Hicks Quartet	Monk's Mood	SE5IB2152939	52		0.989	0.374	0.954	0.0341	105.41	0.11	0.0765
3Lw66iXGahJAT1anjgkt9E	Turtleneck Trio	Change of Heart	QZAKB2150480	53	background jazz	0.97	0.3	0.439	0.03	84.856	0.0894	0.125
5iUZ1247JyTUfjSoA4nVQl	Theo Rollins	Moment To Moment	SE5IB2117551	52		0.965	0.479	0.913	0.0437	103.572	0.142	0.12
0c6PEeFIX4PQ20yyjwW1SE	Martin Landström	Spring Is in the Air	SE5Q52102447	57	background jazz	0.848	0.459	0.865	0.0379	109.113	0.0793	0.214
5tt5XCZlIpHyrdMNNRm721	Dinner Club Band	In Unforgettable Ways	QZAKB2165282	50		0.931	0.349	0.506	0.0359	97.195	0.118	0.0719
74x6ocYFnfjVf5DdtFR7gP	Newington Green	In the Days of our Love	SE5IB2117533	52	background jazz	0.974	0.522	0.907	0.0419	106.006	0.132	0.0696
5N0y8OEkKUkiC8IhAWsFpm	Josh Lavender Trio	Independence Road	QZAKB2166162	55		0.915	0.234	0.249	0.0316	84.35	0.0388	0.0845
2YDm0hVUj1JGWqyRK6ERpP	James Jackson Jazz Trio	Bella's Smile	QZAKB2165531	51	background jazz	0.928	0.325	0.0425	0.0382	77.635	0.0745	0.0683
6UN7iywg34GxVpbWGcEuPd	Bill Charlap Trio	What Are You Doing The Rest Of Your Life?	USUM72110171	52	jazz,jazz trio	0.956	0.392	0.858	0.0389	92.045	0.0725	0.0366
5f2btCjcN87enR8OBijRBz	Southside Trio	The Law of Attraction	SE5W32101050	58		0.972	0.461	0.88	0.0367	114.931	0.193	0.0727
7g1qq3AN0siIENRddNSloR	John B. Stewart	Johnny Come Lately	SE5W32200334	51		0.909	0.552	0.928	0.0362	68.51	0.189	0.125
5EV1wV9ZvK2PsSAwnJSNgb	Sonny Clark	Gee Baby, Ain't I Good To You	USBN29700824	51	bebop,contemporary post-bop,hard bop,jazz,jazz piano,stride	0.842	0.676	0.421	0.0651	70.309	0.221	0.124
0P0YUfbBRKa1GSCSWmFd2p	LaSalle Street Trio	Deep In A Dream	SE5W32100266	53	background jazz	0.971	0.476	0.828	0.0357	113.985	0.182	0.0808
