sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
7wgkQbVbZR9pa6bauIhnSl	Chase Atlantic	I THINK I’M LOST AGAIN	US5262023878	48	pop	0.0593	0.563	0.0	0.0388	101.982	0.127	0.522
0matCTSPUdFMTAr1YhCvaE	Chase Atlantic	CALL ME BACK	US5262023882	49	pop	0.00486	0.691	7.75e-06	0.0389	95.984	0.392	0.69
6zegtH6XXd2PDPLvy1Y0n2	Ariana Grande,Miley Cyrus,Lana Del Rey	Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)	USUM71912501	67	dance pop,pop	0.00237	0.644	7.64e-06	0.0448	102.861	0.334	0.755
0htXYyN03UGRNuK2jVsiie	Jarryd James	Slow Motion	NZDY11800055	22	australian alternative pop,australian r&b	0.01	0.618	0.376	0.0556	145.004	0.731	0.783
3sZfQB5uYTJmA4QnB8dv7P	Oh Wonder	White Blood	GB9L31400021	60	electropop,indie poptimism,pop,pop rock	0.845	0.477	0.000446	0.0555	131.28	0.0819	0.229
5bv87T8PtI8c1KSUn2QRsz	Klergy	World on Fire	TCAED1975526	37		0.37	0.265	0.0214	0.0359	131.591	0.0677	0.305
4PhsKqMdgMEUSstTDAmMpg	The Weeknd	Often	USUG11401323	77	canadian contemporary r&b,canadian pop,pop	0.222	0.572	0.0	0.0476	134.078	0.0713	0.631
4HwDCXsMBC7SUdp2WT4MZP	Chase Atlantic	Into It	USWB11602565	76	pop	0.0503	0.518	2.41e-05	0.0416	130.053	0.291	0.572
3M0lSi5WW79CXQamgSBIjx	Chase Atlantic	Swim	USWB11701711	81	pop	0.27	0.666	0.0	0.0392	120.134	0.0771	0.542
492PZFHvGTm3RZZYeeUVWT	Chase Atlantic	Okay	USWB11701714	67	pop	0.112	0.614	0.0	0.131	130.049	0.431	0.815
5dewQ7ojISR32NAYNHFYWC	Chase Atlantic	HEAVEN AND BACK	QMRSZ1900604	61	pop	0.0902	0.309	0.092	0.0774	193.714	0.532	0.793
0AvVR6Bx52aY3cWdRDdTfx	Chase Atlantic	PHASES	QMRSZ1900601	49	pop	0.315	0.656	0.0844	0.0341	122.038	0.507	0.524
2KtS31kaWNHs12Q5B43Ixh	Chase Atlantic	Right Here	USWB11602564	67	pop	0.00516	0.351	1.87e-05	0.0413	159.881	0.221	0.587
7bbYT48HWWIbL3YKmtMNzn	Chase Atlantic	Church	USWB11602566	63	pop	0.0109	0.556	0.0	0.0548	112.99	0.292	0.824
