sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
6gI9b2VsoWhjhIuIeToDVs	Kendrick Lamar,Blxst,Amanda Reifer	Die Hard	USUM72208965	88	conscious hip hop,hip hop,rap,west coast rap	0.319	0.775	0.00116	0.247	100.988	0.362	0.736
2FeBslNBMdR9V58uv6hd2t	Kendrick Lamar	N95	USUM72208963	90	conscious hip hop,hip hop,rap,west coast rap	0.377	0.79	2.32e-06	0.105	139.956	0.408	0.67
3dYD57lRAUcMHufyqn9GcI	Hozier	Take Me To Church	IEACJ1300031	80	irish singer-songwriter,modern rock,pop	0.634	0.566	0.0	0.0464	128.945	0.437	0.664
1qDrWA6lyx8cLECdZE7TV7	Gotye,Kimbra	Somebody That I Used To Know	AUZS21100040	77	australian pop	0.548	0.865	0.000115	0.0371	129.059	0.748	0.521
5HPj0yTUFEFNia8SWgjq46	Snow Patrol	Open Your Eyes	GBUM70600352	49	irish rock,modern rock,neo mellow,permanent wave,pop rock	0.000722	0.526	0.00174	0.0305	130.961	0.0621	0.785
5hnyJvgoWiQUYZttV4wXy6	Snow Patrol	Chasing Cars	GBUM70600345	68	irish rock,modern rock,neo mellow,permanent wave,pop rock	0.199	0.56	6.47e-05	0.0274	104.011	0.144	0.595
3JvKfv6T31zO0ini8iNItO	Tom Odell	Another Love	GBARL1300107	88	chill pop,pop	0.695	0.445	1.65e-05	0.04	122.769	0.131	0.537
4EpZ4eYuZOwPSSwyqpdHnJ	Rex Orange County	Sunflower	US23A1500468	76	bedroom pop,pop	0.646	0.384	0.00352	0.0579	129.903	0.567	0.765
1KZyVnyptQcPzkx7ELCnZC	James Bay	Hold Back The River	USUM71413733	68	modern rock,neo mellow,pop,pop rock	0.0526	0.715	0.0	0.0902	134.922	0.507	0.715
4IvZLDtwBHmBmwgDIUbuwa	Pixies	Here Comes Your Man	GBAFL9700090	67	alternative rock,boston rock,modern rock,permanent wave,rock	0.00772	0.669	0.0781	0.0285	124.594	0.882	0.795
64AxL9enXcTGTTbD4bytlx	So You Say	Geronimo	uscgj1571491	49		0.28	0.664	1.57e-05	0.0461	142.012	0.448	0.694
1HkOPLwAJH3kE8UnqgxF4s	Bon Iver	Skinny Love	US38Y0811503	64	eau claire indie,indie folk,melancholia	0.842	0.592	2.38e-06	0.0449	76.358	0.103	0.256
1EzrEOXmMH3G43AXT1y7pA	Jason Mraz	I'm Yours	USEE10800667	78	acoustic pop,neo mellow,pop,pop rock	0.559	0.703	0.0	0.0417	150.96	0.712	0.444
5EYi2rH4LYs6M21ZLOyQTx	Rex Orange County,Benny Sings	Loving Is Easy	GBKPL1789493	74	bedroom pop,pop	0.217	0.756	0.00474	0.0544	117.023	0.537	0.609
6rVkWNlI1MovJxgIcBDAJ2	Madredeus	Oxalá	PTEM11200160	34	fado	0.912	0.635	0.73	0.0289	99.175	0.345	0.327
1ERZfz9nP4Rjsa1MZemsb5	Madredeus	A andorinha da primavera	PTEM19700118	34	fado	0.942	0.45	0.0337	0.0326	170.595	0.351	0.225
1rnNgMJDYoUp4uyvTwk0W3	Madredeus	Guitarra	PTEM19400001	35	fado	0.912	0.703	0.136	0.0342	97.112	0.537	0.345
