sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0KXCN5DoYmiPvP4JmoVYEP	Sippinpurpp	Não há impossíveis	PTBM12200066	42	hip hop tuga,trap tuga	0.753	0.78	0.0	0.243	74.959	0.804	0.342
1mQOFRDoqI34LdN79PE0vH	MC Zaquin	Ô Moça	BX9L12000124	67	funk bh,funk carioca,funk mtg	0.481	0.84	0.0	0.0797	130.041	0.527	0.495
63ZedTAVRCICh2CNLWnsPZ	Beny Jr,Morad,K y B	Sigue	ES71G2211486	78	drill espanol,trap latino	0.611	0.682	0.0328	0.165	122.053	0.594	0.708
6DXLO8LndZMVOHM0wNbpzg	Don Omar,Lucenzo	Danza Kuduro	USUM71020778	75	latin,latin hip hop,puerto rican pop,reggaeton,trap latino	0.078	0.699	0.0	0.115	130.04	0.889	0.917
608vkoylpUJwFRQOJ1YfvX	MattOfficiel	Pepas x Danza kuduro	FR0Z50073581	60		0.0498	0.529	8.52e-06	0.0768	130.04	0.608	0.817
2TPBDdqlAb6BitW6KC1KjW	Plutonio	Lucy Lucy	PT9EV1900004	42	hip hop tuga	0.128	0.707	0.00109	0.286	150.088	0.226	0.661
1ftBvRj542ol7LT1A0EtL7	Wet Bed Gang	Devia Ir	TCADS1831472	55	hip hop tuga,trap tuga	0.638	0.714	0.0	0.403	94.205	0.486	0.51
1RgJ4lexKGNBlKnyxB5SRt	Teto,Mateca	Balazul	BXW922100039	74	trap baiano	0.31	0.843	0.0	0.166	110.077	0.772	0.458
48QmG1dfvMuYLxMPt7KSRA	Sean Paul,Dua Lipa	No Lie	GBUM71604557	84	dance pop,dancehall,pop,pop rap	0.0466	0.742	0.0	0.117	102.04	0.463	0.882
2GOeYeBP8Q0YlkAwA3dcgU	Morad	Chandal	QM6MZ2229538	67	drill espanol,urbano espanol	0.219	0.808	0.332	0.0429	131.011	0.642	0.725
4PDIRuYFdbgeuwDM3QsrSH	Greg Ferreira	Gucci Dior	USLZJ2231060	50		0.237	0.781	7.97e-06	0.0472	120.103	0.355	0.491
0PcyN2hI0cMm4lIgDn8Zd5	Lil Noon,tripsyhell	Phone	QZFZ72083914	20	trap tuga	0.246	0.668	0.391	0.0661	128.012	0.078	0.598
38skB1K2bX6lQEiQQyMboa	Sippinpurpp	Extravagante	PT7HL1800009	37	hip hop tuga,trap tuga	0.331	0.594	0.00012	0.366	87.8	0.55	0.296
1RljKrmC3uVtuP8w0RW2xk	MC G15	Cara Bacana	BXG6R2100800	56	funk carioca,funk mtg,funk ostentacao,funk paulista	0.0711	0.599	0.0	0.0644	87.891	0.726	0.512
6bTdZ7xfKp3NqqADJ8HLyj	Matuê,WIU,Teto	Vampiro	BXW922100034	84	r&b brasileiro,rap cearense,trap brasileiro	0.0136	0.782	0.0	0.0438	114.994	0.627	0.643
4PYfFHKfjYz6dwAtZhBy1z	Central Cee	Obsessed With You	ZZOPM2110165	74	drill brasileiro	0.192	0.746	0.0	0.0435	143.062	0.904	0.825
2FGhB10Gon36GgFcOTMQEW	Pineapple StormTv,MC Hariel,Negra Li,Ducon,MC Kevin o Chris,Chris MC,Matuê,Dk 47,Vitão,Salve Malak,Hunter	Poesia Acústica #7: Céu Azul	BRUK01900056	67	rap baiano,trap baiano,trap brasileiro	0.0875	0.795	0.0	0.31	102.756	0.543	0.697
4OfKTnuccYFO1xxF4tCvRE	Matuê	Vem Chapar	BXW922000003	61	r&b brasileiro,rap cearense,trap brasileiro	0.166	0.696	0.0	0.227	94.936	0.242	0.831
2IT0T0EqPaUxasjl2o8J2G	Pop Smoke	Christopher Walking	USUM72000326	64	brooklyn drill	0.0114	0.773	0.0	0.244	141.004	0.764	0.744
2QLbRVzixE282JSQjBz2DG	Alok,Mc Don Juan,Dj GBR	Liberdade (Quando o Grave Bate Forte)	BXG6R2001563	70	electro house,pop nacional,slap house	0.0254	0.81	1.85e-06	0.0498	129.988	0.432	0.789
0cHflpV8SSGbE0NKaasEfT	Filipe Ret,Dallass	F* F* M*	BRRGE2100756	73	pop rap brasileiro	0.651	0.866	0.0	0.344	119.982	0.362	0.542
6mPZVis3gEGSSR2rhxlehT	Pop Smoke	Merci Beaucoup	USUM72112401	60	brooklyn drill	0.476	0.581	5.66e-06	0.189	141.823	0.103	0.476
5nBeA25zmcAT3UyV9lVRec	Lil Yachty	Lemon Head	USUG12001621	45	atl hip hop,hip hop,melodic rap,rap,trap	0.0702	0.852	0.0	0.307	77.532	0.853	0.715
1dnsojUNfvhiztcITLzruj	Pop Smoke,NAV	Wolves (with NAV)	USUM72003037	61	brooklyn drill	0.143	0.836	0.0	0.197	142.99	0.652	0.627
2HrjORyFBF3IFnXOAC3Rox	Mc Poze do Rodo,MC Maneirinho,Mainstreet,Neo Beats	CPX Ta Tega	BCM9A2200011	69		0.221	0.81	0.0	0.543	119.644	0.874	0.732
2HvPU8lgpPRBrHOTibzwNl	sora9k,Catarina H	Space	SE6I32009622	18	trap tuga	0.589	0.655	3.87e-06	0.0645	140.156	0.172	0.592
4xsFJKdq9uZqovp4B9hZPg	sora9k,tripsyhell	what she never had	SE6I32043486	19	trap tuga	0.375	0.781	0.00066	0.107	120.988	0.299	0.203
5x7SeL6RLX4IbTqspTNunL	Mikez,Lil Noon	Tenso	QZHNB1955173	21		0.631	0.738	0.563	0.219	179.932	0.466	0.324
7lkRI377Sm2CZIfD7JANkR	BCL CONCEPT	Longway (Lil Noon)	QZDA72134020	1		0.0997	0.8	0.0	0.13	116.009	0.381	0.3
4a0H1kKez7UVLveRL5cEgy	Phoenix Rdc	Vencedor	QM4TW1943831	47	hip hop tuga,trap tuga	0.849	0.496	0.0	0.375	87.277	0.491	0.681
4MF0VMffyxHsy3GZwwUnAs	Matuê	A Morte do Autotune	BX2M81800014	68	r&b brasileiro,rap cearense,trap brasileiro	0.363	0.615	0.0	0.262	151.786	0.35	0.529
68rcszAg5pbVaXVvR7LFNh	Asaf Avidan,The Mojos,Wankelmut	One Day / Reckoning Song (Wankelmut Remix) - Radio Edit	DEQ321200132	71	israeli pop,israeli rock	0.223	0.826	6.92e-05	0.0571	118.99	0.534	0.668
1lyXoUkYECrVNGHSQdmsPX	MC G15,DJ Jorgin	Deu Onda	BXG6R1600245	53	funk carioca,funk mtg,funk ostentacao,funk paulista	0.382	0.948	0.0	0.0555	130.055	0.851	0.636
2p72O2JobPc9sVz520Hil5	Swae Lee	Reality Check	USUM72011604	55	melodic rap,trap	0.176	0.542	0.0	0.0645	120.046	0.0702	0.434
7qD2vjd3btuOgwpQPEY7ci	Mc Don Juan,MC G15,Mc Davi	EU VOU COM CARINHO ELA QUER COM FORÇA	BRWMB2200536	82	arrocha,batidao romantico,funk carioca,funk ostentacao,funk paulista	0.353	0.82	1.69e-05	0.0485	129.854	0.209	0.28
691qy6vl0fQzvZARj9hmol	Pineapple StormTv,Mc Poze do Rodo,JayA Luuck,Pk,Salve Malak	Estacionamento	BXYVJ2000050	46	rap baiano,trap baiano,trap brasileiro	0.278	0.712	0.0	0.293	150.003	0.464	0.63
3ua3rqwBNmeGeQfcKnA3bT	Doode,Teto,Matuê	Groupies	BXW922100020	73		0.239	0.845	0.0	0.0612	139.955	0.516	0.655
0yL7K9MzC20uBesZTPY81r	DJ Matt D,Menor MC,MC GP,Vulgo FK	Pandora	BXG5C2100582	78	funk carioca,funk consciente,funk ostentacao	0.14	0.688	0.0	0.588	124.553	0.559	0.458
7IG7laqVpcvIIULrwWP5SA	Mc Poze do Rodo,Neo Beats,Mainstreet	Vida Louca	BXPFF2100001	70		0.359	0.852	0.0	0.227	92.464	0.744	0.62
7afaZ37wJJL6880z1NRgJS	Teto	Fim de Semana no Rio	BXW922200001	83	trap baiano	0.118	0.867	0.0	0.084	118.868	0.29	0.494
5h5TUj8pU2WhdSeJx9BnX2	Morad	Pelele	QMFMF2131945	77	drill espanol,urbano espanol	0.224	0.83	0.00065	0.163	144.929	0.825	0.698
5bBQI31u2eqXJE5OyP4hxq	Mizzy Miles,Deejay Telio,Teto,Gson	EUROPA (feat. Gson)	PT6I22000001	61	hip hop tuga	0.0701	0.794	0.0	0.0991	98.05	0.183	0.619
3UZUEIxIO8diPNOVusvrui	Wet Bed Gang	La Bella Mafia	ES71G2009597	43	hip hop tuga,trap tuga	0.141	0.531	0.0	0.44	100.056	0.447	0.614
0JhonNQL2ixH1JcsgEj4Hn	Pop Smoke,Lil Tjay	War	USUM71919421	64	brooklyn drill	0.221	0.65	0.0	0.134	141.849	0.6	0.778
7Fy2EkyMH0R8GsX0LDj0ns	VSP AST	Caminho Duma Superstar	QZ5AB2263536	36		0.299	0.596	0.0	0.2	176.047	0.415	0.866
3fLZnUksOdu7FJAoz3XJU6	Orochi,Mc Poze do Rodo,Mainstreet,Ajaxx	Lobo	QZHZ32110041	58	brazilian hip hop,funk carioca	0.179	0.398	0.0	0.069	121.492	0.105	0.59
2wQFeNOIMqsMeITsFYAUkg	Dillaz	Oitavo Céu	PT5HT2200003	49	hip hop tuga	0.642	0.687	1.09e-05	0.193	140.114	0.325	0.567
3V8UKqhEK5zBkBb6d6ub8i	Nio Garcia,Casper Magico,Bad Bunny,Darell,Ozuna,Nicky Jam	Te Boté - Remix	QM4TW1811888	77	latin,latin hip hop,reggaeton,trap latino	0.542	0.903	1.28e-05	0.214	96.507	0.442	0.675
4QFzCjkQl2c7wrzVrOu2sz	Orochi,Dallass	Balão	BX02F1900002	61	brazilian hip hop,funk carioca	0.161	0.664	0.0	0.169	116.863	0.186	0.572
0IfbGbFoC2Joe0Ki7KRwnC	Greg Ferreira,Portugal No Beat	O Pai Ta On	QZNWY2020390	54		0.614	0.834	0.0	0.207	125.908	0.678	0.503
25r6MZ4Gtd76l43qnZI1DG	Don Toliver,Travis Scott	Flocky Flocky (feat. Travis Scott)	USAT22106111	69	pop,rap,trap	0.0252	0.8	0.0	0.0375	135.99	0.194	0.541
6PUIzlqotEmPuBfjbwYWOB	Lana Del Rey,Cedric Gervais	Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix	GBUM71304610	74	art pop,pop	0.0157	0.572	6.53e-06	0.0558	126.052	0.11	0.81
27oFpFktCq9JIXjJQRuv7a	6ix9ine	GOTTI	QMEU31886336	65	emo rap,rap	0.0524	0.728	0.0	0.176	161.9	0.365	0.584
7vc5AC3AELadRx55OBdHME	prettieboy johnson,Yuri NR5	spaceship (feat. Yuri NR5)	PT9IJ2000005	39	trap tuga	0.557	0.477	0.0	0.0877	156.883	0.481	0.286
3djugNm18XH4pUAcP0tyhh	LON3R JOHNY,ProfJam	DAMN / SKY (feat. ProfJam)	PT6HL1900008	45	hip hop tuga,trap tuga	0.658	0.559	7.15e-06	0.126	143.257	0.309	0.414
24DEtUjFhpV57zGnwzHR4H	LON3R JOHNY	GT3	PT6HL1900006	42	hip hop tuga,trap tuga	0.559	0.71	1.34e-05	0.0668	147.91	0.252	0.488
5IeO1cuobj16vTj7fwvJbo	Greg Ferreira	BLESSED	QZFZ52163590	58		0.282	0.716	0.0	0.0903	102.038	0.653	0.605
2CP5Qa4rV7ALcWJ9n1Ek1R	Greg Ferreira,Portugal No Beat	Embrazadão	GBWUL2171351	48		0.0879	0.568	0.0	0.115	89.633	0.319	0.716
2c80HnIOPMmQQVQllQEWb5	Matuê	É Sal	BXW922000004	69	r&b brasileiro,rap cearense,trap brasileiro	0.173	0.708	0.0	0.119	159.915	0.459	0.734
0RLLvYBopDwooCyvnTwgYu	Lil Tjay	F.N	USSM11904899	78	brooklyn drill,melodic rap,nyc rap	0.354	0.567	0.0	0.247	120.1	0.321	0.515
6uJONCdr2rC65BNmCnTBWK	JACKBOYS,Sheck Wes	GANG GANG	USSM11914990	67	rap,trap	0.071	0.859	0.0	0.301	123.017	0.568	0.6
27a1mYSG5tYg7dmEjWBcmL	Travis Scott	CAN'T SAY	USSM11806670	76	hip hop,rap,slap house	0.201	0.702	0.0	0.0547	147.98	0.713	0.708
6urLjX35oXXRYtcH1b3dCh	Huncho Jack,Travis Scott,Quavo,Offset	Dubai Shit	USUM71714127	62	hip hop,melodic rap,rap,southern hip hop,trap	0.0674	0.774	0.0	0.0532	138.072	0.227	0.529
5rZlwNFl01HqLWBQGryKSm	Pop Smoke,Lil Tjay	Mood Swings (feat. Lil Tjay)	USUM72013632	79	brooklyn drill	0.487	0.48	0.0	0.368	179.798	0.269	0.602
330CY6XkYOnnh8w7Nm114t	LON3R JOHNY	Drip	PT6HL1900004	44	hip hop tuga,trap tuga	0.275	0.743	0.0	0.127	124.937	0.368	0.414
6vZbWgHWITDgEe6a2aOUqY	Mc Livinho	Fazer Falta	BXG6R2100784	59	funk carioca,funk ostentacao,funk paulista	0.0132	0.548	3.06e-06	0.0967	84.812	0.267	0.467
3I8MbKRkS2IBDuslhCS3iT	A$AP Rocky	Excuse Me	USRC11500791	63	east coast hip hop,hip hop,rap,trap	0.33	0.653	0.0	0.0555	122.04	0.41	0.71
0bV0LtjtZH76gD0ujPYS3n	Matuê	Gorilla Roxo	BXW922000006	69	r&b brasileiro,rap cearense,trap brasileiro	0.0614	0.668	0.0	0.106	134.988	0.276	0.814
5DmHgfqBr0ksk3QAjlttIm	Yuri NR5	Eu Tou Fixe	QZDA71946982	39	hip hop tuga,trap tuga	0.0217	0.748	0.00112	0.134	156.046	0.274	0.432
6O7fPYTsb2mY0PiFt2ymDB	Pop Smoke,Quavo	Aim For The Moon (feat. Quavo)	USUM72013369	64	brooklyn drill	0.497	0.713	3.46e-06	0.107	142.025	0.432	0.605
5lYAphI00oZ5ZtH7CEJDqV	Dillaz	Conto	ES71G2013860	47	hip hop tuga	0.416	0.582	1.3e-06	0.671	93.237	0.607	0.441
