sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
7rAkqC6uOz7DTzgviLjJp2	Sabaton	Christmas Truce	SE6HE2100901	39	metal,power metal,swedish metal,swedish power metal	0.00486	0.324	0.0	0.0633	186.041	0.214	0.94
6OcE7aXYmNEwF6H7Ei9Y3q	Battle Beast	King for a Day	DED831601546	63	finnish heavy metal,finnish power metal,melodic metal,power metal	0.00104	0.601	0.000224	0.0499	104.987	0.733	0.933
4Qe4jyrOpoUeph5U8gwwxA	Avantasia	Farewell	DEZ900500544	52	german metal,german power metal,melodic metal,metal,neo classical metal,opera metal,power metal,symphonic metal	0.00388	0.457	0.0	0.0267	98.679	0.148	0.645
7n0xNRWiGl5deHGUTCdMZ3	Yngwie Malmsteen	Seventh Sign	QMHUY1559205	37	album rock,hard rock,instrumental rock,metal,metal guitar,neo classical metal,power metal,rock,shred,swedish hard rock	0.00242	0.42	0.0315	0.0456	140.925	0.45	0.88
1uuOvhl5YrDbeOPpsXVpjk	Nightwish	Nemo	DED830402091	45	finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal	0.00027	0.492	2.22e-05	0.0334	125.049	0.336	0.715
5VZwMq6yaFb04PCTfdNY3K	Helloween	I Want Out	GBAJE0200152	67	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,old school thrash,power metal,rock,speed metal	0.000333	0.477	0.000155	0.0387	91.009	0.629	0.859
07thLbY0eGli2xWWIPdrN2	Iced Earth	Watching over Me - Remixed & Remastered	US4E40491404	51	hard rock,metal,neo classical metal,old school thrash,power metal,power thrash,speed metal,us power metal	0.00134	0.508	0.0	0.0718	129.174	0.184	0.852
0qTjb7p9gbojEemSJP71Yd	DragonForce	Fury Of The Storm	GBAJE0400118	59	british power metal,metal,power metal,speed metal	3.27e-05	0.227	0.194	0.0788	199.798	0.182	0.905
7vAwjvJs8YSlHcykJu7nc0	Helloween	Future World	GBAJE0200143	55	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,old school thrash,power metal,rock,speed metal	0.00253	0.472	9.97e-06	0.064	97.934	0.556	0.936
06OAtSr9Yof33xxJgjpDte	HammerFall	Crimson Thunder	DED830264704	49	gothenburg metal,hard rock,melodic metal,metal,neo classical metal,power metal,swedish power metal	0.000209	0.445	1.07e-05	0.0372	89.854	0.249	0.777
4QCGfqoCLZ3x9iMgtzUMD9	Nightwish	Dark Chest of Wonders	DED830471901	51	finnish metal,finnish power metal,gothic metal,gothic symphonic metal,opera metal,power metal,symphonic metal	1.15e-05	0.489	0.379	0.0493	94.995	0.507	0.885
4EoW9HuG3iFwV0B6w4Khkf	Shaman	For Tomorrow	DEZ900500629	21	brazilian metal,brazilian power metal,brazilian progressive metal,neo classical metal,power metal,progressive power metal	0.0105	0.484	0.000298	0.0778	110.273	0.298	0.876
1vDJE9fE7FB8proknu3u8E	Stratovarius	Hunting High And Low	DEH841000203	56	finnish power metal,melodic metal,metal,neo classical metal,power metal,progressive metal	0.000163	0.505	0.268	0.11	93.793	0.389	0.978
4gFhLQA90CAFuS0Ma8aIiX	Blind Guardian	Mirror Mirror - Remastered 2007	DED831701047	57	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,power metal,speed metal	0.00135	0.314	0.000247	0.0939	177.931	0.238	0.964
7rnYzAK4JcKvKwWmKXrYH2	Orden Ogan	Inferno	DEU602009127	43	folk metal,german metal,german power metal,melodic metal,metal,neo classical metal,power metal	0.000988	0.529	0.0	0.0753	120.509	0.373	0.968
3Mz5lXbMBK2tUmKAwAJwi1	Orden Ogan	Gunman	DEU601706950	56	folk metal,german metal,german power metal,melodic metal,metal,neo classical metal,power metal	2.28e-05	0.308	0.0648	0.0591	175.036	0.189	0.965
5PDKajOvt9yMVCsgQhYcMn	Danger	22:39	FR9W11824897	52	darksynth,electro house,filter house	2.49e-05	0.479	0.142	0.03	118.007	0.616	0.956
6OcE7aXYmNEwF6H7Ei9Y3q	Battle Beast	King for a Day	DED831601546	63	finnish heavy metal,finnish power metal,melodic metal,power metal	0.00104	0.601	0.000224	0.0499	104.987	0.733	0.933
3iKSyNDGzJ3FcjXoDKqehS	Beast In Black	From Hell with Love	DED831801690	60	finnish heavy metal,finnish power metal,melodic metal,power metal	0.000104	0.502	0.00212	0.0482	120.066	0.552	0.9
5OhObDgE7DAEkbpWfpoqaY	Orden Ogan	Till the Stars Cry Out	DEU601203864	26	folk metal,german metal,german power metal,melodic metal,metal,neo classical metal,power metal	0.000202	0.305	0.00144	0.0917	176.02	0.123	0.959
5PDKajOvt9yMVCsgQhYcMn	Danger	22:39	FR9W11824897	52	darksynth,electro house,filter house	2.49e-05	0.479	0.142	0.03	118.007	0.616	0.956
6OcE7aXYmNEwF6H7Ei9Y3q	Battle Beast	King for a Day	DED831601546	63	finnish heavy metal,finnish power metal,melodic metal,power metal	0.00104	0.601	0.000224	0.0499	104.987	0.733	0.933
0lLhB70QIpXV2s9OT7GauB	Helloween	March of Time	GBAJE0509138	46	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,old school thrash,power metal,rock,speed metal	3.89e-05	0.36	3.66e-06	0.119	147.898	0.118	0.965
1BrgjqSg9du0lj3TUMLluL	Sabaton	To Hell and Back	SE2EG1400105	72	metal,power metal,swedish metal,swedish power metal	0.00318	0.536	0.00197	0.0616	127.002	0.305	0.849
7rAkqC6uOz7DTzgviLjJp2	Sabaton	Christmas Truce	SE6HE2100901	39	metal,power metal,swedish metal,swedish power metal	0.00486	0.324	0.0	0.0633	186.041	0.214	0.94
2sWdCAkJzk9zUeBKmXtott	Helloween	If I Could Fly	DED830055106	54	german metal,german power metal,hard rock,melodic metal,metal,neo classical metal,old school thrash,power metal,rock,speed metal	0.0048	0.475	0.0	0.0377	79.089	0.672	0.906
0bUgTRe5st6TMbRCEjKezX	Sabaton	The Last Stand	DED831600523	71	metal,power metal,swedish metal,swedish power metal	0.00454	0.519	0.0	0.0423	104.044	0.498	0.935
6XHBQpNy0t1GR1qAHRfuLQ	Danger	10:27 Appledew Stew	FRIDO2012312	32	darksynth,electro house,filter house	0.429	0.701	0.872	0.035	100.006	0.276	0.742
1gblyjHeT0BqOqo1ah3qgn	Danger	08:16 Home	FRIDO2012311	37	darksynth,electro house,filter house	0.413	0.617	0.752	0.0504	116.99	0.34	0.869
1jggyPE7U6t5PBkfaApjTx	Danger	07:41 The Beginning of Something	FRIDO2012310	35	darksynth,electro house,filter house	0.0312	0.519	0.293	0.0294	108.983	0.083	0.798
6X7aCvlqA4qvo8PQ1CZwuY	Danger	04:42 Still Free	TCAEW2029899	48	darksynth,electro house,filter house	0.171	0.764	0.888	0.114	126.976	0.571	0.858
2G0c5XvospcOSyA3t1W2X2	Carpenter Brut	Looking For Tracy Tzu	FR9W11319892	53	cyberpunk,darksynth,synthwave	0.000733	0.511	0.803	0.0913	109.088	0.0864	0.884
