sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
53pQO2FfWv3gpmTfAd2j0I	Ben Reilly	Maytag (Tax Free)	QZHNA2119104	57		0.0189	0.462	0.0	0.299	83.755	0.546	0.669
1cfs0qXoMWheM0s8Rq7jf0	Jorja Smith	Blue Lights	US23A1500072	43	pop,r&b,uk contemporary r&b	0.645	0.655	0.0	0.209	92.028	0.334	0.56
1DFD5Fotzgn6yYXkYsKiGs	MEDUZA,Goodboys	Piece Of Your Heart	DEUM71807719	77	edm,pop,pop dance,pop house,tropical house	0.0404	0.677	0.00016	0.0295	124.08	0.631	0.744
6AGON2BGdPmPMJGiiNuuwl	J. Cole	Immortal	QMJMT1601078	65	conscious hip hop,hip hop,north carolina hip hop,rap	0.455	0.744	2.73e-06	0.309	92.039	0.266	0.43
02ppMPbg1OtEdHgoPqoqju	Radiohead	Reckoner	GBSTK0700007	62	alternative rock,art rock,melancholia,oxford indie,permanent wave,rock	0.511	0.523	0.16	0.0262	104.271	0.214	0.656
6Oe5tmI1bfguCp6dKHbSj6	Chance the Rapper,Nosaj Thing	Paranoia	QMEZE1949602	54	chicago rap,conscious hip hop,hip hop,pop rap,rap	0.317	0.472	0.000158	0.306	69.985	0.123	0.282
3a3dQOO19moXPeTt2PomoT	Sonder	What You Heard	US23A1501167	72	alternative r&b,r&b	0.546	0.429	5.71e-06	0.0327	137.134	0.135	0.371
1c2wTe7doRRk2n1XZe0KAM	Sonder	Lovely	QM24S1700177	54	alternative r&b,r&b	0.581	0.506	0.000534	0.0468	144.015	0.133	0.503
6VFKuuqSbA1GpMEosUgTwQ	Sonder,Jorja Smith	Nobody But You	QZLBC2100043	72	alternative r&b,r&b	0.742	0.637	0.0	0.0366	83.872	0.364	0.299
7LaI3mRTJu66r9HKdv7iBx	Brent Faiyaz	Gang Over Luv	QM24S1703696	66	dmv rap,hip hop,pop,r&b,rap	0.0408	0.781	0.000339	0.326	163.987	0.302	0.277
42QRyJd5x6e2TFR1S41g2p	Sonder	Too Fast	QM24S1650317	61	alternative r&b,r&b	0.316	0.395	1.89e-05	0.0408	98.813	0.102	0.33
1eUGmzzvahJjOSWgDHuRlv	Miguel	Girl With The Tattoo Enter.lewd	USJI11000245	74	dance pop,pop,r&b,urban contemporary	0.856	0.372	0.000175	0.0296	113.451	0.127	0.239
2JuasWPUodaUxf5nwNpciQ	Alice In Chains	Nutshell	USSM10025671	70	alternative metal,alternative rock,grunge,hard rock,nu metal,rock	0.373	0.384	0.253	0.0296	136.136	0.159	0.561
2fUazQuDcmHbKYfPoXWpZU	Jeremih	Remember Me	USUM71513402	63	chicago rap,dance pop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary	0.646	0.529	7.97e-05	0.0518	133.714	0.0386	0.316
1TSyGHOQF6gLAOsEdqAhoG	Sean Leon,Daniel Caesar	Matthew in the Middle (feat. Daniel Caesar)	QZ5FA1753213	44	canadian hip hop,toronto rap,trap soul,underground hip hop	0.277	0.397	3.88e-05	0.0494	117.079	0.184	0.48
4XjnaL1dDauhuvNFz1SLwW	Lucky Daye	Love You Too Much	USRC11803859	56	alternative r&b,indie r&b,pop,r&b	0.824	0.392	1.56e-05	0.118	111.317	0.284	0.473
1rKdNSA119ByMxI9chV5J6	Chase Shakur	too far close	TLREW2207703	43		0.559	0.795	0.0148	0.0479	129.99	0.403	0.334
74fQgHleHZ4V7Gm1XYcGkj	Sonder	One Night Only	QM24S1801024	66	alternative r&b,r&b	0.263	0.874	0.00094	0.0691	119.99	0.764	0.402
0kqWdi9oHVO1KcjFjNCBL2	Montell Fish	Talk 2 Me	QZK6Q2113719	67	pittsburgh rap,pop	0.816	0.464	3.67e-06	0.0647	103.176	0.181	0.126
4gHnSNHs8RyVukKoWdS99f	Nirvana	Something In The Way	USGF19942512	79	alternative rock,grunge,permanent wave,rock	0.745	0.427	0.263	0.0317	105.218	0.0668	0.201
7jmTA4qUoE3powcTpw3dvF	Cozz,J. Cole	Zendaya (feat. J. Cole)	USUM71801293	62	underground hip hop	0.171	0.605	0.0	0.385	158.274	0.542	0.887
0NjW4SKY3gbfl2orl1p8hr	Tyler, The Creator,Pharrell Williams	IFHY (feat. Pharrell)	USQX91300228	72	hip hop,rap	0.197	0.358	0.0	0.331	85.478	0.275	0.715
50a8bKqlwDEqeiEknrzkTO	21 Savage	ball w/o you	QZ45A1700093	79	atl hip hop,rap,trap	0.0467	0.892	0.000189	0.0902	137.994	0.459	0.633
