sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4UbItCyP9q7MvuVogbDCgC	Tate McRae	boy x	USRC12200898	69	pop	0.743	0.439	0.0	0.0413	145.356	0.201	0.325
7l9IqDtVWJurTvkQHq1BGh	Tate McRae	she's all i wanna be	USRC12103120	75	pop	0.0129	0.602	9.02e-06	0.0396	160.118	0.619	0.626
3yoIliXhnorEdfTZ93W2YL	Tate McRae	what's your problem?	USRC12201445	71	pop	0.515	0.724	0.0	0.0786	103.987	0.439	0.543
1bXm6XU3SYSqQGLTRhUSfm	Tate McRae	hate myself	USRC12200488	69	pop	0.774	0.47	0.0	0.206	76.01	0.118	0.279
4bt7eqP7mfWduRBKEpCAzM	Tate McRae	chaotic	USRC12102862	71	pop	0.54	0.663	0.0	0.0367	106.967	0.351	0.374
4ewmHD3aRBmLyTsbGreNLw	Tate McRae	what would you do?	USRC12200896	72	pop	0.288	0.79	0.0	0.0698	105.02	0.729	0.613
6uNv4npQ8FZLsH7naE9GK4	Tate McRae	i'm so gone	USRC12200895	70	pop	0.185	0.833	0.0	0.135	92.011	0.323	0.46
3RhyHYnYxuGnP8njFlNxHq	Tate McRae	don't come back	USRC12200894	78	pop	0.106	0.707	3.54e-06	0.059	87.999	0.386	0.483
6W4SftknKhWj0iFoHN7aYU	Tate McRae,Jeremy Zucker	that way - with Jeremy Zucker	USRC12102589	68	pop	0.573	0.394	0.0	0.219	78.438	0.361	0.398
3iJVCCW5equhyyZcxrMABz	Tate McRae	she's all i wanna be - Acoustic	USRC12200826	59	pop	0.869	0.537	0.0	0.0673	137.613	0.185	0.17
2EBnvom1dTybtm75a3Xh1T	Tate McRae	feel like shit	USRC12103112	75	pop	0.516	0.508	0.0	0.0473	144.962	0.161	0.378
0IuVhCflrQPMGRrOyoY5RW	Tate McRae	she's all i wanna be	USRC12103120	87	pop	0.0134	0.614	7.07e-06	0.0426	160.036	0.651	0.644
2bdqU7C4softKNcMYDFi96	Tate McRae	chaotic	USRC12102862	76	pop	0.59	0.412	0.0	0.0497	81.493	0.318	0.382
3I1Smy5zhzNEc9grpjwY1s	Tate McRae	what would you do?	USRC12200896	77	pop	0.296	0.8	0.0	0.0633	104.96	0.693	0.627
2RwpoqhsYOZSGsF69KqjwP	Tate McRae	i still say goodnight	USRC12200900	67	pop	0.894	0.375	0.0	0.0312	138.706	0.25	0.179
40yVW4Ywyxz8xkNcuLbP1N	Tate McRae	go away	USRC12200899	67	pop	0.654	0.565	6.12e-06	0.04	105.925	0.153	0.437
03zuGqxMwUFFmCwusq0WKE	Tate McRae	feel like shit	USRC12103112	69	pop	0.572	0.519	0.0	0.0495	144.565	0.157	0.383
5XLgE4yoU9MyR5vkjNxpdF	Tate McRae	you're so cool	USRC12200897	69	pop	0.219	0.798	0.0	0.0937	131.943	0.731	0.654
0hh6usshPzFf6j0lGkhMs3	Tate McRae	?	USRC12200893	17	pop	0.987	0.71	0.949	0.961	60.896	0.342	0.614
31sSFHIe4NaxltVFOEIcTa	Tate McRae,Khalid	working	USRC12101632	73	pop	0.282	0.783	0.0	0.0588	106.974	0.512	0.435
