sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0eyTM1AjoPMdzfwCBfLIpO	Dillaz	Maçã	PT5HT2200001	50	hip hop tuga	0.649	0.795	0.00466	0.0405	114.996	0.179	0.553
68MTDH8Kk4jBEV1ah0n89s	Young Nudy,21 Savage	EA (feat. 21 Savage)	QZ5FA1751439	79	hip hop,pluggnb,rap,trap,vapor trap	0.261	0.451	0.0	0.414	87.306	0.227	0.876
2ABBlgwXo68orcunvBYYiY	DNASTY	Aulas e Cursos	BX6842200009	71	trap brasileiro	0.0592	0.761	0.0	0.0349	113.985	0.628	0.571
5Z4TYur0O9OxmxIo6GC2Gq	Vulgo FK,Elenko Music,WEY,Wall Hein	Oi, Como Ce Tá?	BCENK2200007	78	funk carioca,funk ostentacao	0.0988	0.704	0.0	0.0514	156.101	0.733	0.724
5SWnsxjhdcEDc7LJjq9UHk	21 Savage,Metro Boomin	Runnin	USSM12005346	75	atl hip hop,hip hop,rap,trap	0.00748	0.819	0.101	0.202	143.01	0.415	0.626
20dP2DaMHIAmwWAbp7peSr	Young Thug,Travis Scott	pick up the phone	USSM11604495	68	atl hip hop,atl trap,gangster rap,hip hop,melodic rap,pop rap,rap,southern hip hop,trap	0.114	0.711	0.0	0.129	136.919	0.43	0.739
2Hq30cZApR0ZUXSVlFbhrk	Pop Smoke	AP	USUM72102409	53	brooklyn drill	0.157	0.751	0.000626	0.174	148.017	0.654	0.745
1Z0cZI0UzNbP9L8MzzGxqf	NLE Choppa,Roddy Ricch	Walk Em Down (feat. Roddy Ricch)	USWB12000247	70	memphis hip hop	0.268	0.867	0.0	0.227	84.005	0.645	0.744
792HwhrdO3ErRKL5yRe4Ge	Pop Smoke	Invincible	USUM72002003	77	brooklyn drill	0.125	0.548	0.0	0.336	142.791	0.612	0.732
1HvTxgCj0mTzQlEo0zLvFb	Lil Tjay	In My Head	USSM12202421	85	brooklyn drill,melodic rap,nyc rap	0.159	0.684	0.0	0.121	143.049	0.407	0.545
0C0H3ceDDykj8FQR51gMZP	G Herbo,21 Savage	T.O.P.	QZ57A2107028	52	chicago drill,chicago rap,drill,rap,southern hip hop,trap	0.0447	0.84	0.0	0.459	141.997	0.625	0.78
3FkeNbs9Zeiqkr3WkbOiGp	Anitta	Envolver	USWL12100576	78	funk carioca,funk pop,pagode baiano,pop nacional	0.152	0.812	0.00254	0.0833	91.993	0.396	0.736
0NBgyml7T0IvUNbXIkcSpH	Xamã,Gustah,Neo Beats	Malvadão 3	QZNJZ2122225	82	brazilian hip hop,funk carioca,trap brasileiro	0.378	0.821	0.0	0.268	133.133	0.516	0.609
6Uj1ctrBOjOas8xZXGqKk4	Doja Cat	Woman	USRC12101532	90	dance pop,pop	0.0888	0.824	0.00294	0.0854	107.998	0.881	0.764
75fCsUnTiDelE4HMd06t4O	Mc Pepeu,DJ Swat	Gostosinho Tu Cai	BCHFD2200027	75	funk bh	0.902	0.739	0.00284	0.0481	130.039	0.505	0.414
6EDj1nbl9wo6ivGI1t59G4	Jão	Idiota	BRUM72101785	75	funk carioca,pop nacional	0.0685	0.669	0.0	0.0421	131.957	0.84	0.785
5TMLavqGRKNxgzMBrVpC9R	zzoilo,Aitana	Mon Amour - Remix	ES5702101693	85		0.122	0.748	6.56e-06	0.102	116.041	0.362	0.761
6pojmlhRI1fBUNg0pZSA9M	Mc Delux,DJ ABDO	Eu Bem Que Te Avisei - Tu Empurrou Ele Pei	QZGLS2228624	76	funk carioca,funk mandelao	0.411	0.955	0.00731	0.382	129.962	0.495	0.659
17MPtgaJHgr2WlJVyhA6kw	Dillaz	Papaia	PT5HT2200007	55	hip hop tuga	0.308	0.72	0.00256	0.131	137.206	0.255	0.494
7afaZ37wJJL6880z1NRgJS	Teto	Fim de Semana no Rio	BXW922200001	81	trap baiano	0.118	0.867	0.0	0.084	118.868	0.29	0.494
4NJKCE1TBC653P3dCnto0u	Mc Gabzin	Simplesmente Ela	BCHFD2200013	79		0.227	0.572	0.0	0.083	83.04	0.545	0.616
5jYEiTNR3FQXFouTX7Ju0N	LUDMILLA,Mariah Angeliq,Topo La Maskara,Mr. Vegas	Socadona (feat. Mr. Vegas)	BRWMB2100422	75	funk carioca,funk pop,pagode baiano,pop nacional	0.0221	0.789	0.0148	0.0667	128.991	0.891	0.823
0tu5F0rmLZYIdUMEvfRXAo	Álvaro De Luna	Juramento eterno de sal	ES5152001096	56	spanish pop	0.0225	0.631	1.91e-06	0.0581	129.991	0.716	0.594
6Xom58OOXk2SoU711L2IXO	Bad Bunny	Moscow Mule	QM6MZ2214875	92	latin,reggaeton,trap latino	0.294	0.804	1.18e-06	0.0333	99.968	0.292	0.674
4SIBZgMomGFnrIWjmq7Np8	L7NNON,Os Hawaianos,DJ Bel da CDD,DJ Biel do Furduncinho	Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho)	BR5TG2200015	80	pop rap brasileiro	0.275	0.93	0.0	0.409	129.967	0.95	0.673
4a0sqvCBo7aRIS4GzBQpnp	MC Braz,MC Tairon,Dj Win	Kikando e Me Olhando	BX9L12200053	77	funk bh,funk carioca	0.637	0.742	0.0	0.28	85.974	0.842	0.439
0wHFktze2PHC5jDt3B17DC	Jack Harlow	First Class	USAT22203024	79	deep underground hip hop,kentucky hip hop,rap	0.111	0.902	3.18e-06	0.109	107.005	0.332	0.582
71fwkaKdNrxiZZbkzSqmFJ	Anitta,YG,Papatinho,MC Kevin o Chris,Mr. Catra	Que Rabão (feat. Mr. Catra)	BRWMB1901614	76	funk carioca,funk pop,pagode baiano,pop nacional	0.197	0.874	0.0	0.309	150.016	0.642	0.654
7ARoqP7G8UYW8SyYPyPp7k	Anitta,PEDRO SAMPAIO	NO CHÃO NOVINHA	BRWMB2101163	74	funk carioca,funk pop,pagode baiano,pop nacional	0.06	0.703	0.00661	0.0594	141.984	0.704	0.806
02MWAaffLxlfxAUY7c5dvx	Glass Animals	Heat Waves	GBUM72000433	89	gauze pop,indietronica,shiver pop	0.44	0.761	6.7e-06	0.0944	80.87	0.531	0.525
6bTdZ7xfKp3NqqADJ8HLyj	Matuê,WIU,Teto	Vampiro	BXW922100034	83	r&b brasileiro,rap cearense,trap brasileiro	0.0136	0.782	0.0	0.0438	114.994	0.627	0.643
4lsDFVKOVwPeAVw1hPOn7G	Simone & Simaria,Zé Felipe	Vontade De Morder	BRUM72200004	74	funk carioca,pop nacional,sertanejo,sertanejo pop,sertanejo universitario	0.306	0.807	0.0	0.0567	82.024	0.916	0.868
4aoZBldNDVYmTwmeoI49ud	Mc Gabzin,DJ TAK VADIÃO,dj sv	O Poder Dessa Garota	BCHFD2200039	68		0.686	0.763	0.0	0.0767	86.585	0.788	0.474
3sd2p4kE7xQmFH3lPnFl6h	Davi Kneip,Mc Frog,Dj Gabriel do Borel,Luísa Sonza	sentaDONA (Remix) s2	BXVK62200004	82	funk bh,funk carioca,funk consciente	0.252	0.925	4.19e-06	0.273	135.02	0.771	0.454
