sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
7k5agf3Bo48jyzXrvrMuhb	Andrew Garfield,Robin de Jesus,Alexandra Shipp,Joshua Henry,Vanessa Hudgens	Boho Days	QZ8BZ2100735	64	hollywood,pop	0.766	0.781	0.0	0.859	81.379	0.865	0.595
7dsxoeycurkfJpmV0Le5Oi	Barlow & Bear,Abigail Barlow,Emily Bear	If I Were a Man	QZNJW2103770	57	show tunes	0.276	0.706	0.0	0.116	140.838	0.386	0.67
0eaFGIJGHgwKGDcVwHnc7t	Jessie Mueller,Drew Gehling,Waitress Original Broadway Cast Ensemble	Bad Idea	USWB11600734	52	broadway,hollywood,show tunes	0.0513	0.538	2.68e-05	0.0543	170.023	0.701	0.787
5FKNq0lLJnP3iZzBTD0PZj	Lizzy McAlpine	Apple Pie	GBKPL1972264	63	boston folk,indie pop,pop	0.855	0.518	5.15e-06	0.0363	179.836	0.42	0.208
7MRPgpkbsKA1FQsLPUeosU	Lea Michele,Lilli Cooper,Lauren Pritchard,Phoebe Strole,Remy Zaken	Mama Who Bore Me (Reprise) - Original Broadway Cast Recording/2006	USUM70619096	44	hollywood,post-teen pop,show tunes	0.515	0.52	0.0	0.0351	102.081	0.599	0.476
3dP0pLbg9OfVwssDjp9aT0	Renée Elise Goldsberry,Original Broadway Cast of Hamilton	Satisfied	USAT21502606	68	hollywood,show tunes	0.287	0.707	0.0	0.0949	123.772	0.478	0.593
5umt6j4cZkfrL18u8KOnyq	Alan Menken,Jack Feldman,Jeremy Jordan,Ben Fankhauser,Kara Lindsay,Ryan Breslin,Newsies Original Broadway Cast	Once And For All	USSK31222698	45	broadway,disney,hollywood,movie tunes,orchestral soundtrack,show tunes	0.351	0.48	0.0	0.114	168.003	0.211	0.483
0Fm7YDXa7Hr9YSxsdVjOBG	Angela Christian,Sutton Foster	How the Other Half Lives	USBC10200154	23		0.853	0.559	0.0	0.115	136.021	0.46	0.21
3nfMOTjl5Ts1GZScRKuQnF	Laura Bell Bundy,'Legally Blonde' Ensemble	So Much Better	USSK30720011	52	broadway,country dawn,hollywood,show tunes	0.564	0.587	0.0	0.689	78.701	0.426	0.59
5nSDY75s6O6jA0K7J1EMYQ	James Bay	Pink Lemonade	USUM71801100	53	modern rock,neo mellow,pop,pop rock	9.39e-05	0.475	0.0203	0.0469	152.011	0.701	0.922
0M9CNqwzeyijhwOsL7ZXF7	Matthew Morrison,Laura Michelle Kelly	What You Mean To Me - Original Broadway Cast Recording	USUM71507986	42	broadway,hollywood,show tunes	0.84	0.413	0.0	0.0297	72.029	0.308	0.292
5L5N8YOsBxdzR9h9sudBgG	Barrett Wilbert Weed,Ryan McCartan	Dead Girl Walking	US6W61422227	61	broadway,hollywood,show tunes	0.518	0.537	0.0	0.0951	106.198	0.563	0.664
