sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
61SJFn4F9hObZ8UPZVp5r0	Tevvez,Nora Elisa	My Planet	QZES81966469	32		0.0601	0.442	2.42e-06	0.0391	74.982	0.19	0.556
4TXIN12UW8XYPQo6WMC3IO	Tevvez	Lost	QZNWW2022781	39		0.0413	0.435	0.606	0.0329	144.951	0.0469	0.647
0ZpTXCm2oC30TVTp0siDHT	Tevvez	Ensoleil	QMPKX1846932	55		0.259	0.457	0.414	0.135	136.983	0.223	0.864
6NCu7EdeF8fASmgNqZ79ie	Tevvez	Mystique, Pt. 2	QZNWW2022774	57		0.0469	0.474	0.000291	0.044	153.897	0.167	0.696
4TqjqcTFQcabvaFwDFyf2D	Tevvez	Oblivion	QZNWW2022782	58		0.067	0.518	0.877	0.0325	145.032	0.12	0.747
7rpUau3GU0iivvy6x4Kxor	Tevvez	Shape	QZDA81931523	39		0.000637	0.409	0.788	0.0392	144.996	0.0693	0.49
0PRbbGEIPROe2Zgb53B5lc	Tevvez	Time Portal	QZHPJ1963250	45		0.00702	0.528	0.0297	0.0452	140.093	0.264	0.914
1myK7DtF65EwKrTWUKgABg	Tevvez	The Last Road	QZFZ41963900	41		0.388	0.317	0.00157	0.0506	77.632	0.214	0.756
62hOMcNrTs3R8DsB2P5C2K	Tevvez	Back in time	QZNWW2022772	43		0.106	0.347	0.267	0.0474	149.878	0.16	0.816
2B7lBdrGBsZoF1ZNo7jRYv	Tevvez	Euphoraise	QMPKX1846947	24		0.242	0.475	0.391	0.0352	128.005	0.58	0.775
3BrjDL7NEUuvwGOhG10O0e	Tevvez	Mystique	QZHPJ1951803	68		0.0708	0.435	5.69e-05	0.0489	154.136	0.205	0.543
5bNofz6tViGjfWBgozTscm	Tevvez	Zeus	QZK6H2151729	65		0.038	0.298	0.882	0.0885	152.382	0.217	0.845
1WgSV4qb90fPut4rhwVhrV	Tevvez	Saw	QZES81966467	44		0.00636	0.473	0.929	0.0306	149.961	0.138	0.697
2QQRTbO0RcZjQSW33aQkCt	Tevvez	No Fear	QZES81966470	49		0.00456	0.314	0.621	0.0329	147.149	0.15	0.667
4Aj9rXpZavLQz7foZgsGbA	Tevvez	Bercor	QMPKX1846930	30		0.764	0.389	0.97	0.0501	162.881	0.0321	0.502
31TzWjDREkKvxx3f98th0m	Tevvez	Symphony	QMPKX1846950	24		0.0422	0.432	0.914	0.0284	139.993	0.662	0.851
7gineTjlXWfxgNe9mif3SP	Tevvez	Color	QZHPJ1957935	31		0.000175	0.315	0.0	0.0818	139.789	0.155	0.858
7tpTDlZNTF8OiGUlELkWMt	Tevvez	Imperios	QMPKX1846944	22		0.0176	0.592	0.398	0.0349	128.052	0.266	0.703
3DcKQncNvmTVlmN8AgWi2r	Tevvez	Still	QZES81966472	25		0.00964	0.459	0.893	0.0382	147.011	0.0478	0.636
05EG9LwFCVjkoYEWzsrHHO	Tevvez	Legend	QZNWW2022779	74		0.0408	0.294	0.106	0.0389	149.94	0.0395	0.707
0fI88j8uQUuf3UzZXZ0gmD	The Fashion	Like Knives	DKADG0602465	27	danish rock	0.107	0.773	1.44e-06	0.177	132.045	0.641	0.952
1wIwGUO8UIwO5cj545sCso	Jay Hardway,Mesto	Save Me	NLZ541800661	40	dutch edm,edm,electro house,pop dance,pop edm,progressive electro house,progressive house	0.00548	0.693	0.356	0.0529	128.04	0.375	0.893
1mO5HYpOAtD1nuTkejjhiz	Yves V,Florian Picasso	Here With You	NLZ541701536	35	belgian edm,dance pop,edm,electro house,house,pop dance,progressive electro house,slap house,tropical house	0.00364	0.607	0.174	0.0363	127.95	0.311	0.788
03vF2OLxoI0uZTZWnxNLr9	LERK,clearmind	Tonight	QM42K1716251	1		0.0145	0.653	0.00114	0.152	128.102	0.582	0.875
06uGocHTLgTIMBMkQOe8k3	RetroVision,Micah Martin	Over Again	GB2LD1700086	25	edm,electro house,gaming edm,pop edm	0.0452	0.532	0.000118	0.0656	127.942	0.797	0.896
7Aols0HyqQ4lt6Z1uTCTaT	Brooke Candy,Sia,Madison Mars	Living Out Loud (feat. Sia) - Madison Mars Remix	USRC11700192	9	dance pop,electropop,escape room,lgbtq+ hip hop,pink noise,pop,strut,trap queen	0.00439	0.585	0.0	0.12	126.162	0.285	0.922
60qAPSyUPy1MUUGX83Hh3v	Merk & Kremont,DNCE,Sunstars	Hands Up (feat. DNCE) - Sunstars Remix	ITUM71800801	13	electro house	0.0103	0.715	0.00548	0.0875	128.002	0.45	0.91
3u4jj56NzDvkQnYpwZhwkP	Abedz	Stormryder	CA5KR1553580	4	bass house	0.0147	0.688	0.736	0.0552	128.027	0.322	0.802
1cWZiRtttfahkx4TPCUSxj	Lika Morgan	Money for Love	CH3131813868	12	deep groove house,house	0.0718	0.775	8.9e-05	0.194	121.983	0.548	0.904
6kPJZM97LwdG9QIsT7khp6	Clean Bandit,Demi Lovato	Solo (feat. Demi Lovato)	GBAHS1800328	70	dance pop,edm,pop,pop dance,tropical house,uk dance,uk funky	0.0441	0.737	6.66e-05	0.0437	105.005	0.565	0.636
66pgokI9uyqycvuOnOOPN0	Juwa,Samurah	Houdini	QM42K1736765	3		0.00231	0.709	0.00251	0.046	128.015	0.212	0.877
4Wl0AgcN4YJC2EAqrihfTw	Dualmind	Boomslang	QM42K1712903	18	brazilian house	0.000725	0.614	0.0752	0.0804	128.005	0.302	0.957
7bRVfQEQp3GhroYiu3FOzJ	Dropgun	Dark Sky	NLZ541800108	25	edm,electro house,pop dance,pop edm,russian edm	0.0877	0.617	0.0683	0.0815	127.959	0.437	0.979
06V9DgbyrIggG4qkN62aBk	Rootkit,Joe Erickson	Isolate	TCACD1529143	42	chillstep,complextro,edm,electro house,future bass,gaming edm,melodic dubstep	1.31e-05	0.479	0.412	0.0464	174.078	0.164	0.942
7oLWwdIfnDEfoEFBAgfzXx	Deepend,Joe Killington,Stadiumx	Could Be Love - Stadiumx Remix	NLZ541801147	17	deep house,deep tropical house,new french touch,pop dance,pop edm,tropical house	0.0784	0.631	1.38e-06	0.1	126.033	0.419	0.9
5jiC2Fg2xDmkmQXKep5Um8	Alex Gaudino,POLINA,Dyson Kellerman	Never Give Up on Love - Dyson Kellerman Remix	ITC331700016	27	disco house,electro house,vocal house	0.0418	0.693	0.0479	0.123	122.992	0.503	0.978
4JzNrdsvIm4mCRh6QReHxw	Robin Hustin,Dirty Palm,Edgar Sandoval Jr	While You Sin (feat. Edgar Sandoval Jr) - Dirty Palm Remix	GB-SMU-39-95376	35	dutch edm,gaming edm	0.033	0.606	0.0402	0.0589	128.037	0.498	0.922
2GoLbyGzBYqDBq65hWs5ml	Halsey,Big Sean,Stefflon Don,CID	Alone - CID Remix	USUM71805140	42	dance pop,electropop,etherpop,indie poptimism,pop	0.0223	0.711	1.71e-05	0.0577	124.967	0.641	0.798
1BlIwUuAYtw9Fji5Atch3x	Jay Eskar,NOVA	Split	CA5KR1556793	16	pop edm	0.0491	0.663	0.701	0.0786	127.983	0.225	0.979
7xNJVMsqGS0R0FXM4iObeV	Martin Garrix,Mike Yung,Brooks	Dreamer - Brooks Remix	NLM5S1800433	35	dance pop,dutch edm,edm,pop,pop dance,progressive house,tropical house	0.0237	0.706	0.000358	0.0376	127.98	0.607	0.858
1ajbiYAOtmQvyFrblzre2D	WATEVA	Ice Cream	GB2LD1900010	24	estonian electronic	0.185	0.799	0.0813	0.0602	128.008	0.766	0.82
61fFKkCcCAPE5MU98msesQ	Robin Hustin	Phobos	NLP1X1600053	26	dutch edm,gaming edm	0.0211	0.566	0.0258	0.0913	128.052	0.399	0.957
0Fgaky1p0R79EBcTbo9pXQ	Robin Hustin	Dragonfly	GB-SMU-34-76295	21	dutch edm,gaming edm	0.00277	0.642	0.0751	0.0704	128.018	0.653	0.84
270aqOuRwQS2xfNc3cj5VA	Star Party,Zookeepers	Ark	GB2LD2010147	46	gaming edm	0.0156	0.515	0.00787	0.0394	150.131	0.0689	0.745
