sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3Cq4jRxYpWHHgQGOaGZcMj	Becky G	MALA SANTA	USRC11902848	49	dance pop,latin,latin viral pop,pop,rap latina,reggaeton	0.311	0.851	0.000211	0.0396	98.039	0.527	0.701
6JqpFboOH2bq9pzaYbkKBn	Sofía Reyes,Rita Ora,Anitta	R.I.P. (feat. Rita Ora & Anitta)	USWL11900037	60	dance pop,latin,latin pop,mexican pop,pop,reggaeton	0.18	0.764	0.0	0.0711	100.066	0.698	0.752
11EnQRgRMJwMAesfkB5pnu	Lele Pons,Guaynaa	Se Te Nota (with Guaynaa)	USUM72016220	71	latin pop,viral pop	0.0907	0.905	0.0	0.0664	103.013	0.963	0.686
1OUPXna2MCgAt3VNmXJBtg	Tropkillaz,J Balvin,Anitta,ZAAC	Bola Rebola	BXS381900002	63	afrofuturismo brasileiro,bass trap,electronic trap,funk carioca,pop nacional	0.22	0.834	0.00609	0.0593	129.984	0.865	0.777
6urlj8N8TL3MK0ATNGIZYW	Major Lazer,J Balvin,Sean Paul	Buscando Huellas (feat. J Balvin & Sean Paul)	QMUY41700059	50	dance pop,edm,electro house,moombahton,pop,pop dance,pop rap,tropical house	0.0457	0.696	0.0	0.289	108.127	0.502	0.849
0fAZTRnXv7KC70WjDTpxb6	Leftside	Phat Punani	QZHZ62055575	37	basshall	0.238	0.843	0.0355	0.203	99.91	0.153	0.556
58dGRQrNmAJeRMFuguUbvD	Spice,Shaggy,Sean Paul	Go Down Deh (feat. Shaggy and Sean Paul)	USVPR2100046	66	dancehall,dancehall queen,jamaican dancehall	0.109	0.801	1.62e-05	0.0986	89.999	0.578	0.764
6k2900NjJeVqZM55G3Danu	MC Fioti,Future,J Balvin,Stefflon Don,Juan Magán	Bum Bum Tam Tam	GBUM71706300	67	funk carioca,funk paulista	0.346	0.896	8.11e-06	0.124	131.999	0.659	0.675
1fr92Vupmcs2vgLMFVQ7rd	The Rasmus	In the Shadows	SEVJH0201601	67	finnish alternative rock,funk metal	0.000109	0.6	5.2e-05	0.0275	105.991	0.75	0.796
78qd8dvwea0Gosb6Fe6j3k	Doja Cat	Boss Bitch	USAT21907355	78	dance pop,pop	0.127	0.707	0.0	0.222	125.989	0.575	0.955
20BOju91NaEFK5Py4VJ2pp	Saweetie,Doja Cat	Best Friend (feat. Doja Cat)	USWB12004547	68	cali rap,dance pop,pop,pop rap,r&b,trap queen	0.00302	0.84	3.61e-06	0.136	94.018	0.402	0.766
2Iw0l51tL8hKsuXiPlcgWO	Paulz	Balenciaga	SE5BU2171288	60		0.0466	0.827	0.0	0.0661	110.004	0.184	0.767
3siIipKYON2bJ4maByHftS	WhySoSerious	Brassed	QZDA81917182	43		0.046	0.812	0.419	0.0822	102.915	0.393	0.572
