sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
67sKMKtqVthTb45IAxLoZO	Mallu Magalhães	Você Não Presta	BRU5R1700001	47	brazilian rock,mpb,nova mpb	0.185	0.597	0.0	0.0675	168.133	0.824	0.658
1kWE7mKBAzWy9blbjcBZwC	Mallu Magalhães	Nem Fé Nem Santo	BRU5R0900005	22	brazilian rock,mpb,nova mpb	0.0275	0.526	5.53e-05	0.0361	113.993	0.705	0.708
6MznGjjNQsT1HUwqyEUiex	Mallu Magalhães	Velha e Louca	BRU5R1100010	49	brazilian rock,mpb,nova mpb	0.812	0.726	0.0	0.0545	110.914	0.718	0.424
7LUKycM3Chy4dDI06fIx70	Mallu Magalhães	Pé de Elefante	PT7IS2000003	31	brazilian rock,mpb,nova mpb	0.813	0.676	8.18e-05	0.055	99.98	0.392	0.4
1t4VLX7buc6IUzRexskfzA	Mallu Magalhães	Regreso	PT7IS2000005	29	brazilian rock,mpb,nova mpb	0.784	0.524	0.081	0.0443	140.037	0.171	0.386
0PGNltWJNWE1lUdgW8Yil1	Mallu Magalhães	Guanabara	BRU5R1700008	36	brazilian rock,mpb,nova mpb	0.545	0.6	2.45e-06	0.0245	96.104	0.556	0.488
0k2ZJ0m9z3FVkeFhgB5QiW	Wild Child	Silly Things	QMUCH1100013	37	austin americana,austindie,deep new americana,folk-pop,indie folk,indie pop,new americana,stomp and holler	0.736	0.513	7.82e-06	0.0643	141.415	0.386	0.528
4q5bcSnRwej7eEgEnFqQEN	Matchbox Twenty	I Will	USAT21202744	28	neo mellow,pop rock,post-grunge	0.849	0.593	0.000306	0.0261	92.022	0.449	0.245
62ljuuXo0zrcrtJnnOhfxT	Frank Ocean	Dear April (Side A - Acoustic)	QM24S1921625	61	alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop	0.953	0.444	8.85e-05	0.0471	115.95	0.227	0.152
2fSMdriCoxD4ABoYqKNcy2	Lewis OfMan	Le métro et le bus	TCACY1705517	39	french indie pop,french indietronica,new french touch	0.496	0.592	0.107	0.0433	110.045	0.276	0.576
1Og2Qi5XwYdr0YI6rn79Zb	Love	Everybody’s Gotta Live	QMEF91350061	59	acid rock,art rock,classic rock,experimental,folk,folk rock,psychedelic rock,rock,roots rock	0.607	0.805	0.0	0.0961	105.873	0.281	0.281
1hqdpmcEfqzE7h9Dq6G2aw	Joe Kaplow	There Will Be a Time	QZCPF1800005	37	western americana	0.752	0.586	7.64e-06	0.0358	103.908	0.418	0.301
1pEB0r8DMW5svH5B4tmzOi	Wingtip,Youngr	Space For Us	USUM71801830	31	electropop,indie electropop,indie poptimism,nyc pop,uk pop	0.725	0.471	0.0	0.204	201.889	0.572	0.404
13otFWMHR8dlJ73XnSEW8y	The Ballroom Thieves	Bees	US3E41600092	57	boston folk,deep new americana,folk-pop,indie folk,indiecoustica,new americana,new england americana,stomp and holler	0.774	0.52	0.0	0.0351	101.552	0.428	0.136
2t5USj2lH8pPII6ox2Hch0	Villagers	Hot Scary Summer	GBCEL1400722	36	chamber pop,indie folk,indie rock,stomp and holler	0.867	0.638	0.00137	0.0334	114.815	0.178	0.36
0GSYe9WczBwjBHrKmxcmxS	Leo Middea,Vanessa Moreno	Ciranda	BXLL21600002	34	nova mpb	0.819	0.392	0.000673	0.0515	91.653	0.233	0.386
5YOOWsO48mJ1yQEaPrMyAl	ISLAND	Octopus	USJMZ2100001	44	modern alternative rock	0.209	0.553	0.0112	0.039	106.434	0.359	0.806
0Fqmgk6dvs8lMLCAkGguJx	Nick Mulvey	Infinite Trees	GBUM71701764	46	british singer-songwriter,cambridgeshire indie,indie folk	0.974	0.281	0.15	0.044	72.897	0.227	0.403
6QaBosEz0XcT3YuMYeTI1y	Wyvern Lingo	Used	IEJZY1400005	46	irish pop	0.938	0.379	0.0	0.0391	114.199	0.18	0.0938
0ioTTk5l0Zz7Oh48qEocgj	Rex Orange County	KEEP IT UP	USRC12102920	66	bedroom pop,pop	0.292	0.708	1.75e-06	0.0565	149.929	0.733	0.477
4hRmbcN2NbxuBkhDXim4y0	Uma	Mockingbird	GBMA21830031	35	modern indie folk	0.959	0.695	0.00378	0.0358	132.885	0.331	0.29
5ruzrDWcT0vuJIOMW7gMnW	The Strokes	The Adults Are Talking	USRC11902726	79	alternative rock,garage rock,modern rock,permanent wave,rock	0.0113	0.593	0.106	0.0475	164.959	0.649	0.749
6PUPRb62MyZo6MRlEQZKFq	Alice Phoebe Lou	Dusk	FR26V2073606	57	indie pop,south african alternative	0.194	0.852	0.0259	0.0713	94.006	0.575	0.3
04no0XXxXd3F5uLZi3qDYK	Foals	2am	GBAHT2102082	64	indie rock,modern rock,oxford indie,rock	0.000335	0.698	0.605	0.0483	135.981	0.861	0.794
5JFZgF38a3bINUXwEr8YSx	Čao Laru,Pássaro Vivo	Paira no Ar	BXCIC2100001	48	musica campineira,nova mpb	0.74	0.641	0.0	0.0717	92.665	0.868	0.461
1TenYwHUfKq18hSfcbc2Rj	Okay Kaya	La Meg	QM24S1812547	41	art pop,indie pop	0.921	0.576	0.013	0.0264	80.901	0.253	0.2
2WmQKaMmgbvVASSYNlcnd1	Obinrin Trio,Ju Strassacapa	Feito Fumaça	BX7LQ2000004	47	nova mpb	0.904	0.451	0.00614	0.0401	86.09	0.466	0.311
1tCapCSL4YKtqphRL6wC6M	Snake City	Pick Up	SE5Q51903847	18		0.582	0.693	0.0	0.0613	110.026	0.243	0.576
5G8fWQnQ9wmfTONh8yKc0a	Alfie Templeman	Everybody’s Gonna Love Somebody - Edit	GBKPL2139366	60	modern alternative pop,uk pop	0.081	0.861	1.18e-05	0.0818	120.029	0.658	0.662
7HwZcdgM6LSSvOUpA9axzw	The Gentle Waves	Pretty Things	GBCAX0002609	20	scottish indie,twee pop	0.645	0.476	0.00343	0.0363	130.347	0.441	0.307
4fYkVebvWbM8DkvwdkrPBY	ALA.NI	Cherry Blossom	GBKZV1500016	29	uk alternative pop	0.994	0.362	0.0934	0.0371	145.091	0.325	0.261
2aNSWaMQ2VQe0YyRWybn5w	Chico Bernardes	Me Encontrar	BXGCF1900006	22	nova mpb	0.9	0.542	0.132	0.0278	99.494	0.23	0.344
4kBkUmgKRoleo3NIMsIcOT	Anna Wise,Jon Bap	nova	QM24S1818424	36	alternative r&b,indie r&b	0.902	0.291	0.19	0.0345	82.979	0.107	0.112
0vKs0o6ceQiMR4JDPVG5yE	Louvre Doors	On the Rocks	QZHN52190398	8		0.835	0.518	3.01e-05	0.0326	130.2	0.0754	0.224
3qefSyO5QqVGtYNYyJDKeO	João Gilberto	A Primeira Vez	USV291490416	6	bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao	0.949	0.638	0.0	0.0425	109.044	0.636	0.14
6VZSrweVeYnTh2LHVPy2B2	Naomi Lewis	A Song Is Born	USCW61908501	11	cosmic american	0.947	0.467	1.39e-05	0.0455	116.337	0.179	0.253
5qpWttDHZuzfoHuBIX5kRd	Judee Sill	Lopin' Along Thru the Cosmos - Remastered	USEE10300748	38	folk,folk rock,singer-songwriter	0.901	0.277	1.08e-05	0.0371	126.503	0.33	0.0967
1BcDG3iMEnyYxkfqn9MYgk	Mabel Ye	When Your Life Is Really Hard	QZDA51826507	22		0.97	0.724	6.59e-06	0.129	106.253	0.228	0.0599
34gBmoRxYO60GWxFxvwJ4X	Gilberto Gil	Maria (Me Perdoe, Maria)	BRDIQ1000033	13	bossa nova,mpb,samba,tropicalia,violao	0.993	0.505	0.528	0.0524	104.035	0.326	0.0305
5Vj4eHzcf4SJNtOx2SxWxw	Bill Evans	Soiree	USPR37080024	45	bebop,cool jazz,jazz,jazz fusion,jazz piano,uk contemporary jazz	0.972	0.389	0.92	0.0392	100.757	0.109	0.0773
3vHcprrLUS7hJ7sGljPVgf	Astrud Gilberto,Walter Wanderley	A Certain Sadness	USPR36600054	35	adult standards,bossa nova,brazilian jazz,lounge,samba-jazz,vocal jazz	0.929	0.342	0.0	0.0443	170.123	0.19	0.0764
51Grh1RyUDcMBbpuyUIUHI	Liana Flores	rises the moon	QZDA61986777	78	indie pop	0.947	0.483	0.145	0.0349	137.35	0.203	0.129
2JHgZMNswSxEbjbzO2SBhB	Alfie Templeman	Colour Me Blue	GBKPL2172069	48	modern alternative pop,uk pop	0.00372	0.685	0.00194	0.0632	140.021	0.899	0.919
7AjOT9vAbmKPUiQQjS78iP	Alfie Templeman	Do It	GBKPL2172068	41	modern alternative pop,uk pop	0.00774	0.67	0.0	0.207	125.076	0.53	0.743
367uG77LRgtCwGx18tgrMf	Alfie Templeman	Best Feeling	GBKPL2172067	42	modern alternative pop,uk pop	0.533	0.679	2.28e-06	0.165	179.989	0.965	0.675
5Sglaa4CqeCmpLLWFCvu3i	Alfie Templeman	Candyfloss	GBKPL2172066	57	modern alternative pop,uk pop	0.0175	0.696	0.00691	0.0494	125.012	0.859	0.815
3wYx7lVNFLeh5nRPVEa5ps	Alfie Templeman	3D Feelings	GBKPL2169466	51	modern alternative pop,uk pop	0.00684	0.595	0.002	0.0426	114.061	0.811	0.923
2cargBrMaxwdtqglNjoO9P	Alfie Templeman	Folding Mountains	GBKPL2172065	44	modern alternative pop,uk pop	0.0705	0.775	0.0	0.0597	120.046	0.853	0.845
3e4HNnr2k9UYZ2xo3AD96H	Alfie Templeman	Broken	GBKPL2172064	48	modern alternative pop,uk pop	0.00904	0.56	0.0	0.0762	102.011	0.751	0.883
6To8lWToVCYuYRHd5cwmFx	Alfie Templeman	You're a Liar	GBKPL2172063	45	modern alternative pop,uk pop	0.019	0.679	0.0477	0.046	100.015	0.57	0.85
3zIILIvwS9nFbZBEM85e8v	Alfie Templeman	A Western	GBKPL2172062	47	modern alternative pop,uk pop	0.00692	0.737	0.0659	0.0516	100.024	0.578	0.788
5NS0xTfHbV8EQ83GBfFqea	Alfie Templeman	Obvious Guy	GBKPL2000362	56	modern alternative pop,uk pop	0.00604	0.778	0.000131	0.0392	115.995	0.9	0.777
6YJ5ZLDXbm6L5tKHVYIykk	Alfie Templeman	Circles	GBKPL1972072	58	modern alternative pop,uk pop	0.00231	0.77	0.0306	0.114	120.03	0.863	0.739
3Gplr4iOpewQ9ynbZujzlu	chloe moriondo,Thomas Headon,Alfie Templeman	Dizzy (feat. Thomas Headon and Alfie Templeman)	USAT22105353	60	alt z,bedroom pop,indie pop	0.00896	0.707	4.78e-05	0.0362	129.965	0.762	0.735
50DeaEmRXG4sRuryKQEgyH	Alfie Templeman	Film Scene Daydream	GBKPL2034849	61	modern alternative pop,uk pop	0.00367	0.714	0.0368	0.0366	120.013	0.478	0.663
3i10mtYVZPyoxorz6C19xE	Alfie Templeman	Things I Thought Were Mine	GBKPL2005448	62	modern alternative pop,uk pop	0.348	0.888	0.309	0.134	99.992	0.806	0.54
0OM7XnLJnT441emHL5upvW	Alfie Templeman	Happiness In Liquid Form	GBKPL2091260	63	modern alternative pop,uk pop	0.00181	0.691	0.00762	0.068	124.005	0.833	0.854
7l5PV5CLNe9eCIcz8C5bLW	Alfie Templeman	Movies	GBKPL1972073	63	modern alternative pop,uk pop	0.235	0.848	0.0199	0.0653	129.941	0.79	0.712
4CQv2F0m8ssGBVq7v8uBGu	CMAT	I Don't Really Care for You	QZFZ32198616	55	modern alternative pop	0.408	0.716	1.09e-05	0.0418	117.998	0.736	0.703
1HXUGjfBs3PTuL0fHJdCqj	Ella Mai	Fading Out	USUM72203639	49	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.0136	0.589	0.00514	0.0738	170.005	0.14	0.743
5loh6eABTjZYF746SIVxKA	Ella Mai	Sink or Swim	USUM72203651	52	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.404	0.677	0.0	0.396	145.88	0.423	0.637
0cNc0bSxmRVhAUJVYEd2Qk	Ella Mai	Leave You Alone	USUM72203641	67	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.088	0.65	0.0	0.0562	114.968	0.554	0.647
2xW3wiXtNHUsENQLrHf4X0	Ella Mai	Feels Like	USUM72203648	52	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.284	0.792	0.000365	0.051	94.951	0.593	0.53
3HgJ1aYlEgy8Yj1NMAe1pm	Ella Mai,Lucky Daye	A Mess (feat. Lucky Daye)	USUM72203640	58	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.548	0.651	0.0	0.0593	120.886	0.411	0.523
1dDy8IYSA4NH8JtpGLhcMb	Ella Mai	Power Of A Woman	USUM72203652	51	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.195	0.628	0.0	0.0587	144.841	0.519	0.468
7DKxuRKGTrk7HGT83Oo2E1	Ella Mai	Hide	USUM72203649	52	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.762	0.353	0.0	0.0502	74.743	0.272	0.246
1bdm32mVmoGcek5bVKxQKd	Ella Mai	DFMU	USUM72123679	68	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.499	0.708	0.000233	0.0585	136.969	0.311	0.673
2g1QsDHJomE7FcAEP40hRJ	Ella Mai	Pieces	USUM72203650	53	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.0723	0.772	0.0	0.0447	138.03	0.533	0.619
6w93UfN5MeXXQTrVIf5V6x	Ella Mai,Roddy Ricch	How (feat. Roddy Ricch)	USUM72203645	70	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.215	0.464	0.0	0.238	94.14	0.181	0.445
73mtUJm1RDa0SEW3KL4ePU	Ella Mai	Fallen Angel	USUM72203646	51	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.414	0.682	3.46e-06	0.417	97.03	0.66	0.736
0TYsPcmqWOtPdaEXmHvNSE	Ella Mai	Break My Heart	USUM72203644	55	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.0172	0.367	9.86e-06	0.279	79.784	0.0387	0.664
1XYlc4sA6LaCEqEtG2VfYf	Ella Mai,Latto	Didn't Say (feat. Latto)	USUM72203642	56	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.0653	0.622	0.0	0.272	167.263	0.125	0.531
6O8ruguZUmWuDNXQirdLWh	Ella Mai	Not Another Love Song	USUM72203647	53	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.184	0.53	2.72e-05	0.124	79.399	0.187	0.589
2EHaJElgdxeZG2bzCMVmMN	Ella Mai	Trying	USUM72203653	61	dance pop,pop,pop rap,r&b,uk contemporary r&b,urban contemporary	0.389	0.537	0.0	0.073	94.079	0.106	0.433
400aXtzepgmEFbOQCAfraG	Nick Mulvey	Meet Me There	GBUM71308749	54	british singer-songwriter,cambridgeshire indie,indie folk	0.728	0.575	5.59e-05	0.028	96.74	0.442	0.554
6Db3RiSI7xk3Dxd1N72U5a	Loving	Stranger To Yourself	CAL451959509	46	indie garage rock,neo-psychedelic,victoria bc indie	0.957	0.49	0.59	0.0401	164.33	0.151	0.409
