sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
75WGjm9867pcRxGwiLRwK8	Billie Eilish,Aire Atlantica	Six Feet Under - Aire Atlantica Remix	USUM71700466	42	art pop,electropop,pop	0.0651	0.67	1.7e-05	0.0874	141.955	0.292	0.863
0u2P5u6lvoDfwTYjAADbn4	Billie Eilish,Khalid	lovely (with Khalid)	USUM71804190	85	art pop,electropop,pop	0.934	0.351	0.0	0.0333	115.284	0.12	0.296
4RVwu0g32PAqgUiJoXsdF8	Billie Eilish	Happier Than Ever	USUM72105936	86	art pop,electropop,pop	0.767	0.332	0.00349	0.0348	81.055	0.297	0.225
7dUaX05uxCNK5lC3329O0E	Orianthi	Sinners Hymn	ITG272000951	32	candy pop	0.000173	0.284	0.0223	0.135	170.025	0.218	0.948
2xhpnTyhinktiHD3JFdZOC	You Me At Six	Beautiful Way	GBKPL2018245	46	modern alternative rock,modern rock,pop punk,rock	0.0125	0.384	0.108	0.0489	171.036	0.446	0.921
1pK48aPFvfveHf8Ozl9Rms	Nine Inch Nails	Everything	USQX91301307	26	alternative metal,alternative rock,cyberpunk,electronic rock,industrial,industrial metal,industrial rock,nu metal,rock	1.87e-05	0.515	0.646	0.059	155.028	0.912	0.911
2PETsovNFRjQOSMWj8gNii	Pearl Jam	Superblood Wolfmoon	USUG11904400	47	grunge,permanent wave,rock	0.00556	0.511	0.0	0.0522	153.376	0.881	0.93
4D5sitThGoz0RnMsFdFUuz	Billie Eilish,BLU J	Six Feet Under - BLU J Remix	USUM71700465	42	art pop,electropop,pop	0.0392	0.691	0.00164	0.0384	128.014	0.108	0.823
58nxGpcCfNDiqmFXklOslz	Billie Eilish,Jerry Folk	Six Feet Under - Jerry Folk Remix	USUM71700468	57	art pop,electropop,pop	0.66	0.447	0.011	0.0508	134.868	0.0396	0.216
1JbuC7uZm0P1PyX7N7gDEM	Billie Eilish,GOLDHOUSE	Ocean Eyes - GOLDHOUSE Remix	TCACL1637941	55	art pop,electropop,pop	0.0344	0.425	0.358	0.0383	199.843	0.572	0.954
2njUxZ4151DWIrfIK3loFj	Billie Eilish,Sofi Tukker	COPYCAT - Sofi Tukker Remix	USUM71713025	59	art pop,electropop,pop	0.0585	0.682	3.18e-05	0.0591	124.999	0.451	0.955
6NOq79ynBpBi6BSJMdgReN	Billie Eilish,Astronomyy	Ocean Eyes - Astronomyy Remix	TCACL1611532	60	art pop,electropop,pop	0.629	0.594	0.0126	0.0353	144.941	0.0671	0.481
1T3E8z6VMXSsACrBSQHTkN	Billie Eilish,TroyBoi	MyBoi - TroyBoi Remix	USUM71802743	58	art pop,electropop,pop	0.00626	0.879	0.0433	0.0883	92.004	0.312	0.58
61X077SWMs5aAGQHhf4pd0	Billie Eilish,Marian Hill	Bellyache - Marian Hill Remix	USUM71703692	60	art pop,electropop,pop	0.2	0.832	0.0513	0.133	100.045	0.2	0.368
4JuZQeSRYJfLCqBgBIxxrR	Billie Eilish,blackbear	Ocean Eyes - Blackbear Remix	TCACL1611534	65	art pop,electropop,pop	0.114	0.661	1.19e-05	0.0404	144.98	0.145	0.419
7tGEAA1f8MydT7eVbbO9Zy	Billie Eilish	WHEN I WAS OLDER - Music Inspired By The Film ROMA	USUM71900059	61	art pop,electropop,pop	0.853	0.696	0.433	0.0425	150.13	0.0628	0.332
6X7qcg95CAeJpTjtg1wooM	Billie Eilish,Vince Staples	&burn (with Vince Staples)	USUM71713617	58	art pop,electropop,pop	0.213	0.776	0.00175	0.331	82.531	0.346	0.379
2VlLbhGLVJgdOW7kKdWWFc	Billie Eilish	Six Feet Under	TCACP1646299	72	art pop,electropop,pop	0.807	0.576	0.000355	0.0428	67.513	0.157	0.307
3WxmlTZ85sCYFnuIXmUAEe	Billie Eilish	party favor	USUM71708095	67	art pop,electropop,pop	0.882	0.826	2.83e-06	0.0883	130.022	0.205	0.188
1WsEgieHsWWndAzLkmV105	Billie Eilish	hostage	USUM71708096	71	art pop,electropop,pop	0.868	0.427	3.12e-05	0.0497	129.565	0.0394	0.123
5w7wuzMzsDer96KqxafeRK	Billie Eilish	COPYCAT	USUM71707478	71	art pop,electropop,pop	0.353	0.679	9.25e-05	0.0932	124.909	0.234	0.388
0tMSssfxAL2oV8Vri0mFHE	Billie Eilish	listen before i go	USUM71900772	74	art pop,electropop,pop	0.935	0.319	0.00384	0.045	79.764	0.082	0.0561
6CcJMwBtXByIz4zQLzFkKc	Billie Eilish	i love you	USUM71900773	78	art pop,electropop,pop	0.952	0.421	0.00453	0.0382	137.446	0.12	0.131
4QIo4oxwzzafcBWkKjDpXY	Billie Eilish	xanny	USUM71900765	70	art pop,electropop,pop	0.751	0.521	0.00207	0.239	111.554	0.0528	0.125
3LgWsmilsrWXiPYQFRD0T7	Billie Eilish	goodbye	USUM71900774	65	art pop,electropop,pop	0.837	0.153	0.55	0.0503	74.318	0.0503	0.138
5t3Vk8bRKylx4fjj7qlbib	Billie Eilish	bitches broken hearts	USUM71803745	72	art pop,electropop,pop	0.921	0.778	0.00924	0.0482	120.033	0.187	0.422
7wC5eZcFS1Q1BsQ35DU6H4	Billie Eilish	come out and play	USUM71818958	65	art pop,electropop,pop	0.693	0.64	0.0307	0.0931	145.045	0.177	0.321
3yNZ5r3LKfdmjoS3gkhUCT	Billie Eilish,Justin Bieber	bad guy (with Justin Bieber)	USUM71912813	66	art pop,electropop,pop	0.252	0.67	0.33	0.295	135.055	0.68	0.453
1RGasjWLZ4qMN7wbtkLa3u	Billie Eilish	my boy	USUM71707643	71	art pop,electropop,pop	0.472	0.692	0.000191	0.207	89.936	0.324	0.394
7hDVYcQq6MxkdJGweuCtl9	Billie Eilish	ocean eyes	US23A1500056	77	art pop,electropop,pop	0.816	0.511	0.0317	0.041	144.892	0.169	0.363
6X29iaaazwho3ab7GNue5r	Billie Eilish	8	USUM71900768	67	art pop,electropop,pop	0.698	0.735	0.00604	0.315	62.446	0.462	0.235
