sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
23T4s8TZHQQvrBz6TOlJQI	Pale Waves	Lies	GBK3W2102075	51	electropop,indie pop,manchester indie,metropopolis,modern rock	0.0169	0.519	0.0	0.0817	170.059	0.777	0.89
3KrfUt1cYSbkBpstlITPkp	Shawn Mendes	When You're Gone - Acoustic	USUM72206106	58	canadian pop,pop,viral pop	0.13	0.547	0.0	0.0339	146.877	0.49	0.728
0wihfILRNOwE2156Shezc8	Bad Bunny	Agosto	QM6MZ2214896	84	latin,reggaeton,trap latino	0.0929	0.849	6.18e-06	0.115	115.018	0.724	0.584
6IdzChhowjjzkip31eSFeN	David Guetta,Ella Henderson,A7S,Becky Hill	Crazy What Love Can Do (with Becky Hill) - A7S Remix	UKWLG2200011	59	big room,dance pop,edm,pop,pop dance,pop rap	0.00488	0.596	0.000788	0.0515	126.037	0.353	0.818
3MJE5DoCeAWP7cDbW9Hgm5	The Chainsmokers	I Love U	USQX92105841	68	dance pop,edm,electropop,pop,pop dance,tropical house	0.143	0.651	3.62e-05	0.0318	103.981	0.81	0.719
7vQXePt74RcLBFgQcLjW0R	Unaverage Gang	Toe Taggin'	QZHN92290064	37	dark trap	0.0404	0.748	0.0129	0.22	160.04	0.124	0.457
3eOpjxWinHzb0OZmB3GrlM	Jez Dior	nvm	USLD91737820	40	indie pop rap,pop rap	0.00375	0.655	0.0	0.0285	120.002	0.494	0.551
77uH4X22CoKkxQM5s8vwfH	Shakewell	Symphony No. 1	QZAPK2000238	46	dark trap,underground hip hop,vapor trap	0.193	0.844	0.0	0.0474	126.028	0.607	0.555
7kgppSWLikBRTcyuCs1hfC	POORSTACY,L'exquisite Douleur	Abuse Me (ft. L'exquisite Douleur)	QZJ842001655	48	emo rap,melodic rap	3.8e-06	0.417	0.00197	0.065	104.984	0.122	0.94
5DphtwbbcrJWxjTTH8YoGy	BONES,grayera	SlayTheDragon,SaveThePrincess	USUYG1425732	47	dark trap,underground hip hop	0.0261	0.713	0.00073	0.0299	119.983	0.196	0.51
0CxbX8rzoUuZI57okarQxJ	BONES,grayera	CabinInTheWoods	USUYG1425721	55	dark trap,underground hip hop	0.431	0.415	0.644	0.0293	120.05	0.218	0.429
0aEBp4DzxfHOcO3PSYbJFo	Vegedream	Toxic	FR9W12206623	45	francoton,french hip hop,pop urbaine	0.124	0.793	0.0	0.219	142.005	0.722	0.872
1l0arEkM2grgUYMim5SggS	Rammstein	OK	DEUM72118407	71	alternative metal,german metal,industrial,industrial metal,industrial rock,neue deutsche harte	0.000343	0.49	0.0882	0.12	166.049	0.31	0.901
2ZG0Wumvp291QIsQ9YXzHl	Martin Garrix,DubVision,Jordan Grace	Oxygen	NLM5S2201682	51	dance pop,dutch edm,edm,pop,pop dance,progressive house,tropical house	0.0241	0.57	0.0	0.0512	127.033	0.39	0.753
0D2IKeV787WZDJurt8ErxD	Logic	Decades	USUM72206089	53	conscious hip hop,dmv rap,hip hop,pop rap,rap	0.0407	0.364	0.0	0.239	90.99	0.511	0.743
3DLc7BDcYz7O56PUrUZSdT	spectre,CRIM	don't know love	QZHN52234194	37		0.018	0.593	0.0	0.0302	101.968	0.17	0.579
0DyDLDwnMWWBDNw3cTM37f	AG Club	TRU RELIGION	USSM12203671	44	indie hip hop,underground hip hop	0.0422	0.591	0.0	0.0733	88.983	0.455	0.749
2Q0OwpOlGumiSZbNfbcNcv	Valleyheart	Your Favorite Jacket	QMGVJ2100258	33	alternative emo,anthem emo,dreamo,new england emo,pop punk	0.0011	0.602	0.0162	0.0323	134.997	0.646	0.714
2oeKs07xK7pO5b7Nxq9zOj	guccihighwaters	the chase	USAT22203336	44	emo rap,sad lo-fi,sad rap	0.196	0.754	0.000116	0.0336	120.004	0.631	0.646
0uv1kVvx32HL4Gb9yP5qjq	Three Days Grace	Chain of Abuse	USRC12103937	52	alternative metal,canadian metal,canadian rock,nu metal,post-grunge	0.00123	0.255	0.0	0.0696	82.499	0.206	0.858
4fF0PqNas0SQSQnOyAsaeG	Sfera Ebbasta,Rvssian	Italiano Anthem	ITUM72200444	60	italian hip hop,italian pop,trap italiana	0.0619	0.555	0.0	0.0368	131.922	0.0988	0.613
1wMkfavYDIX8z0S5fM2Gmg	A$AP Rocky	D.M.B.	USRC12201641	64	east coast hip hop,hip hop,rap,trap	0.523	0.672	0.000173	0.394	139.984	0.394	0.585
3mSlIRTgvQKGVT0cwyzB87	Chase Atlantic	STRANGER THINGS	US5262224711	60	pop	0.00228	0.585	0.000272	0.0424	129.861	0.201	0.732
4Ii1mWRtNSxh0ibM7aO5b5	Uzzy,Domi,Baqui,Quiassaca,Sacik Brow	Pelo Sul #3	PT2DY2200154	24	hip hop tuga	0.136	0.84	0.0	0.238	91.991	0.551	0.752
5jRM7d5Gyr6qhlJ13rJPOn	Kendrick Lamar	The Heart Part 5	USUM72208317	65	conscious hip hop,hip hop,rap,west coast rap	0.155	0.765	0.0	0.337	97.918	0.786	0.813
6yf6FF8BxqLqEr87RFY96m	Armin van Buuren,AVIRA,Chicane	Offshore	NLF712203194	54	dutch trance,edm,pop dance,progressive house,trance	0.00111	0.533	0.903	0.0399	125.008	0.353	0.949
1DbEaWCzFaMDMvUMA4B0qb	Edward Maya	Svarga Loka Vol.1 (Relaxing Music)	TCAGF2205920	25	dance pop,romanian house,romanian pop	0.0565	0.391	0.869	0.0354	119.966	0.135	0.459
11aNnE6AFyuYbk4bSlHKFO	Post Malone,Roddy Ricch	Cooped Up (with Roddy Ricch)	USUM72208033	64	dfw rap,melodic rap,rap	0.0399	0.644	0.0	0.242	93.707	0.372	0.775
1cKHdTo9u0ZymJdPGSh6nq	The Weeknd,Gesaffelstein	I Was Never There	USUG11800570	72	canadian contemporary r&b,canadian pop,pop	0.142	0.323	0.000162	0.0338	113.26	0.155	0.737
7DKS0rX27cCEPsK0R6tFWS	The Weeknd	Wasted Times	USUG11800564	68	canadian contemporary r&b,canadian pop,pop	0.61	0.56	1.42e-05	0.0581	122.585	0.29	0.678
4ppTAJUbNXELZcoUaL90wo	The Weeknd	Try Me	USUG11800562	69	canadian contemporary r&b,canadian pop,pop	0.596	0.456	0.000573	0.064	92.026	0.107	0.679
09mEdoA6zrmBPgTEN5qXmN	The Weeknd	Call Out My Name	USUG11800560	79	canadian contemporary r&b,canadian pop,pop	0.17	0.461	0.0	0.0356	134.17	0.175	0.593
5Nj1xXQEVTXm9cT68j3oC9	RVRB	Lost / / Awake	TCACJ1594580	13	la pop	0.0192	0.543	6.1e-06	0.0411	129.943	0.351	0.747
1oqMPCtRiO1QQLP8NjuB9Z	Bring Me The Horizon	fresh bruises	GBARL1801501	44	melodic metalcore,metalcore,rock,uk metalcore	0.0053	0.675	0.693	0.046	117.015	0.272	0.545
57i3M29DWoo7RDk0Tf0LZG	Matt and Kim	Daylight	US4HB0915501	65	brooklyn indie,indie pop,indie poptimism,indie rock,indietronica,modern alternative rock,modern rock,pop rock	0.102	0.57	0.000128	0.0323	103.303	0.671	0.798
4unvkr5iuzbmEEWJRPY1L2	Ivandro	Scroll	PT9GN2200005	45	trap tuga	0.636	0.716	0.00153	0.212	82.989	0.514	0.699
5P9tKwmJRLRm4nWhdsiNbZ	Slime	DOUCE	QZDFP1988122	44		0.376	0.684	0.00831	0.0484	114.992	0.147	0.559
269UIO09o3GFYFZCiblkbW	Oliver Francis	Memory Loss	USHR22214502	44	dark trap,emo rap,melodic rap,sad rap,underground hip hop,vapor trap	0.00356	0.392	0.0	0.0366	155.14	0.313	0.759
2FeBslNBMdR9V58uv6hd2t	Kendrick Lamar	N95	USUM72208963	84	conscious hip hop,hip hop,rap,west coast rap	0.377	0.79	2.32e-06	0.105	139.956	0.408	0.67
0RAvy97QRPzO2AfK5Dw6j3	Kendrick Lamar,Taylour Paige	We Cry Together	USUM72208973	80	conscious hip hop,hip hop,rap,west coast rap	0.292	0.648	0.0	0.345	106.89	0.504	0.68
6kYGOFNUMxpab09L5Ukoke	Kendrick Lamar	Rich Spirit	USUM72208971	81	conscious hip hop,hip hop,rap,west coast rap	0.428	0.852	2.28e-06	0.208	95.977	0.457	0.421
2Az5ykbQiZtFWtACCMvWlP	Kendrick Lamar	Rich - Interlude	USUM72208970	79	conscious hip hop,hip hop,rap,west coast rap	0.864	0.481	0.000315	0.0775	91.589	0.741	0.406
4xIhSUJantE6BMl3u8dtCJ	Kendrick Lamar,Sampha	Father Time (feat. Sampha)	USUM72208968	81	conscious hip hop,hip hop,rap,west coast rap	0.181	0.514	0.0	0.344	152.869	0.517	0.779
6gI9b2VsoWhjhIuIeToDVs	Kendrick Lamar,Blxst,Amanda Reifer	Die Hard	USUM72208965	82	conscious hip hop,hip hop,rap,west coast rap	0.319	0.775	0.00116	0.247	100.988	0.362	0.736
5p56JT5F9a1z9pwXnqTg7d	Kendrick Lamar	Worldwide Steppers	USUM72208960	81	conscious hip hop,hip hop,rap,west coast rap	0.753	0.514	0.00012	0.368	77.215	0.557	0.472
05zd5Nv0e02ZqrlC8A2cwx	Kendrick Lamar	United In Grief	USUM72208961	83	conscious hip hop,hip hop,rap,west coast rap	0.244	0.529	0.0	0.404	85.63	0.331	0.845
3lPn81PFyKvXiyHhlkwkQ4	Bring Me The Horizon	Doomed	GBARL1500768	60	melodic metalcore,metalcore,rock,uk metalcore	0.00152	0.271	1.5e-05	0.137	147.159	0.22	0.903
7kxM3UJwN6rHAW5kwdlAHK	Linkin Park	Forgotten	USWB10002408	58	alternative metal,nu metal,post-grunge,rap metal	0.0132	0.615	0.0	0.11	108.193	0.498	0.947
0QM58PErTrawKGBvzCMGuO	Ngahere Wafer,Thom Haha	Sand Outro	UST8K1788260	44	emo rap	0.246	0.463	0.21	0.0529	118.312	0.364	0.755
0b9oOr2ZgvyQu88wzixux9	Childish Gambino	This Is America	USRC11801773	69	atl hip hop,hip hop,rap	0.117	0.854	0.0	0.137	120.024	0.549	0.463
4QmlyJoNXr7kXDI2jK0Yer	Bill Spliff	Another Swisha	TCADM1800998	3		0.0254	0.837	1.8e-05	0.121	83.969	0.846	0.543
0iVkWge9ytV4Scgy2hQ2za	Ofenbach,Ella Henderson	Hurricane	FR9W12128761	74	dance pop,edm,electro house,pop,pop dance,tropical house	0.225	0.56	2.9e-06	0.0486	125.947	0.461	0.851
6BIorN4EQWpJD7SRfh9Duo	Cemetery Sun	Avalanche	USUM71818466	29	modern alternative rock	0.00112	0.561	0.0	0.0273	132.028	0.491	0.808
7hav1MHURQf5SAoPk0egqh	Lil Uzi Vert	Baby Pluto	USAT22001354	66	melodic rap,philly rap,rap,trap	0.135	0.772	0.0	0.212	160.052	0.671	0.634
