sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0RTzJVkunbGwuRjXDFHnjf	Axwell /\ Ingrosso	Dreamer	GBUM71706224	62	dance pop,edm,electro house,pop,pop dance,tropical house	0.0237	0.627	0.0	0.0352	126.017	0.611	0.847
3DamkEn9mkpCiNFrYyHzri	Groove Crackers	I Wanna Be Your Slave	QZK6J2186257	37	brazilian edm	0.0131	0.813	2.38e-05	0.0676	129.975	0.476	0.72
1jP8Nvxt2umNxMKQwf0Jpa	Angemi,Shiah Maisel	Levels	QZNFJ2202516	54		0.00762	0.679	0.0166	0.0313	123.972	0.328	0.883
5wQeCrJTJxGZnILnyCBHjI	David Guetta,Sam Martin	Lovers on the Sun (feat. Sam Martin)	GB28K1400016	49	big room,dance pop,edm,pop,pop dance,pop rap	0.0932	0.645	3.88e-06	0.0387	124.915	0.568	0.891
7MmG8p0F9N3C4AXdK6o6Eb	Calvin Harris,Ellie Goulding	Outside (feat. Ellie Goulding)	GBARL1401201	77	dance pop,edm,electro house,house,pop,pop dance,pop rap,progressive house,uk dance	0.213	0.646	0.0	0.0394	128.035	0.418	0.823
6aOak6RnrUz8YQUiwu7dLi	GUI2IN,Kuller,TARS.,Frann	Infinity	QZES62243292	46	brazilian edm	0.019	0.598	0.072	0.0456	125.995	0.584	0.954
1qZMPmpD1jDcOA7gZ6TCde	Swedish House Mafia,Pharrell Williams	One (Your Name) - Radio Edit	GBAAA1000165	62	edm,electro house,pop,pop dance,progressive electro house	0.0132	0.733	0.0049	0.0333	125.061	0.636	0.673
0xfMlIW8lS40qvpsUw1l0X	Kungs	Never Going Home	FR9W12110749	74	edm,pop dance,tropical house	0.0907	0.836	0.047	0.0392	122.042	0.942	0.846
5Iy2Jj87Ha0C0IBlNE1I4y	Avicii	The Days	CH3131340471	65	dance pop,edm,pop,pop dance	0.04	0.59	4.07e-05	0.0439	127.059	0.526	0.724
6PtXobrqImYfnpIxNsJApa	David Guetta,Showtek,VASSY	Bad (feat. Vassy) - Radio Edit	GB28K1400007	63	big room,dance pop,edm,pop,pop dance,pop rap	0.00125	0.614	0.0186	0.088	127.966	0.411	0.972
3s4U7OHV7gnj42VV72eSZ6	Clean Bandit,Jess Glynne	Rather Be (feat. Jess Glynne)	GBAHS1300498	71	dance pop,edm,pop,pop dance,tropical house,uk dance,uk funky	0.162	0.799	2.03e-06	0.0377	120.97	0.549	0.586
5xYC48nOppVemY6U5GRGTb	David Guetta,Kid Cudi	Memories (feat. Kid Cudi)	FRZID0900480	74	big room,dance pop,edm,pop,pop dance,pop rap	0.00144	0.546	4.34e-06	0.255	129.983	0.375	0.916
18asYwWugKjjsihZ0YvRxO	Tiësto,Ava Max	The Motto	CYA112001070	89	big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house	0.0301	0.754	2.23e-05	0.0435	117.953	0.464	0.763
4cG7HUWYHBV6R6tHn1gxrl	Riton,Nightcrawlers,Mufasa & Hypeman,Dopamine	Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit	GBCEN2000163	82	dance pop,edm,house,pop dance,tropical house,uk dance	0.0076	0.824	0.000132	0.126	122.98	0.801	0.862
7lFSuErjiTytfOzq0gszXW	Mangoo,IZKO,Tony Koma	Panda (feat. Tony Koma)	FR9W12210383	56	swedish eurodance	0.072	0.802	0.0382	0.214	99.986	0.141	0.852
3zU9rdflI65tK4dkkNSp77	Alesso,Tove Lo	Heroes (we could be)	USUM71411636	70	dance pop,edm,electro house,pop,pop dance,tropical house	0.0305	0.503	0.0	0.0619	125.896	0.356	0.748
5jyUBKpmaH670zrXrE0wmO	Sebastian Ingrosso,Tommy Trash,John Martin	Reload - Radio Edit	GBJ4B1300159	67	dance pop,edm,electro house,pop dance,progressive electro house,progressive house	0.0736	0.485	0.0	0.0521	128.045	0.433	0.724
0wNyAb4xZZF7so7wZZPdss	Martin Solveig,Good Times Ahead	Intoxicated - Radio Edit	UK98Q1500003	28	dance pop,disco house,edm,electro house,filter house,house,pop dance,tropical house,vocal house	0.00435	0.792	0.00477	0.0386	124.987	0.502	0.688
1SN1vSPsr4V4tIUTR3s8YW	Jonas Blue,Dakota	Fast Car	GBUM71507621	71	dance pop,edm,pop,pop dance,tropical house,uk dance	0.469	0.672	0.0	0.0569	113.945	0.548	0.578
5FUNk47hbkiL7mxLOo5CYc	Basto	Again & Again	NLC281112114	43	belgian edm,edm,electro house,pop dance,progressive electro house	0.061	0.549	0.947	0.0368	127.983	0.761	0.929
5cBvwieT5RLB9Ro2OOjBoI	Hoodie Forester,Young Jae	Whistle	QZNWV2064237	40		0.062	0.615	0.0	0.0374	95.027	0.485	0.748
24LS4lQShWyixJ0ZrJXfJ5	Calvin Harris,Florence Welch	Sweet Nothing (feat. Florence Welch)	GBARL1201392	69	dance pop,edm,electro house,house,pop,pop dance,pop rap,progressive house,uk dance	0.197	0.573	0.000112	0.109	127.934	0.582	0.929
6lBQ0SMCrJ7zy1LSCuXqwV	Martin Garrix,Third Party	Lions in the Wild	TCACO1667693	53	dance pop,dutch edm,edm,pop,pop dance,progressive house,tropical house	0.00434	0.504	0.0	0.0442	127.854	0.28	0.847
0bGLvHd0ApdT4t0shCfpzG	The Chainsmokers,Emily Warren	Side Effects	USQX91801629	58	dance pop,edm,electropop,pop,pop dance,tropical house	0.00217	0.669	0.0	0.033	110.01	0.544	0.711
1rsarV6yuF0D4f1vB1F30T	Madism,Masove,Brendan Mills,Tess Burrstone	Moonlight Shadow	NLT2H2100776	65	deep house,pop dance,tropical house	0.0101	0.587	0.00621	0.0876	123.95	0.303	0.711
3W3Bss8PJd3R01GwNZlJRj	Suitx Music,TARS.,Frann	Heat Waves	QZES62241362	46		0.0377	0.706	0.00598	0.08	126.031	0.586	0.973
4Jn44dR2pEhX9iCdelBAJ1	Tiësto,Don Diablo,Thomas Troelsen	Chemicals - Radio Edit	CYA111500096	33	big room,brostep,dance pop,dutch edm,edm,house,pop,pop dance,slap house,trance,tropical house	0.0344	0.529	4.55e-05	0.0794	125.988	0.0893	0.955
5R8Ze1ZOjPH4Cs5NlL6BtN	Yusuf Alev,Nito-Onna	Legends Never Die	QM4TW2242798	56	traprun	0.00761	0.578	3.72e-05	0.0412	126.047	0.0721	0.845
75NhhYjHO43mvZgYtnXgti	Avicii,Rita Ora	Lonely Together (feat. Rita Ora)	SE5R71700108	68	dance pop,edm,pop,pop dance	0.134	0.655	2.12e-05	0.0612	102.977	0.272	0.666
63gWjcGKmpz90e8AHxF680	Timmy Trumpet,loafers,The High	How To Save A Life (feat. loafers & The High)	FR9W12139804	57	australian dance,big room,dance pop,edm,melbourne bounce,melbourne bounce international,pop dance	0.0907	0.51	1.24e-05	0.0379	150.026	0.506	0.751
5MhsZlmKJG6X5kTHkdwC4B	AronChupa,Little Sis Nora	I'm an Albatraoz	SEYOK1406001	70	swedish pop	0.601	0.883	0.00449	0.235	128.078	0.595	0.817
3vv9phIu6Y1vX3jcqaGz5Z	The Chainsmokers,ROZES	Roses	USQX91500801	72	dance pop,edm,electropop,pop,pop dance,tropical house	0.0435	0.713	0.00377	0.0561	100.001	0.343	0.802
5naYe7rLMZcLfO1DKg48MK	Jax Jones,Martin Solveig,Madison Beer,Europa	All Day And Night	GBUM71900522	63	dance pop,edm,electro house,house,pop,pop dance,pop rap,tropical house,uk dance	0.317	0.567	0.0	0.108	121.924	0.541	0.765
1vvNmPOiUuyCbgWmtc6yfm	Calvin Harris	My Way	GBARL1601358	73	dance pop,edm,electro house,house,pop,pop dance,pop rap,progressive house,uk dance	0.093	0.818	3.69e-05	0.0426	119.986	0.536	0.913
7vGuf3Y35N4wmASOKLUVVU	Marshmello,Khalid	Silence	USRC11701901	78	brostep,dance pop,edm,pop,pop dance,progressive electro house	0.256	0.52	4.96e-06	0.0853	141.971	0.286	0.761
1gihuPhrLraKYrJMAEONyc	Calvin Harris	Feel So Close - Radio Edit	GBARL1100748	78	dance pop,edm,electro house,house,pop,pop dance,pop rap,progressive house,uk dance	0.000972	0.707	0.00703	0.031	127.937	0.919	0.924
5masKPHeAOVNgxdLebIcK7	Kygo,Parson James	Stole the Show	SEBGA1500071	73	edm,pop,pop dance,tropical house	0.271	0.64	0.0	0.226	100.034	0.475	0.635
4255amV4enzl28KAn16rUO	Lost Frequencies	Are You With Me	NLF711403495	71	belgian edm,edm,pop,pop dance,tropical house	0.262	0.763	2.5e-05	0.035	121.02	0.393	0.608
21RzyxY3EFaxVy6K4RqaU9	Loud Luxury,Brando	Body	NLF711710457	71	dance pop,edm,electro house,pop,pop dance,tropical house	0.0476	0.752	9.44e-05	0.038	121.958	0.582	0.764
5GjnIpUlLGEIYk052ISOw9	Armin van Buuren,Trevor Guthrie	This Is What It Feels Like	NLF711303312	65	dutch trance,edm,pop dance,progressive house,trance	0.0391	0.551	2.77e-06	0.03	129.885	0.145	0.833
1kskkAEQ3fax7WigtBk6Jx	Groove Crackers	Dark Horse	QZNWQ2109360	36	brazilian edm	0.00763	0.698	0.000665	0.0474	130.042	0.256	0.813
