sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3WRTADbL0criwvX6IQFex2	All That Remains	Six	USRZR0695607	57	alternative metal,melodic metalcore,metalcore,nu metal,rap rock	0.000103	0.241	0.00657	0.0852	97.015	0.195	0.961
1vcxF91pWs9uNwDROuiCPB	Rise Against	Savior	USUM70832584	75	chicago hardcore,chicago punk,hardcore punk,punk	0.00154	0.554	0.000142	0.0485	112.49	0.478	0.932
3nBGFgfRQ8ujSmu5cGlZIU	Polyphia	Playing God	QMRSZ2201095	70	instrumental rock	0.0395	0.601	0.812	0.0328	137.06	0.315	0.789
6kcS27BkRzqvuo2o5l29OZ	The Devil Wears Prada	Numb	QMGVJ1900189	38	christian metal,christian metalcore,christian rock,melodic metalcore,metalcore,post-hardcore	0.0103	0.505	0.0229	0.0378	135.031	0.113	0.539
1okd0AdSAmPxGOb7z4jFB7	The Devil Wears Prada	Danger: Wildman	US3H40912306	48	christian metal,christian metalcore,christian rock,melodic metalcore,metalcore,post-hardcore	0.00108	0.266	0.0	0.116	148.034	0.0862	0.974
4wMCZZnZc87FrNTcupJjXg	Killswitch Engage	The End of Heartache - Live, 7/25/2005	NLA320581509	29	alternative metal,boston metal,melodic metalcore,metalcore,nu metal	0.00407	0.337	0.246	0.14	130.613	0.0588	0.988
5r95yxmemjPfVSjCoSeAP4	Breaking Benjamin	Without You	USHR10924594	58	alternative metal,nu metal,post-grunge	6.54e-05	0.291	5.74e-06	0.0376	94.185	0.17	0.728
0ncHMpFGT96pis5pi4iJDm	Trivium	Until the World Goes Cold	NLA321500169	51	alternative metal,melodic metalcore,melodic thrash,metal,metalcore,nu metal	0.000244	0.517	0.00258	0.0732	166.008	0.531	0.887
2iptAVf9jZerlywLwiGhak	Three Days Grace	Fallen Angel	USRC11500211	63	alternative metal,canadian metal,canadian rock,nu metal,post-grunge	0.00554	0.453	0.0	0.0382	137.011	0.218	0.911
7ln7o4q6y9h8qEc6hGrtr1	Bullet For My Valentine	Tears Don't Fall	GBHQD0500017	58	alternative metal,melodic metalcore,metalcore,nu metal,rap rock,uk metalcore,welsh metal	0.000705	0.214	3.09e-06	0.143	162.115	0.233	0.931
6RJdYpFQwLyNfDc5FbjkgV	Disturbed	Stricken	USRE10500766	72	alternative metal,nu metal,rap metal	9.14e-05	0.402	0.0325	0.181	173.847	0.262	0.969
2nUy0ifVE7UwtOK4rugFsP	Killswitch Engage	The End of Heartache	NLA320420753	62	alternative metal,boston metal,melodic metalcore,metalcore,nu metal	0.000287	0.469	0.217	0.111	124.001	0.222	0.976
55Fpeuuc2sbQiy74eA1gTt	Set It Off,William Beckett	Wolf in Sheep's Clothing	ITH711400134	63	electropowerpop,modern rock,otacore,pixie,pop punk,rock	0.00161	0.445	0.0	0.0773	165.069	0.71	0.907
0snQkGI5qnAmohLE7jTsTn	System Of A Down	Toxicity	USSM10107262	79	alternative metal,nu metal,rap metal,rock	0.000264	0.413	0.00249	0.0536	116.68	0.48	0.873
