sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
03sEzk1VyrUZSgyhoQR0LZ	TOOL	Pneuma	USRC11902033	63	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.00209	0.415	0.75	0.0314	114.174	0.0586	0.53
3S4G4SL15Cp4CvAfmye8um	TOOL	Hooker With A Penis	USZE19600088	55	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.00129	0.25	0.553	0.155	90.835	0.274	0.91
6imjJij6aCM0IbbODUzJQn	Mötley Crüe	Kickstart My Heart	USBY29900215	75	glam metal,hard rock,rock,sleaze rock	0.00111	0.465	0.00298	0.175	89.535	0.233	0.977
0aTiUssEOy0Mt69bsavj6K	TOOL	Descending	USRC11902037	56	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.00219	0.33	0.769	0.0495	172.606	0.241	0.611
3gPxMQWDMSEyPXMtzbcDdQ	TOOL	Culling Voices	USRC11902038	54	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.0452	0.253	0.789	0.0352	156.286	0.0386	0.449
1Qdnvn4XlmZANCVy3XjrQo	Audioslave	Show Me How to Live	USSM10211589	67	alternative metal,alternative rock,nu metal,permanent wave,post-grunge,rock,supergroup	0.000336	0.433	0.000177	0.0483	89.4	0.368	0.854
2Ee9amLUslOwgoJWZEpSSD	Masego,Don Toliver	Mystery Lady (feat. Don Toliver)	USUM72021142	65		0.393	0.747	0.0	0.141	76.006	0.624	0.494
3uVHhgZs74DONzo9F3OE7p	Earl Sweatshirt,Tyler, The Creator	Whoa (feat. Tyler, The Creator)	USQX91300249	22	alternative hip hop,experimental hip hop,hip hop,rap,underground hip hop	0.00116	0.657	3.79e-06	0.276	80.057	0.393	0.656
5e8yGIFZEt73yKPMLiKHKo	Prince of Falls,Foreign Heat	Marlboro	QMEZE1827588	56	trap soul	0.0505	0.777	6.2e-05	0.102	133.985	0.221	0.311
0hfO4THmsjstA7svFPLTVS	Masego,Shenseea	Silver Tongue Devil (feat. Shenseea)	USUM72019191	52		0.513	0.789	0.000415	0.094	101.985	0.703	0.653
0Klbxk3g96Qae4DbCnUNcT	TOOL	The Patient	USVR10100011	55	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.00151	0.458	0.752	0.0338	110.767	0.388	0.526
4MYb7NWLwXNDB7bYs3HeX8	Foghat	Slow Ride	USRH10802802	66	album rock,blues rock,british blues,classic rock,country rock,hard rock,heartland rock,mellow gold,rock,soft rock	0.0202	0.493	0.00106	0.046	113.618	0.656	0.586
3yfqSUWxFvZELEM4PmlwIR	Eminem	The Real Slim Shady	USIR10000448	85	detroit hip hop,hip hop,rap	0.0302	0.949	0.0	0.0572	104.504	0.76	0.661
3YuaBvuZqcwN3CEAyyoaei	Audioslave	Like a Stone	USSM10211587	74	alternative metal,alternative rock,nu metal,permanent wave,post-grunge,rock,supergroup	0.00797	0.614	0.0	0.0276	107.849	0.516	0.568
69GE6yPZZldvqtgBHrKXxg	Puscifer	The Humbling River	USTCZ0970947	52	alternative metal,alternative rock,industrial metal,industrial rock,nu metal	0.796	0.554	0.00763	0.03	144.171	0.0341	0.327
5CQ30WqJwcep0pYcV4AMNc	Led Zeppelin	Stairway to Heaven - Remaster	USAT21300959	77	album rock,classic rock,hard rock,rock	0.58	0.338	0.0032	0.0339	82.433	0.197	0.34
6iQDmWrbrMQ0vPfbKqqvKU	TOOL	Opiate²	USRC12103372	60	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.00137	0.319	0.295	0.0527	106.619	0.166	0.684
4CbHM5bpfOfMNxNgVDHJRw	TOOL	Pushit	USZE19600092	52	alternative metal,alternative rock,art rock,nu metal,progressive metal,progressive rock,rock	0.00051	0.354	0.564	0.0358	119.582	0.175	0.626
3qaSqrrevBrb84xl5JlptU	Stereophonics	Dakota	GBBLK0500005	68	britpop,modern rock,pop rock,rock,welsh rock	0.129	0.506	0.00682	0.0675	146.994	0.305	0.93
7Gx2q0ueNwvDp2BOZYGCMO	Pink Floyd	Money - 2011 Remastered Version	GBN9Y1100081	63	album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock	0.0194	0.47	0.00104	0.171	124.065	0.767	0.505
57iDDD9N9tTWe75x6qhStw	The Verve	Bitter Sweet Symphony	GBUM71601816	77	alternative rock,britpop,permanent wave,pop rock,rock,shoegaze	0.0335	0.356	0.0	0.0479	171.176	0.518	0.917
6GyDY0yE47rfk8pcuKhioh	Queens of the Stone Age	Make It Wit Chu	USUM70734881	60	alternative metal,alternative rock,blues rock,modern rock,palm desert scene,rock,stoner metal,stoner rock	0.413	0.708	0.000104	0.0286	91.977	0.505	0.828
4mn2kNTqiGLwaUR8JdhJ1l	The Animals	House of the Rising Sun	GBAYE6400209	73	album rock,blues rock,british invasion,classic rock,folk rock,protopunk,psychedelic rock,rock	0.000334	0.316	0.00445	0.0308	117.363	0.299	0.484
