sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
7IBLt4Qarf4JDLxIQDv2O5	A$AP Rocky	D.M.B.	USRC12101600	74	east coast hip hop,hip hop,rap,trap	0.542	0.727	4.47e-06	0.338	140.014	0.392	0.616
2FeBslNBMdR9V58uv6hd2t	Kendrick Lamar	N95	USUM72208963	84	conscious hip hop,hip hop,rap,west coast rap	0.377	0.79	2.32e-06	0.105	139.956	0.408	0.67
4xIhSUJantE6BMl3u8dtCJ	Kendrick Lamar,Sampha	Father Time (feat. Sampha)	USUM72208968	81	conscious hip hop,hip hop,rap,west coast rap	0.181	0.514	0.0	0.344	152.869	0.517	0.779
7pj6P5WnxkZsw3XRc8eMe1	Kendrick Lamar	Count Me Out	USUM72208980	80	conscious hip hop,hip hop,rap,west coast rap	0.671	0.776	0.0	0.091	133.999	0.495	0.431
5LOiuvbH62YGtnwe6Ltt4T	Kendrick Lamar	Mirror	USUM72208995	76	conscious hip hop,hip hop,rap,west coast rap	0.225	0.652	1.4e-05	0.0639	91.933	0.274	0.67
47a7Hn4fFE4mHgVJF19CO1	Florence + The Machine	No Choir	GBUM71800815	52	baroque pop,pop,uk alternative pop	0.919	0.401	3.32e-06	0.154	88.744	0.299	0.292
6kQlUiaTUyRW8fYQ2xDhpx	Florence + The Machine	Girls Against God	GBUM72108017	61	baroque pop,pop,uk alternative pop	0.845	0.61	1.73e-06	0.0335	101.992	0.098	0.257
24S29Mu8QKgCockrZyX6Ha	Florence + The Machine	Back In Town	GBUM72108014	61	baroque pop,pop,uk alternative pop	0.774	0.302	2.75e-05	0.0362	77.952	0.0626	0.0753
31ABtQJdfloNaGz7ZhXaN5	Florence + The Machine	King	GBUM72108021	62	baroque pop,pop,uk alternative pop	0.136	0.731	0.000989	0.0443	105.989	0.0856	0.45
1ze6yyI0kUWyfsCPOIkd6o	Unknown T	Fresh Home	GBUM72000711	42	uk drill,uk hip hop	0.493	0.554	0.00234	0.415	141.742	0.248	0.701
1IqF5PUDUnaykHLs0RWbDO	BADBADNOTGOOD,Samuel T. Herring	Time Moves Slow	USD8D1634003	67	alternative hip hop,canadian modern jazz,escape room,hip hop,indie soul	0.478	0.591	0.0282	0.0543	140.026	0.308	0.376
