sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3qtuOAI0YyfoBM1s7Tvm46	Cesare Cremonini	La Nuova Stella Di Broadway	ITZL91200009	67	classic italian pop,italian adult pop	0.657	0.473	3.49e-05	0.0342	139.879	0.296	0.566
5i12eplaUT5pPE5iC6B2FZ	Achille Lauro,Gow Tribe,Frenetik&Orang3	Bam Bam Twist (feat. Gow Tribe, Frenetik&Orang3)	ITV022000001	60	italian hip hop,italian indie pop,italian pop	0.00391	0.573	0.000447	0.054	159.975	0.487	0.886
5oq04QcLfXDeX2iPhlMlu7	Tommaso Paradiso	Non Avere Paura - Acoustic	ITRRS2020001	53	italian adult pop,italian pop,rome indie	0.437	0.628	0.0	0.0233	104.983	0.329	0.536
3QdtpN3K8s2aDsX6o10KZK	Fedez,Tedua	SAPORE – with Tedua	ITB002100568	68	italian pop	0.061	0.76	2.8e-06	0.113	125.041	0.482	0.692
140mKM0QazbT10CiJL5vwZ	Fulminacci	Tommaso	ITIWE1900027	55	italian indie pop,rome indie	0.02	0.745	5.46e-05	0.0497	150.11	0.733	0.904
0I0b7uTFfHhBz5bMkSDouF	Fedez,Tananai,Mara Sattei	LA DOLCE VITA	ITB002200500	80	italian pop	0.0124	0.737	0.0	0.0527	144.991	0.919	0.858
1Tnv73x246bM4JwdEiY2Pm	Achille Lauro	1990	ITB551915759	43	italian hip hop,italian indie pop,italian pop	0.0201	0.498	0.0	0.033	122.919	0.17	0.689
24YPsuPqg3LHCi3M9e5fYw	Achille Lauro,Boss Doms,Frenetik&Orang3	1969 (feat. Boss Doms, Frenetik&Orang3)	ITB551915420	51	italian hip hop,italian indie pop,italian pop	0.00673	0.61	0.0	0.0535	129.963	0.553	0.941
0H69IrkN2Y9Df69rzyMscc	Achille Lauro	C'est la vie	ITB551915416	54	italian hip hop,italian indie pop,italian pop	0.169	0.471	0.0	0.0377	146.156	0.555	0.515
7JlPKH9G2KLUzJlfFFAxEO	Achille Lauro	MARILÙ	ITV022100002	52	italian hip hop,italian indie pop,italian pop	0.311	0.296	0.0	0.0327	185.135	0.159	0.486
2kZV7d0A4BIN5I8iFBnbqp	Achille Lauro,Gow Tribe	16 Marzo (feat. Gow Tribe)	ITB552015928	57	italian hip hop,italian indie pop,italian pop	0.214	0.49	0.0	0.0297	129.91	0.226	0.61
0sKkl1CjOs99DZCwwx0cFu	Achille Lauro,DIVA,Gow Tribe,Annalisa	Sweet Dreams (feat. Annalisa)	ITV022000005	50	italian hip hop,italian indie pop,italian pop	0.00562	0.594	0.0	0.0285	122.008	0.246	0.795
1PpH00KzrWRN3um8vSbi7A	Achille Lauro	STRIPPER	ITV022200013	61	italian hip hop,italian indie pop,italian pop	0.00315	0.601	0.0	0.0975	140.064	0.554	0.799
4WJVLEkcMMV2tHo1Bd65VN	Achille Lauro	DOMENICA	ITV022200002	58	italian hip hop,italian indie pop,italian pop
6qdMhG7pRFi0csRlFGvLE4	Fedez,Achille Lauro,Orietta Berti	MILLE – feat. Orietta Berti	ITB002100421	66	italian pop	0.016	0.527	0.0	0.322	184.339	0.829	0.764
0fzCtVM9D5UEwiLqcY8Ouq	Eddie Vedder	Hard Sun	USJY51700106	65	acoustic rock,permanent wave,rock	0.0512	0.438	0.000402	0.0328	143.377	0.645	0.827
1HkOPLwAJH3kE8UnqgxF4s	Bon Iver	Skinny Love	US38Y0811503	67	eau claire indie,indie folk,melancholia	0.842	0.592	2.38e-06	0.0449	76.358	0.103	0.256
3afxaYTtuu5fLzWQal5pYl	Gianna Nannini	Meravigliosa creatura	ITB001500280	33	classic italian pop,italian adult pop	0.968	0.388	0.0	0.0588	133.468	0.318	0.128
52W3YhurMxFYZ5LX63gra5	Samuele Bersani	Pensandoti	ITB000300251	10	classic italian pop,italian adult pop	0.927	0.66	7.44e-06	0.0573	90.059	0.27	0.292
3Vby3j8R69ZFAGNxIfobKj	Jeff Buckley	Hallelujah - Radio Edit	USSM10800937	51	melancholia,permanent wave,rock,singer-songwriter	0.9	0.362	5.39e-05	0.0309	101.551	0.143	0.189
2T1FHz9QGY8Hwj4yLGbcFq	Lucio Dalla	La sera dei miracoli - Remastered 2020 in 192 KHz	ITB001700928	47	canzone d'autore,classic italian pop,italian adult pop	0.476	0.337	0.0	0.0369	88.261	0.32	0.359
0Yncd2CxjjlWLrIukzsk2M	Franco Battiato	Voglio Vederti Danzare - Remastered	ITD000800109	56	classic italian pop,experimental,italian adult pop	0.656	0.587	0.000106	0.028	137.145	0.668	0.464
5wKwpjZPX4XTY7l16VPTmr	Bruno Lauzi	Amore caro, amore bello	ITB007100801	40	canzone d'autore,canzone genovese,classic italian pop,italian lounge,musica per bambini	0.578	0.391	5.94e-05	0.0387	117.243	0.639	0.574
6oO10y1h2VyxJQfomG4CtH	Jess Glynne	Take Me Home	GBAHS1500226	68	australian pop,dance pop,pop,pop dance,post-teen pop,tropical house,uk pop	0.292	0.558	0.0	0.0388	150.008	0.238	0.451
1E25gpXhSUtJcROXisSUmR	Ligabue	Sono sempre i sogni a dare forma al mondo	ITEA21300052	47	italian adult pop,italian pop rock	0.335	0.557	6.63e-06	0.03	140.024	0.241	0.679
0HkEbFjHSxa4JkmHFsdQRj	Samuele Bersani	En e Xanax	ITI761300001	48	classic italian pop,italian adult pop	0.492	0.626	0.0001	0.0268	124.933	0.47	0.592
1lNTzqUHXlxYOCfEsOTyW2	Ivano Fossati	Il bacio sulla bocca	ITM000300004	40	canzone d'autore,classic italian pop,italian adult pop	0.684	0.334	0.0	0.0388	182.279	0.305	0.359
4n3g7DKjJLUuinWeh2Rgbe	CCCP – Fedeli Alla Linea	Amandoti	ITD000700409	34	italian alternative,italian indie pop,italian new wave,italian punk	0.608	0.403	0.00527	0.027	91.048	0.453	0.241
3fR6HdcPn0VHjMBnbGvCQc	Placebo	Where Is My Mind? - XFM Live Version	GBAAA0300300	57	alternative rock,britpop,modern rock,permanent wave,rock	7.15e-05	0.37	0.00806	0.03	155.491	0.192	0.636
50M7nY1oQuNHecs0ahWAtI	The National	I Need My Girl	GBAFL1300064	64	indie rock,modern rock	0.865	0.52	0.0651	0.0355	126.053	0.114	0.436
69yybxzmxQFL3Hpdzr9dgm	Manuel Agnelli,Rodrigo D'Erasmo	Martha (feat. Rodrigo D'Erasmo)	ITUM71901279	18		0.919	0.256	0.000215	0.0506	172.031	0.275	0.365
3bHhUEOTIbezeZ856R0BX5	Eddie Vedder	Society	USJY51700107	67	acoustic rock,permanent wave,rock	0.902	0.561	0.000469	0.0327	161.858	0.298	0.327
3Nm11HD7PnwhLAfnnmqzIh	Sick Tamburo,Davide Toffolo	Il fiore per te	ITP841400070	37	italian alternative,italian indie pop	0.021	0.543	0.00788	0.0371	155.987	0.576	0.789
273QnyCvJB65rScHJ1nPZb	Adele	Make You Feel My Love	GBBKS0700586	76	british soul,pop,pop soul,uk pop	0.907	0.317	0.000383	0.0326	65.18	0.0963	0.172
3JOVTQ5h8HGFnDdp4VT3MP	Gary Jules,Michael Andrews	Mad World (Feat. Michael Andrews)	ushm90699796	67	neo mellow	0.976	0.345	0.000366	0.0374	174.117	0.304	0.0581
0VMh6D6ryDKoLFmd6EuqbU	Lucio Dalla	Tu non mi basti mai	ITK009600031	55	canzone d'autore,classic italian pop,italian adult pop	0.42	0.635	0.049	0.0315	86.003	0.525	0.376
7DGYzfaJRdhJU9LpZnhmGf	Francesco Guccini	Venezia - Remastered 2007	ITD000700203	23	canzone d'autore,classic italian pop,folk rock italiano,italian adult pop	0.77	0.668	0.0	0.0511	114.78	0.204	0.454
4d6eqRtpDX7tydHJGDZUBQ	Fine Young Cannibals	She Drives Me Crazy	USRH10901907	74	art rock,dance rock,mellow gold,new romantic,new wave,new wave pop,pop rock,rock,soft rock,synthpop	0.193	0.799	0.000188	0.0431	108.804	0.965	0.687
3x3zdepy3au5Uo81WIA9MG	John Frusciante	The Will To Death	USRC20400018	52	acoustic rock,alternative rock,blues rock,rock	0.691	0.498	0.000287	0.0333	168.383	0.296	0.113
3nvuPQTw2zuFAVuLsC9IYQ	Sinéad O'Connor	Nothing Compares 2 U	GBAYK9000017	72	lilith,new wave pop,pop rock	0.0425	0.511	2.33e-05	0.0273	119.917	0.161	0.574
3llxqT4IdBS7i2CCIPImww	Moby	Why Does My Heart Feel so Bad?	GBAJH9900037	64	downtempo,electronica	0.00106	0.338	0.157	0.0515	97.884	0.0393	0.597
06HRc41zK97Hh9AcuyXVZn	Gipsy Kings	Baila Me	GBARL0700383	56	flamenco,rumba,world	0.442	0.775	0.0	0.0906	119.39	0.889	0.722
