sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
124NFj84ppZ5pAxTuVQYCQ	Drake,Rihanna	Take Care	USCM51100547	76	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.0267	0.629	1.22e-05	0.265	121.845	0.299	0.515
0oiv4E896TUTTeQU0cmIui	Drake	Massive	USUG12204890	69	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.114	0.499	0.0169	0.0561	124.994	0.0557	0.671
1L3sTUdIBSNn0vjVgM6ZRp	Drake	Calling My Name	USUG12204887	68	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.684	0.848	0.000201	0.246	123.928	0.429	0.259
5lVmzrKaqPpPYtF7udoiNq	Drake	Intro	USUG12204899	69	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.955	0.193	0.88	0.0389	125.501	0.213	0.0218
7a5fliY9SsZENrQWQBZron	Drake	Texts Go Green	USUG12204882	70	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.000916	0.765	0.195	0.0622	118.997	0.536	0.627
5frM7XSby6Pj2Chs9gaKxj	Drake	A Keeper	USUG12204885	69	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.507	0.606	0.000111	0.0737	121.918	0.34	0.482
1MJHXJ8bdoynpEtCLCbkWf	Drake	Overdrive	USUG12204892	66	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.444	0.502	0.00964	0.122	109.739	0.518	0.645
0C6ShwHWvn4JyvcJc1LjbS	Drake	Sticky	USUG12204889	70	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.13	0.854	0.00167	0.131	137.029	0.0735	0.492
0PKpNkxX3FkcfgxCQUXXds	Drake	Down Hill	USUG12204893	65	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.965	0.718	0.00036	0.0435	109.994	0.639	0.319
5KW4KhJIAbVVSH6pJ4GPkb	Drake	Tie That Binds	USUG12204894	65	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.0176	0.775	0.0917	0.0593	120.017	0.284	0.688
5LYsEBLHY4PwmK1MRic1mr	Drake,21 Savage	Jimmy Cooks (feat. 21 Savage)	USUG12204898	71	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.00028	0.551	5.47e-06	0.184	156.026	0.415	0.664
7IaeavdRzXYQWfu2Wt5GlU	Drake	Currents	USUG12204883	69	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.104	0.883	0.00167	0.113	122.013	0.416	0.283
5zyZM1EiSqrniyqtprwxpv	Drake	Falling Back	USUG12204881	71	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.238	0.718	0.00653	0.0703	118.989	0.349	0.758
75FEaRjZTKLhTrFGsfMUXR	Kate Bush	Running Up That Hill (A Deal With God)	GBCNR8500002	94	art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter	0.72	0.629	0.00314	0.055	108.375	0.197	0.547
4Dvkj6JhhA12EX05fT7y2e	Harry Styles	As It Was	USSM12200612	94	pop	0.342	0.52	0.00101	0.0557	173.93	0.662	0.731
6xGruZOHLs39ZbVccQTuPZ	Joji	Glimpse of Us	USWB12201789	93	alternative r&b,viral pop	0.891	0.44	4.78e-06	0.0531	169.914	0.268	0.317
7oWbeO9v3Cfs900q7JhLAs	Cage The Elephant	Come A Little Closer	USRC11301144	71	modern alternative rock,modern rock,punk blues,rock	0.0265	0.44	1.04e-06	0.0327	148.038	0.304	0.778
6O5TrlFWTYvznd9fMC0VvU	Adele	When We Were Young	GBBKS1500217	78	british soul,pop,pop soul,uk pop	0.303	0.376	0.0	0.0496	144.361	0.265	0.595
24LS4lQShWyixJ0ZrJXfJ5	Calvin Harris,Florence Welch	Sweet Nothing (feat. Florence Welch)	GBARL1201392	72	dance pop,edm,electro house,house,pop,pop rap,progressive house,uk dance	0.197	0.573	0.000112	0.109	127.934	0.582	0.929
5ivF4eQBqJiVL5IAE9jRyl	Jason Mraz	I Won't Give Up	USEE11100768	69	acoustic pop,neo mellow,pop,pop rock	0.694	0.483	0.0	0.0429	133.406	0.139	0.303
3bNv3VuUOKgrf5hu3YcuRo	Adele	Someone Like You	GBBKS1000351	80	british soul,pop,pop soul,uk pop	0.893	0.556	0.0	0.0281	135.187	0.294	0.319
0TDLuuLlV54CkRRUOahJb4	David Guetta,Sia	Titanium (feat. Sia)	GB28K1100036	80	big room,dance pop,edm,pop,pop dance,pop rap	0.0679	0.604	0.15	0.103	126.062	0.301	0.787
2vzMWO0T008m86yDnXwkII	George Ezra	Blame It on Me	GBARL1400476	69	folk-pop,neo-singer-songwriter,pop,pop rock	0.473	0.537	0.0	0.0274	103.882	0.421	0.757
06JvOZ39sK8D8SqiqfaxDU	Kanye West,XXXTENTACION	True Love	USQX92202485	88	chicago rap,rap	0.0182	0.712	6.09e-06	0.25	84.042	0.388	0.861
2rDZhKnPaPG054ExZ6nXUS	Ryan Castro	Jordan	FR96X2111994	89	trap colombiano	0.0575	0.796	0.000683	0.37	179.923	0.71	0.68
1797zYiX4cKosMH836X9Gt	Bad Bunny,Tony Dize	La Corriente	QM6MZ2214883	91	latin,reggaeton,trap latino	0.229	0.663	0.0	0.195	196.12	0.579	0.786
31i56LZnwE6uSu3exoHjtB	Bad Bunny	Neverita	QM6MZ2214882	91	latin,reggaeton,trap latino	0.0706	0.876	0.0	0.0478	122.016	0.428	0.498
3FkeNbs9Zeiqkr3WkbOiGp	Anitta	Envolver	USWL12100576	79	funk carioca,funk pop,pagode baiano,pop nacional	0.152	0.812	0.00254	0.0833	91.993	0.396	0.736
35TyJIMR3xRouUuo2sjS6v	Harry Styles	Cinema	USSM12200616	89	pop	0.354	0.829	0.0511	0.0427	105.993	0.896	0.644
1qEmFfgcLObUfQm0j1W2CK	Harry Styles	Late Night Talking	USSM12200610	95	pop	0.298	0.714	0.0	0.0468	114.996	0.901	0.728
50nfwKoDiSYg8zOCREWAm5	Ed Sheeran	Shivers	GBAHS2100671	90	pop,uk pop	0.281	0.788	0.0	0.0856	141.02	0.822	0.859
2N0volXQpwsvjDorTTxBAU	James Blunt	Bonfire Heart	GBAHS1300301	67	neo mellow,pop,pop rock	0.181	0.575	0.0	0.0527	118.021	0.449	0.821
09u787BYeYIGd2mFIJ505t	Adele	Cry Your Heart Out	USSM12105972	67	british soul,pop,pop soul,uk pop	0.523	0.756	3.35e-06	0.102	125.064	0.59	0.713
76Y07hjDi7fjJnZKsQbEaF	Beyoncé,Shakira	Beautiful Liar	USSM10700448	61	dance pop,pop,r&b	0.0053	0.765	0.000286	0.0764	91.973	0.404	0.754
7fYRg3CEbk6rNCuzNzMT06	Calvin Harris,Dua Lipa,Young Thug	Potion (with Dua Lipa & Young Thug)	GBARL2201128	88	dance pop,edm,electro house,house,pop,pop rap,progressive house,uk dance	0.158	0.824	4.11e-05	0.0473	99.988	0.757	0.697
6Uj1ctrBOjOas8xZXGqKk4	Doja Cat	Woman	USRC12101532	92	dance pop,pop	0.0888	0.824	0.00294	0.0854	107.998	0.881	0.764
0vg4WnUWvze6pBOJDTq99k	James Blunt	You're Beautiful	USAT20401588	76	neo mellow,pop,pop rock	0.633	0.675	1.76e-05	0.0278	81.998	0.454	0.479
4zzzZ1UNfr75ASG1lUE9L1	Rihanna,Mikky Ekko	Stay - Album Version (Edited)	USUM71214758	63	barbadian pop,dance pop,pop,urban contemporary	0.945	0.621	6.12e-05	0.0283	111.893	0.125	0.31
61dCUoMCg28qEBzrW6htYM	Clean Bandit,Jess Glynne	Rather Be (feat. Jess Glynne)	GBAHS1300498	71	dance pop,edm,pop,pop dance,tropical house,uk dance,uk funky	0.162	0.799	2.03e-06	0.0377	120.97	0.549	0.586
3di5hcvxxciiqwMH1jarhY	Adele	Set Fire to the Rain	GBBKS1000348	77	british soul,pop,pop soul,uk pop	0.00408	0.603	1.68e-06	0.0249	107.993	0.446	0.67
5G1sTBGbZT5o4PNRc75RKI	The Black Keys	Lonely Boy	USNO11100273	73	alternative rock,blues rock,garage rock,modern blues rock,modern rock,punk blues,rock,roots rock	0.00417	0.356	0.00975	0.068	166.3	0.607	0.872
5hM5arv9KDbCHS0k9uqwjr	Tame Impala	Borderline	AUUM71900956	79	australian psych,neo-psychedelic	0.0406	0.621	9.1e-06	0.0369	97.96	0.873	0.873
0d28khcov6AiegSCpG5TuT	Gorillaz	Feel Good Inc.	GBAYE0500172	84	alternative hip hop	0.00836	0.818	0.00233	0.177	138.559	0.772	0.705
1sTsuZTdANkiFd7T34H3nb	The Killers	Human	USUM70837367	75	alternative rock,dance rock,modern rock,permanent wave,pop rock,rock	0.00132	0.557	0.0012	0.0601	135.47	0.582	0.8
70wYA8oYHoMzhRRkARoMhU	The Killers	When You Were Young	USUM70605164	77	alternative rock,dance rock,modern rock,permanent wave,pop rock,rock	0.000152	0.467	0.0484	0.112	130.433	0.321	0.988
2DrGEaqoruCSn0FffWCf5O	Vampire Weekend	A-Punk	GBBKS0700527	69	baroque pop,indie rock,modern rock	0.0103	0.551	0.0437	0.0525	174.917	0.846	0.819
72FTNsVwlDXMgxyEnmjwM0	Lynyrd Skynyrd	Sweet Home Alabama - Edit	USUMG0000661	60	album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,southern rock	0.221	0.63	0.00124	0.0241	97.817	0.91	0.655
