sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
5OFf5pzpIcdstWwAhv5YXE	Lil Peep,Horse Head	right here	UKELY2100063	71	emo rap,lgbtq+ hip hop	0.00043	0.605	6.71e-06	0.0312	110.034	0.213	0.72
7DfFc7a6Rwfi3YQMRbDMau	Frank Ocean	Thinkin Bout You	USUM71202995	77	alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop	0.409	0.721	0.00153	0.0532	129.83	0.2	0.339
3F5CgOj3wFlRv51JsHbxhe	Drake,21 Savage	Jimmy Cooks (feat. 21 Savage)	USUG12204897	81	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.000307	0.529	2.41e-06	0.175	165.921	0.366	0.673
3G5mKL2bVJY3NK5KqUnyrF	ZHU	Faded	QMALR1400001	26	edm,electro house	0.00859	0.861	0.118	0.0488	124.963	0.585	0.477
5IUtvfNvOyVYZUa6AJFrnP	Ty Dolla $ign,Post Malone	Spicy (feat. Post Malone)	USAT22005586	76	hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul	0.143	0.782	0.0	0.0419	99.993	0.118	0.51
30QR0ndUdiiMQMA9g1PGCm	$uicideboy$	...And to Those I Love, Thanks for Sticking Around	QZAPK1900020	80	dark trap,new orleans rap,underground hip hop	0.124	0.792	9.04e-05	0.0409	113.983	0.111	0.511
33gwZOGJWEZ7dRWPqPxBEZ	Big Sean,Post Malone	Wolves (feat. Post Malone)	USUM72016329	77	detroit hip hop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap	0.0978	0.724	9.41e-06	0.0867	160.048	0.325	0.675
4XvcHTUfIlWfyJTRG0aqlo	Sleepy Hallow	2055	USRC12100442	82	brooklyn drill,nyc rap	0.492	0.829	0.0	0.187	80.511	0.638	0.512
2ayvMaVf5RAXnNQwHvArB7	FaZe Kaysan,Sheck Wes,Fivio Foreign	MVP	QZMWW2251330	66		0.113	0.749	0.0	0.16	144.019	0.512	0.761
11kDth1aKUEUMq9r1pqyds	Travis Scott	5% TINT	USSM11806666	78	hip hop,rap,slap house	0.173	0.712	0.0	0.0487	140.0	0.062	0.481
1vicAuW47ccp1l5mYmaWi7	KSI,Lil Durk	No Time (feat. Lil Durk)	QMRSZ2100345	69	uk hip hop	0.296	0.651	0.0	0.0747	79.878	0.446	0.725
68Dni7IE4VyPkTOH9mRWHr	J. Cole	No Role Modelz	USQX91402598	88	conscious hip hop,hip hop,north carolina hip hop,rap	0.324	0.69	0.0	0.339	100.028	0.494	0.521
0O6u0VJ46W86TxN9wgyqDj	Post Malone,Doja Cat	I Like You (A Happier Song) (with Doja Cat)	USUM72208023	90	dfw rap,melodic rap,rap	0.121	0.733	0.0	0.0751	100.964	0.472	0.67
7nc7mlSdWYeFom84zZ8Wr8	Cochise,$NOT	Tell Em	USSM12103018	82	plugg,pluggnb	0.103	0.672	0.0	0.226	157.905	0.473	0.717
6EbVuwU7EnKeF2hdpViXCH	Sleepy Hallow,347aidan	Die Young (feat. 347aidan)	USRC12201686	85	brooklyn drill,nyc rap	0.827	0.808	0.0	0.338	77.471	0.675	0.582
2BITQ360Knh6qNAOqR7Dyq	Trippie Redd,Playboi Carti	Miss The Rage (feat. Playboi Carti)	QZJ842000983	76	melodic rap,rap,trap	0.0144	0.584	0.0	0.121	77.005	0.369	0.859
0uxSUdBrJy9Un0EYoBowng	Lil Uzi Vert	20 Min	USAT21704166	84	melodic rap,philly rap,rap,trap	0.109	0.773	0.0	0.117	123.426	0.783	0.75
68qqVn5kHBv4zc45SDGLnh	Filipe Ret,L7NNON,Chris Beats Zn	Corte Americano	BRRGE2102189	74	pop rap brasileiro	0.555	0.728	0.0	0.0595	129.055	0.473	0.665
07AQkmp456NpEnT8HR7WLy	Teto,Matuê	M4	BXW922000017	71	trap baiano	0.08	0.88	0.0	0.204	119.97	0.723	0.59
3ua3rqwBNmeGeQfcKnA3bT	Doode,Teto,Matuê	Groupies	BXW922100020	73		0.239	0.845	0.0	0.0612	139.955	0.516	0.655
3QGxgNaqaFSpORp2OVLXHR	Chefin,Mainstreet	212	BCM9A2200002	79		0.659	0.789	0.0	0.0697	154.037	0.857	0.519
5kuUOpHZlZjL8b7HXkxRsm	Xamã,Neo Beats,Matuê	Luxúria	BXIV81600068	67	brazilian hip hop,funk carioca,trap brasileiro	0.301	0.737	0.0	0.316	140.075	0.684	0.564
3MkdA6vwF0ifRl86yzTlJW	Matuê	Kenny G	BX2M81900002	69	r&b brasileiro,rap cearense,trap brasileiro	0.0778	0.417	0.0	0.193	72.573	0.152	0.767
