sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
6oBjnOBqngXWsRuYY5eTnz	After The Burial	Collapse	USYFZ1564801	48	deathcore,djent,melodic metalcore,metalcore,minneapolis metal,progressive metalcore	2.02e-05	0.373	0.668	0.181	153.786	0.277	0.97
6MpCaSIOfqBqbMED4kXgNY	Beach Bunny	Prom Queen	QZDA71885746	80	bubblegrunge,chicago indie,indie pop	0.000391	0.528	0.011	0.0485	143.785	0.751	0.797
13lZDbwonGhOflQLQIfdtZ	The White Stripes	We're Going to Be Friends	GBBKS0100357	66	alternative rock,blues rock,detroit rock,garage rock,modern blues rock,modern rock,permanent wave,punk blues,rock	0.661	0.534	0.0	0.0303	97.009	0.439	0.441
3kdMzXOcrDIdSWLdONHNK5	Foo Fighters	The Sky Is A Neighborhood	USRW31700018	64	alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock	0.000798	0.357	0.00485	0.0698	130.749	0.531	0.549
5wGFvl0RtfqLp9kVgnZWKg	Nomy	Gone Away	SEYOK1953505	36	swedish alternative rock	9.72e-05	0.487	0.0	0.0393	110.997	0.316	0.92
6bGT08Id0YIG4qNEcsxjLO	Nomy	Meltdown	SEYOK2044875	50	swedish alternative rock	0.00183	0.416	0.0	0.11	164.039	0.276	0.98
6SuaNvXzk4kADnudvmd5EN	NOAHFINNCE,Hot Mulligan,Extra Large Holiday Card	AFTER THERAPY (feat. Hot Mulligan)	USHR22214106	47	indie pop	0.00118	0.438	0.0	0.0672	184.029	0.582	0.851
7ausP2XEvLZwycxAoiu2BB	NOAHFINNCE	WEIRDOS	USHR22014106	39	indie pop	0.00146	0.52	0.000221	0.0531	117.0	0.388	0.921
4vP8DrWNWBO4xGJOGw4P8w	NOAHFINNCE	KICKIN TRASH	USHR22014105	41	indie pop	0.0384	0.506	1.29e-05	0.0997	95.91	0.345	0.582
7xzvOITcgfgEQ4KBzSmoRO	NOAHFINNCE	STUPID	USHR22014102	45	indie pop	0.0188	0.519	0.0	0.091	156.988	0.784	0.684
3HR5tgVaFRhomFbI2f6R8x	NOAHFINNCE	WORMS (In My Brain)	USHR22214101	46	indie pop	0.0041	0.434	0.0	0.144	100.08	0.238	0.897
0haXiRi57j2xQo5a3WkzqV	Palaye Royale	Lonely	USYFZ2031305	67	modern alternative rock,modern rock,rock,vegas indie	0.0624	0.622	0.0	0.0561	147.965	0.483	0.619
6BEKt5axiNeWCr9huv0k7I	Twenty One Pilots	Truce	USAT21203521	60	modern rock,rock	0.994	0.537	0.0471	0.0475	120.322	0.342	0.0231
3z06k8YF9CqX0CGFrlekOK	vaultboy	everything sucks	QZLBC2100155	77	pop	0.00772	0.76	0.0	0.0531	138.023	0.653	0.371
5Y5GCQcDkcndKKiKel6tK8	Jules Paymer	Past Life	QZS7J2227417	39		0.768	0.679	0.0	0.0334	120.117	0.166	0.286
0zHgtaaO1T7AQh4TA9AK1b	Bears In Trees	Ramblings of a Lunatic	SE6A91907245	54	indie pop	0.799	0.701	0.0	0.0447	111.922	0.673	0.376
5OyDrpEkADJhlSvnopHuQ8	Spotify	Welcome		1		0.355	0.0	0.0	0.0	0.0	0.0	0.404
5NORWMFC27ywGSZxi8uquP	The Lumineers	Ophelia	USDMG1673802	78	folk-pop,stomp and holler	0.613	0.664	0.000363	0.0277	76.023	0.566	0.573
2ndWbjiiNBEOrlfToKlABE	Death Cab for Cutie	I Will Follow You into the Dark	USAT20504677	63	alternative rock,indie pop,indie rock,modern rock,pop rock,washington indie	0.923	0.581	0.0	0.0447	77.748	0.475	0.163
3M214U0mwSm041GsQR3nrO	BoyWithUke	Toxic	TCAFS2101442	79		0.749	0.609	0.0	0.311	179.71	0.689	0.619
3AJwUDP919kvQ9QcozQPxg	Coldplay	Yellow	GBAYE0000267	87	permanent wave,pop	0.00239	0.429	0.000121	0.0281	173.372	0.285	0.661
5lRzWDEe7UuedU2QPsFg0K	Band of Horses	The Funeral	USSUB0669004	71	indie folk,indie rock,modern rock,stomp and holler	0.016	0.319	0.0	0.0432	122.465	0.101	0.757
08uQ0afWImiJrCDB2UoLJW	The Lumineers	Donna	USDMG1995101	50	folk-pop,stomp and holler	0.96	0.49	1.78e-05	0.035	134.121	0.282	0.247
7AXoSHtReIvoJPi5XKXecl	Royal Blood	Who Needs Friends	GBAHT2001122	50	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.000143	0.637	0.000592	0.0341	93.025	0.583	0.62
2gyNEDD4O3WLho9L750FOx	Royal Blood	Sad But True	QMKHM2100011	46	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	7.9e-05	0.478	0.00426	0.0333	89.109	0.625	0.876
3Ye5icBka8ODjcaEQakPvZ	Royal Blood	Oblivion	GBAHT2001120	61	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.000281	0.642	0.00211	0.0612	112.005	0.826	0.823
1LbwMX3159t6QxG3u7DRWe	Royal Blood	I Only Lie When I Love You	GBAHT1700099	57	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.00111	0.65	0.000129	0.0483	124.013	0.88	0.886
5Q6BEkgHxYuEJmHidFLy9L	Royal Blood	Hole in Your Heart	GBAHT1700105	50	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.00458	0.596	1.62e-05	0.0587	100.032	0.475	0.811
35lBL83KZl80dHivikZKEq	Royal Blood	Hook, Line & Sinker	GBAHT1700104	54	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.000614	0.51	1.5e-05	0.0363	88.034	0.492	0.896
3MjrueDQKVr6xDDseZwhEd	Royal Blood	Figure It Out	GBAHT1400222	67	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.229	0.658	0.00676	0.0558	108.016	0.69	0.814
1060gzllf4b0UETAXisR5l	Royal Blood	Lights Out	GBAHT1700098	60	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.000127	0.501	0.000311	0.0413	89.972	0.57	0.824
51txLjbvSBRvtxjCjAFLkM	Royal Blood	How Did We Get So Dark?	GBAHT1700097	53	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.00177	0.568	0.000406	0.0494	133.064	0.693	0.871
5aFGo8wHEntVxFI8IF7Wuj	Royal Blood	Typhoons	GBAHT2001121	59	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.000347	0.601	0.0011	0.0384	114.991	0.581	0.723
48wDtXGVFNZHANlDYTKMAW	Royal Blood	Loose Change	GBAHT1400225	53	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.195	0.478	2.2e-05	0.133	84.545	0.538	0.79
5nUrlBwZiaPcCKpBM7iT1W	Royal Blood	Limbo	GBAHT2001124	53	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.00022	0.563	0.0124	0.0572	125.011	0.393	0.865
3S66ufJ1RdjOKf2azjXWjI	Royal Blood	Mad Visions	GBAHT2001127	51	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.00194	0.701	3.4e-05	0.103	112.947	0.839	0.669
27BEATf1JFhKDmwJdpGVSk	Royal Blood	Boilermaker	GBAHT2001126	57	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.000201	0.446	0.662	0.173	94.508	0.683	0.778
3OtId2P71K4wGAAJk8QCIR	Royal Blood	Honeybrains	GBAHT2200669	60	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.00537	0.523	0.0	0.101	125.886	0.604	0.8
5rUGbardlhPNzbHH3qOEOk	Royal Blood	Hold On	GBAHT2001128	49	alternative rock,brighton indie,garage rock,modern alternative rock,modern blues rock,modern hard rock,modern rock,rock	0.000343	0.649	5.38e-05	0.0404	116.013	0.697	0.842
0cPvRrV9PBBHVfHoGBlFdO	Poor Mans Poison	Hell's Comin' with Me	TCAEN1964122	77	deathgrass	0.395	0.581	5.34e-06	0.0383	129.879	0.533	0.619
7vRia9rlEuTDQxkfXIKySi	Rex Orange County	It's Not The Same Anymore	USRC11902536	71	bedroom pop,pop	0.873	0.666	3.74e-05	0.0327	117.676	0.359	0.317
