sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0shSP8DgseLewHgAiMC4UL	Denzel Curry,Kiddo Marv	WISH FEAT. KIDDO MARV	USC4R1902705	56	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.234	0.655	0.0	0.0736	95.017	0.622	0.766
2c3gn2uL85jNcQDO8FWiJo	J. Cole,Bas	h u n g e r . o n . h i l l s i d e (with Bas)	QMJMT2103653	42	conscious hip hop,hip hop,north carolina hip hop,rap	0.184	0.417	0.0	0.0885	92.033	0.291	0.679
3J6XC8Xo5kWqitzWgV4zgl	Denzel Curry,Lil Ugly Mane	Zeltron 6 Billion	USC4R1702167	41	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.00747	0.59	0.0	0.286	172.082	0.452	0.871
6myUpr3GDR80Dg3zqNTmmG	Kid Cudi	Another Day	USUM72023836	60	hip hop,ohio hip hop,rap	0.556	0.646	0.00316	0.0708	172.995	0.0642	0.758
3zpGLSQ8QbbUnNjweWPLMD	$NOT,A$AP Rocky	Doja	QMCE32200104	68	aesthetic rap,florida rap,rap,underground hip hop	0.0725	0.753	0.000714	0.32	157.148	0.669	0.777
0cp97b37sFNsdIbQH6po3T	JID,21 Savage,Baby Tate	Surround Sound (feat. 21 Savage & Baby Tate)	USUM72123571	75	hip hop,rap,underground hip hop	0.156	0.57	0.0	0.476	76.006	0.517	0.573
4KDNRh9Oor80z3XIxdWlui	Young Thug,Drake,Travis Scott	Bubbly (with Drake & Travis Scott)	USAT22106845	74	atl hip hop,atl trap,gangster rap,hip hop,melodic rap,pop rap,rap,southern hip hop,trap	0.0536	0.91	0.0	0.257	129.011	0.599	0.585
7J8V76XTLhJXAm8hwCQKXG	JPEGMAFIA	REBOUND!	USUM72119673	53	alternative hip hop,escape room,experimental hip hop,hip hop,industrial hip hop,rap,underground hip hop	0.15	0.783	1.54e-06	0.223	141.339	0.671	0.874
2RZ5LHKUW30P4Pu76h4wep	Trippie Redd	Super Cell	QZJ842001144	62	melodic rap,rap,trap	0.0162	0.641	0.0	0.113	154.829	0.603	0.755
2aQwdBWk4vSPWk1Csgtzdo	Denzel Curry	This Life	USC4R1602012	57	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.517	0.724	0.0	0.0617	152.043	0.811	0.843
7z4xW9WY86uH3gd1V9pfCM	Tyler, The Creator,Lil Uzi Vert,Pharrell Williams	JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)	USQX92102142	70	hip hop,rap	0.0195	0.827	0.0	0.366	142.034	0.62	0.571
5palKhOCG1S3Y351ROrgLw	Zack Fox	Marinate	US25X2005643	48	hip hop,social media pop,underground hip hop	0.00505	0.786	2.15e-06	0.0543	96.01	0.28	0.731
7pj6P5WnxkZsw3XRc8eMe1	Kendrick Lamar	Count Me Out	USUM72208980	83	conscious hip hop,hip hop,rap,west coast rap	0.671	0.776	0.0	0.091	133.999	0.495	0.431
4S4Mfvv03M1cHgIOJcbUCL	Frank Ocean	In My Room	QM24S1926435	75	alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop	0.594	0.861	0.661	0.0675	158.037	0.67	0.647
4R67rQNSbbsR4TdUVOIdez	Travis Scott	ESCAPE PLAN	USSM12104018	73	hip hop,rap,slap house,trap	0.00207	0.839	0.0	0.133	154.12	0.44	0.506
4NP3gHruXgIo4YSJSNDRBz	Aminé	Charmander	QZLBC2100449	59	hip hop,pop,portland hip hop,rap,underground hip hop	0.542	0.708	0.00377	0.0714	87.195	0.596	0.552
3tYTyAt1q6BFBiGyYVOLhi	Kendrick Lamar,Kodak Black	Silent Hill	USUM72208981	84	conscious hip hop,hip hop,rap,west coast rap	0.438	0.907	3.19e-05	0.0767	140.07	0.801	0.577
7rbECVPkY5UODxoOUVKZnA	Kanye West	I Wonder	USUM70749085	77	chicago rap,rap	0.141	0.542	0.000445	0.0831	191.385	0.124	0.466
15hJmqqEtASVXl6sM7i4UF	Baby Keem	trademark usa	USSM12106858	74	hip hop,rap	0.107	0.615	1.61e-06	0.27	130.027	0.0661	0.6
3ZsbSopfR7yCEaj8BCEvLi	Lil Gnar,Trippie Redd	Missiles (feat. Trippie Redd)	CA5KR2136693	61	atl hip hop,dark trap,melodic rap,trap,underground hip hop,vapor trap	0.0696	0.797	0.0	0.279	130.059	0.464	0.713
5z9hOZWVmlSOnaVbNYVSGk	Comethazine	Like Dat	USQX92200631	55	rap,trap,underground hip hop,vapor trap,viral rap	0.00201	0.827	0.00552	0.22	141.934	0.631	0.609
5s9d3JiqxsuAkuDTDStBh6	Denzel Curry,slowthai	Zatoichi [Feat. slowthai]	USC4R2211736	53	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.109	0.512	1.73e-05	0.167	83.003	0.241	0.724
59J5nzL1KniFHnU120dQzt	Playboi Carti,Lil Uzi Vert	wokeuplikethis*	USUM71702277	73	atl hip hop,plugg,pluggnb,rap,trap	0.0138	0.785	0.0	0.254	78.477	0.478	0.62
0JEefF2thwTsgWE2Wv0IsC	A$AP ANT,A$AP Rocky	The God Hour	CA5KR2223331	67	baltimore hip hop,drill,rap,underground hip hop,vapor trap	0.0832	0.777	1.38e-06	0.288	129.964	0.385	0.713
2DyiZvzSxkf1N6fvcfEKEO	Denzel Curry,T-Pain	Troubles [Feat. T-Pain]	USC4R2211730	56	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.546	0.78	3.36e-05	0.177	180.008	0.899	0.751
5FkoSXiJPKTNyYgALRJFhD	Baby Keem	ORANGE SODA	QM6N21900076	76	hip hop,rap	0.177	0.83	0.0	0.235	85.042	0.107	0.564
4N7i6RfJXMWfkx9Zr6pzkJ	DJ Scheme,Ski Mask The Slump God,Danny Towers,Lil Yachty	E-ER (feat. Lil Yachty)	USUYG1342164	72	underground hip hop,vapor trap	0.074	0.952	0.0	0.428	130.083	0.394	0.29
0RyA3o15NOLJYtm9NlDu5c	A$AP Mob,A$AP Rocky,Playboi Carti,Big Sean	Frat Rules (feat. A$AP Rocky, Playboi Carti & Big Sean)	USRC11702071	64	hip hop,rap,southern hip hop,trap	0.181	0.635	0.0	0.231	128.09	0.177	0.777
1W24W6jQegnNh0x5DfBBPT	Trippie Redd	The Grinch	QZJ841900161	75	melodic rap,rap,trap	0.137	0.676	6.36e-05	0.0971	162.85	0.196	0.503
3vs733LJpo6r1lxMBsMYal	Lancey Foux,Lil Yachty	OUTTAMYMIND! (feat. Lil Yachty)	GBUM72107142	46	uk alternative hip hop,underground hip hop,vapor trap	0.00311	0.651	0.0	0.143	143.973	0.237	0.798
7nuor4ul6ATbHmlTZRvf1e	Powers Pleasant,Denzel Curry,ZillaKami	Evil Twin (with Denzel Curry, Zillakami)	GBKPL2169684	50	underground hip hop	0.00932	0.754	0.138	0.181	161.003	0.733	0.893
78rS2u02t7ibZmjKCn1Flq	Xell211	Heat	QZHNA2186100	53		0.0446	0.543	0.0	0.284	160.168	0.757	0.655
5SWnsxjhdcEDc7LJjq9UHk	21 Savage,Metro Boomin	Runnin	USSM12005346	76	atl hip hop,hip hop,rap,trap	0.00748	0.819	0.101	0.202	143.01	0.415	0.626
6Bxy3KpK4ygO2X9QAiOQ3W	Denzel Curry,Kenny Beats	ꞌCosmicꞌ.m4a	USC4R1902916	50	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.377	0.685	0.0	0.415	96.301	0.527	0.789
29TPjc8wxfz4XMn21O7VsZ	Playboi Carti	Sky	USUM72024699	80	atl hip hop,plugg,pluggnb,rap,trap	0.258	0.785	0.0	0.21	139.98	0.565	0.903
2QbGvQssb0VLLS4x5NOmyJ	Denzel Curry	RICKY	USC4R1902692	63	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.0399	0.776	0.0	0.363	169.03	0.521	0.562
0UTyLmkQgPOEIz95OVAJTR	Baby Keem,Kendrick Lamar	range brothers (with Kendrick Lamar)	USSM12106861	68	hip hop,rap	0.00466	0.667	0.0	0.267	121.972	0.141	0.582
1qMMYpVatbRITKCfq1gasi	Future	PUFFIN ON ZOOTIEZ	USSM12203787	81	atl hip hop,rap,southern hip hop,trap	0.0603	0.883	0.0	0.305	124.992	0.284	0.657
6gI9b2VsoWhjhIuIeToDVs	Kendrick Lamar,Blxst,Amanda Reifer	Die Hard	USUM72208965	87	conscious hip hop,hip hop,rap,west coast rap	0.319	0.775	0.00116	0.247	100.988	0.362	0.736
2BITQ360Knh6qNAOqR7Dyq	Trippie Redd,Playboi Carti	Miss The Rage (feat. Playboi Carti)	QZJ842000983	75	melodic rap,rap,trap	0.0144	0.584	0.0	0.121	77.005	0.369	0.859
26bkmabhSByGuQgWUqB37J	Juice WRLD	Relocate	USUG12105420	63	chicago rap,melodic rap	0.114	0.706	0.0	0.0619	82.973	0.462	0.59
1iBZqPmS2HjeTm9oRtvwqT	Denzel Curry,454	Sanjuro [Feat. 454]	USC4R2211735	61	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.121	0.732	1.91e-05	0.0886	127.952	0.169	0.656
3jq1RpStaB1YGyN3rRZGca	XXXTENTACION	Sauce!	USUYG1237274	62	emo rap,miami hip hop	0.582	0.68	0.0	0.0347	135.034	0.405	0.313
0AAVJIN4plafvmNKqRCltG	Future	I'M DAT N****	USSM12203785	74	atl hip hop,rap,southern hip hop,trap	0.0112	0.911	5.83e-05	0.163	144.026	0.145	0.573
27a1mYSG5tYg7dmEjWBcmL	Travis Scott	CAN'T SAY	USSM11806670	73	hip hop,rap,slap house,trap	0.201	0.702	0.0	0.0547	147.98	0.713	0.708
25r6MZ4Gtd76l43qnZI1DG	Don Toliver,Travis Scott	Flocky Flocky (feat. Travis Scott)	USAT22106111	67	pop,rap,trap	0.0252	0.8	0.0	0.0375	135.99	0.194	0.541
1InX2gJz9jvp4tLOc84DWe	Denzel Curry,6LACK,Rico Nasty,JID,Jasiah,Kitty Ca$h,Powers Pleasant	Ain't No Way [Feat. 6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h]	USC4R2211731	63	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.0929	0.405	2.96e-06	0.111	80.666	0.327	0.707
4JJcP0Rv9AgyPD6ZGaC8EE	Baby Keem,Travis Scott	durag activity (with Travis Scott)	USSM12101860	64	hip hop,rap	0.00306	0.89	3.06e-06	0.342	80.462	0.505	0.701
2FeBslNBMdR9V58uv6hd2t	Kendrick Lamar	N95	USUM72208963	89	conscious hip hop,hip hop,rap,west coast rap	0.377	0.79	2.32e-06	0.105	139.956	0.408	0.67
4J9SI7do4KOEsCexqEbjmR	Kid Cudi,Trippie Redd	Rockstar Knights (with Trippie Redd)	USUM72023850	58	hip hop,ohio hip hop,rap	0.384	0.625	4.54e-06	0.126	178.052	0.384	0.682
0oIV3G50eNVzeSpeI5rtm7	Jack Harlow	Tyler Herro	USAT22006866	50	deep underground hip hop,kentucky hip hop,rap	0.0889	0.788	0.0	0.0916	123.081	0.802	0.789
59JWp4PjZ9TRM8cmtaDYB1	Lil Uzi Vert,21 Savage	Yessirskiii	USAT22001632	68	melodic rap,philly rap,rap,trap	0.0183	0.895	7.61e-06	0.283	140.007	0.763	0.739
1X8E4vVoOM3BpSQlEDSjjM	Juice WRLD	Burn	USUG12105417	72	chicago rap,melodic rap	0.149	0.354	0.034	0.0425	114.975	0.0393	0.475
0Pq8CSHDXInMK8atOkWSAv	Yeat,Gunna	Rackz got më (feat. Gunna)	USUM72202185	72	pluggnb	0.00439	0.788	0.000232	0.1	142.943	0.216	0.603
13HsOwrwTA5HgLuoaDHncP	Tyler, The Creator,Teezo Touchdown	RUNITUP (feat. Teezo Touchdown)	USQX92102136	65	hip hop,rap	0.565	0.665	0.000317	0.13	115.852	0.142	0.469
3xYvDtt9IxWn6xJNapCv9u	Denzel Curry	The Ills	USC4R2211737	58	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.383	0.729	0.0	0.284	83.667	0.46	0.685
4gh0ZnHzaTMT1sDga7Ek0N	Travis Scott	sdp interlude	USSM11607552	66	hip hop,rap,slap house,trap	0.599	0.507	0.0544	0.0586	108.164	0.588	0.586
62l3NSQPUxvcwwzKUmysrE	Polo G	Bad Man (Smooth Criminal)	USSM12108708	67	chicago rap	0.0124	0.882	0.0	0.242	120.034	0.57	0.662
5egD7A5x9AHdVO2fMo3Wbo	Lil Uzi Vert	Silly Watch	USAT22001356	67	melodic rap,philly rap,rap,trap	0.0298	0.903	0.0	0.286	130.117	0.157	0.535
1e1JKLEDKP7hEQzJfNAgPl	Playboi Carti	Magnolia	USUM71703095	76	atl hip hop,plugg,pluggnb,rap,trap	0.0114	0.791	0.0	0.286	162.991	0.443	0.582
7BbaIYAdi3pg4MGl6PHwPv	Yeat	Monëy so big	USLD91734275	82	pluggnb	0.121	0.693	0.0	0.0906	138.016	0.353	0.575
4gT3mNJA8lnlkYFqGZ8IA2	Mac Miller	Small Worlds	USWB11801087	73	hip hop,pittsburgh rap,rap	0.814	0.516	4.5e-06	0.249	78.267	0.515	0.546
3lKAIzNiCFL9cqPl3Glb5B	Denzel Curry	The Last	USC4R2211728	61	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.409	0.808	0.0	0.0977	111.043	0.306	0.559
4huBDGP4I3S0pYI0EaRN1c	Fivio Foreign,Kanye West,Alicia Keys	City of Gods	USSM12201246	75	brooklyn drill,hip hop,new york drill,rap,trap	0.102	0.474	0.0	0.375	147.356	0.497	0.801
6cUHiQEECDl5m3WFGQ1GCR	Trippie Redd,Polo G,Lil Durk	Rich MF (feat. Polo G & Lil Durk)	QZJ842001154	74	melodic rap,rap,trap	0.0849	0.756	0.0	0.178	77.497	0.66	0.698
