sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3a1lNhkSLSkpJE4MSHpDu9	Post Malone,Quavo	Congratulations	USUM71614484	83	dfw rap,melodic rap,rap	0.215	0.63	0.0	0.0363	123.146	0.492	0.804
7sbEmVgE68ngice4deuQaP	Jimmy P,Deejay Telio	Ano Novo	ES71G1879262	36	hip hop tuga,portuguese pop,rap criolo	0.409	0.727	0.000282	0.12	125.068	0.551	0.87
0WSEq9Ko4kFPt8yo3ICd6T	Kanye West	Praise God	USUM72116287	82	chicago rap,rap	0.00904	0.798	9.48e-05	0.168	118.029	0.212	0.545
5LxvwujISqiB8vpRYv887S	The Jackson 5	I Want You Back	USMO19400306	77	motown,soul	0.305	0.469	0.00012	0.0571	196.605	0.886	0.538
4euAGZTszWPrriggYK0HG9	ABBA	Lay All Your Love On Me	SEAYD8001090	73	europop,swedish pop	0.117	0.678	0.00396	0.0258	133.481	0.71	0.727
7xQAfvXzm3AkraOtGPWIZg	Post Malone	Wow.	USUM71822626	81	dfw rap,melodic rap,rap	0.136	0.829	1.78e-06	0.208	99.96	0.388	0.539
4aYLAF6ckQ5ooGGGM7sWAa	Metallica	The Unforgiven	GBF089190016	74	hard rock,metal,old school thrash,rock,thrash metal	0.0108	0.54	0.00296	0.0254	139.261	0.244	0.584
6nswV1Lz3OZkaiCJfmVUOa	Metallica	The Unforgiven II	GBAMC9700004	66	hard rock,metal,old school thrash,rock,thrash metal	0.00055	0.497	0.00129	0.0445	133.047	0.249	0.89
13Uvqll8OQDjw3wDweIK9y	Metallica	The Day That Never Comes	GBUM70812419	65	hard rock,metal,old school thrash,rock,thrash metal	9.11e-05	0.334	0.149	0.0619	126.883	0.501	0.982
3ShKPhFkexrwl7WoyTtNND	MC Rogerinho,Wesley Safadão	Tchuco Nela	BCN5Z2200003	84	arrocha,batidao romantico,funk carioca	0.413	0.802	0.0	0.0307	125.038	0.837	0.727
0MC7aaYm9G2sGZ8B0uxPtw	Naldo Benny	Amor de Chocolate	BRDEP1200368	50	funk das antigas,funk melody	0.0245	0.859	2.15e-06	0.196	130.038	0.928	0.901
6MEZbtP3lg3mHnE9LzZn4S	Instinto 26,Julinho Ksd,Kibow,Trista,Yuran	Bandidas (feat. Julinho KSD, Kibow, Trista & Yuran)	PT8IR2100001	48	hip hop tuga,trap tuga	0.0336	0.735	0.00276	0.113	96.892	0.652	0.782
3gK5ckT0cq3t5enyqzzRgV	PEDRO SAMPAIO	GALOPA	BRWMB2100721	68	funk carioca	0.285	0.763	0.0	0.0409	150.009	0.77	0.85
6bTdZ7xfKp3NqqADJ8HLyj	Matuê,WIU,Teto	Vampiro	BXW922100034	84	r&b brasileiro,rap cearense,trap brasileiro	0.0136	0.782	0.0	0.0438	114.994	0.627	0.643
0yL7K9MzC20uBesZTPY81r	DJ Matt D,Menor MC,MC GP,Vulgo FK	Pandora	BXG5C2100582	78	funk carioca,funk consciente,funk ostentacao	0.14	0.688	0.0	0.588	124.553	0.559	0.458
0GNgrdn3uuVzssBxJzdpcF	Mike11,Bárbara Bandeira	Ride (feat. Bárbara Bandeira)	PT1JT2100011	55	hip hop tuga	0.523	0.582	0.0	0.228	101.619	0.543	0.558
2Z0ndOPDVXKENAVeQeced9	Dj Vm,DJ Lucas Beat	BEAT DO AKON (Funk Remix)	USANG2164334	57	funk viral	0.0639	0.725	7.25e-06	0.0658	132.099	0.723	0.546
08PxO0Ip7jChiYQHmOEyjq	Lupambo	Melhor de Mim	QZMEQ2191454	50		0.756	0.572	0.000109	0.159	179.965	0.664	0.559
4lKuzrdZrJuCAedbIslF3A	PEDRO SAMPAIO,Felipe Original,JS o Mão de Ouro	SENTADÃO	BRWMB1901455	63	funk carioca	0.178	0.68	0.0	0.0589	173.997	0.924	0.869
4NJKCE1TBC653P3dCnto0u	Mc Gabzin	Simplesmente Ela	BCHFD2200013	81	funk mtg	0.227	0.572	0.0	0.083	83.04	0.545	0.616
0A0NJtd7yYuegBrj6qvqSo	Julinho Ksd	Stunka	PT1II2100005	46	hip hop tuga,rap criolo	0.168	0.722	0.173	0.075	139.965	0.66	0.728
342DnijpVnHcZNdl5eHeQA	Jimmy P	Nortada	ES71G2208954	40	hip hop tuga,portuguese pop,rap criolo	0.02	0.601	0.000486	0.373	99.59	0.503	0.813
2vFjbIf5sKoXsXdBG2E9Xf	Maninho	Pode Tentar	PT3CB2100018	58	portuguese pop	0.517	0.798	0.0	0.171	130.037	0.82	0.71
3I33WaPNkYEvXY9PDLviBU	Supa Squad,MC Zuka	Avé Maria (feat. MC Zuka)	PT5HR1900002	43	hip hop tuga,moombahton,reggae tuga	0.104	0.645	0.0	0.195	89.199	0.661	0.602
4mBto7hyeS6yHhx8lIkn4l	PEDRO SAMPAIO,Luísa Sonza	ATENÇÃO	BRWMB2100205	63	funk carioca	0.252	0.738	5.96e-06	0.071	134.813	0.747	0.901
0VF2XFdgeID7448iU2Vyg9	MC Josh	Novinha Malada do Insta	BX9L12100164	74	funk bh,funk carioca,funk mtg	0.636	0.535	0.000167	0.296	85.982	0.63	0.441
5Z4TYur0O9OxmxIo6GC2Gq	Vulgo FK,Elenko Music,WEY,Wall Hein	Oi, Como Ce Tá?	BCENK2200007	77	funk carioca,funk ostentacao	0.0988	0.704	0.0	0.0514	156.101	0.733	0.724
6pQKUKBpwr6GhfhcFFFozo	MC Zaquin,MC Rick	Não Nasceu pra Namorar	BX9L12100029	71	funk bh,funk carioca,funk mtg	0.14	0.525	0.0	0.0443	83.406	0.527	0.448
7ARoqP7G8UYW8SyYPyPp7k	Anitta,PEDRO SAMPAIO	NO CHÃO NOVINHA	BRWMB2101163	74	funk carioca,funk pop,pagode baiano,pop nacional	0.06	0.703	0.00661	0.0594	141.984	0.704	0.806
5zNxUkUW9WiV5oyg6gh2wB	PEDRO SAMPAIO,Mc Pedrinho	DANÇARINA	BRWMB2200077	85	funk carioca	0.0423	0.778	0.0	0.0788	134.999	0.554	0.571
7floNISpH8VF4z4459Qo18	XXXTENTACION	Look At Me!	USUYG1131080	83	emo rap,miami hip hop	0.259	0.763	0.0	0.282	139.059	0.349	0.726
2U5WueTLIK5WJLD7mvDODv	Juice WRLD	Wishing Well	USUG12001905	81	chicago rap,melodic rap	0.00336	0.65	0.0	0.128	149.972	0.0804	0.613
1jKlRcH7X78ps1yKBTWyUV	Juice WRLD,Lil Uzi Vert	Lucid Dreams (feat. Lil Uzi Vert) - Remix	USUG12100801	57	chicago rap,melodic rap	0.125	0.443	0.0	0.187	83.827	0.256	0.579
0uxSUdBrJy9Un0EYoBowng	Lil Uzi Vert	20 Min	USAT21704166	84	melodic rap,philly rap,rap,trap	0.109	0.773	0.0	0.117	123.426	0.783	0.75
29TPjc8wxfz4XMn21O7VsZ	Playboi Carti	Sky	USUM72024699	83	atl hip hop,plugg,pluggnb,rap	0.258	0.785	0.0	0.21	139.98	0.565	0.903
