sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
1vurrDqSQA2WWH4QDEBRs9	Greentea Peng	Kali V2	GBUM72102136	43	indie r&b,indie soul,uk contemporary r&b	0.248	0.752	0.0431	0.224	82.207	0.661	0.519
3ai4sksZCy9hdFOI08RBkw	Greentea Peng	Mataji Freestyle	GBUM72102255	40	indie r&b,indie soul,uk contemporary r&b	0.0607	0.816	0.71	0.0419	119.999	0.525	0.649
7sIJOikOcPIFKSUEX8t0yc	Greentea Peng	Suffer	GBUM72102254	43	indie r&b,indie soul,uk contemporary r&b	0.218	0.698	7.86e-05	0.332	79.448	0.37	0.441
7AG7n1uz0NWw7k8QvhJhh3	Greentea Peng	Earnest	GBUM72102253	43	indie r&b,indie soul,uk contemporary r&b	0.0453	0.626	0.00423	0.0695	139.645	0.378	0.674
1XKmknaAseOoB7eIL1PjxC	Greentea Peng	Nah It Ain't The Same	GBUM72100357	50	indie r&b,indie soul,uk contemporary r&b	0.359	0.658	0.145	0.209	169.504	0.567	0.769
19mzaOsqn5aemxoM4yW4jN	Greentea Peng	Be Careful	GBUM72102247	44	indie r&b,indie soul,uk contemporary r&b	0.241	0.915	0.000678	0.0804	112.495	0.485	0.287
2fLYfQylAoti3aqxZ4E62L	Greentea Peng,SIMMY,Kid Cruise	Free My People (feat. Simmy & Kid Cruise)	GBUM72102245	49	indie r&b,indie soul,uk contemporary r&b	0.13	0.848	0.633	0.0518	107.99	0.539	0.426
6S3n2tU4UKLxgFMp4tb56d	Greentea Peng	This Sound	GBUM72102211	44	indie r&b,indie soul,uk contemporary r&b	0.055	0.737	5.24e-05	0.135	86.931	0.828	0.798
6V961El0b1aLA0HAFuuab9	Greentea Peng	Make Noise	GBUM72102204	43	indie r&b,indie soul,uk contemporary r&b	0.127	0.606	6.15e-05	0.0776	136.183	0.249	0.695
1CSaCKPIp2yCIDL3t7Fyau	Samuel Barber,Sir Simon Rattle,Berliner Philharmoniker	Barber: Adagio for Strings, Op. 11	GBAYC0902894	61	american modern classical,classical,early modern classical	0.974	0.102	0.859	0.0488	73.954	0.0308	0.0733
2FbUitqkfxFhI4An73HzZW	Franz Schubert,Arcadi Volodos	Minuet in A major, D. 334	USSM11904041	64	classical,classical era,early romantic era	0.994	0.273	0.913	0.0493	91.621	0.174	0.00573
1Oo7XEqkrwifJn17aA0ocF	Johannes Brahms,Arcadi Volodos	Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major	DEE861700261	67	classical,german romanticism,late romantic era	0.994	0.299	0.901	0.0478	69.043	0.0634	0.00626
40IvETLq2Y1Su1Z0GWumRF	Camille Saint-Saëns,Gautier Capuçon,Douglas Boyd,Orchestre de chambre de Paris	Saint-Saëns / Transcr. Vidal: Le carnaval des animaux: XIII. Le cygne	GBAYC1702567	59	classical,french romanticism,late romantic era	0.972	0.213	0.926	0.0451	84.819	0.0366	0.0329
5NGtFXVpXSvwunEIGeviY3	Erik Satie,Philippe Entremont	Gymnopédie No. 1	USSM11509437	73	classical,early avant garde,early modern classical,impressionism,post-romantic era	0.994	0.469	0.937	0.119	72.765	0.354	0.0128
1n1TxkLPI0xJFcCjhiZcnz	Isobel Waller-Bridge	Illuminations	GBUM72100896	32	soundtrack	0.806	0.166	0.954	0.0427	67.754	0.032	0.0465
7zHd9LxIZB8WKosSWN9Umj	Arvo Pärt,Angèle Dubeau,La Pietà	Spiegel im spiegel	CALC40600383	57	baltic classical,classical,contemporary classical,minimalism	0.707	0.123	0.00365	0.0373	84.208	0.0711	0.0644
0S35dcoORW5woopHAmDIxU	Rebecca Dale,Royal Liverpool Philharmonic Orchestra,Clark Rundell	Materna Requiem: 6. Paradisum Interlude	GBBBA1800204	36	british contemporary classical	0.962	0.149	0.959	0.0476	136.875	0.0365	0.0209
04F2CVACUouSEWkaApQnmf	Alexis Ffrench	Where Worlds Collide	USSM11805289	48	compositional ambient,neo-classical	0.994	0.424	0.921	0.0513	137.966	0.144	0.0523
31cXSScPQ2Cw4DiXwCQnZq	Howard Skempton,Duncan Honeybourne	Quavers	HKI191812710	34	british contemporary classical,minimalism	0.996	0.488	0.937	0.0892	65.235	0.678	0.0041
5O3UGMP9XJLbshKKZHsrGN	GÅEL	Mid Air	UKTE81900026	62	ambient worship,neo-classical	0.995	0.524	0.921	0.058	111.895	0.25	0.0338
1Zv6RyHM08gyC4qvOlCZUL	Lavinia Meijer	Due tramonti	USSM11305827	60	classical harp	0.994	0.299	0.928	0.0603	105.922	0.0975	0.0319
1UrTS3o13421j7Wq5EKJr0	Zeb Samuels,Julien Marchal	Night Wave - Julien Marchal Remix	GBE281301429	42	indie jazz	0.993	0.288	0.927	0.0519	70.523	0.162	0.00401
16n7SjYNuffk5NK0Xxyz3b	Dengue Dengue Dengue	Yodeller	DEG932002318	37	electronica peruana,nu-cumbia,peruvian indie	0.00592	0.824	0.868	0.11	90.002	0.271	0.518
157HG6YWfRczb2oksDZXNZ	Clap! Clap!,Domenico Candellori	Southern Dub	GBTVQ2000004	26	italian electronica	0.0034	0.743	0.862	0.0464	117.993	0.281	0.626
7s3UwhqRMf5FgkaaKxf7yJ	ÌFÉ	Music for Egun Movement 2	FRIDO2011673	15	latintronica,puerto rican indie	0.033	0.702	0.000241	0.0351	113.004	0.843	0.729
21RSh9AhPIAeFUXrS2W3iC	Shushupe	Amazónica	PEBQ91725282	32	electronica peruana,latintronica	0.183	0.845	0.919	0.119	107.987	0.15	0.779
2wIZzr0b6Uoq1nYIXX9iEC	Dengue Dengue Dengue	Cocha	MXD782003917	16	electronica peruana,nu-cumbia,peruvian indie	0.167	0.802	0.36	0.0731	102.979	0.287	0.55
5NadgnszrdqPQ8ZmXfGc0Q	Frente Cumbiero	Sondiramá	QZ5AB1984825	44	chicha,cumbia,nu-cumbia,tropical alternativo	0.192	0.73	0.912	0.0321	103.037	0.965	0.562
0unB9lIPZzsLRwSa763hn9	Populous,Barda	Banda	USCCW1610957	19	indie electronica,italian electronica,latintronica,pop electronico,puglia indie	0.42	0.764	0.914	0.0902	94.005	0.221	0.466
4jo5cSOcxmVHxTtZipMTHT	Dengue Dengue Dengue	Jarana y Tundete	PTEN11900023	34	electronica peruana,nu-cumbia,peruvian indie	0.218	0.874	0.786	0.0809	144.01	0.752	0.793
3PqLBAKB57uuSxybYngMUI	PEDRO	Calores	PTEN12000002	18	kuduro	0.18	0.838	0.777	0.0468	132.032	0.409	0.704
3RNBNV6GsdKYYPqgTuazUb	Mercedes Nasta	Paricutín	MX3741501959	45	cdmx indie	0.631	0.811	0.425	0.444	156.018	0.192	0.471
6Qorl4Tns3GCjcbnwOnD0h	Uji	Jenga	GBGLW1800050	38	latintronica	0.259	0.796	0.836	0.227	160.024	0.413	0.403
7G5lGcZ5Xl8OT9yIA3erlu	PEDRO,Kelman Duran	Pusha	PTEN12000003	20	kuduro	0.0553	0.794	0.626	0.0509	105.985	0.473	0.559
1r2s2jTu2ClLhJP3V8W3Zm	PAUZA	Jungle Fever	MX3741900513	47	cuban electronic	0.0129	0.716	0.543	0.0477	120.005	0.19	0.673
6rIjZa1PFEwGOfpMmKcnlh	Dengue Dengue Dengue	Menestra	MXD782003921	18	electronica peruana,nu-cumbia,peruvian indie	0.0187	0.547	0.604	0.118	129.994	0.114	0.524
2fJuUSlnA81IXMA4u9coOx	Dengue Dengue Dengue	Barrabass	QZES52047051	26	electronica peruana,nu-cumbia,peruvian indie	0.458	0.792	0.927	0.0511	103.023	0.132	0.621
4iS3nysui6BO2ljE6Z00yu	Monte	Jungla	QM6P42099331	23	tropical alternativo	0.0136	0.755	0.295	0.0753	120.003	0.391	0.498
77y6KD405eSiX6rXCH4eWt	Sotomayor	Sin control	USCCW1610944	26	mexican indie,nu-cumbia	0.0478	0.735	0.00447	0.0507	132.997	0.754	0.428
5x6uHnSxo3txWs2MbGbZRQ	Acid Arab,A-WA	Gul l'Abi	BE6F51601150	44	arab electronic,arab groove	0.00792	0.402	0.00016	0.0356	102.693	0.0374	0.498
24jQYMpwrraSLf6TfE2K0U	Clap! Clap!,Martha Da'ro	Moving On	GBTVQ2000007	47	italian electronica	0.679	0.636	0.148	0.0608	92.973	0.489	0.458
5RYXqvFgIJL4vcKQ7Fg7ZD	Bufi	Ópala	GBWUL2041255	20	mexican indie	0.0094	0.802	0.896	0.0408	114.997	0.412	0.907
6G2BuX0EXw1ABv8Psyq7ks	Thornato,Sotomayor	La Niña Grande	USCCW1611061	32	ethnotronica,latintronica	0.00568	0.861	0.362	0.179	125.025	0.491	0.565
5Rp8NdAkb7cnZgGjZvM69I	Tremor,Populous	Caracol - Populous Remix	QZ7R42052709	16	deep progressive trance,latintronica,nuevo folklore argentino	0.363	0.773	0.271	0.12	173.987	0.5	0.498
6oFeHebu9Jv72wfFrC2wRm	Dengue Dengue Dengue	Ágni	PTEN11900017	30	electronica peruana,nu-cumbia,peruvian indie	0.214	0.798	0.917	0.0483	109.999	0.381	0.776
7kb68Yr9Py4y37uLacJFXC	Quixosis,Ultra K	Las Nalgas de Venus	ES14I2020501	14	latintronica	0.00628	0.562	0.674	0.212	82.058	0.309	0.536
7h8CexhVFZBOaC3qW1OnG6	Populous,Sotomayor	Soy Lo Que Soy	USCCW1610953	18	indie electronica,italian electronica,latintronica,pop electronico,puglia indie	0.0697	0.761	0.000189	0.132	159.979	0.509	0.641
4nSVv5flBb0ucHTGgxiFi5	Terror/Cactus	Tambor Del Monte	QZHN81914057	37	tropical alternativo	0.225	0.894	0.864	0.235	90.029	0.468	0.428
157HG6YWfRczb2oksDZXNZ	Clap! Clap!,Domenico Candellori	Southern Dub	GBTVQ2000004	26	italian electronica	0.0034	0.743	0.862	0.0464	117.993	0.281	0.626
1QPF9cvYRkG90NJVoT1GDG	Clap! Clap!	Liquid Mantra	GBTVQ2000002	20	italian electronica	0.025	0.747	0.798	0.0623	139.961	0.186	0.655
6ZJdW1sZg4zATn9EKih013	Ela Minus	el cielo no es de nadie	GBCEL1900763	38	colombian indie,latintronica,pop electronico	0.00178	0.752	0.777	0.0479	128.029	0.419	0.715
