sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3888prAY7qaqRx1vjQZSdI	Stray Kids	MIROH	US5TA1900035	59	k-pop,k-pop boy group	0.00946	0.564	0.0	0.132	126.077	0.449	0.976
6TYuTMfBTU4hpXrhLsjIiV	J Balvin,Ed Sheeran	Forever My Love	QZM5U2200344	70	latin,reggaeton,reggaeton colombiano,trap latino	0.478	0.622	0.0	0.0293	79.924	0.174	0.257
18I7HIzT4GwEzp9jJ8KoFe	Alec Benjamin	Dopamine Addict	USAT22200706	61	alt z,dream smp,electropop,pop	0.598	0.721	0.000204	0.19	76.928	0.483	0.772
2DB4DdfCFMw1iaR6JaR03a	Camila Cabello,Ed Sheeran	Bam Bam (feat. Ed Sheeran)	USSM12200047	82	dance pop,pop,post-teen pop	0.182	0.756	0.0	0.0401	94.996	0.956	0.697
0bBd6K5X4W7t9GyXcaVOA7	J Balvin,Ed Sheeran	Sigue	QZM5U2200343	81	latin,reggaeton,reggaeton colombiano,trap latino	0.0515	0.889	2.75e-05	0.0668	87.99	0.588	0.641
6sH1FvX2nqd7ZFMeKyi0cs	Ana Moura	Andorinhas	DETO32100194	47	fado,portuguese pop	0.553	0.599	3.63e-05	0.0279	95.06	0.316	0.523
222B3aljXx6fFwKmFjuBED	Little Mix,Nicki Minaj	Woman Like Me (feat. Nicki Minaj)	GBHMU1800106	68	dance pop,girl group,pop,post-teen pop,talent show,uk pop	0.177	0.754	0.0	0.0608	75.002	0.8	0.854
2GyA33q5rti5IxkMQemRDH	Shawn Mendes,Camila Cabello	I Know What You Did Last Summer	USUM71516597	72	canadian pop,pop,viral pop	0.102	0.687	0.0	0.0876	113.939	0.743	0.761
5fwSHlTEWpluwOM0Sxnh5k	Farruko	Pepas	USSD12100307	87	latin,latin hip hop,reggaeton,trap latino	0.00776	0.762	6.98e-05	0.0343	130.001	0.442	0.766
2UbVnbE5FH6008mAm6Mmgw	OneRepublic	Run	USUM72004315	75	dance pop,piano rock,pop,pop rock	0.326	0.682	0.0	0.0381	117.003	0.673	0.72
37LNNQNbL1YLyutBG6aWRx	OneRepublic	Rescue Me	USUM71907507	63	dance pop,piano rock,pop,pop rock	0.157	0.761	0.0	0.0424	121.038	0.646	0.606
4vIKzWqtn44umal5jXq4wE	Ed Sheeran,Meek Mill,A Boogie Wit da Hoodie	1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie)	GBAHS1900725	53	pop,uk pop	0.467	0.778	0.0	0.269	98.001	0.513	0.589
1Cj2vqUwlJVG27gJrun92y	Disturbed	The Sound of Silence	USRE11500180	70	alternative metal,nu metal,rap metal	0.468	0.322	1.1e-06	0.0281	85.794	0.175	0.28
4VuS959DSpr82t3qBqCrWG	Ed Sheeran	Supermarket Flowers	GBAHS1700040	73	pop,uk pop	0.914	0.589	0.0	0.0442	89.749	0.257	0.242
0ett0qCHbl0vdSRFhRSkMc	OneRepublic	If I Lose Myself	USUM71215640	52	dance pop,piano rock,pop,pop rock	0.096	0.485	0.0	0.0479	140.096	0.242	0.699
7eXT7U3FKrOM88xr1DsNwc	Alessia Cara	Trust My Lonely	USUM71814361	49	canadian contemporary r&b,canadian pop,dance pop,pop,post-teen pop	0.00421	0.613	2.06e-06	0.162	150.171	0.622	0.668
0ked784BOZ1JtRVHux98jE	League of Legends,PVRIS	Burn It All Down	QZH6S1900404	66	speedrun,video game music	0.000629	0.553	4.56e-06	0.0603	145.149	0.231	0.694
4eWQlBRaTjPPUlzacqEeoQ	Camila Cabello	Never Be the Same	USSM11710323	73	dance pop,pop,post-teen pop	0.181	0.637	0.000637	0.0747	129.923	0.243	0.713
76vMKwFtdDDCLcM6zXybjB	Panic! At The Disco	Say Amen (Saturday Night)	USAT21801041	63	modern rock	0.167	0.491	0.0	0.103	167.965	0.602	0.867
1louJpMmzEicAn7lzDalPW	Cheat Codes,Demi Lovato	No Promises (feat. Demi Lovato)	QMCE31700953	66	dance pop,edm,electro house,electropop,pop,pop dance,tropical house	0.0575	0.741	0.0	0.134	112.956	0.595	0.667
2qxmye6gAegTMjLKEBoR3d	Alec Benjamin	Let Me Down Slowly	USAT21802284	82	alt z,dream smp,electropop,pop	0.74	0.652	0.0	0.0318	150.073	0.483	0.557
2DePNQmfS4t6iUETRU72uH	Alessia Cara	I Don't Want To	USUM71816597	44	canadian contemporary r&b,canadian pop,dance pop,pop,post-teen pop	0.842	0.531	0.0	0.379	82.44	0.634	0.291
6rrKbzJGGDlSZgLphopS49	The Score	Unstoppable	USUM71606282	72	modern alternative rock,modern rock,rock	0.00129	0.485	1.01e-05	0.0467	78.001	0.602	0.843
4cktbXiXOapiLBMprHFErI	Maroon 5	Memories	USUM71913350	83	pop	0.841	0.775	0.0	0.0557	91.05	0.595	0.327
3LhGRE7ZNOEZhrqazWMYRI	The Score	Money Run Low	USUM71609175	58	modern alternative rock,modern rock,rock	0.0203	0.651	0.0	0.0457	134.048	0.798	0.933
1Im7hL4b9ULzUxgxzbyG0v	The Vamps	Boy Without A Car	GBUM71505255	22	boy band,dance pop,pop,post-teen pop	0.00857	0.673	0.0	0.038	124.955	0.523	0.74
5d1rmWWF1725tnYjq6rMDB	Ed Sheeran,Skrillex	Way To Break My Heart (feat. Skrillex)	GBAHS1900726	53	pop,uk pop	0.11	0.726	3.45e-06	0.159	170.125	0.437	0.731
3NbajfMQ0ozDi1MG1YVyra	Mikky Ekko	Who Are You, Really?	USSFQ1000003	50	nashville indie	0.00193	0.643	4.62e-06	0.0476	143.955	0.72	0.729
7I8EGPtqTwlC0UlCAkpYtP	The Vamps	I Found A Girl	GBUM71505937	59	boy band,dance pop,pop,post-teen pop	0.118	0.717	0.0	0.0565	89.982	0.645	0.856
58HH7mUdFhh2uHciYZ33n1	Kodaline	Love Like This	GBDVX1200013	53	irish pop,modern rock,pop,pop rock,shiver pop	0.047	0.456	0.0	0.041	123.991	0.351	0.815
0ccwMrlZONy5yXrirq7lTe	Cody Simpson	La Da Dee	USAT21301747	66	australian pop,dance pop,pop,post-teen pop,viral pop	0.00847	0.657	0.0	0.0728	115.954	0.566	0.828
7Lf7oSEVdzZqTA0kEDSlS5	Justin Timberlake	Cry Me a River	USJI10200366	72	dance pop,pop	0.577	0.624	0.0	0.183	73.898	0.564	0.654
