sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
63irPUP3xB74fHdw1Aw9zR	Stray Kids	MANIAC	US5TA2200027	81	k-pop,k-pop boy group	0.154	0.581	0.0	0.411	119.872	0.709	0.8
6Y8iUOQbIwQaYzEYs0r9ZV	JEONG SEWOON	Roller Coaster	KRA382204992	45	k-pop,korean ost,korean pop	0.0418	0.786	0.0	0.0523	112.985	0.734	0.939
7ed3JsAPk6u0NjRhylnKmY	Circus Mircus	Lock Me In	DK2DY2200050	60	georgian alternative	0.00439	0.785	9.49e-05	0.0381	106.959	0.839	0.763
1PpH00KzrWRN3um8vSbi7A	Achille Lauro	STRIPPER	ITV022200013	63	italian hip hop,italian indie pop,italian pop	0.00315	0.601	0.0	0.0975	140.064	0.554	0.799
27ThQIsofXro6xEz3SzQWi	Sheldon Riley	Not The Same	QZFZ22226126	67	australian talent show	0.662	0.355	0.0	0.0388	127.876	0.376	0.429
1JaOUMmaSZlWfONvT4HTlg	Konstrakta	In corpore sano	RSA042200033	71		0.00641	0.922	1.47e-05	0.0841	135.944	0.629	0.705
3nhGk6VnrDHy67pXvMhdPa	Sam Ryder	SPACE MAN	GBAYE2101762	78		0.181	0.467	0.0	0.0489	79.978	0.334	0.828
1ZMGp9MTXbtAPvcKa0U3zS	Mahmood,BLANCO	Brividi	ITUM72200040	80	italian pop	0.448	0.523	0.0	0.0347	122.962	0.342	0.614
3XREkzDHsWdBL5tybyCDBH	Chanel	SloMo	ES94B2100282	79		0.125	0.728	0.00448	0.0571	104.962	0.594	0.814
0tOKpglJb9cza4WdTtxsv7	We Are Domi	Lights Off - ESC Version	FR2X42252810	67	eurovision	0.176	0.584	1.19e-05	0.0715	125.982	0.576	0.766
2stElshTCkdXTnCkD9moQF	BamBam	Slow Mo	KRMIM2200983	56	k-pop	0.0952	0.61	0.0143	0.0546	180.034	0.33	0.609
3jHg6QE70y2FTdnsxSrCbv	Billlie	GingaMingaYo (the strange world)	KRA382203656	69	k-pop	0.0323	0.888	0.00955	0.079	121.997	0.65	0.901
5SbVAjEbm6YS9qF8m8EYGD	CRAVITY	Adrenaline	KRA382204133	55	k-pop	0.0238	0.734	0.0	0.177	115.05	0.759	0.929
6LWz3PICJVUEWaA7xfK2qC	ChoA	Yesterday	KRA382204508	31		0.523	0.483	0.0	0.108	84.785	0.675	0.353
0nsIi8do34jaxhKI8C6QLP	MIYEON	Drive	KRA392200020	63	k-pop	0.378	0.65	0.0	0.0354	107.984	0.594	0.861
3Xzyta15TXF33ggEjA5FxN	KWON EUN BI	Glitch	KRA382204215	64	k-pop	0.103	0.758	7.92e-06	0.173	138.045	0.459	0.696
6ry670EtSALRt1yd0W0wca	Whee In	Make Me Happy	KRG132200001	58	k-pop,korean ost	0.291	0.659	3.46e-05	0.0338	104.055	0.511	0.664
5oH4DQAuu1J1800RzUsBWa	PSY,SUGA	That That (prod. & feat. SUGA of BTS)	QZEKE2084402	86	k-pop,k-rap,korean old school hip hop	0.0299	0.905	0.0	0.0856	129.969	0.906	0.962
021L6LlBBtr34BmFRHd9Ic	EVERGLOW	FIRST	KRMIM2120970	63	k-pop,k-pop girl group	0.00852	0.611	1.68e-06	0.0654	152.02	0.455	0.864
5W37S0nq1XvGEyTlUkmr3f	VERIVERY	Get Away	KRA772100001	43	k-pop,k-pop boy group	0.197	0.702	0.0	0.148	144.945	0.651	0.784
1BrZwASv0NW4L61k4IJU3k	ATEEZ	Don't Stop	KRMIM2203063	60	k-pop,k-pop boy group	0.0123	0.652	1.48e-05	0.0942	136.884	0.75	0.725
0QPPJN3d42PINVAyBPZTC3	Jackson Wang	Blow	USWB12200837	69	k-pop	0.00437	0.535	0.0	0.107	124.853	0.823	0.586
0lML1OdwDWQIyGF3i9vk2y	Cherry Bullet	Love In Space	KRA382203664	55	k-pop,k-pop girl group	0.0523	0.662	7.2e-05	0.0816	155.998	0.578	0.942
0pqnGHJpmpxLKifKRmU6WP	Imagine Dragons	Believer	USUM71700626	85	modern rock,rock	0.0622	0.776	0.0	0.128	124.949	0.666	0.78
