sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
47bzJjh9bAbo3s3NHSK4r8	Camila Cabello	La Buena Vida	USSM12108856	63	dance pop,pop,post-teen pop	0.0343	0.476	0.0	0.039	179.796	0.717	0.636
3lDSWvR0FXWGXo7mhDUs3v	Camila Cabello,Ed Sheeran	Bam Bam (feat. Ed Sheeran)	USSM12200047	72	dance pop,pop,post-teen pop	0.182	0.756	0.0	0.0401	94.996	0.956	0.697
6VI4OmjLh5NBzfdW4INBi1	templuv	bleachers	QZHN42286473	47		0.0741	0.896	0.000467	0.246	149.983	0.831	0.767
0XL6rCJFJsPhuCRJQER8ap	mxmtoon	florida	GBKPL2290705	44	alt z,bedroom pop,indie pop,pop	0.843	0.357	2.51e-05	0.0318	78.653	0.261	0.311
0P2CBPHJsD0BgdsqHedugp	mxmtoon	frown	GBKPL2290704	55	alt z,bedroom pop,indie pop,pop	0.155	0.777	0.000221	0.0303	96.001	0.964	0.708
5QvbMioQZAEqN04tYUnCLv	mxmtoon	sad disco	GBKPL2287672	43	alt z,bedroom pop,indie pop,pop	0.0605	0.772	0.0	0.0389	123.967	0.958	0.845
3MxTQKJCN6VqT84NPLeK14	mxmtoon	victim of nostalgia	GBKPL2290703	44	alt z,bedroom pop,indie pop,pop	0.00288	0.671	0.00132	0.03	119.021	0.85	0.818
0R2T1MAVt8WbnNZi8Xj3Py	mxmtoon	learn to love you	GBKPL2290702	45	alt z,bedroom pop,indie pop,pop	0.194	0.602	0.000312	0.0698	159.007	0.72	0.897
6tJOpzHYBF6Ym2gmmQy9mE	mxmtoon	mona lisa	GBKPL2278099	45	alt z,bedroom pop,indie pop,pop	0.112	0.701	0.000828	0.0328	112.003	0.734	0.666
74BsYtp6KX7as5uitssaBq	April Fooze,Ryan King	If You're Broke I'm Busy	QZES62257115	45	nopixel	0.129	0.759	0.0	0.0997	75.005	0.69	0.506
5DIGt883aHs3KqWSziy4gR	Frankie Cosmos	Sappho	QM6YT1601013	67	bedroom pop,bubblegrunge,indie pop	0.171	0.644	0.0	0.0403	95.354	0.459	0.401
