sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4b1Tu6E43TwYbkD3CWXGXX	Avishai Cohen,Sam Barsh,Mark Guiliana,Amos Hoffman	Emotional Storm	US2W60646306	27	contemporary jazz,ecm-style jazz,israeli jazz,jazz,jazz double bass,jazz fusion,jazz trumpet	0.779	0.32	0.899	0.0286	154.897	0.294	0.476
2uZDFyLNrzhlzhOEVqU9ea	Avishai Cohen,Sam Barsh,Mark Guiliana	Ani Maamin	US2W60646304	29	contemporary jazz,ecm-style jazz,israeli jazz,jazz,jazz double bass,jazz fusion,jazz trumpet	0.92	0.264	0.948	0.0329	93.599	0.339	0.407
3YjKdFTNb7cnXObBtVMK5d	Giovanni Carlo Cailò,Ensemble Aurora,Enrico Gatti	Sonata a tre violini e organo: I. Largo assai	FR46Y1642920	0		0.655	0.215	0.00779	0.0424	111.46	0.253	0.0853
5DwZaDsOinx4KXg3bwlBO4	Maurizio Cazzati,Musica Antiqua Latina	Ciaccona, Op. 23	CH0011500346	18	baroque,italian baroque	0.825	0.494	0.305	0.0372	94.928	0.69	0.236
5k5duWxo5HqhetBe6ucgZJ	Aya Nakamura	Méchante	FRZ042200733	62	basshall,francoton,pop urbaine	0.194	0.8	0.0	0.0844	92.02	0.816	0.738
6O1rGDWqL1pgp7H59G2q80	Rocco Hunt,Elettra Lamborghini,Lola Indigo	Caramello	ITB002200503	58	italian hip hop,italian pop,pop virale italiano,rap napoletano	0.0771	0.848	0.0	0.144	127.972	0.864	0.803
08Hacl2rWl6GD6TKUyaKIy	ARIETE	TUTTO (con te)	ITLGE2200043	53	rome indie	0.259	0.72	0.0	0.0722	124.002	0.424	0.72
1vbn9fEyw1IYhqgZJdu9ZB	Drake	Falling Back	USUG12204881	81	canadian hip hop,canadian pop,hip hop,rap,toronto rap	0.238	0.718	0.00653	0.0703	118.989	0.349	0.758
3iGqBoksc6W4NZyb2cxlHg	Dargen D'Amico	Ubriaco Di Te	ITUM72200903	54	italian hip hop,italian indie pop,milan indie,r&b italiano	0.0363	0.779	0.0	0.0873	115.982	0.857	0.778
1fuixESTW8JFcrlNuLXCgl	Avishai Cohen,Mark Guiliana,Sam Barsh,Amos Hoffman	Nu Nu	US2W60646301	14	contemporary jazz,ecm-style jazz,israeli jazz,jazz,jazz double bass,jazz fusion,jazz trumpet	0.562	0.37	0.871	0.039	92.0	0.487	0.523
7w8Ya8xltET9jLmfb3RC4S	Avishai Cohen,Sam Barsh,Mark Guiliana	Arava	US2W60646308	22	contemporary jazz,ecm-style jazz,israeli jazz,jazz,jazz double bass,jazz fusion,jazz trumpet	0.8	0.26	0.936	0.0324	99.381	0.258	0.53
6SVuL8HxngvWJylrMi1v1q	Avishai Cohen,Sam Barsh,Mark Guiliana	Calm	US2W60646307	26	contemporary jazz,ecm-style jazz,israeli jazz,jazz,jazz double bass,jazz fusion,jazz trumpet	0.96	0.489	0.937	0.0531	89.126	0.308	0.264
0VtKQcfwvM1DfO4lX8G4BC	Avishai Cohen,Sam Barsh,Mark Guiliana	Samuel	US2W60646305	23	contemporary jazz,ecm-style jazz,israeli jazz,jazz,jazz double bass,jazz fusion,jazz trumpet	0.866	0.283	0.872	0.0333	80.376	0.183	0.424
6PLFErYTBZjz3CS2ZGVzBi	Avishai Cohen,Sam Barsh,Mark Guiliana,Amos Hoffman	Smash	US2W60646309	39	contemporary jazz,ecm-style jazz,israeli jazz,jazz,jazz double bass,jazz fusion,jazz trumpet	0.734	0.359	0.894	0.0285	116.991	0.682	0.674
5vTSnZTmS1gMiWuA9kDE19	Sufjan Stevens	Futile Devices (Doveman Remix)	US64G1737301	62	baroque pop,chamber pop,singer-songwriter	0.954	0.462	0.847	0.0304	140.096	0.252	0.187
