sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
42Kznon0GBYL1bU24DkZSm	Flume,T-Shirt	On Top	AUFF00500382	53	australian dance,australian electropop,australian indie,downtempo,edm	0.00937	0.527	6.65e-05	0.206	93.019	0.326	0.757
3kMrazSvILsgcwtidZd1Qd	La Roux	Bulletproof	GBUM70903779	72	alternative dance,art pop,dance pop,electronica,electropop,neo-synthpop,new rave	0.000441	0.674	6.47e-05	0.0477	123.016	0.682	0.882
75FEaRjZTKLhTrFGsfMUXR	Kate Bush	Running Up That Hill (A Deal With God)	GBCNR8500002	94	art pop,art rock,baroque pop,new wave pop,permanent wave,piano rock,singer-songwriter	0.72	0.629	0.00314	0.055	108.375	0.197	0.547
6kwAbEjseqBob48jCus7Sz	Sia	Elastic Heart	USRC11400976	76	australian dance,australian pop,pop	0.0117	0.421	1.48e-05	0.0496	130.075	0.499	0.791
6XOteczT6WBQFk2AGTwA2X	Enter Shikari	Pack of Thieves	GBNPA1100034	26	nintendocore,trancecore,uk metalcore,uk post-hardcore	0.00109	0.37	1.67e-06	0.0712	125.033	0.283	0.892
5KiP81agN1O40PXRyikoF7	Basement	Crickets Throw Their Voice	USQU71104304	37	alternative emo,dreamo,emo,melodic hardcore	9.71e-06	0.378	0.251	0.0363	156.081	0.488	0.735
3kxwJBSk2hvzMtYnek6aFW	Basement	Canada Square	USQU71104303	32	alternative emo,dreamo,emo,melodic hardcore	0.000293	0.221	0.706	0.0451	147.017	0.314	0.637
7n7LXkir2vxKrl7SSW4htc	Basement	Plan To Be Surprised	USQU71104302	31	alternative emo,dreamo,emo,melodic hardcore	1.53e-05	0.108	0.942	0.0408	173.806	0.218	0.688
65YBMd52GBPoICHwox2TsG	Basement	Fading	USQU71104301	35	alternative emo,dreamo,emo,melodic hardcore	0.000321	0.424	0.00234	0.0392	79.999	0.476	0.689
29EPImPtRiMHXONTJGMhip	Basement	Whole	USQU71206101	48	alternative emo,dreamo,emo,melodic hardcore	4.62e-05	0.268	0.199	0.0614	75.921	0.334	0.915
4gOruiqFXrOAYwmECxZfw6	Basement	Pine	USQU71206104	45	alternative emo,dreamo,emo,melodic hardcore	6.35e-05	0.403	0.0	0.04	129.061	0.469	0.747
4YM6Ujbv89VpprqasAXcwS	Basement	Oversized	USAT21700188	46	alternative emo,dreamo,emo,melodic hardcore	0.0244	0.576	0.162	0.0287	103.834	0.392	0.539
6wxW10ewY9UlXw7IFsD6eu	Basement	Are You The One	USAT21900620	47	alternative emo,dreamo,emo,melodic hardcore	2.85e-05	0.433	0.102	0.0728	76.48	0.338	0.972
0IBgNTDmoGEPl7NFdxMSTH	Calming Piano Feelings	Sun Feeling	QZDA52272570	33		0.956	0.15	0.805	0.0422	67.146	0.123	0.00374
4ZHV2ub7TcPaZEHAkOfLno	Calming Piano Feelings	Sun Feelings	QZK6P2228365	32		0.954	0.0835	0.966	0.043	170.666	0.143	0.00326
7r5NwWm2HqdxBIxtaFvGTF	Discipline Vibes,The Connected Mind	Escape From Reality	QZ93L2129718	31		0.827	0.157	0.958	0.0379	91.276	0.0371	0.0293
7pfjao7lTJXcpsdmmFI1dG	The Peaceful D	Synaps Healing	UKXN22143539	36		0.976	0.124	0.951	0.0524	69.843	0.0289	0.00249
1d3h8YWsB31eUKNibRmK3I	Deepest Statment	Healing Space Energy	QZDA72210837	29		0.773	0.169	0.955	0.055	86.659	0.0378	0.00807
7f3HPwopMCYtC24qjOHiNn	Space Atmosphere	Away at Space	QZ8252200188	34		0.892	0.156	0.978	0.046	78.631	0.0341	0.02
1vAdQFSf08cHqUZaIxkgpB	Zensimila	Floating lotus	QZFZ42245248	26		0.933	0.103	0.984	0.0572	91.867	0.0325	0.00398
0gEPv7XYpXQYQekmoKFkUo	Deepest Statment	Aurora Cleanse	QZDA72210845	30		0.98	0.125	0.937	0.055	83.032	0.0351	0.00154
1wrkTdnQwIzgiiZuccdiXu	The Peaceful D	Positive Energy Release	QZK6P2231685	28		0.937	0.202	0.856	0.0573	63.03	0.0809	0.000301
6JJFOxVwoL490iB1BtmwV4	Floating Atmosphere	Blue Planet	QZK6P2231687	29		0.983	0.138	0.958	0.048	78.171	0.068	0.00235
1RkLNzXTKBaOnJf76RHhQy	Binaural Statement	Crystal Thinking	QZ93L2114462	35		0.944	0.148	0.991	0.0496	66.492	0.0391	0.0193
5QAUKgYPIswh49kGvNzyJO	Deepest Statment	Floats out	QZFZ22201750	37		0.929	0.164	0.955	0.0492	89.039	0.0536	0.00984
2QsGlYUKkNKqk28WFJdsxu	Space Atmosphere	Healing Reload 432	QZ8252133721	37		0.99	0.163	0.936	0.0449	129.733	0.0533	0.00814
2IwEymKur9kHTcoFf4ZBvW	Deepest Statment	Positive Love Energy	QZDA72210842	32		0.779	0.0779	0.995	0.0572	172.985	0.037	0.00414
2Mo6ihbRFgb4tPzDRrYkUk	Binaural Thinker	The Meditative Vibration	QZ8252116650	37		0.917	0.153	0.927	0.0462	133.618	0.0393	0.00457
40AWQjzd1eErH2bGEH2hmD	Blissfulness	Deepak Healing Meditation Frequency	QZK6P2231689	29		0.902	0.161	0.994	0.0526	76.612	0.0348	0.00927
6OI9RjIhIUwpcbn7km62KA	Healing Guru,The Connected Mind	Flying Journey Nature Version	QZ93L2120399	36		0.863	0.0953	0.935	0.0474	81.952	0.0522	0.0878
1A9F1u2Q2zWTc0rYwZ3qFm	The Peaceful D	Healing Cosmic Connection	QZK6P2231684	27		0.927	0.182	0.993	0.0507	68.645	0.0384	0.00399
4KlC64kWL3YgpgAbIM26C8	Zensimila	Calm Sunset Feeling	QZDA52272566	34		0.981	0.0652	0.968	0.039	66.042	0.0778	0.00772
4RZSJGe1JbLJ7h0hko1SSU	Space Atmosphere	Space Explorer	QZK6P2230196	27		0.901	0.0691	0.939	0.0665	79.385	0.0348	0.0011
6umJnPPx8pO8U7IbI3TMgK	Blissfulness	Healing Nature Connection	QZK6P2231690	29		0.961	0.091	0.997	0.0488	76.248	0.0363	0.00694
03fbLWxDbRRBGp0XtXoSPU	Binaural Thinker	Calm Positive Frequency	QZK6P2231750	29		0.955	0.175	0.874	0.0513	78.346	0.0572	0.0027
0popdBrtlnjvxneieB0WfO	Blissfulness	Calm Mindset	QZHN32299371	40		0.906	0.0617	0.942	0.0524	71.609	0.048	0.00611
7yJrGBJC7H2qvCdDthXi8f	The Connected Mind	Self Willing Healing	QZ93L2114464	35		0.808	0.159	0.839	0.0369	83.529	0.0811	0.204
1aTYg33Mhh64ZuNzvfckx7	Calming Piano Feelings	Can you feel it?	QZDA52272571	41		0.992	0.187	0.977	0.0442	122.34	0.0398	0.00721
4a9fW33mYR8LhXBOLUhbfF	Tame Impala	Past Life	AUUM71500294	59	australian psych,neo-psychedelic	0.211	0.371	0.00141	0.0559	145.734	0.288	0.778
6K4t31amVTZDgR3sKmwUJJ	Tame Impala	The Less I Know The Better	AUUM71500303	84	australian psych,neo-psychedelic	0.0115	0.64	0.00678	0.0284	116.879	0.785	0.74
52ojopYMUzeNcudsoz7O9D	Tame Impala	New Person, Same Old Mistakes	AUUM71500302	78	australian psych,neo-psychedelic	0.272	0.47	0.00671	0.0495	151.836	0.49	0.809
7aVX95NjONZszSeb8vJZF3	Massimo Pericolo,Crookers,Nic Sarno	Amici	ITRWL1900043	63	italian hip hop,trap metal italiana	0.395	0.618	0.0	0.254	140.355	0.457	0.715
1XrSjpNe49IiygZfzb74pk	Her's	What Once Was	GBYEJ1100223	76	indie garage rock,indie pop,liverpool indie	0.172	0.526	0.0108	0.033	145.568	0.436	0.877
2MZSXhq4XDJWu6coGoXX1V	Aphex Twin	Avril 14th	GBBPW0100148	62	ambient,braindance,electronica,intelligent dance music,uk experimental electronic	0.996	0.558	0.871	0.0458	157.811	0.37	0.0259
7iDeRCT8iKSQGzgeqjYezp	Her's	Low Beam	GBYEJ1800007	46	indie garage rock,indie pop,liverpool indie	0.00199	0.636	0.83	0.0482	139.97	0.569	0.893
2l7vMv0FwKb7S1OZMkJRP1	Her's	Carry the Doubt	GBYEJ1800006	43	indie garage rock,indie pop,liverpool indie	0.0202	0.547	0.462	0.027	136.948	0.538	0.559
7KO4XNfwEKhTbSGo3O6qX5	Her's	If You Know What's Right	GBYEJ1800005	52	indie garage rock,indie pop,liverpool indie	0.00271	0.639	0.541	0.0302	89.987	0.687	0.859
5GOVjC32dV7jhi23SbeyWs	Her's	Mannie's Smile	GBYEJ1800004	45	indie garage rock,indie pop,liverpool indie	5.29e-05	0.561	0.825	0.0301	150.046	0.712	0.79
1zFbBrZmJr1Z49HYe84dBg	Her's	Harvey	GBYEJ1800003	67	indie garage rock,indie pop,liverpool indie	0.0735	0.588	0.815	0.0372	141.941	0.717	0.855
3l5qctI4FqhfjIZzs06cbk	Pearly Drops	Call For Help	SEYOK2047725	60	dark synthpop	0.0293	0.465	0.861	0.0317	155.055	0.597	0.93
4b8v2dMsNv9SXPrErwuHM4	Verdena	Ultranoia	IT7009915790	25	bergamo indie,italian alternative,italian indie pop	0.00345	0.402	0.068	0.0514	132.466	0.129	0.825
4XRmiiAm1xvjJjK8EDKPHk	Verdena	Viba	IT7009915780	28	bergamo indie,italian alternative,italian indie pop	1.68e-05	0.374	0.0401	0.0499	91.652	0.307	0.901
7DUe38yoolwMHeTT8nDWDP	Verdena	Caramel Pop	IT7009915770	16	bergamo indie,italian alternative,italian indie pop	0.00737	0.515	0.755	0.031	98.477	0.0313	0.333
3oCK0oC3gdCvv0drv7JVNg	Verdena	Dentro Sharon	IT7009915760	20	bergamo indie,italian alternative,italian indie pop	5.48e-05	0.383	0.00093	0.0835	134.962	0.208	0.887
26vjPrj3rb1ziTjuytoL7J	Verdena	Vera	IT7009915750	19	bergamo indie,italian alternative,italian indie pop	0.0158	0.596	0.00187	0.0326	113.175	0.0735	0.311
4Xi7ZTLct7xVmy0lMjAeQJ	Verdena	L'Infinita Gioia Di H.B.	IT7009915740	25	bergamo indie,italian alternative,italian indie pop	4.04e-05	0.425	0.00776	0.0476	116.935	0.317	0.903
301Gs89QEqoTyB5FTwZqXS	Verdena	Pixel	IT7009915730	25	bergamo indie,italian alternative,italian indie pop	1.24e-05	0.271	0.00444	0.0447	90.414	0.267	0.784
0GMnES4HiZpPOAham6DiH9	Verdena	Valvonauta	IT7009915720	42	bergamo indie,italian alternative,italian indie pop	2.51e-05	0.41	0.00319	0.0456	133.513	0.675	0.943
1s3i3BG2d7s37nlbVu5Q1r	Verdena	Ovunque	IT7009915710	26	bergamo indie,italian alternative,italian indie pop	1.49e-05	0.279	4.9e-06	0.101	116.228	0.201	0.887
2ta3DFE2Aw0MvWC3052uhP	Enter Shikari	Step Up	GBNPA0900003	9	nintendocore,trancecore,uk metalcore,uk post-hardcore	0.00404	0.386	0.00029	0.0589	92.391	0.0846	0.917
4fMHnxrzG0oTCVvJCd3NjE	Enter Shikari	Solidarity	GBNPA0900002	14	nintendocore,trancecore,uk metalcore,uk post-hardcore	0.0131	0.236	0.000401	0.0844	139.127	0.288	0.913
6PwxotrB99xgatKVzibmkz	Enter Shikari	Sorry You're Not a Winner	GBNPA0700007	53	nintendocore,trancecore,uk metalcore,uk post-hardcore	0.112	0.381	0.000388	0.348	128.962	0.346	0.955
4gFBRNM2w934WZMOINd49G	Enter Shikari	Live Outside	GBENL1701937	49	nintendocore,trancecore,uk metalcore,uk post-hardcore	0.0184	0.479	0.0	0.0526	165.051	0.455	0.801
3i058E8uxTsYqJ5NWZzqSj	Harry Styles	Little Freak	USSM12200614	90	pop	0.719	0.559	0.000143	0.039	141.96	0.402	0.535
751srcHf5tUqcEa9pRCQwP	Cafuné	Tek It	QM24S1926168	82	brooklyn indie	6.53e-05	0.423	0.0	0.0655	146.995	0.596	0.913
7bPWdJgx8vek7S5i5yAtvG	Lana Del Rey	Chemtrails Over The Country Club	GBUM72006081	70	art pop,pop	0.877	0.334	0.000249	0.0643	201.025	0.429	0.276
0qUdIt9DmD5znk3aghrdy4	Basement	Aquasun	USAT21700186	40	alternative emo,dreamo,emo,melodic hardcore	0.000213	0.38	4.31e-06	0.0319	92.166	0.206	0.828
0FNRyMufs8Ox03TtaoyCjH	Elisa	Se Piovesse Il Tuo Nome	ITUM71800972	51	italian adult pop,italian pop	0.326	0.561	1.63e-05	0.0292	81.958	0.2	0.712
6mUA1HKeRp0TijsQnp0y9v	Verdena	Ho Una Fissa	ITUM71401812	26	bergamo indie,italian alternative,italian indie pop	0.000275	0.195	0.0175	0.0378	138.716	0.46	0.595
2gfl4ODm1JICQ3tI0oXTcQ	Verdena	Un Po' Esageri	ITUM71401817	35	bergamo indie,italian alternative,italian indie pop	0.0071	0.439	0.000849	0.0399	136.135	0.442	0.781
