sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
1G1R0XgChe18Zr1o6tlmN6	Lana Del Rey	Watercolor Eyes - From “Euphoria” An HBO Original Series	GBUM72200132	73	art pop,pop	0.964	0.444	0.0815	0.0316	120.443	0.121	0.26
1KuVEZR4xuQVNr1KkanAV4	Lana Del Rey	The Other Woman	GBUM71402106	74	art pop,pop	0.822	0.255	0.248	0.0317	111.67	0.175	0.468
7w36CnYumoRl1ryZOWsJnk	Bryan Behr	A Vida É Boa Com Você - Voz E Violão	BRUM72000606	60	musica catarinense,nova mpb	0.826	0.483	0.0	0.0383	140.724	0.287	0.282
0oUBuOO4g9P4lREqfqR5nq	Engelbert Humperdinck	A Man Without Love	GBF076800400	79	adult standards,brill building pop	0.637	0.538	0.0	0.0327	111.766	0.507	0.467
0T5iIrXA4p5GsubkhuBIKV	Stephen Sanchez	Until I Found You	USUG12103651	84	gen z singer-songwriter	0.727	0.539	0.0	0.0288	101.358	0.227	0.508
1TThW3zpCjFpucjqVfkr3k	EU.CLIDES	Venham Mais 7	PT2DY2200148	37	portuguese pop	0.499	0.748	0.000843	0.048	128.008	0.259	0.704
6Jrdb6CFOJEGaHjaa6c4WR	BoyWithUke,blackbear	IDGAF (with blackbear)	USUG12201227	81		0.426	0.783	0.0	0.078	97.953	0.88	0.75
1zLjeZ1wN0zljDS104ZK9c	Rita Rocha	Mais Ou Menos Isto	PTNO12100078	50		0.551	0.757	0.00214	0.03	124.013	0.463	0.549
0y60itmpH0aPKsFiGxmtnh	WILLOW	Wait a Minute!	QMJMT1500801	87	afrofuturism,dance pop,electropop,pop,post-teen pop	0.0371	0.764	1.94e-05	0.0278	101.003	0.672	0.705
6pi1uv6Ay7TCzKTPTXBIqZ	Diego Moreno	Bella chao	CH6322000001	31		0.428	0.726	0.0	0.0295	89.998	0.798	0.523
7ASOo3Z7yW7frUCNFyJ4Ga	André Rieu,Johann Strauss Orchestra	"Love Story - From ""Love Story"""	DEUM71603394	44	easy listening,operatic pop,pop violin	0.886	0.221	0.383	0.0359	73.727	0.0922	0.153
595G0No6FI82sWWsbsQEoX	Eleni Karaindrou	Eternity And A Day: 2. By The Sea	DEB339869202	54	greek contemporary classical,soundtrack	0.994	0.361	0.756	0.0643	162.158	0.18	0.0437
6ckvmaiBHENJGm98hlDm72	Horacio Rivera	Por Una Cabeza	QZ7361900127	48		0.929	0.203	0.00427	0.054	51.422	0.276	0.0574
6Y2ID5LrizFmT8FL0BQEgG	Franz Liszt,Daniil Trifonov	"3 Études de Concert, S. 144: No. 3 in D-Flat Major ""Un sospiro"""	DEN961501813	39	classical,late romantic era	0.984	0.152	0.91	0.0412	76.486	0.0335	0.0568
4wYmJlEqIme358SxbbmbJ1	Franz Schubert,Evgeny Kissin	Auf dem Wasser zu singen, D.774 - Transcription: Franz Liszt, Searle 558 No. 2	DEF059003440	43	classical,classical era,early romantic era	0.985	0.239	0.92	0.0358	104.684	0.216	0.166
6HU7h9RYOaPRFeh0R3UeAr	Olivia Rodrigo	deja vu	USUG12101240	86	pop	0.584	0.442	5.7e-06	0.112	180.917	0.178	0.612
14sOS5L36385FJ3OL8hew4	Kygo,Sandro Cavazza	Happy Now	SEBGA1803418	68	edm,pop,pop dance,tropical house	0.374	0.693	0.0	0.0801	117.999	0.492	0.575
0e7ipj03S05BNilyu5bRzt	Post Malone,21 Savage	rockstar (feat. 21 Savage)	USUM71710087	82	dfw rap,melodic rap,rap	0.124	0.585	7.01e-05	0.0712	159.801	0.129	0.52
4m0q0xQ2BNl9SCAGKyfiGZ	The 1975	Somebody Else	GBK3W1500426	70	modern alternative rock,modern rock,pop,rock	0.204	0.618	0.0154	0.0601	101.015	0.459	0.793
2SpEHTbUuebeLkgs9QB7Ue	Dolly Parton	Jolene	USRN19600096	71	classic country pop,country,country dawn	0.566	0.674	0.0	0.0363	110.578	0.809	0.537
6KfoDhO4XUWSbnyKjNp9c4	Conan Gray	Maniac	USUM71920712	80	bedroom pop,pop	0.00162	0.628	0.0	0.0435	108.045	0.493	0.639
4xqrdfXkTW4T0RauPLv3WA	Conan Gray	Heather	USUM71924264	84	bedroom pop,pop	0.584	0.357	0.0	0.0333	102.078	0.27	0.425
3QyoC6OvQUmpQwQZ18iaTs	Conan Gray	Overdrive	USUM72100677	71	bedroom pop,pop	0.0101	0.568	0.0	0.0377	104.959	0.46	0.788
0kn2gu8Pd03DiYHzRvX2Xk	Conan Gray	Wish You Were Sober	USUM71924258	76	bedroom pop,pop	0.0178	0.701	0.0	0.0468	91.071	0.696	0.728
4JeOesjcWWlprTAvucDSJX	Conan Gray	People Watching	USUM72109491	77	bedroom pop,pop	0.385	0.53	0.0	0.0545	125.723	0.538	0.593
3XOHxCoPkXW0pvR6xl4f0M	Conan Gray	Little League	USUM71924266	62	bedroom pop,pop	0.0227	0.558	4.54e-06	0.106	142.052	0.543	0.778
5enxwA8aAbwZbf5qCHORXi	Taylor Swift	All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)	USUG12103690	82	pop	0.274	0.631	0.0	0.0303	93.023	0.205	0.518
