sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
5EUPK2x1wJ5bERxjQ47lKv	Tom Misch	I Wish	GBWWP1601982	55	indie soul,jazz pop	0.187	0.787	0.00593	0.0447	86.997	0.404	0.329
1xKyLu1AbYauopjoAi0bQU	Dillaz,Lhast	Gravidade	PT7ED1700955	45	hip hop tuga	0.506	0.833	0.0257	0.176	130.049	0.426	0.488
2Yv2mHzr5AQavVdwQjEokV	Mac Miller	Hand Me Downs	USWB11801014	66	hip hop,pittsburgh rap,rap	0.474	0.677	0.000871	0.149	68.985	0.336	0.33
1kwnxJNVl7cwcU98RvMBaR	Mac Miller	Surf	USWB11801016	70	hip hop,pittsburgh rap,rap	0.754	0.828	0.0706	0.166	147.279	0.231	0.182
5DHsGfjaxIpt0v0dPGaWdI	Vinícius de Moraes,Toquinho,Quarteto Em Cy	Carta Ao Tom 74	BRMCA7500054	54	bossa nova,mpb,samba	0.821	0.593	0.00037	0.268	73.059	0.557	0.431
4PDfwhqOmkkocOHg4Rh4Mq	Aminé	Becky	USUM72013390	56	hip hop,pop,portland hip hop,rap,underground hip hop	0.0379	0.579	0.000499	0.0402	87.962	0.326	0.646
1HzDhHApjdjXPLHF6GGYhu	Pink Floyd	Wish You Were Here	GBDJQ0100008	68	album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock	0.718	0.499	0.00101	0.0485	121.498	0.282	0.318
0QhoniumuDQIQY46aIebRq	João Gilberto	Chega de Saudade	FR6V81528417	46	bossa nova,brazilian jazz,cool jazz,jazz guitar,mpb,samba,violao	0.705	0.418	0.0	0.0341	176.634	0.654	0.248
0NNNdbXSkIgglN2cZbPcpj	Matt Maltese	Good Morning	CAN112100380	39	dream smp,indie anthem-folk,indie pop	0.333	0.628	0.0066	0.0282	131.168	0.427	0.487
3EytmMZxK0woRgbh2NxenS	Los Retros	It's Got To Be You	US2S72145004	53	latinx alternative	0.407	0.747	0.00909	0.0276	86.594	0.843	0.364
7umZiitjVsEjMQ6HNddpUI	Joey Bada$$	Love Is Only a Feeling	QMKSC1700112	78	conscious hip hop,hip hop,rap,underground hip hop	0.53	0.629	0.000325	0.191	90.377	0.497	0.676
5x49kmoXgHzh8SYoAjwog7	Sam The Kid,Orelha Negra,ORQUESTRA	Retrospectiva De Um Amor Profundo (Ao Vivo)	PT0HJ1800086	17	hip hop tuga,rap tuga underground	0.555	0.517	0.0	0.379	94.985	0.472	0.748
6DUKQUhWqUySYngLXLNwP2	The Strokes	Automatic Stop	USRC10301520	60	alternative rock,garage rock,modern rock,permanent wave,rock	0.00329	0.675	0.719	0.0376	105.921	0.914	0.535
4Pz7iN649aBn2TwcxBRF8Z	The Whitest Boy Alive	Golden Cage	DED620600073	53	alternative dance,electronica,indie rock,indietronica,new rave	0.137	0.835	0.507	0.0374	119.699	0.928	0.693
4zvHZWOGyL7WcmqHOgtGCW	boy pablo	Everytime	USQY51745798	67	bedroom pop,bergen indie,norwegian indie	0.0249	0.431	0.0397	0.0351	203.908	0.855	0.663
5csDQh9Vy5P1Pt9bkmKCZs	FKJ	10 Years Ago	GBKPL1970165	50	filter house,indie soul	0.592	0.544	0.405	0.0658	80.0	0.226	0.222
3zpGIFghtnVlwMXWyKW474	Anderson .Paak	Fire In The Sky	USUM72113049	65	escape room	0.0837	0.668	0.0446	0.0453	79.008	0.737	0.856
4KQOt8UvwZmUF8sjT4Za50	Nick Cave & The Bad Seeds	There She Goes, My Beautiful World	GBAJH0401567	45	permanent wave	0.363	0.338	0.0	0.0657	126.936	0.493	0.916
2PGmGbgt6KJYXB488x4KcQ	Matt Maltese	Greatest Comedian	GBAHS1800089	34	dream smp,indie anthem-folk,indie pop	0.112	0.8	0.00581	0.0343	104.195	0.941	0.611
4TXPbHOeQE0Az7T71uybPu	Mick Jenkins	What Am I To Do	QMKSC1800087	41	chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop	0.032	0.699	0.0	0.394	81.724	0.858	0.73
3QxAadrRx8aSEVd6Qzr8KF	Stan Getz,Luiz Bonfá,Maria Toledo	Saudade Vem Correndo	USF096301050	50	bossa nova,cool jazz,jazz,jazz saxophone,latin jazz,samba-jazz	0.946	0.634	0.163	0.0377	90.633	0.671	0.288
3xYvDtt9IxWn6xJNapCv9u	Denzel Curry	The Ills	USC4R2211737	56	dark trap,drill,hip hop,miami hip hop,rap,underground hip hop	0.383	0.729	0.0	0.284	83.667	0.46	0.685
3GZD6HmiNUhxXYf8Gch723	Frank Ocean	Lost	USUM71207186	85	hip hop,lgbtq+ hip hop,neo soul,pop	0.0272	0.913	0.000503	0.226	123.061	0.497	0.603
1G391cbiT3v3Cywg8T7DM1	Red Hot Chili Peppers	Scar Tissue	USWB19900674	79	alternative rock,funk metal,funk rock,permanent wave	0.0779	0.595	0.00274	0.0295	88.969	0.547	0.717
45M8WjgpG9SwEASZulPqCT	Alcool Club,Uno,Sara D. Francisco	Sitio Onde Nunca Sai	QZGLS2144912	35	hip hop tuga	0.791	0.654	0.0	0.0987	79.306	0.556	0.492
4LpUpiYoZ2M3Z1kmhn4EQo	Mac DeMarco	Still Beating	QMMZN1701303	71	edmonton indie,lo-fi indie	0.581	0.709	0.191	0.0417	78.477	0.469	0.496
6VekqQih8fJTHOsoSL01th	R.E.M.	Imitation Of Life	USWB11102878	59	alternative rock,athens indie,permanent wave,pop rock,rock	0.00628	0.46	4.72e-06	0.0316	124.293	0.402	0.751
7pmLi2drbQTrVAjd8NCeDs	Roderick Porter	I Didn't Realize How Empty My Bed Was Until You Left	QZES51874654	58	aesthetic rap,emo rap,lo-fi rap,meme rap,sad lo-fi,sad rap	0.3	0.872	0.0	0.157	118.015	0.327	0.752
706NuVviwPA1BBI2XkDui5	The Alchemist,Boldy James,Sideshow	TV Dinners (feat. Boldy James & Sideshow)	USUYG1366150	48	alternative hip hop,hardcore hip hop,hip hop,rap,underground hip hop,west coast rap	0.665	0.552	0.0	0.105	89.135	0.538	0.585
56NkIxSZZiMpFP5ZNSxtnT	The Strokes	Someday	USRC10100769	69	alternative rock,garage rock,modern rock,permanent wave,rock	0.0033	0.542	1.51e-06	0.0301	105.97	0.671	0.531
4krnN9UnmHInTYZoVpjMHb	Westside Gunn	Peace Flygod	USUYG1434822	55	alternative hip hop,boom bap,buffalo hip hop,hip hop,rap,underground hip hop,upstate ny rap	0.145	0.235	0.0	0.0361	142.332	0.691	0.573
23luOrEVHMfoX0AhfbQuS6	Kendrick Lamar	FEAR.	USUM71703090	66	conscious hip hop,hip hop,rap,west coast rap	0.604	0.588	7.2e-06	0.281	150.414	0.434	0.479
7EagormFign5ag6f16ua3I	Kanye West	Keep My Spirit Alive	USUM72118393	60	chicago rap,rap	0.201	0.513	0.00033	0.344	166.35	0.087	0.644
6b37xrsNCWYIUphFBazqD6	Manu Chao	Me Gustas Tu	FR84R0000004	77	latin alternative,world	0.663	0.657	0.494	0.0825	175.949	0.908	0.741
5CMjjywI0eZMixPeqNd75R	Daft Punk,Pharrell Williams	Lose Yourself to Dance (feat. Pharrell Williams)	USQX91300106	70	electro,filter house	0.0839	0.832	0.00114	0.057	100.163	0.674	0.659
5xJeZ6tLPOXNIrrphEIuay	Tyler, The Creator	435	USQX91801253	59	hip hop,rap	0.00247	0.539	0.000185	0.172	85.752	0.798	0.804
2pAD0PKMUMtxlMvz33tYzB	The Strokes	Is This It	USRC10100762	60	alternative rock,garage rock,modern rock,permanent wave,rock	0.149	0.664	4.84e-05	0.03	96.002	0.804	0.679
5xo35lv2hjJeWz4xw0CBei	austenyo	personova	QZBRF1882281	40	modern indie pop	0.701	0.643	1.15e-06	0.138	98.934	0.694	0.437
2g6tReTlM2Akp41g0HaeXN	Kendrick Lamar,Blxst,Amanda Reifer	Die Hard	USUM72208965	85	conscious hip hop,hip hop,rap,west coast rap	0.319	0.775	0.00116	0.247	100.988	0.362	0.736
4XvcHTUfIlWfyJTRG0aqlo	Sleepy Hallow	2055	USRC12100442	82	brooklyn drill,nyc rap	0.492	0.829	0.0	0.187	80.511	0.638	0.512
7rbECVPkY5UODxoOUVKZnA	Kanye West	I Wonder	USUM70749085	80	chicago rap,rap	0.141	0.542	0.000445	0.0831	191.385	0.124	0.466
