sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
5AsqDGKlZ7fGC6oeRIiPWx	Lana Del Rey	Radio	GBUM71111570	45	art pop,pop	0.217	0.312	2.38e-05	0.0846	75.112	0.185	0.841
7MtVPRGtZl6rPjMfLoI3Lh	Lana Del Rey	Fuck it I love you	GBUM71903510	68	art pop,pop	0.895	0.534	0.00165	0.0359	129.974	0.175	0.452
0mt02gJ425Xjm7c3jYkOBn	Lana Del Rey,The Weeknd	Lust For Life (with The Weeknd)	GBUM71701127	67	art pop,pop	0.604	0.504	0.00193	0.0542	99.982	0.262	0.655
2Kerz9H9IejzeIpjhDJoYG	Lana Del Rey	Love	GBUM71604605	66	art pop,pop	0.487	0.527	0.0023	0.0277	98.994	0.234	0.366
5tyMJlMqaggzvuX7TtlrTe	Lana Del Rey	Love song	GBUM71903152	66	art pop,pop	0.966	0.384	0.00017	0.0367	63.425	0.288	0.0701
2mdEsXPu8ZmkHRRtAdC09e	Lana Del Rey	Cinnamon Girl	GBUM71903147	70	art pop,pop	0.814	0.294	0.414	0.036	91.781	0.135	0.337
5yn5uVJVsp7zZq1nWJWeJ3	Lana Del Rey	National Anthem	GBUM71111567	50	art pop,pop	0.548	0.535	0.000163	0.234	84.929	0.415	0.902
3DarAbFujv6eYNliUTyqtz	Doja Cat,SZA	Kiss Me More (feat. SZA)	USRC12100543	83	dance pop,pop	0.259	0.764	8.92e-05	0.0284	110.97	0.781	0.705
4LRPiXqCikLlN15c3yImP7	Harry Styles	As It Was	USSM12200612	100	pop	0.342	0.52	0.00101	0.0557	173.93	0.662	0.731
3IkWmgGsXbsafrunwPojXO	Hugh Jackman,The Greatest Showman Ensemble	From Now On	USAT21704626	69	hollywood,show tunes	0.00483	0.516	0.00895	0.04	108.027	0.0834	0.518
4qu63nuBpdn0qHUHuObEj1	Marshmello,Jonas Brothers	Leave Before You Love Me (with Jonas Brothers)	USUG12102313	82	brostep,dance pop,edm,pop,pop dance,progressive electro house	0.00226	0.721	4.41e-06	0.0403	119.976	0.637	0.738
0DuWDLjriRPjDRoPgaCslY	Adele	Love In The Dark	GBBKS1500221	74	british soul,pop,pop soul,uk pop	0.528	0.331	0.0	0.0309	109.821	0.152	0.341
6Uj1ctrBOjOas8xZXGqKk4	Doja Cat	Woman	USRC12101532	90	dance pop,pop	0.0888	0.824	0.00294	0.0854	107.998	0.881	0.764
0QBzMgT7NIeoCYy3sJCof1	Camila Cabello,Ed Sheeran	Bam Bam (feat. Ed Sheeran)	USSM12200047	89	dance pop,pop,post-teen pop	0.182	0.756	0.0	0.0401	94.996	0.956	0.697
7LigIDzs63Y4uFlZvNzCZq	The Regrettes	Barely on My Mind	USWB12105145	60	indie pop,la indie	0.257	0.751	0.0	0.035	119.988	0.668	0.683
6UelLqGlWMcVH1E5c4H7lY	Harry Styles	Watermelon Sugar	USSM11912587	88	pop	0.122	0.548	0.0	0.0465	95.39	0.557	0.816
4UA4dXMeTYhOlbmgQa7Q55	Sara Carreira,David Carreira,Mickael Carreira,André Sardet,Calema,Aurea,Bárbara Bandeira,Bárbara Tinoco,SYRO,Diogo Piçarra,Fernando Daniel,Ivo Lucas,Katia Guerreiro,Mariza,Nenny,Matias Damásio,Nelson Freitas,Anjos,Nininho Vaz Maia,Paulo de Carvalho,Tiago Bandeira,Tony Carreira	Leva-Me a Viajar - Associação Sara Carreira Version	PT6HD2100036	41	portuguese pop	0.516	0.444	0.0	0.0426	137.999	0.177	0.537
6potEImiklXkwD9qFzpu15	Labrinth	Forever	USQX91902499	78	indie poptimism,pop	0.92	0.563	0.724	0.0292	79.983	0.197	0.459
4ylWMuGbMXNDgDd8lErEle	Hugh Jackman,Keala Settle,Zac Efron,Zendaya,The Greatest Showman Ensemble	The Greatest Show	USAT21704616	71	hollywood,show tunes	0.000239	0.417	0.0545	0.105	157.92	0.4	0.824
2cKovq3l6OJjhVVDbVKOsr	Hugh Jackman,Zac Efron	The Other Side	USAT21704620	70	hollywood,show tunes	0.00433	0.638	0.00139	0.302	153.99	0.31	0.795
0WSEq9Ko4kFPt8yo3ICd6T	Kanye West	Praise God	USUM72116287	80	chicago rap,rap	0.00904	0.798	9.48e-05	0.168	118.029	0.212	0.545
4Li2WHPkuyCdtmokzW2007	JAY-Z,Kanye West	Ni**as In Paris	USUM71111621	81	east coast hip hop,hip hop,rap	0.127	0.789	0.0	0.311	140.022	0.775	0.858
2cGxRwrMyEAp8dEbuZaVv6	Daft Punk,Julian Casablancas	Instant Crush (feat. Julian Casablancas)	USQX91300105	74	electro,filter house	0.0422	0.775	0.619	0.0271	109.942	0.518	0.585
6sH1FvX2nqd7ZFMeKyi0cs	Ana Moura	Andorinhas	DETO32100194	46	fado,portuguese pop	0.553	0.599	3.63e-05	0.0279	95.06	0.316	0.523
7BN7QSebz6NCXgqM28U1OJ	Reamonn	Free Like A Bird	DEUM70806613	12	german pop,german pop rock	0.0995	0.418	2.32e-06	0.034	186.417	0.314	0.702
4rYLpaNFzt6pkQnrCvVHUw	Lady Gaga	G.U.Y.	USUM71310772	62	art pop,dance pop,pop	0.0141	0.616	0.0	0.0401	110.008	0.572	0.919
4veeNpXDK1YRHMTJ1Cppsg	Avenged Sevenfold	Buried Alive	USWB11001434	62	alternative metal,nu metal	0.00116	0.607	0.0	0.0296	139.983	0.469	0.804
7dijxJTNynu6IwqnCtvwN5	Lauren Jauregui	Sorry	GBKPL2169364	47	pop,post-teen pop,r&b	0.608	0.355	0.0	0.0386	170.035	0.331	0.295
04yxn7ZbIFWzaXKAUPILxR	Lauren Jauregui	Intro	GBKPL2166141	45	pop,post-teen pop,r&b	0.795	0.162	0.917	0.0442	130.751	0.0268	0.0624
4ZLIe6Vlv2olF9R041yT15	Fingertips	Picture of My Own	PTMR11800001	31	portuguese rock	0.151	0.265	0.00192	0.0332	91.975	0.4	0.619
4cktbXiXOapiLBMprHFErI	Maroon 5	Memories	USUM71913350	83	pop,pop rock	0.841	0.775	0.0	0.0557	91.05	0.595	0.327
7uoFMmxln0GPXQ0AcCBXRq	Sia	Snowman	USAT21704212	74	australian dance,australian pop,pop	0.483	0.716	0.0	0.0331	104.957	0.326	0.512
7FdUvDkaE24o3FPIWTvzv2	Imagine Dragons	Follow You	USUM72102981	71	modern rock,rock	0.00209	0.542	7.92e-05	0.0521	124.912	0.489	0.732
25I6VxEomicxYgo90GIgsR	Coffee Date,GameChops	Dearly Beloved (Kingdom Hearts)	QZFZ31938129	39	lo-fi vgm	0.74	0.608	0.916	0.0403	75.006	0.552	0.299
1mO9I7Vn142YPokZdGbgA3	João Borsch	Boca Cheia	QZFYX2104467	16	musica madeirense	0.0166	0.792	0.378	0.0344	109.003	0.967	0.509
1diS6nkxMQc3wwC4G1j0bh	Dua Lipa	We're Good	GBAHT2001117	75	dance pop,pop,uk pop	0.0319	0.722	0.0	0.0544	134.01	0.59	0.588
7jDtQkIxKFELTpQa27VWWR	Zara Larsson	Look What You've Done	USSM12007067	47	dance pop,edm,electropop,pop,pop dance,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house	0.182	0.742	0.0	0.0547	117.915	0.62	0.79
0mbFxKSx2gjaDJZEfsaxfo	Hayden Calnin	Oh What a Mess I'm In	CAN112000624	17	australian indie,folktronica,indie anthem-folk,indie folk	0.956	0.286	0.000303	0.0374	87.144	0.232	0.153
2T4JE91t7Js1DJ4rSHltcQ	Future,Kanye West	I Won (feat. Kanye West)	USSM11401390	57	atl hip hop,rap,southern hip hop,trap	0.743	0.606	0.0	0.258	83.746	0.317	0.66
71Taskl2O73XfpQtJciJCD	Sia	1+1	USAT22007183	60	australian dance,australian pop,pop	0.12	0.862	1.04e-05	0.0442	109.998	0.674	0.641
1J14CdDAvBTE1AJYUOwl6C	Duncan Laurence	Arcade	NL1TK1900001	72	dutch pop	0.827	0.453	0.00122	0.0425	72.017	0.279	0.35
38EnNqW16JfwQMmKzxX1yc	Diogo Piçarra,Bispo	Monarquia	PTUM72100505	51	portuguese pop	0.748	0.383	2.03e-06	0.0333	83.928	0.269	0.379
5HCyWlXZPP0y6Gqq8TgA20	The Kid LAROI,Justin Bieber	STAY (with Justin Bieber)	USSM12103949	89	australian hip hop	0.0383	0.591	0.0	0.0483	169.928	0.478	0.764
3hd6zLhnTlbJ8PupYt3cAI	Kanye West	No Child Left Behind	USUM72116303	65	chicago rap,rap	0.00632	0.161	0.792	0.0341	135.382	0.0815	0.327
3B4etxytImrRKQgV3XHjnR	Katy Perry	Harleys In Hawaii	USUM71919682	72	dance pop,pop,post-teen pop	0.162	0.721	6.59e-06	0.125	140.095	0.738	0.751
3T4UodGkfZObJ43RtA5KFU	OneRepublic	Connection	USUM71808832	61	dance pop,piano rock,pop,pop rock	0.000837	0.611	0.0	0.0437	168.154	0.624	0.602
