sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3CrM35MsH465vc1GqXCXZO	Mauro Picotto	Private Eyes (Watching You) - Video Edit	ITE341700006	5	bubble trance,eurodance,hard house,italian trance,trance	0.00112	0.782	0.894	0.041	126.007	0.843	0.946
2wfmML40o3wNotFDndWWsD	Le Delacroix	You're the One That I Want	AUDD31702120	38		0.123	0.769	0.0462	0.0687	105.962	0.761	0.905
06Zz2l7cVTCTgCNDe1bnEF	Bon Jovi	Have A Nice Day	USUM70502481	61	glam metal,rock	4.84e-05	0.5	0.000198	0.0736	130.06	0.566	0.899
4MflGTO2ZTcSQ12bWcyRgI	Andy Grammer	Honey, I'm Good.	USZXT1400267	71	dance pop,modern rock,neo mellow,pop,pop rap,pop rock,post-teen pop	0.0324	0.752	0.0	0.0546	122.014	0.595	0.775
35WCpc3Mz2ysTn8aN7kq1h	Empyre One	Moonlight Shadow (Full Reloaded 2018) - Radio Edit	DEHK91893021	34	eurodance,hands up,partyschlager	0.00131	0.575	1.55e-06	0.0379	142.936	0.325	0.843
1kPpge9JDLpcj15qgrPbYX	Owl City,Carly Rae Jepsen	Good Time	USUM71206288	76	indietronica,modern rock,pop,pop rock	0.0239	0.56	6.98e-06	0.14	126.05	0.682	0.872
4qqArAiTPueDxIp7cf87h7	MØ	Final Song	GBARL1600463	65	art pop,dance pop,danish pop,electropop,pop,tropical house	0.014	0.695	7.95e-05	0.0345	104.988	0.245	0.672
3jqrVbctAX2yKI9hadG9WM	Silent Poets,櫻木大悟	Simple feat. 櫻木大悟 (D.A.N.)	JPB531800010	11	japanese dub	0.333	0.463	0.232	0.0308	82.953	0.173	0.429
2tpWsVSb9UEmDRxAl1zhX1	OneRepublic	Counting Stars	USUM71301306	82	dance pop,piano rock,pop,pop rock	0.0654	0.664	0.0	0.0382	122.016	0.477	0.705
6tSt1BvYZfbqSwSJs7PXMy	Aly & AJ	Protecting Me	USHR10521625	6	dance pop,electropop,girl group,indie pop,indie poptimism,pop,post-teen pop	0.0126	0.498	0.0	0.053	97.973	0.446	0.889
5XM7tx8ovQ9UrYqUowW1AK	Benji & Fede	Dove e quando	ITQ001900100	62	italian adult pop,italian pop	0.0931	0.763	0.0	0.0381	124.998	0.691	0.692
5yFSF6qQA1rcLsQRnBsZgb	Alan Walker,Noah Cyrus,Digital Farm Animals,Juliander	All Falls Down (feat. Juliander)	NOG841715010	63	electro house	0.303	0.658	0.0	0.058	97.976	0.662	0.678
3E7dfMvvCLUddWissuqMwr	Miley Cyrus	Party In The U.S.A.	USHR10924519	78	dance pop,pop,post-teen pop	0.00112	0.652	0.000115	0.042	96.021	0.47	0.698
5x4jTL18ttNodazreCjtU5	Aly & AJ	No One	USHR10521481	18	dance pop,electropop,girl group,indie pop,indie poptimism,pop,post-teen pop	0.00757	0.444	0.000179	0.0274	158.438	0.344	0.578
5b4XMukxU3PEwaGGCUnfAW	Marcella Bella	L' Ultima Poesia	ITD569300416	34	classic italian pop,italian adult pop	0.144	0.567	0.0	0.0391	139.71	0.337	0.501
5KqldkCunQ2rWxruMEtGh0	Kenny Rogers	The Gambler	USCN17800055	72	adult standards,classic country pop,country,mellow gold,nashville sound,soft rock	0.342	0.671	0.0	0.0594	87.04	0.86	0.501
4LiJE6pqgsTX3FtukW6bNh	Agnes	Release Me	DKBV70806405	64	dance pop,electropop,europop,swedish electropop,swedish idol pop,swedish pop	0.00645	0.621	7.28e-05	0.0321	127.973	0.716	0.923
43ALtAdaxcoSFSxrBBw5RG	Miley Cyrus	7 Things	USHR10823877	35	dance pop,pop,post-teen pop	0.0277	0.601	0.0	0.0332	107.01	0.509	0.899
