sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
3QuTAkBCTi52wSlTJ6EMFA	TEEN TOP	Confusing	KRA381210963	14	k-pop,k-pop boy group	0.181	0.763	0.0	0.123	115.974	0.748	0.875
5ypObuDXm2XT7ipEE5yZMr	GOT7	니가 하면 If You Do	US5TA1500082	51	k-pop,k-pop boy group	0.0557	0.692	0.0	0.0766	129.957	0.757	0.886
6oZee3RwM7GHykYHZeb7GT	Apink	I'm so sick	KRA381800153	55	k-pop,k-pop girl group	0.128	0.594	0.0	0.0531	123.752	0.777	0.81
7oLXIyY1ZUexU0zcr39Xj0	SISTAR	LONELY	KRA381701212	49	k-pop,k-pop girl group	0.206	0.445	0.0	0.0587	169.577	0.643	0.819
4GDYFQfwHkXHdzPn0zHGLd	Fei	괜찮아 괜찮아 Fantasy	US5TA1600038	37	chinese r&b	0.325	0.771	0.0	0.239	115.013	0.567	0.683
1OIb1AalkGikhzCRbWgchd	WJSN	Secret	KRA381601509	54	k-pop,k-pop girl group	0.167	0.692	0.0	0.0678	111.495	0.762	0.969
3OwgVahQZYToL5yMHHPDGB	Long D,Kim Do Yeon	All night	KRA381702837	39		0.636	0.704	0.000106	0.051	103.027	0.637	0.898
0ouZyRao4mnMH1aepB8qAg	Jiselle,Chancellor	Missed call (feat. Chancellor)	KRA301900083	50	korean r&b	0.275	0.429	0.0	0.12	139.309	0.682	0.537
3sjR7eStev0KsjsTF0vcJr	CARLA	I don't need you	KRB471800523	26	korean r&b	0.111	0.453	0.0	0.128	98.874	0.544	0.688
2OsH4MtKPVeI8w9sFBLEvZ	KEY,Crush	One of Those Nights	KRA301800523	50	k-pop	0.0689	0.732	0.0	0.072	127.968	0.619	0.589
3aIOlfZIifPCj0DZc2MRpJ	LADIES' CODE	The Rain	KRD351600001	44	k-pop,k-pop girl group	0.0494	0.684	0.0	0.0648	99.02	0.686	0.592
2wpA6ZArhzeHDWKr83S6sj	10시 45분	Cherry On Top	KRA341759211	33	k-pop reality show	0.0416	0.849	0.0	0.0579	105.025	0.559	0.56
2Ovz77Qn7ERXNf4I08WpmA	Sori,Basick	Touch (feat. Basick)	KRB461800472	38		0.118	0.658	0.0	0.0725	135.035	0.725	0.887
4avqopFsPPZnfYRdXGnVxu	KHAN	I'm Your Girl ? - Instrumental	KRD431800002	14	art rock,canterbury scene,k-pop girl group	0.0994	0.732	0.673	0.0519	91.983	0.675	0.609
4HwtJ7p2bL1c5BVm35Rgbc	SULLI	Goblin	KRA301900292	50	k-pop	0.621	0.738	1.34e-06	0.0757	85.001	0.764	0.795
2lp1UEpJyByupT4280qEOa	Tank	159cm	KRMIM1804934	49		0.241	0.42	0.0	0.29	179.5	0.771	0.822
2qwyjoSsSr3M7HTt611Q5O	MAMAMOO	Wind flower	KRA381802087	56	k-pop,k-pop girl group	0.656	0.735	0.0	0.0518	113.988	0.825	0.795
2anfFUyh70hWj3sUEGHt3v	Minah	11°	KRA381702557	29		0.929	0.52	0.0	0.0411	81.255	0.298	0.233
3GAKRdjL6Snq9C7u5tMC01	LOONA	Love Letter	KRE081700018	45	k-pop,k-pop girl group	0.253	0.624	0.0	0.0375	110.982	0.17	0.65
09Pp9Q9593vnr91Ldi4let	Hyolyn	SEE SEA	KRMIM1805227	50	k-pop,korean r&b	0.0753	0.649	0.0	0.0345	118.023	0.601	0.817
0ca0yslrN216u69XqZ6S4H	Dreamcatcher	Wonderland	KRB471801402	43	k-pop,k-pop girl group	0.318	0.77	0.0	0.104	124.973	0.459	0.631
1UyeBGLoK9VTYFEJRh0Ety	GWSN	Melting Point	KRA381801087	31	k-pop	0.169	0.762	0.0	0.0618	127.859	0.627	0.701
5t8Ae6KUTCNVfC8Zj2JhrR	Eyedi	Caffeine	KRMIM1814306	42	korean r&b	0.0295	0.724	6.44e-06	0.0687	109.95	0.533	0.711
3L6OalQDbdCS0Tg1kFccYn	CHUNG HA,Nucksal	Why Don’t You Know	KRNAR1703961	44	k-pop	0.32	0.703	0.0	0.148	100.038	0.623	0.923
7hhXSyozEb30vG4dqzqQBv	LOOΠΔ / ODD EYE CIRCLE	Starlight	KRE081700025	39	k-pop,k-pop girl group	0.399	0.67	0.0	0.0409	120.003	0.402	0.731
1tLmp8dEhaHvU0jm2aG6sS	LOONA,Kim Lip	See Saw (Chuu, Go Won)	KRE081800002	42	k-pop,k-pop girl group	0.39	0.78	1.6e-06	0.0286	102.022	0.695	0.706
0FVQr2ILw82OIqotJyDymt	이바다	RUNNIN’ BACK	KRB921945791	31		0.224	0.639	0.0	0.0731	118.906	0.403	0.475
2IfWR8zwsvNHdixteHOIF7	Henry Young,Dylan Tallchief,Ashley Alisha	Honestly	QZHN32091070	40		0.275	0.671	0.0	0.0442	154.978	0.405	0.689
3bHE2Q0boauLBF8iJLUIga	SOLE	Slow	KRMIM1804936	52	chill r&b,korean r&b	0.591	0.399	2.06e-05	0.1	78.162	0.306	0.397
2zJqwfpsp9pa7PpRwVUfWC	Kriesha Chu	Like Paradise	PHS031801032	30		0.338	0.667	0.0	0.0395	94.996	0.5	0.763
3EobHN3IL8IHjSxzjKM5jC	Universe	OMG	KRA401800029	37		0.0158	0.825	0.0	0.125	149.865	0.673	0.699
1OWxlgwPtWuEvGkH8uS1Tj	BoA	ONE SHOT, TWO SHOT	KRA301800069	44	k-pop	0.24	0.804	0.0	0.067	119.948	0.483	0.679
1QzbeeShhAATdT87ssWtK4	LOONA	Twilight	KRE081700016	43	k-pop,k-pop girl group	0.555	0.674	0.0	0.0614	92.0	0.566	0.825
2G2XrUXmY96vvvs09vZLRd	SAAY	LOVE DROP	KRUM71800243	24	korean r&b	0.406	0.6	0.0	0.264	87.827	0.747	0.911
3cs3lGvmdiksYhEn8nnslm	Nana Mellie	Falling	KRA381801053	35		0.404	0.753	2.27e-06	0.0306	113.023	0.693	0.734
0Hk7Aoxk7qdfj7bO83iL69	CHUNG HA	Love U	KRMIM1805020	47	k-pop	0.333	0.774	0.0	0.0694	120.039	0.685	0.92
2syu4UkaYhSvGpyMY7kNRo	15&	Rain & Cry	US5TA1400048	30	k-pop girl group	0.482	0.349	0.0	0.0475	191.483	0.543	0.591
3WfaJhCL4p2JbdffJjV6Va	IZ*ONE	La Vie en Rose	KRA871800019	65	k-pop,k-pop girl group	0.0868	0.699	0.0	0.0544	115.978	0.621	0.907
1HVjqP22I8rGY1gyEqrEuy	TAEYEON	Circus	KRA301800256	47	k-pop	0.669	0.75	0.0	0.0427	108.016	0.337	0.473
7nbKBoLQ8ZiQ5Ge8vMPcgF	LOONA	Satellite	KRA381900459	51	k-pop,k-pop girl group	0.352	0.794	0.0	0.0538	119.974	0.636	0.858
52apyWv5B0JKYZWGC7yuMe	SAAY	OVERZONE	KRUM71800358	37	korean r&b	0.259	0.775	0.0	0.265	118.961	0.716	0.643
22PEycypPsZpzlMxTgukiQ	TOMORROW X TOGETHER	Our Summer	USUG11900596	58	k-pop,k-pop boy group	0.00271	0.739	0.0	0.0323	107.98	0.267	0.571
6DIW7GJbuGZdHolRcPWprP	CHUNG HA	Roller Coaster	KRNAR1800484	59	k-pop	0.317	0.633	0.0	0.048	130.001	0.74	0.907
2CxgY4VvTNA0bG2nVtmgPg	(G)I-DLE	DAHLIA	KRA392000078	52	k-pop,k-pop girl group	0.122	0.755	2.04e-06	0.0416	101.997	0.448	0.821
3RtapbUtHJgnVlZWahStUS	fromis_9	LOVE BOMB	KRA491800921	57	k-pop,k-pop girl group	0.138	0.625	0.0	0.151	154.061	0.863	0.931
06uHelfNbaIX9rkJ4ggc51	LOONA	Where you at	KRA381900462	44	k-pop,k-pop girl group	0.437	0.433	0.0	0.178	199.896	0.663	0.787
3mKK73NhylzXdHV4qZGxI4	Wonder Girls	Why So Lonely	US5TA1600034	55	k-pop,k-pop girl group	0.111	0.634	0.0	0.133	155.161	0.809	0.726
1a3fxX9sVFRa0875wVLu9U	SAAY	ENCORE	KRUM71800239	24	korean r&b	0.367	0.474	0.0	0.207	173.926	0.813	0.831
396Dkg9z5Q1hXxKryeP9T8	APRIL	Oh! my mistake	KRA381801575	53	k-pop,k-pop girl group	0.213	0.754	1.61e-06	0.106	145.047	0.751	0.841
4SpQDJz1JiRT2mHxvyqN9K	Apink	%%(Eung Eung)	KRA381900073	54	k-pop,k-pop girl group	0.294	0.647	0.0	0.037	144.867	0.683	0.855
7B9W7Qsy5M2kyUNjQYIEG8	fromis_9	DM	USA2P2146741	65	k-pop,k-pop girl group	0.0213	0.649	0.0	0.11	122.028	0.663	0.898
7eUtsnBNOWfWDObBZyU4F4	LOONA	new	KRE081700031	48	k-pop,k-pop girl group	0.0671	0.652	0.0	0.0374	108.001	0.365	0.62
1Zv6zo71iDXH07Lin7hxMg	HEIZE	Don't Know You	KRA491601217	52	k-pop,korean pop,korean r&b	0.213	0.699	0.0	0.253	104.995	0.471	0.562
3jueKDWC9DmTfnU2jMxE8U	LOONA/yyxy	rendezvous 18.6y	KRE081800009	45	k-pop girl group	0.251	0.533	0.0	0.0857	159.975	0.543	0.738
69790X4RDQIKwcxltIMHvU	Moon Byul,Seori	Shutdown (Feat.Seori)	KRA382164332	57	k-pop	0.36	0.531	0.0	0.0894	74.029	0.523	0.777
72NewffMWAO9kH55vT6dXj	LOONA	열기	KRE081800013	45	k-pop,k-pop girl group	0.276	0.673	0.0	0.0736	94.987	0.663	0.811
20yOiJHRQGirFYehRSIb6i	WJSN	Save Me, Save You	KRA381801230	57	k-pop,k-pop girl group	0.054	0.729	0.0	0.054	115.998	0.618	0.928
4HVl3GYOgAFulzLgS2vz9V	KHAN	I'm Your Girl ?	KRD431800001	48	art rock,canterbury scene,k-pop girl group	0.516	0.593	0.0	0.0583	91.878	0.631	0.738
5WYW22IZkApppYwwJfZ7wC	REFUND SISTERS	DON'T TOUCH ME	KRMIM2027572	52	k-pop girl group	0.0342	0.738	0.0	0.0322	117.997	0.651	0.82
4S7NuqZw7hltAB3bYyYK7l	Idol School	High Five	KRA491700229	17	k-pop reality show	0.0498	0.688	0.0	0.0366	147.911	0.764	0.925
3XjA1YxiyNraf0uI2ke5Ok	Niel	Lady (feat.L.JOE)	KRA381209811	4		0.0227	0.776	2.11e-06	0.0505	107.937	0.552	0.837
3j0x2BUUtm2obQXS1lZuN3	Apink	Dilemma	KRA382203080	61	k-pop,k-pop girl group	0.0438	0.647	0.0	0.0618	130.04	0.432	0.845
