sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
0IEjwizy1eqkBTZ7KjSKHO	Nunslaughter	The Guts of Christ	uscgh1513949	8	black death,death metal,pittsburgh metal	0.000478	0.418	0.000103	0.102	122.958	0.838	0.77
43L2uD4pSdg9hjO45DDQUo	Nunslaughter	Ritual of Darkness	uscgh1513948	6	black death,death metal,pittsburgh metal	0.00266	0.367	0.0224	0.0402	114.471	0.638	0.454
22ofsi1CB42F8zpjtGvkV7	Nunslaughter	Raid the Convent	uscgh1513944	27	black death,death metal,pittsburgh metal	0.00024	0.402	0.00941	0.0958	77.795	0.939	0.734
4Z69VxUgbZyMX7uN6Xg0q9	Mötley Crüe	Live Wire	USBY29900144	63	glam metal,hard rock,rock,sleaze rock	9.37e-05	0.411	7.57e-06	0.063	112.24	0.679	0.904
5KQY3KDpQ3tO29W7iJNfFq	Judas Priest	Rock Hard Ride Free	GBBBN8402035	40	album rock,birmingham metal,glam metal,hard rock,metal,power metal,rock	0.00253	0.348	0.048	0.0457	136.681	0.368	0.829
0rmGAIH9LNJewFw7nKzZnc	Bon Jovi	You Give Love A Bad Name	USPR39402224	78	glam metal,rock	0.0663	0.541	2.25e-06	0.0505	122.803	0.812	0.96
7zydM7FeDlFUPCXdY2GCgZ	Whitesnake	Fool for Your Loving	GB01A8900003	31	album rock,british blues,classic rock,glam metal,hard rock,metal,rock	0.000833	0.585	0.0189	0.0564	122.132	0.747	0.906
2aEuA8PSqLa17Y4hKPj5rr	Modern Talking	Cheri Cheri Lady	DEC738500001	67	eurodance,europop,german pop,synthpop	0.458	0.677	0.0132	0.032	114.223	0.851	0.616
0IXpUl1fn2QZcBavfuq0H4	Judas Priest	Living After Midnight	GBBBN8000005	61	album rock,birmingham metal,glam metal,hard rock,metal,power metal,rock	0.0136	0.61	1.75e-06	0.0534	134.992	0.819	0.824
34RISamoO5iubsOanSlpQo	Deep Purple	Mistreated - Remastered 2004	GBDXG0400007	43	album rock,blues rock,classic rock,hard rock,metal,psychedelic rock,rock	0.0566	0.342	0.0212	0.039	126.558	0.547	0.622
08hn5vq1XnVmVQI4mfzsXa	Judas Priest	A Touch of Evil	GBBBN0102564	46	album rock,birmingham metal,glam metal,hard rock,metal,power metal,rock	0.000195	0.417	2.89e-05	0.0368	98.117	0.156	0.798
1Oep4HqXu8tW6BgQzqmoYJ	Whitesnake	You're Gonna Break My Heart Again - 2018 Remaster	GB01A1800014	30	album rock,british blues,classic rock,glam metal,hard rock,metal,rock	0.000966	0.324	8.79e-06	0.0825	147.694	0.268	0.896
756CJtQRFSxEx9jV4P9hpA	The Darkness	I Believe in a Thing Called Love	GBAHS0300635	67	glam metal,hard rock,rock	0.0538	0.442	4.71e-06	0.0764	128.235	0.622	0.846
0X1sqQ652p1sceKM2nJlIJ	Bon Jovi	Runaway	USPR39402231	69	glam metal,rock	0.00375	0.475	1.91e-05	0.0637	152.445	0.603	0.899
1pTw2cNrp9L3esxLAvWnN2	Journey	Separate Ways (Worlds Apart)	USSM18300106	58	album rock,classic rock,hard rock,mellow gold,rock,soft rock	0.0189	0.467	4.51e-06	0.0576	131.536	0.453	0.943
54RUyDKQkTgWKjzBdR8OLY	Nunslaughter	You Bleed	uscgh1513940	12	black death,death metal,pittsburgh metal	0.000984	0.356	2.65e-05	0.0595	105.867	0.669	0.775
5eXXbu5P4bbLCjKXi6ux8G	Nunslaughter	Red is the Color of Ripping Death	QZK6H2149995	12	black death,death metal,pittsburgh metal	1.31e-05	0.0998	0.000155	0.129	171.377	0.182	0.972
1FCU9gDGrn5bHRlTpiXpYF	Nunslaughter	The Dead Plague	ushm90889034	12	black death,death metal,pittsburgh metal	0.000705	0.201	0.675	0.0796	99.182	0.291	0.87
24FaPw5s7oBlkossx215C1	Nunslaughter	I Hate Christians	USI4R0816041	12	black death,death metal,pittsburgh metal	0.0107	0.416	0.0	0.206	117.552	0.514	0.75
1Lrqt4jrfcuFEtQLKPfQ9B	Nunslaughter	Murmur	QZK6H2149991	14	black death,death metal,pittsburgh metal	9.75e-06	0.235	0.00128	0.0753	145.972	0.103	0.989
6cGoEp4BLT8tOkAViQtnAl	Nunslaughter	Looking Into The Abyss	QZES82180770	15	black death,death metal,pittsburgh metal	4.74e-06	0.111	0.281	0.0873	169.687	0.275	0.973
0LltdITSsLkDK1HNUvuDgM	Nunslaughter	Death By the Dead	ushm90889032	17	black death,death metal,pittsburgh metal	0.0835	0.391	0.0317	0.0723	103.226	0.627	0.881
70SY6S4hbgWKzEgamBYqSw	Nunslaughter	I Am Death	ushm90889031	19	black death,death metal,pittsburgh metal	0.00166	0.259	0.905	0.122	131.567	0.0603	0.949
6Yd3kYAKUngG7V5BNkKwXL	Nunslaughter	Satanic Slut	uscgh1513947	23	black death,death metal,pittsburgh metal	0.000684	0.374	1.49e-06	0.105	131.221	0.521	0.908
688B3DJ1zjjiL4gQujkCFM	Midnight	The Final Rape of Night	USMBR1914115	12	black 'n' roll,black speed metal,metal,new wave of speed metal,nwothm	0.000337	0.142	6.56e-05	0.139	164.622	0.101	0.986
6OFo2JjQop46mewe2czACK	Deathhammer	Satan Is Back	usdy41594305	18	black speed metal,black thrash,nwothm	1.07e-05	0.166	0.0427	0.0891	112.425	0.0726	0.968
0XikAPBz2QDHjZxDQCGe06	Midnight	Who Gives a Fuck?	USMBR1914056	17	black 'n' roll,black speed metal,metal,new wave of speed metal,nwothm	3.51e-06	0.228	0.75	0.0798	160.195	0.628	0.971
6EI1ZYGfxZs1yBQ53mHZwL	Midnight	Groin Gripper	USMBR1914058	11	black 'n' roll,black speed metal,metal,new wave of speed metal,nwothm	1.57e-06	0.2	0.0756	0.095	155.364	0.507	0.994
3PBMlvAlOkdzhrvZMOk9nP	Autopsy	Service for a Vacant Coffin	GBCQV9000005	28	brutal death metal,death metal,doom metal,grindcore,metal	2.91e-06	0.221	0.164	0.0507	98.133	0.278	0.845
4tVzcd2nExn6zGYJRHwV4q	Midnight	Fucking Speed and Darkness	USMBR1913953	29	black 'n' roll,black speed metal,metal,new wave of speed metal,nwothm	4.94e-06	0.165	0.0046	0.0877	158.414	0.369	0.961
2ZnHxAteyz41p2cnbDVMP5	Midnight	Nocturnal Molestation	USMBR2215124	28	black 'n' roll,black speed metal,metal,new wave of speed metal,nwothm	6.1e-06	0.158	0.386	0.138	190.311	0.201	0.987
