sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
34VWA8nkYp99hTrp9Aovn9	Riccardo Fogli	Storie di tutti i giorni	ITE010402428	49	classic italian pop,italian adult pop	0.211	0.562	0.0	0.0426	118.2	0.379	0.658
4DiTA6MRQAcTn0ZIhNaaHk	Gianni Morandi,Enrico Ruggeri,Umberto Tozzi	Si può dare di più	ITR008700171	49	classic italian pop,italian adult pop	0.514	0.617	0.0	0.033	114.464	0.309	0.591
61VptdUUGBeSFPGnJD5z8p	Eros Ramazzotti	Una storia importante	ITB008570714	44	italian adult pop,mexican pop	0.0471	0.6	1.46e-05	0.0449	125.397	0.308	0.534
69yVorve3CSUgza89ZxLeS	Toto Cutugno	Solo noi	ITB268000030	51	classic italian pop	0.646	0.276	0.0	0.0651	170.168	0.257	0.41
1dgNG7Ze3PqXTIq9yqSihX	Al Bano And Romina Power	Ci sarà	DEC719400058	53		0.22	0.677	0.0	0.034	115.682	0.474	0.498
7sXTcibuNYugjjYNfgf2kY	Al Bano And Romina Power	Felicità	USBI10000114	65		0.489	0.71	0.0	0.0402	107.618	0.814	0.625
1wWs0xx3hxL1r5V5oB3EJF	Ricchi E Poveri	Se m' innamoro	DEA810401865	4	classic italian pop,europop,italian adult pop,italian disco	0.029	0.661	0.0	0.0293	109.415	0.862	0.758
2YeRFLZmJN12Fa2T7XUKkP	I Collage	Tu Mi Rubi L'Anima	USA370545864	37	neo-progressive	0.343	0.514	4.52e-06	0.0258	136.732	0.334	0.404
5Cuz9p7bYVUumlm756Rdub	Marco Masini	Disperato	ITB009070523	10	classic italian pop,europop,italian adult pop	0.425	0.444	1.39e-05	0.0348	125.856	0.0682	0.487
3LhSWvr02ZOYL5IMd3nm1t	Rino Gaetano	Gianna	ITB008400565	56	canzone d'autore,classic italian pop,italian adult pop	0.0809	0.783	0.000645	0.0397	105.823	0.984	0.848
0AsCObd7eD2NSSg3UBJLKo	Anna Oxa	Un'emozione da poco	ITB007800565	47	classic italian pop,italian adult pop	0.395	0.559	1.82e-06	0.0404	114.079	0.635	0.475
28N1seSMmlyTr8Q9D7IT6y	Homo Sapiens	Bella da morire	ITS040100313	38	beat italiano,classic italian folk pop,classic italian pop	0.309	0.172	0.0	0.0335	70.34	0.238	0.405
25ebyn9QQcDwkvxOpPWbA2	Lucio Dalla	Piazza Grande	ITB007200841	43	canzone d'autore,classic italian pop,italian adult pop	0.767	0.564	5.78e-05	0.0343	131.37	0.522	0.539
5TpJZQe6V0ivkwheolTSRk	Marcella Bella	Montagne verdi	ITR007200361	35	classic italian pop,italian adult pop	0.528	0.411	0.0	0.0382	127.857	0.37	0.464
01PZlOQEde3bMY1ZAGhzQi	Nicola Di Bari	La prima cosa bella	ITB007000909	47	classic italian pop,pop romantico	0.116	0.343	0.0	0.0405	93.334	0.66	0.61
7eeAVOoaHu2C4zRwzoECIT	Elio e le Storie Tese	La terra dei cachi	ITS019700054	39	italian adult pop,italian alternative	0.286	0.643	0.0	0.115	90.666	0.593	0.618
6AYOo1nHXrlavSQwNW1HIV	Gianluca Grignani	Destinazione Paradiso	IT7009506040	56	classic italian pop,italian adult pop,mexican pop	0.253	0.56	0.0	0.0267	137.879	0.348	0.605
4WdefK9fYq4ihmI6LtoSMw	883	Senza averti qui	ITQ000000861	28	classic italian pop,europop,italian adult pop	0.0336	0.558	1.6e-06	0.0355	107.987	0.863	0.856
7s8xAb9nzBQbB0z3QZPmKK	Andrea Bocelli	Con te partirò	ITZ049700077	45	classical tenor,italian tenor,operatic pop	0.844	0.236	0.00279	0.0311	137.437	0.302	0.367
0rPsMM9L2Rr6wCGPFHjWPZ	Ivana Spagna	Gente come noi	ITM009500084	38	classic italian pop,italian adult pop,italian disco	0.00338	0.549	0.0	0.0286	84.985	0.49	0.776
1mJQoOICr4UlV6nG3EI4NN	Giorgia	Come saprei	IT00Y9900016	47	classic italian pop,italian adult pop	0.369	0.44	0.0	0.0352	135.996	0.135	0.453
28SRB4L3LGWlNYcGe1tQ3q	Andrea Bocelli	Il Mare Calmo Della Sera	ITZ049700064	27	classical tenor,italian tenor,operatic pop	0.787	0.381	0.000334	0.0298	68.997	0.0843	0.453
5bxQHscWvyaQbm37igKP4K	Laura Pausini	La solitudine	ITR009300061	61	europop,italian adult pop,latin,latin arena pop,latin pop,mexican pop	0.738	0.574	0.0	0.0381	131.89	0.256	0.467
0YRMOyyJw458JBQhZMEvce	Francesca Alotta,Aleandro Baldi	Non amarmi	ITB009270504	47	canzone siciliane	0.467	0.325	0.0	0.0355	175.168	0.364	0.415
5m6sFcpBoYGjEQBbiieLbE	Mia Martini	Gli Uomini Non Cambiano	ITB551110740	46	classic italian pop,italian adult pop	0.748	0.398	0.0	0.0299	129.46	0.114	0.364
3tQhUEy5PsSnOfyL5rsDnf	Luca Barbarossa	Portami a ballare	ITD091100012	50	classic italian pop,italian adult pop,italian lounge	0.853	0.592	0.0	0.0349	143.969	0.356	0.357
2by2FnmRxYWrbG76oZC1iX	Pierangelo Bertoli,Tazenda	Spunta La Luna Dal Monte - Disamparados	ITB009170501	46	canzone d'autore,classic italian pop,italian adult pop	0.665	0.412	0.0	0.0329	201.297	0.347	0.564
1JMEM4mX0LnL5AF2rsy2b4	Umberto Tozzi	Gli altri siamo noi	ITR009100091	46	classic italian pop,italian adult pop	0.49	0.57	0.0	0.0395	88.007	0.804	0.547
3V2TMVsl5LlDvEVff9hw31	Riccardo Cocciante	Se stiamo insieme	NLD600690030	47	canzone d'autore,classic italian pop,italian adult pop	0.264	0.535	0.0	0.0283	95.93	0.292	0.607
57J7lg7C1IZRxvA13J1nhw	Anna Oxa	Quando nasce un amore	ITM009700600	51	classic italian pop,italian adult pop	0.755	0.466	1.07e-05	0.0301	104.941	0.231	0.285
3aVjgy4QXdspl0pYXonofg	Fausto Leali	Mi Manchi - Remastered	ITE010308246	39	classic italian pop,italian adult pop	0.434	0.362	1.94e-06	0.0305	142.883	0.118	0.257
5QKRTdqD7dgOIWMYXUmD6J	Massimo Ranieri	Perdere l'amore	ITQ008800011	54	canzone napoletana,classic italian pop,italian adult pop	0.474	0.394	1.42e-06	0.0393	134.955	0.422	0.533
0O7KQqwVlMvptBVJMbzCHv	Fiorella Mannoia	Quello che le donne non dicono	ITM000300416	52	classic italian pop,italian adult pop	0.538	0.479	0.0	0.0457	78.017	0.22	0.322
14K0I2XngCqxazt1EfJkZj	Al Bano,Romina Power	Nostalgia canaglia	ITQ008700091	38	classic italian pop	0.286	0.644	0.0	0.0258	98.204	0.711	0.72
1WrT3pRtE32H2lyLPQFJq1	Mango	Lei verrà	ITD018601635	47	classic italian pop,italian adult pop	0.362	0.583	4.08e-06	0.0369	82.525	0.546	0.669
2gq6d9KkrE4RLkjWa3TMVu	Eros Ramazzotti	Adesso tu	ITB008671030	51	italian adult pop,mexican pop	0.261	0.459	0.0	0.0283	136.097	0.183	0.424
0LtW3MVVagosqQYDq8ClZe	Amedeo Minghi	1950	IT0BZ8300115	55	classic italian pop,italian adult pop	0.631	0.651	0.0	0.0337	92.468	0.511	0.655
5zd9EXZujflINL16eUHgqo	Vasco Rossi	Vita spericolata	ITB260401760	58	classic italian pop,italian adult pop	0.694	0.501	0.0	0.0277	109.408	0.276	0.508
05B41JtRqLvHYZlBPYr06Q	Tiziana Rivale	Sarà quel che sarà	ITA619603165	14		0.0689	0.612	0.000302	0.035	141.922	0.669	0.622
2NR0U5CkpEoV68zlNHtOiJ	Mia Martini	E non finisce mica il cielo	ITB008200759	40	classic italian pop,italian adult pop	0.824	0.35	0.0057	0.0324	61.823	0.178	0.199
4TYk0Izd7pQLdXDYxGNvyq	Zucchero,The Randy Jackson Band	Donne	IT9008501930	47	classic italian pop,italian adult pop,italian pop rock	0.164	0.503	2.64e-05	0.0333	169.576	0.907	0.464
0QBzMgT7NIeoCYy3sJCof1	Camila Cabello,Ed Sheeran	Bam Bam (feat. Ed Sheeran)	USSM12200047	91	dance pop,pop,post-teen pop,uk pop	0.182	0.756	0.0	0.0401	94.996	0.956	0.697
2S7RApTsKT0CtYojYq2cKz	Toto Cutugno	L'italiano	ITB268300025	66	classic italian pop	0.292	0.617	0.0	0.0404	121.35	0.692	0.519
7037bX3jdaUWUAXL12CHGy	Ricchi E Poveri	Sarà perché ti amo	USBI10000112	58	classic italian pop,europop,italian adult pop,italian disco	0.122	0.837	0.0	0.0377	120.196	0.964	0.751
7HToYDfwY1kATIrBPxvbzX	Fiordaliso	Non voglio mica la luna	ITB008670575	49	classic italian pop,italian pop	0.279	0.757	0.0	0.0379	123.382	0.644	0.685
4PRdGQsEQeqvfYZTPN6pDC	Matia Bazar	Vacanze Romane - 1991 Remaster	ITD001100248	45	classic italian pop,italian adult pop	0.12	0.582	0.00504	0.0333	109.688	0.474	0.573
6P9ISBfXg35gWQzq3ggLIu	Alice	Per Elisa	ITD008100001	47	classic italian pop	0.0952	0.536	2.79e-05	0.0453	101.968	0.464	0.485
5SMNiMH42jfmZJsJN3AEjS	Nomadi	Io voglio vivere	ITR000300023	48	beat italiano,classic italian pop,italian adult pop	0.0504	0.63	0.0	0.0267	125.005	0.324	0.704
1XZp9CsjFdnZuiNzcGYKgP	Nomadi	Io vagabondo (Che non sono altro)	ITR009200111	51	beat italiano,classic italian pop,italian adult pop	0.21	0.593	0.0515	0.0274	130.18	0.315	0.422
6tDDoYIxWvMLTdKpjFkc1B	Kali Uchis	telepatía	GBUM72005748	83	colombian pop,dance pop,pop	0.112	0.653	0.0	0.0502	83.97	0.553	0.524
76hfruVvmfQbw0eYn1nmeC	DNCE	Cake By The Ocean	USUM71514637	82	dance pop,pop,post-teen pop,uk pop	0.152	0.774	0.0	0.0517	119.002	0.896	0.753
3GYlQmwfBDo7imFyGPhrl7	Dimitri Vegas & Like Mike,Regard,Dimitri Vegas	Say My Name	BEG852000012	71	belgian dance,belgian edm,big room,dance pop,edm,electro house,pop dance,progressive electro house,tropical house	0.0703	0.729	0.0	0.0908	118.039	0.857	0.788
53gShoWt4kRE8bUnsIY73C	Jerry K	I Wanna - Radio Edit	ITAY32200176	29		0.0119	0.802	0.6	0.044	116.0	0.895	0.828
1204BOLkZU4LoQCWkZ2zPQ	Braaten	Enjoy The Silence	NLT2H2100571	55	tropical house	0.266	0.598	1.95e-05	0.0654	117.06	0.281	0.764
2N8m6CYs74qQO4mjVcXO30	Tones And I	Dance Monkey	QZES71982312	77	australian pop,pop	0.69	0.824	0.000105	0.0937	98.029	0.514	0.587
1Ec9olHUrk9pq2JlqguN7N	Two Life	Feel	USA2P2117040	34		0.0823	0.73	0.00777	0.0524	113.994	0.24	0.715
59qrUpoplZxbIZxk6X0Bm3	Jason Derulo	Take You Dancing	USAT22004479	80	dance pop,pop,pop rap,post-teen pop	0.0332	0.789	0.0	0.041	112.985	0.753	0.711
5LtMbWigY1K6k3HjSslJoO	Cassette	My Way	ITL012100021	44		0.117	0.855	1.5e-05	0.0344	112.989	0.438	0.667
5YaskwnGDZFDRipaqzbwQx	ATB,Topic,A7S	Your Love (9PM)	DECE72003523	80	german dance,german techno,german trance,trance	0.194	0.669	6.28e-06	0.112	125.993	0.517	0.784
62aP9fBQKYKxi7PDXwcUAS	Surf Mesa,Emilee	ily (i love you baby) (feat. Emilee)	QZJRC1945204	79	tropical house	0.0686	0.674	0.00188	0.0892	112.05	0.33	0.774
06vwC6P13pARmkdDrJG3EX	Shoby,Jonah Baker	Bad Habits	NLT2H2100631	58	tropical house	0.34	0.766	0.00118	0.0284	120.004	0.398	0.761
6zSpb8dQRaw0M1dK8PBwQz	Elton John,Dua Lipa,PNAU	Cold Heart - PNAU Remix	GBUM72104705	90	glam rock,mellow gold,piano rock	0.034	0.796	4.19e-05	0.0317	116.032	0.942	0.798
6UelLqGlWMcVH1E5c4H7lY	Harry Styles	Watermelon Sugar	USSM11912587	90	pop	0.122	0.548	0.0	0.0465	95.39	0.557	0.816
6XRe4ft04Skbpbz3TwsenD	Emma	Mi Parli Piano	ITUM71701747	48	italian adult pop,italian pop	0.0963	0.524	0.0	0.0421	143.99	0.317	0.494
5Z9glBJNve5V3iFigLkQjx	Emma	Occhi Profondi	ITUM71500809	47	italian adult pop,italian pop	0.158	0.612	0.0	0.0393	92.0	0.349	0.724
2phTOGr8mQVX3iqIZ4gAmO	Emma	Amami	ITUM71300103	47	italian adult pop,italian pop	0.384	0.584	0.0	0.0415	112.039	0.34	0.834
0BNaXcSSUeuARA4W8iB18E	Emma,Alessandra Amoroso	Pezzo Di Cuore (con Alessandra Amoroso)	ITUM72001401	56	italian adult pop,italian pop	0.389	0.518	0.0	0.0449	139.874	0.441	0.7
7lx7ourd9AVFIBXFTCWXx8	Emma	Non E' L'Inferno	ITUM71200001	49	italian adult pop,italian pop	0.042	0.569	0.0	0.0342	126.884	0.322	0.731
2YqCCbTVa9ODiS754EXKxR	Emma	Ogni Volta È Così	ITUM72200043	59	italian adult pop,italian pop	0.397	0.542	0.0	0.0617	154.046	0.658	0.696
6XQHlsNu6so4PdglFkJQRJ	Ryan Gosling,Emma Stone	"City Of Stars - From ""La La Land"" Soundtrack"	USUG11600656	64	hollywood	0.899	0.492	1.93e-06	0.0379	111.787	0.434	0.116
