sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4TYtTnLsCL1N2iFipRwkNL	The FifthGuys,Polina Grace	Seven Nation Army	DEXN82064983	58	traprun	0.00897	0.767	0.0759	0.205	127.99	0.156	0.928
6kex4EBAj0WHXDKZMEJaaF	Jason Derulo,Nicki Minaj,Ty Dolla $ign	Swalla (feat. Nicki Minaj & Ty Dolla $ign)	USWB11700237	73	dance pop,pop,pop rap,post-teen pop	0.075	0.696	0.0	0.109	98.064	0.782	0.817
1mTiSUWBsXiAyBTAReWtdt	LEO2745,HOODZ	Moncler	QZTVM2158157	46		0.622	0.731	1.02e-06	0.092	148.001	0.691	0.509
17b8o9O29o3QGTRuprj7nd	Piruka,Jimmy P	FALADUKÊ	ES71G2214245	46	hip hop tuga,rap criolo	0.186	0.762	0.0	0.275	129.838	0.559	0.711
7vRriwrloYVaoAe3a9wJHe	Garrett Nash,Olivia O'Brien	i hate u, i love u (feat. olivia o'brien)	USAT21601051	76	pop,pop rap	0.687	0.492	0.0	0.3	92.6	0.18	0.275
0o21KBZdbK4M0iY3mBwVmm	ANAVITÓRIA,Diogo Piçarra	Trevo (Tu)	BRUM71705074	36	folk brasileiro,nova mpb,pop lgbtq+ brasileira,pop nacional	0.776	0.599	0.0	0.0267	99.766	0.467	0.461
2FY7b99s15jUprqC0M5NCT	Imagine Dragons	Natural	USUM71806694	78	modern rock,rock	0.217	0.704	0.0	0.0409	100.0	0.22	0.611
0rmGAIH9LNJewFw7nKzZnc	Bon Jovi	You Give Love A Bad Name	USPR39402224	78	glam metal,rock	0.0663	0.541	2.25e-06	0.0505	122.803	0.812	0.96
3CqELUCD4xPw5ERPXTyPq1	Richie Campbell	Heaven	PT9AN1700001	32	portuguese pop,reggae tuga	0.277	0.591	0.0	0.167	132.713	0.544	0.545
3Vo4wInECJQuz9BIBMOu8i	Bruno Mars,Cardi B	Finesse - Remix; feat. Cardi B	USAT21705441	72	dance pop,pop	0.0185	0.704	0.0	0.0996	105.115	0.926	0.859
4MFCXniy7I8tj0GXtf3wgC	Coldplay	Adventure of a Lifetime	GBAYE1500981	53	permanent wave,pop	0.00205	0.638	0.000175	0.036	111.995	0.53	0.924
1qCQTy0fTXerET4x8VHyr9	Louis Armstrong	What A Wonderful World	USMC16758823	70	adult standards,dixieland,harlem renaissance,jazz trumpet,new orleans jazz,swing,vocal jazz	0.792	0.399	1.86e-06	0.033	108.174	0.192	0.258
