sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
2F9DCIJ7ZXHhNkiIlIIOkw	Rachel Chinouriri	All I Ever Asked	GBAYE2200182	63	uk pop	0.469	0.913	0.000889	0.0446	114.996	0.848	0.459
7Ck7GSPoBIDwNwcas05Sz1	flowerovlove	Will We Ever Get This Right	UKELY2100072	50		0.128	0.797	0.000467	0.0322	120.985	0.508	0.615
4nLTOnpSCBwRlul92HLIyW	COIN	Cutie	QZJ842001416	57	indie pop,modern rock,pop,pop rock	0.000928	0.682	0.000201	0.139	111.991	0.723	0.609
1nWCNJX79ARq0EtXyKyiIS	Gatlin	2000 Miles	QM4TW2281761	42	alt z,indie pop,modern alternative pop	0.0751	0.707	0.0105	0.0324	125.075	0.571	0.765
2zxe1bIcH0mHSMwuc9Fh1k	mxmtoon	in the darkness	GBKPL2162138	48	alt z,bedroom pop,indie pop,pop	0.616	0.434	0.000125	0.0485	204.561	0.174	0.42
3gzIK2dGSVvPBiohsTwEWZ	Troye Sivan	Easy	AUUM72000410	61	australian pop,dance pop,electropop,pop,viral pop	0.0581	0.639	0.000169	0.0487	142.967	0.616	0.569
3QEX5O23KVp1yg1tj6Hycp	Lizzy McAlpine,FINNEAS	hate to be lame (feat. FINNEAS)	GBKPL2280166	63	boston folk,indie pop,pop	0.869	0.507	0.000293	0.0616	137.314	0.307	0.252
7yw1S0euAJViNQ6cEUXuEh	Zachary Knowles	dancing in the kitchen	US4HB2100286	50	alt z,bedroom soul,chill pop,chill r&b,electropop,pop	0.124	0.819	0.000752	0.0515	126.01	0.967	0.652
5MG69A9XyXDbBbeOxdR3Tl	Claire Rosinkranz	don't miss me	USUG12106125	67	alt z,indie pop,modern indie pop,pop	0.793	0.796	2.49e-05	0.04	104.98	0.818	0.727
30k5z3e9VqlkfJuW4cYqvW	The Wombats,Roosevelt	If You Ever Leave, I'm Coming with You - Roosevelt Remix	GBKPL2163188	45	liverpool indie,modern alternative rock,modern rock,rock	0.0121	0.724	0.0	0.0324	130.974	0.816	0.753
1UpFb9izAOYlcxWTOQzGf6	Orla Gartland	More Like You	QMFME2094850	50	indie pop,irish pop	0.591	0.883	0.00039	0.0434	127.949	0.768	0.431
2AmVGGu8jIgS7Kn3j6rB0K	Maude Latour	Clean	USWB12102380	47	alt z,indie pop,nyc pop	0.0213	0.7	0.000453	0.0327	128.048	0.641	0.625
4f1KkbXHnfIVZ9vmIExByJ	Maggie Rogers	That's Where I Am	USUG12106668	68	indie pop,pop	0.132	0.269	0.0	0.0534	181.299	0.15	0.764
5bRYA6MVHD4uioMc402Mow	Rainsford,Anna of the North	Brutal	QZAKB2154335	42		0.798	0.484	0.00132	0.0568	151.061	0.349	0.444
7rzkDmONjg7i8vkoATsW8f	BETWEEN FRIENDS	laurel	QZJ842001689	47	indie pop,la pop	0.174	0.719	5.15e-05	0.0485	89.98	0.155	0.661
2DhYQXK6ZkOTB1665GTagQ	Catie Turner	Nothing	USAT22201830	53	alt z,gen z singer-songwriter,indie pop,pop	0.001	0.512	0.0	0.0368	87.856	0.551	0.77
4LXuSaMzY515ubvtGnCvBi	Thomas Headon	Strawberry Kisses	GBAHT2100974	45	indie pop,modern indie pop	0.024	0.68	0.0	0.0451	109.979	0.77	0.736
4aHrviUXxabPdIgWxdYQLt	Fiji Blue	Butterflies	TCAES2081043	65	chill pop,chill r&b,pop	0.229	0.729	4.56e-05	0.0986	110.02	0.786	0.526
1jA53SLb7NDWeWZU74Uvoo	Alfie Templeman	Broken	GBKPL2172064	54	indie soul,modern alternative pop	0.00904	0.56	0.0	0.0762	102.011	0.751	0.883
7gJNP36MQMaE3HyyKkwgAO	The Greeting Committee	Can I Leave Me Too?	USUM72108313	45	indie pop,kc indie,modern rock	0.14	0.439	0.0014	0.0467	119.943	0.268	0.771
4IKKOmbPQOHyUm1VX6dpzV	Miki Ratsula,Dana Williams	sugarcane	CAN112100911	36	alt z	0.47	0.44	0.0	0.039	83.881	0.475	0.428
4mzRgafmXg0S1FBwGdwFXC	Thomas Headon	How Do I Know?	GBAHT2100973	49	indie pop,modern indie pop	0.00876	0.451	9.22e-06	0.148	176.012	0.697	0.843
1NfqGbaWcZLor12cITE5Fv	Valley	hiccup	CAUM72000160	59	electropop,indietronica,pop	0.0384	0.415	3.5e-05	0.0761	160.292	0.554	0.585
2I8VEot3oo5qaVmCW16qOx	Matilda Mann	Four Leaf Dream	USAR12100272	49	british singer-songwriter,indie pop	0.00145	0.625	0.000147	0.0358	120.479	0.839	0.611
6ouu4XNaN3pQMRo6BUvsaV	Madi Diaz,MUNA	Crying In Public - MUNA Remix	USEP42169001	41	acoustic pop,indie folk,indie pop,new americana	0.00028	0.551	0.000143	0.0742	141.93	0.179	0.579
3ZAJJoHHCVGLIoScl26Hf4	Jade Bird	Uh Huh	USYAH1700300	49	folk-pop,uk americana	0.0188	0.584	0.0	0.0406	119.859	0.57	0.81
6paJLwQKaMUHMJEfY92tMZ	Hoodie Allen	Numbers	USAT21404006	23	indie pop rap,pop rap	0.00512	0.429	0.0	0.0582	125.179	0.447	0.746
