sp_track_id	artist_name	track_name	ISRC	popularity	genres	acousticness	danceability	instrumentalness	speechiness	tempo	valence	energy
4aoZBldNDVYmTwmeoI49ud	Mc Gabzin,DJ TAK VADIÃO,dj sv	O Poder Dessa Garota	BCHFD2200039	68		0.686	0.763	0.0	0.0767	86.585	0.788	0.474
4lsDFVKOVwPeAVw1hPOn7G	Simone & Simaria,Zé Felipe	Vontade De Morder	BRUM72200004	74	funk carioca,pop nacional,sertanejo,sertanejo pop,sertanejo universitario	0.306	0.807	0.0	0.0567	82.024	0.916	0.868
71fwkaKdNrxiZZbkzSqmFJ	Anitta,YG,Papatinho,MC Kevin o Chris,Mr. Catra	Que Rabão (feat. Mr. Catra)	BRWMB1901614	76	funk carioca,funk pop,pagode baiano,pop nacional	0.197	0.874	0.0	0.309	150.016	0.642	0.654
2Z8pPatBfVlRqNlsnmMdhV	Richie Campbell	Let You Go	PT9AN2200001	54	portuguese pop,reggae tuga	0.807	0.477	0.0	0.356	87.907	0.298	0.578
4LRPiXqCikLlN15c3yImP7	Harry Styles	As It Was	USSM12200612	100	pop	0.342	0.52	0.00101	0.0557	173.93	0.662	0.731
5Z4TYur0O9OxmxIo6GC2Gq	Vulgo FK,Elenko Music,WEY,Wall Hein	Oi, Como Ce Tá?	BCENK2200007	78	funk carioca,funk ostentacao	0.0988	0.704	0.0	0.0514	156.101	0.733	0.724
6EDj1nbl9wo6ivGI1t59G4	Jão	Idiota	BRUM72101785	75	funk carioca,pop nacional	0.0685	0.669	0.0	0.0421	131.957	0.84	0.785
4S4Amrpr631M16IIXqRk73	MARO	saudade, saudade	PTUM72100760	68	musica portuguesa contemporanea	0.681	0.644	0.000208	0.0357	82.992	0.376	0.337
0tu5F0rmLZYIdUMEvfRXAo	Álvaro De Luna	Juramento eterno de sal	ES5152001096	56	spanish pop	0.0225	0.631	1.91e-06	0.0581	129.991	0.716	0.594
6bTdZ7xfKp3NqqADJ8HLyj	Matuê,WIU,Teto	Vampiro	BXW922100034	83	r&b brasileiro,rap cearense,trap brasileiro	0.0136	0.782	0.0	0.0438	114.994	0.627	0.643
5TMLavqGRKNxgzMBrVpC9R	zzoilo,Aitana	Mon Amour - Remix	ES5702101693	85		0.122	0.748	6.56e-06	0.102	116.041	0.362	0.761
0NBgyml7T0IvUNbXIkcSpH	Xamã,Gustah,Neo Beats	Malvadão 3	QZNJZ2122225	82	brazilian hip hop,funk carioca,trap brasileiro	0.378	0.821	0.0	0.268	133.133	0.516	0.609
2DB4DdfCFMw1iaR6JaR03a	Camila Cabello,Ed Sheeran	Bam Bam (feat. Ed Sheeran)	USSM12200047	82	dance pop,pop,post-teen pop	0.182	0.756	0.0	0.0401	94.996	0.956	0.697
7BELSQR2lAJLELaKvVkct3	Ivandro	Lua	PT9GN2200001	60	trap tuga	0.843	0.629	0.000107	0.0854	152.088	0.35	0.348
4NJKCE1TBC653P3dCnto0u	Mc Gabzin	Simplesmente Ela	BCHFD2200013	79		0.227	0.572	0.0	0.083	83.04	0.545	0.616
5zNxUkUW9WiV5oyg6gh2wB	PEDRO SAMPAIO,Mc Pedrinho	DANÇARINA	BRWMB2200077	84	funk carioca	0.0423	0.778	0.0	0.0788	134.999	0.554	0.571
7xl0FGueZITDMbdTCRGACA	Fernando Daniel	Entre Nós	PTUM71800018	27	portuguese pop	0.00187	0.462	7.34e-05	0.029	97.984	0.138	0.397
1dk3BsatyktjVjn087lVBV	Fernando Daniel	Tu	PTUM71800048	20	portuguese pop	0.465	0.791	2.36e-06	0.0372	94.023	0.751	0.694
53cSVuWnaaKyGHYd17R96S	Fernando Daniel	Tudo Parou	PTUM71800021	22	portuguese pop	0.414	0.399	5.97e-05	0.0489	136.054	0.255	0.681
3XaIDqKljGF3KXSpWYQ4pG	Fernando Daniel	Nada Mais	PTUM71800001	33	portuguese pop	0.0248	0.614	0.0	0.0309	150.15	0.55	0.75
